Record Date,Federal Tax Deposit Type,Federal Tax Deposit Type Description,Federal Tax Deposits Today,Federal Tax Deposits Month to Date,Federal Tax Deposits Fiscal Year to Date,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2022-09-30,Estate and Gift Taxes & Misc IRS Rcpts.,null,4,626,4580,IV,Federal Tax Deposits,Classification,7,2022,4,2022,3,09,30
2022-09-30,Cash Federal Tax Deposits,Direct,32,3177,34762,IV,Federal Tax Deposits,Classification,9,2022,4,2022,3,09,30
2022-09-30,Cash Federal Tax Deposits,Through Depositaries,12910,401425,4100180,IV,Federal Tax Deposits,Classification,10,2022,4,2022,3,09,30
2022-09-30,Inter-agency Transfers,null,1634,11282,124319,IV,Federal Tax Deposits,Classification,12,2022,4,2022,3,09,30
2022-09-29,Withheld Income and Employment Taxes,null,3352,225002,3100621,IV,Federal Tax Deposits,Classification,1,2022,4,2022,3,09,29
2022-09-29,Individual Income Taxes,null,414,54238,580542,IV,Federal Tax Deposits,Classification,2,2022,4,2022,3,09,29
2022-09-29,Railroad Retirement Taxes,null,5,514,6103,IV,Federal Tax Deposits,Classification,3,2022,4,2022,3,09,29
2022-09-29,Excise Taxes,null,4197,10800,88307,IV,Federal Tax Deposits,Classification,4,2022,4,2022,3,09,29
2022-09-29,Corporation Income Taxes,null,249,110104,457486,IV,Federal Tax Deposits,Classification,5,2022,4,2022,3,09,29
2022-09-29,Federal Unemployment Taxes,null,1,29,7049,IV,Federal Tax Deposits,Classification,6,2022,4,2022,3,09,29
2022-09-29,Estate and Gift Taxes & Misc IRS Rcpts.,null,1,622,4576,IV,Federal Tax Deposits,Classification,7,2022,4,2022,3,09,29
2022-09-29,Cash Federal Tax Deposits,Direct,993,3145,34730,IV,Federal Tax Deposits,Classification,9,2022,4,2022,3,09,29
2022-09-29,Cash Federal Tax Deposits,Through Depositaries,6850,388516,4087270,IV,Federal Tax Deposits,Classification,10,2022,4,2022,3,09,29
2022-09-29,Inter-agency Transfers,null,376,9648,122684,IV,Federal Tax Deposits,Classification,12,2022,4,2022,3,09,29
2022-09-28,Federal Unemployment Taxes,null,2,28,7048,IV,Federal Tax Deposits,Classification,6,2022,4,2022,3,09,28
2022-09-28,Corporation Income Taxes,null,820,109856,457238,IV,Federal Tax Deposits,Classification,5,2022,4,2022,3,09,28
2022-09-28,Withheld Income and Employment Taxes,null,9513,221650,3097268,IV,Federal Tax Deposits,Classification,1,2022,4,2022,3,09,28
2022-09-28,Individual Income Taxes,null,556,53824,580128,IV,Federal Tax Deposits,Classification,2,2022,4,2022,3,09,28
2022-09-28,Railroad Retirement Taxes,null,6,509,6098,IV,Federal Tax Deposits,Classification,3,2022,4,2022,3,09,28
2022-09-28,Excise Taxes,null,1190,6603,84110,IV,Federal Tax Deposits,Classification,4,2022,4,2022,3,09,28
2022-09-28,Estate and Gift Taxes & Misc IRS Rcpts.,null,42,621,4575,IV,Federal Tax Deposits,Classification,7,2022,4,2022,3,09,28
2022-09-28,Cash Federal Tax Deposits,Direct,232,2152,33737,IV,Federal Tax Deposits,Classification,9,2022,4,2022,3,09,28
2022-09-28,Cash Federal Tax Deposits,Through Depositaries,11889,381666,4080420,IV,Federal Tax Deposits,Classification,10,2022,4,2022,3,09,28
2022-09-28,Inter-agency Transfers,null,7,9272,122309,IV,Federal Tax Deposits,Classification,12,2022,4,2022,3,09,28
2022-09-27,Withheld Income and Employment Taxes,null,2351,212136,3087755,IV,Federal Tax Deposits,Classification,1,2022,4,2022,3,09,27
2022-09-27,Individual Income Taxes,null,460,53268,579572,IV,Federal Tax Deposits,Classification,2,2022,4,2022,3,09,27
2022-09-27,Railroad Retirement Taxes,null,2,504,6093,IV,Federal Tax Deposits,Classification,3,2022,4,2022,3,09,27
2022-09-27,Excise Taxes,null,577,5413,82921,IV,Federal Tax Deposits,Classification,4,2022,4,2022,3,09,27
2022-09-27,Corporation Income Taxes,null,109,109036,456418,IV,Federal Tax Deposits,Classification,5,2022,4,2022,3,09,27
2022-09-27,Federal Unemployment Taxes,null,1,26,7046,IV,Federal Tax Deposits,Classification,6,2022,4,2022,3,09,27
2022-09-27,Estate and Gift Taxes & Misc IRS Rcpts.,null,1,579,4533,IV,Federal Tax Deposits,Classification,7,2022,4,2022,3,09,27
2022-09-27,Cash Federal Tax Deposits,Direct,94,1920,33505,IV,Federal Tax Deposits,Classification,9,2022,4,2022,3,09,27
2022-09-27,Cash Federal Tax Deposits,Through Depositaries,3388,369777,4068531,IV,Federal Tax Deposits,Classification,10,2022,4,2022,3,09,27
2022-09-27,Inter-agency Transfers,null,19,9265,122302,IV,Federal Tax Deposits,Classification,12,2022,4,2022,3,09,27
2022-09-26,Withheld Income and Employment Taxes,null,18719,209786,3085404,IV,Federal Tax Deposits,Classification,1,2022,4,2022,3,09,26
2022-09-26,Individual Income Taxes,null,590,52808,579112,IV,Federal Tax Deposits,Classification,2,2022,4,2022,3,09,26
2022-09-26,Railroad Retirement Taxes,null,66,502,6091,IV,Federal Tax Deposits,Classification,3,2022,4,2022,3,09,26
2022-09-26,Excise Taxes,null,183,4836,82344,IV,Federal Tax Deposits,Classification,4,2022,4,2022,3,09,26
2022-09-26,Corporation Income Taxes,null,519,108927,456309,IV,Federal Tax Deposits,Classification,5,2022,4,2022,3,09,26
2022-09-26,Federal Unemployment Taxes,null,1,25,7045,IV,Federal Tax Deposits,Classification,6,2022,4,2022,3,09,26
2022-09-26,Estate and Gift Taxes & Misc IRS Rcpts.,null,100,578,4532,IV,Federal Tax Deposits,Classification,7,2022,4,2022,3,09,26
2022-09-26,Cash Federal Tax Deposits,Direct,68,1827,33411,IV,Federal Tax Deposits,Classification,9,2022,4,2022,3,09,26
2022-09-26,Cash Federal Tax Deposits,Through Depositaries,20084,366388,4065143,IV,Federal Tax Deposits,Classification,10,2022,4,2022,3,09,26
2022-09-26,Inter-agency Transfers,null,26,9246,122283,IV,Federal Tax Deposits,Classification,12,2022,4,2022,3,09,26
2022-09-23,Withheld Income and Employment Taxes,null,8020,191067,3066685,IV,Federal Tax Deposits,Classification,1,2022,4,2022,3,09,23
2022-09-23,Individual Income Taxes,null,431,52218,578521,IV,Federal Tax Deposits,Classification,2,2022,4,2022,3,09,23
2022-09-23,Railroad Retirement Taxes,null,49,435,6024,IV,Federal Tax Deposits,Classification,3,2022,4,2022,3,09,23
2022-09-23,Excise Taxes,null,339,4653,82161,IV,Federal Tax Deposits,Classification,4,2022,4,2022,3,09,23
2022-09-23,Corporation Income Taxes,null,2078,108408,455790,IV,Federal Tax Deposits,Classification,5,2022,4,2022,3,09,23
2022-09-23,Federal Unemployment Taxes,null,2,24,7044,IV,Federal Tax Deposits,Classification,6,2022,4,2022,3,09,23
2022-09-23,Estate and Gift Taxes & Misc IRS Rcpts.,null,1,478,4432,IV,Federal Tax Deposits,Classification,7,2022,4,2022,3,09,23
2022-09-23,Cash Federal Tax Deposits,Direct,87,1759,33343,IV,Federal Tax Deposits,Classification,9,2022,4,2022,3,09,23
2022-09-23,Cash Federal Tax Deposits,Through Depositaries,10816,346304,4045058,IV,Federal Tax Deposits,Classification,10,2022,4,2022,3,09,23
2022-09-23,Inter-agency Transfers,null,17,9220,122256,IV,Federal Tax Deposits,Classification,12,2022,4,2022,3,09,23
2022-09-22,Withheld Income and Employment Taxes,null,2858,183047,3058665,IV,Federal Tax Deposits,Classification,1,2022,4,2022,3,09,22
2022-09-22,Individual Income Taxes,null,469,51787,578090,IV,Federal Tax Deposits,Classification,2,2022,4,2022,3,09,22
2022-09-22,Railroad Retirement Taxes,null,2,386,5975,IV,Federal Tax Deposits,Classification,3,2022,4,2022,3,09,22
2022-09-22,Excise Taxes,null,57,4315,81822,IV,Federal Tax Deposits,Classification,4,2022,4,2022,3,09,22
2022-09-22,Corporation Income Taxes,null,232,106330,453712,IV,Federal Tax Deposits,Classification,5,2022,4,2022,3,09,22
2022-09-22,Federal Unemployment Taxes,null,1,21,7041,IV,Federal Tax Deposits,Classification,6,2022,4,2022,3,09,22
2022-09-22,Estate and Gift Taxes & Misc IRS Rcpts.,null,105,477,4431,IV,Federal Tax Deposits,Classification,7,2022,4,2022,3,09,22
2022-09-22,Cash Federal Tax Deposits,Direct,114,1672,33257,IV,Federal Tax Deposits,Classification,9,2022,4,2022,3,09,22
2022-09-22,Cash Federal Tax Deposits,Through Depositaries,3361,335489,4034243,IV,Federal Tax Deposits,Classification,10,2022,4,2022,3,09,22
2022-09-22,Inter-agency Transfers,null,250,9203,122239,IV,Federal Tax Deposits,Classification,12,2022,4,2022,3,09,22
2022-09-21,Withheld Income and Employment Taxes,null,11587,180189,3055808,IV,Federal Tax Deposits,Classification,1,2022,4,2022,3,09,21
2022-09-21,Individual Income Taxes,null,430,51317,577621,IV,Federal Tax Deposits,Classification,2,2022,4,2022,3,09,21
2022-09-21,Railroad Retirement Taxes,null,8,384,5973,IV,Federal Tax Deposits,Classification,3,2022,4,2022,3,09,21
2022-09-21,Excise Taxes,null,67,4258,81765,IV,Federal Tax Deposits,Classification,4,2022,4,2022,3,09,21
2022-09-21,Corporation Income Taxes,null,197,106098,453480,IV,Federal Tax Deposits,Classification,5,2022,4,2022,3,09,21
2022-09-21,Federal Unemployment Taxes,null,2,20,7040,IV,Federal Tax Deposits,Classification,6,2022,4,2022,3,09,21
2022-09-21,Estate and Gift Taxes & Misc IRS Rcpts.,null,1,372,4326,IV,Federal Tax Deposits,Classification,7,2022,4,2022,3,09,21
2022-09-21,Cash Federal Tax Deposits,Direct,131,1558,33143,IV,Federal Tax Deposits,Classification,9,2022,4,2022,3,09,21
2022-09-21,Cash Federal Tax Deposits,Through Depositaries,12149,332128,4030882,IV,Federal Tax Deposits,Classification,10,2022,4,2022,3,09,21
2022-09-21,Inter-agency Transfers,null,12,8952,121989,IV,Federal Tax Deposits,Classification,12,2022,4,2022,3,09,21
2022-09-20,Withheld Income and Employment Taxes,null,2780,168602,3044220,IV,Federal Tax Deposits,Classification,1,2022,4,2022,3,09,20
2022-09-20,Individual Income Taxes,null,707,50887,577191,IV,Federal Tax Deposits,Classification,2,2022,4,2022,3,09,20
2022-09-20,Railroad Retirement Taxes,null,2,376,5965,IV,Federal Tax Deposits,Classification,3,2022,4,2022,3,09,20
2022-09-20,Excise Taxes,null,27,4191,81698,IV,Federal Tax Deposits,Classification,4,2022,4,2022,3,09,20
2022-09-20,Corporation Income Taxes,null,235,105901,453284,IV,Federal Tax Deposits,Classification,5,2022,4,2022,3,09,20
2022-09-20,Federal Unemployment Taxes,null,2,19,7039,IV,Federal Tax Deposits,Classification,6,2022,4,2022,3,09,20
2022-09-20,Estate and Gift Taxes & Misc IRS Rcpts.,null,1,371,4325,IV,Federal Tax Deposits,Classification,7,2022,4,2022,3,09,20
2022-09-20,Cash Federal Tax Deposits,Direct,52,1428,33012,IV,Federal Tax Deposits,Classification,9,2022,4,2022,3,09,20
2022-09-20,Cash Federal Tax Deposits,Through Depositaries,3690,319979,4018733,IV,Federal Tax Deposits,Classification,10,2022,4,2022,3,09,20
2022-09-20,Inter-agency Transfers,null,11,8940,121976,IV,Federal Tax Deposits,Classification,12,2022,4,2022,3,09,20
2022-09-19,Withheld Income and Employment Taxes,null,21545,165822,3041441,IV,Federal Tax Deposits,Classification,1,2022,4,2022,3,09,19
2022-09-19,Individual Income Taxes,null,1265,50181,576484,IV,Federal Tax Deposits,Classification,2,2022,4,2022,3,09,19
2022-09-19,Railroad Retirement Taxes,null,43,374,5963,IV,Federal Tax Deposits,Classification,3,2022,4,2022,3,09,19
2022-09-19,Excise Taxes,null,19,4163,81671,IV,Federal Tax Deposits,Classification,4,2022,4,2022,3,09,19
2022-09-19,Corporation Income Taxes,null,49,105666,453048,IV,Federal Tax Deposits,Classification,5,2022,4,2022,3,09,19
2022-09-19,Federal Unemployment Taxes,null,1,17,7037,IV,Federal Tax Deposits,Classification,6,2022,4,2022,3,09,19
2022-09-19,Estate and Gift Taxes & Misc IRS Rcpts.,null,77,370,4324,IV,Federal Tax Deposits,Classification,7,2022,4,2022,3,09,19
2022-09-19,Cash Federal Tax Deposits,Direct,33,1375,32960,IV,Federal Tax Deposits,Classification,9,2022,4,2022,3,09,19
2022-09-19,Cash Federal Tax Deposits,Through Depositaries,22167,316289,4015043,IV,Federal Tax Deposits,Classification,10,2022,4,2022,3,09,19
2022-09-19,Inter-agency Transfers,null,799,8929,121965,IV,Federal Tax Deposits,Classification,12,2022,4,2022,3,09,19
2022-09-16,Withheld Income and Employment Taxes,null,21288,144276,3019895,IV,Federal Tax Deposits,Classification,1,2022,4,2022,3,09,16
2022-09-16,Individual Income Taxes,null,5160,48915,575219,IV,Federal Tax Deposits,Classification,2,2022,4,2022,3,09,16
2022-09-16,Railroad Retirement Taxes,null,29,330,5919,IV,Federal Tax Deposits,Classification,3,2022,4,2022,3,09,16
2022-09-16,Excise Taxes,null,37,4144,81652,IV,Federal Tax Deposits,Classification,4,2022,4,2022,3,09,16
2022-09-16,Corporation Income Taxes,null,1175,105617,453000,IV,Federal Tax Deposits,Classification,5,2022,4,2022,3,09,16
2022-09-16,Federal Unemployment Taxes,null,1,16,7036,IV,Federal Tax Deposits,Classification,6,2022,4,2022,3,09,16
2022-09-16,Estate and Gift Taxes & Misc IRS Rcpts.,null,236,294,4248,IV,Federal Tax Deposits,Classification,7,2022,4,2022,3,09,16
2022-09-16,Cash Federal Tax Deposits,Direct,46,1343,32927,IV,Federal Tax Deposits,Classification,9,2022,4,2022,3,09,16
2022-09-16,Cash Federal Tax Deposits,Through Depositaries,26867,294122,3992876,IV,Federal Tax Deposits,Classification,10,2022,4,2022,3,09,16
2022-09-16,Inter-agency Transfers,null,1013,8130,121166,IV,Federal Tax Deposits,Classification,12,2022,4,2022,3,09,16
2022-09-15,Withheld Income and Employment Taxes,null,8113,122989,2998608,IV,Federal Tax Deposits,Classification,1,2022,4,2022,3,09,15
2022-09-15,Individual Income Taxes,null,18906,43756,570059,IV,Federal Tax Deposits,Classification,2,2022,4,2022,3,09,15
2022-09-15,Railroad Retirement Taxes,null,4,301,5890,IV,Federal Tax Deposits,Classification,3,2022,4,2022,3,09,15
2022-09-15,Excise Taxes,null,141,4108,81615,IV,Federal Tax Deposits,Classification,4,2022,4,2022,3,09,15
2022-09-15,Corporation Income Taxes,null,63711,104442,451824,IV,Federal Tax Deposits,Classification,5,2022,4,2022,3,09,15
2022-09-15,Federal Unemployment Taxes,null,2,15,7035,IV,Federal Tax Deposits,Classification,6,2022,4,2022,3,09,15
2022-09-15,Estate and Gift Taxes & Misc IRS Rcpts.,null,13,58,4012,IV,Federal Tax Deposits,Classification,7,2022,4,2022,3,09,15
2022-09-15,Cash Federal Tax Deposits,Direct,85,1296,32881,IV,Federal Tax Deposits,Classification,9,2022,4,2022,3,09,15
2022-09-15,Cash Federal Tax Deposits,Through Depositaries,90098,267255,3966009,IV,Federal Tax Deposits,Classification,10,2022,4,2022,3,09,15
2022-09-15,Inter-agency Transfers,null,707,7117,120153,IV,Federal Tax Deposits,Classification,12,2022,4,2022,3,09,15
2022-09-14,Withheld Income and Employment Taxes,null,11853,114875,2990494,IV,Federal Tax Deposits,Classification,1,2022,4,2022,3,09,14
2022-09-14,Individual Income Taxes,null,8347,24849,551153,IV,Federal Tax Deposits,Classification,2,2022,4,2022,3,09,14
2022-09-14,Railroad Retirement Taxes,null,83,297,5886,IV,Federal Tax Deposits,Classification,3,2022,4,2022,3,09,14
2022-09-14,Excise Taxes,null,2439,3967,81474,IV,Federal Tax Deposits,Classification,4,2022,4,2022,3,09,14
2022-09-14,Corporation Income Taxes,null,22084,40731,388114,IV,Federal Tax Deposits,Classification,5,2022,4,2022,3,09,14
2022-09-14,Federal Unemployment Taxes,null,2,13,7033,IV,Federal Tax Deposits,Classification,6,2022,4,2022,3,09,14
2022-09-14,Estate and Gift Taxes & Misc IRS Rcpts.,null,2,44,3998,IV,Federal Tax Deposits,Classification,7,2022,4,2022,3,09,14
2022-09-14,Cash Federal Tax Deposits,Direct,763,1211,32796,IV,Federal Tax Deposits,Classification,9,2022,4,2022,3,09,14
2022-09-14,Cash Federal Tax Deposits,Through Depositaries,44036,177156,3875911,IV,Federal Tax Deposits,Classification,10,2022,4,2022,3,09,14
2022-09-14,Inter-agency Transfers,null,10,6410,119446,IV,Federal Tax Deposits,Classification,12,2022,4,2022,3,09,14
2022-09-13,Withheld Income and Employment Taxes,null,2304,103023,2978642,IV,Federal Tax Deposits,Classification,1,2022,4,2022,3,09,13
2022-09-13,Individual Income Taxes,null,5663,16502,542806,IV,Federal Tax Deposits,Classification,2,2022,4,2022,3,09,13
2022-09-13,Railroad Retirement Taxes,null,5,214,5803,IV,Federal Tax Deposits,Classification,3,2022,4,2022,3,09,13
2022-09-13,Excise Taxes,null,552,1528,79036,IV,Federal Tax Deposits,Classification,4,2022,4,2022,3,09,13
2022-09-13,Corporation Income Taxes,null,8806,18648,366030,IV,Federal Tax Deposits,Classification,5,2022,4,2022,3,09,13
2022-09-13,Federal Unemployment Taxes,null,1,11,7031,IV,Federal Tax Deposits,Classification,6,2022,4,2022,3,09,13
2022-09-13,Estate and Gift Taxes & Misc IRS Rcpts.,null,1,42,3996,IV,Federal Tax Deposits,Classification,7,2022,4,2022,3,09,13
2022-09-13,Cash Federal Tax Deposits,Direct,135,448,32033,IV,Federal Tax Deposits,Classification,9,2022,4,2022,3,09,13
2022-09-13,Cash Federal Tax Deposits,Through Depositaries,17176,133121,3831875,IV,Federal Tax Deposits,Classification,10,2022,4,2022,3,09,13
2022-09-13,Inter-agency Transfers,null,19,6400,119436,IV,Federal Tax Deposits,Classification,12,2022,4,2022,3,09,13
2022-09-12,Withheld Income and Employment Taxes,null,18979,100719,2976338,IV,Federal Tax Deposits,Classification,1,2022,4,2022,3,09,12
2022-09-12,Individual Income Taxes,null,4260,10840,537144,IV,Federal Tax Deposits,Classification,2,2022,4,2022,3,09,12
2022-09-12,Railroad Retirement Taxes,null,71,209,5798,IV,Federal Tax Deposits,Classification,3,2022,4,2022,3,09,12
2022-09-12,Excise Taxes,null,573,976,78484,IV,Federal Tax Deposits,Classification,4,2022,4,2022,3,09,12
2022-09-12,Corporation Income Taxes,null,4604,9842,357224,IV,Federal Tax Deposits,Classification,5,2022,4,2022,3,09,12
2022-09-12,Federal Unemployment Taxes,null,2,11,7031,IV,Federal Tax Deposits,Classification,6,2022,4,2022,3,09,12
2022-09-12,Estate and Gift Taxes & Misc IRS Rcpts.,null,6,41,3995,IV,Federal Tax Deposits,Classification,7,2022,4,2022,3,09,12
2022-09-12,Cash Federal Tax Deposits,Direct,38,313,31898,IV,Federal Tax Deposits,Classification,9,2022,4,2022,3,09,12
2022-09-12,Cash Federal Tax Deposits,Through Depositaries,27984,115944,3814699,IV,Federal Tax Deposits,Classification,10,2022,4,2022,3,09,12
2022-09-12,Inter-agency Transfers,null,473,6380,119417,IV,Federal Tax Deposits,Classification,12,2022,4,2022,3,09,12
2022-09-09,Withheld Income and Employment Taxes,null,7107,81740,2957359,IV,Federal Tax Deposits,Classification,1,2022,4,2022,3,09,09
2022-09-09,Individual Income Taxes,null,1748,6580,532884,IV,Federal Tax Deposits,Classification,2,2022,4,2022,3,09,09
2022-09-09,Railroad Retirement Taxes,null,53,138,5727,IV,Federal Tax Deposits,Classification,3,2022,4,2022,3,09,09
2022-09-09,Excise Taxes,null,119,403,77911,IV,Federal Tax Deposits,Classification,4,2022,4,2022,3,09,09
2022-09-09,Corporation Income Taxes,null,3328,5238,352620,IV,Federal Tax Deposits,Classification,5,2022,4,2022,3,09,09
2022-09-09,Federal Unemployment Taxes,null,2,9,7029,IV,Federal Tax Deposits,Classification,6,2022,4,2022,3,09,09
2022-09-09,Estate and Gift Taxes & Misc IRS Rcpts.,null,12,35,3989,IV,Federal Tax Deposits,Classification,7,2022,4,2022,3,09,09
2022-09-09,Cash Federal Tax Deposits,Direct,45,275,31860,IV,Federal Tax Deposits,Classification,9,2022,4,2022,3,09,09
2022-09-09,Cash Federal Tax Deposits,Through Depositaries,12287,87960,3786714,IV,Federal Tax Deposits,Classification,10,2022,4,2022,3,09,09
2022-09-09,Inter-agency Transfers,null,35,5907,118944,IV,Federal Tax Deposits,Classification,12,2022,4,2022,3,09,09
2022-09-08,Withheld Income and Employment Taxes,null,11573,74634,2950252,IV,Federal Tax Deposits,Classification,1,2022,4,2022,3,09,08
2022-09-08,Individual Income Taxes,null,1225,4831,531135,IV,Federal Tax Deposits,Classification,2,2022,4,2022,3,09,08
2022-09-08,Railroad Retirement Taxes,null,1,86,5675,IV,Federal Tax Deposits,Classification,3,2022,4,2022,3,09,08
2022-09-08,Excise Taxes,null,78,284,77792,IV,Federal Tax Deposits,Classification,4,2022,4,2022,3,09,08
2022-09-08,Corporation Income Taxes,null,833,1910,349292,IV,Federal Tax Deposits,Classification,5,2022,4,2022,3,09,08
2022-09-08,Federal Unemployment Taxes,null,1,7,7027,IV,Federal Tax Deposits,Classification,6,2022,4,2022,3,09,08
2022-09-08,Estate and Gift Taxes & Misc IRS Rcpts.,null,5,23,3977,IV,Federal Tax Deposits,Classification,7,2022,4,2022,3,09,08
2022-09-08,Cash Federal Tax Deposits,Direct,98,230,31815,IV,Federal Tax Deposits,Classification,9,2022,4,2022,3,09,08
2022-09-08,Cash Federal Tax Deposits,Through Depositaries,13366,75673,3774427,IV,Federal Tax Deposits,Classification,10,2022,4,2022,3,09,08
2022-09-08,Inter-agency Transfers,null,253,5873,118909,IV,Federal Tax Deposits,Classification,12,2022,4,2022,3,09,08
2022-09-07,Withheld Income and Employment Taxes,null,4846,63061,2938679,IV,Federal Tax Deposits,Classification,1,2022,4,2022,3,09,07
2022-09-07,Individual Income Taxes,null,1037,3607,529910,IV,Federal Tax Deposits,Classification,2,2022,4,2022,3,09,07
2022-09-07,Railroad Retirement Taxes,null,4,84,5673,IV,Federal Tax Deposits,Classification,3,2022,4,2022,3,09,07
2022-09-07,Excise Taxes,null,36,206,77714,IV,Federal Tax Deposits,Classification,4,2022,4,2022,3,09,07
2022-09-07,Corporation Income Taxes,null,242,1077,348460,IV,Federal Tax Deposits,Classification,5,2022,4,2022,3,09,07
2022-09-07,Federal Unemployment Taxes,null,1,6,7026,IV,Federal Tax Deposits,Classification,6,2022,4,2022,3,09,07
2022-09-07,Estate and Gift Taxes & Misc IRS Rcpts.,null,2,18,3972,IV,Federal Tax Deposits,Classification,7,2022,4,2022,3,09,07
2022-09-07,Cash Federal Tax Deposits,Direct,32,132,31717,IV,Federal Tax Deposits,Classification,9,2022,4,2022,3,09,07
2022-09-07,Cash Federal Tax Deposits,Through Depositaries,6114,62308,3761062,IV,Federal Tax Deposits,Classification,10,2022,4,2022,3,09,07
2022-09-07,Inter-agency Transfers,null,24,5620,118656,IV,Federal Tax Deposits,Classification,12,2022,4,2022,3,09,07
2022-09-06,Withheld Income and Employment Taxes,null,21722,58215,2933833,IV,Federal Tax Deposits,Classification,1,2022,4,2022,3,09,06
2022-09-06,Individual Income Taxes,null,1352,2569,528873,IV,Federal Tax Deposits,Classification,2,2022,4,2022,3,09,06
2022-09-06,Railroad Retirement Taxes,null,29,80,5669,IV,Federal Tax Deposits,Classification,3,2022,4,2022,3,09,06
2022-09-06,Excise Taxes,null,31,170,77677,IV,Federal Tax Deposits,Classification,4,2022,4,2022,3,09,06
2022-09-06,Corporation Income Taxes,null,277,835,348218,IV,Federal Tax Deposits,Classification,5,2022,4,2022,3,09,06
2022-09-06,Federal Unemployment Taxes,null,2,5,7025,IV,Federal Tax Deposits,Classification,6,2022,4,2022,3,09,06
2022-09-06,Estate and Gift Taxes & Misc IRS Rcpts.,null,10,16,3970,IV,Federal Tax Deposits,Classification,7,2022,4,2022,3,09,06
2022-09-06,Cash Federal Tax Deposits,Direct,24,101,31685,IV,Federal Tax Deposits,Classification,9,2022,4,2022,3,09,06
2022-09-06,Cash Federal Tax Deposits,Through Depositaries,22575,56193,3754948,IV,Federal Tax Deposits,Classification,10,2022,4,2022,3,09,06
2022-09-06,Inter-agency Transfers,null,823,5596,118632,IV,Federal Tax Deposits,Classification,12,2022,4,2022,3,09,06
2022-09-02,Withheld Income and Employment Taxes,null,15711,36493,2912111,IV,Federal Tax Deposits,Classification,1,2022,4,2022,3,09,02
2022-09-02,Individual Income Taxes,null,586,1217,527521,IV,Federal Tax Deposits,Classification,2,2022,4,2022,3,09,02
2022-09-02,Railroad Retirement Taxes,null,44,51,5640,IV,Federal Tax Deposits,Classification,3,2022,4,2022,3,09,02
2022-09-02,Excise Taxes,null,78,139,77646,IV,Federal Tax Deposits,Classification,4,2022,4,2022,3,09,02
2022-09-02,Corporation Income Taxes,null,314,558,347940,IV,Federal Tax Deposits,Classification,5,2022,4,2022,3,09,02
2022-09-02,Federal Unemployment Taxes,null,2,3,7023,IV,Federal Tax Deposits,Classification,6,2022,4,2022,3,09,02
2022-09-02,Estate and Gift Taxes & Misc IRS Rcpts.,null,4,6,3960,IV,Federal Tax Deposits,Classification,7,2022,4,2022,3,09,02
2022-09-02,Cash Federal Tax Deposits,Direct,32,77,31662,IV,Federal Tax Deposits,Classification,9,2022,4,2022,3,09,02
2022-09-02,Cash Federal Tax Deposits,Through Depositaries,13173,33618,3732372,IV,Federal Tax Deposits,Classification,10,2022,4,2022,3,09,02
2022-09-02,Inter-agency Transfers,null,3533,4773,117809,IV,Federal Tax Deposits,Classification,12,2022,4,2022,3,09,02
2022-09-01,Withheld Income and Employment Taxes,null,20782,20782,2896401,IV,Federal Tax Deposits,Classification,1,2022,4,2022,3,09,01
2022-09-01,Individual Income Taxes,null,631,631,526935,IV,Federal Tax Deposits,Classification,2,2022,4,2022,3,09,01
2022-09-01,Railroad Retirement Taxes,null,8,8,5597,IV,Federal Tax Deposits,Classification,3,2022,4,2022,3,09,01
2022-09-01,Excise Taxes,null,61,61,77569,IV,Federal Tax Deposits,Classification,4,2022,4,2022,3,09,01
2022-09-01,Corporation Income Taxes,null,244,244,347626,IV,Federal Tax Deposits,Classification,5,2022,4,2022,3,09,01
2022-09-01,Federal Unemployment Taxes,null,1,1,7021,IV,Federal Tax Deposits,Classification,6,2022,4,2022,3,09,01
2022-09-01,Estate and Gift Taxes & Misc IRS Rcpts.,null,2,2,3956,IV,Federal Tax Deposits,Classification,7,2022,4,2022,3,09,01
2022-09-01,Cash Federal Tax Deposits,Direct,45,45,31630,IV,Federal Tax Deposits,Classification,9,2022,4,2022,3,09,01
2022-09-01,Cash Federal Tax Deposits,Through Depositaries,20445,20445,3719200,IV,Federal Tax Deposits,Classification,10,2022,4,2022,3,09,01
2022-09-01,Inter-agency Transfers,null,1239,1239,114275,IV,Federal Tax Deposits,Classification,12,2022,4,2022,3,09,01
2022-08-31,Withheld Income and Employment Taxes,null,11764,253447,2875619,IV,Federal Tax Deposits,Classification,1,2022,4,2022,3,08,31
2022-08-31,Individual Income Taxes,null,471,8031,526304,IV,Federal Tax Deposits,Classification,2,2022,4,2022,3,08,31
2022-08-31,Railroad Retirement Taxes,null,19,453,5589,IV,Federal Tax Deposits,Classification,3,2022,4,2022,3,08,31
2022-08-31,Excise Taxes,null,112,8420,77508,IV,Federal Tax Deposits,Classification,4,2022,4,2022,3,08,31
2022-08-31,Corporation Income Taxes,null,177,5988,347382,IV,Federal Tax Deposits,Classification,5,2022,4,2022,3,08,31
2022-08-31,Federal Unemployment Taxes,null,2,624,7020,IV,Federal Tax Deposits,Classification,6,2022,4,2022,3,08,31
2022-08-31,Estate and Gift Taxes & Misc IRS Rcpts.,null,6,157,3954,IV,Federal Tax Deposits,Classification,7,2022,4,2022,3,08,31
