Record Date,Federal Tax Deposit Type,Federal Tax Deposit Type Description,Federal Tax Deposits Today,Federal Tax Deposits Month to Date,Federal Tax Deposits Fiscal Year to Date,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2023-02-07,Withheld Income and Employment Taxes,null,3079,85171,1197756,IV,Federal Tax Deposits,Classification,1,2023,2,2023,1,02,07
2023-02-07,Individual Income Taxes,null,314,1659,109019,IV,Federal Tax Deposits,Classification,2,2023,2,2023,1,02,07
2023-02-07,Railroad Retirement Taxes,null,12,169,2788,IV,Federal Tax Deposits,Classification,3,2023,2,2023,1,02,07
2023-02-07,Excise Taxes,null,39,155,27402,IV,Federal Tax Deposits,Classification,4,2023,2,2023,1,02,07
2023-02-07,Corporation Income Taxes,null,65,529,121632,IV,Federal Tax Deposits,Classification,5,2023,2,2023,1,02,07
2023-02-07,Federal Unemployment Taxes,null,8,59,2797,IV,Federal Tax Deposits,Classification,6,2023,2,2023,1,02,07
2023-02-07,Estate and Gift Taxes & Misc IRS Rcpts.,null,0,18,1431,IV,Federal Tax Deposits,Classification,7,2023,2,2023,1,02,07
2023-02-07,Cash Federal Tax Deposits,Direct,107,362,12698,IV,Federal Tax Deposits,Classification,9,2023,2,2023,1,02,07
2023-02-07,Cash Federal Tax Deposits,Through Depositaries,3401,81424,1402922,IV,Federal Tax Deposits,Classification,10,2023,2,2023,1,02,07
2023-02-07,Inter-agency Transfers,null,9,5973,47206,IV,Federal Tax Deposits,Classification,12,2023,2,2023,1,02,07
2023-02-06,Withheld Income and Employment Taxes,null,26374,82093,1194677,IV,Federal Tax Deposits,Classification,1,2023,2,2023,1,02,06
2023-02-06,Individual Income Taxes,null,360,1345,108706,IV,Federal Tax Deposits,Classification,2,2023,2,2023,1,02,06
2023-02-06,Railroad Retirement Taxes,null,50,157,2776,IV,Federal Tax Deposits,Classification,3,2023,2,2023,1,02,06
2023-02-06,Excise Taxes,null,47,115,27363,IV,Federal Tax Deposits,Classification,4,2023,2,2023,1,02,06
2023-02-06,Corporation Income Taxes,null,101,464,121567,IV,Federal Tax Deposits,Classification,5,2023,2,2023,1,02,06
2023-02-06,Federal Unemployment Taxes,null,8,50,2789,IV,Federal Tax Deposits,Classification,6,2023,2,2023,1,02,06
2023-02-06,Estate and Gift Taxes & Misc IRS Rcpts.,null,2,18,1431,IV,Federal Tax Deposits,Classification,7,2023,2,2023,1,02,06
2023-02-06,Cash Federal Tax Deposits,Direct,62,255,12591,IV,Federal Tax Deposits,Classification,9,2023,2,2023,1,02,06
2023-02-06,Cash Federal Tax Deposits,Through Depositaries,25815,78022,1399521,IV,Federal Tax Deposits,Classification,10,2023,2,2023,1,02,06
2023-02-06,Inter-agency Transfers,null,1063,5964,47197,IV,Federal Tax Deposits,Classification,12,2023,2,2023,1,02,06
2023-02-03,Withheld Income and Employment Taxes,null,14607,55719,1168304,IV,Federal Tax Deposits,Classification,1,2023,2,2023,1,02,03
2023-02-03,Individual Income Taxes,null,279,985,108346,IV,Federal Tax Deposits,Classification,2,2023,2,2023,1,02,03
2023-02-03,Railroad Retirement Taxes,null,16,107,2726,IV,Federal Tax Deposits,Classification,3,2023,2,2023,1,02,03
2023-02-03,Excise Taxes,null,24,68,27316,IV,Federal Tax Deposits,Classification,4,2023,2,2023,1,02,03
2023-02-03,Corporation Income Taxes,null,158,363,121467,IV,Federal Tax Deposits,Classification,5,2023,2,2023,1,02,03
2023-02-03,Federal Unemployment Taxes,null,8,43,2781,IV,Federal Tax Deposits,Classification,6,2023,2,2023,1,02,03
2023-02-03,Estate and Gift Taxes & Misc IRS Rcpts.,null,4,16,1429,IV,Federal Tax Deposits,Classification,7,2023,2,2023,1,02,03
2023-02-03,Cash Federal Tax Deposits,Direct,50,194,12530,IV,Federal Tax Deposits,Classification,9,2023,2,2023,1,02,03
2023-02-03,Cash Federal Tax Deposits,Through Depositaries,11643,52207,1373706,IV,Federal Tax Deposits,Classification,10,2023,2,2023,1,02,03
2023-02-03,Inter-agency Transfers,null,3403,4900,46133,IV,Federal Tax Deposits,Classification,12,2023,2,2023,1,02,03
2023-02-02,Withheld Income and Employment Taxes,null,7924,41112,1153697,IV,Federal Tax Deposits,Classification,1,2023,2,2023,1,02,02
2023-02-02,Individual Income Taxes,null,313,706,108067,IV,Federal Tax Deposits,Classification,2,2023,2,2023,1,02,02
2023-02-02,Railroad Retirement Taxes,null,25,90,2709,IV,Federal Tax Deposits,Classification,3,2023,2,2023,1,02,02
2023-02-02,Excise Taxes,null,27,45,27293,IV,Federal Tax Deposits,Classification,4,2023,2,2023,1,02,02
2023-02-02,Corporation Income Taxes,null,128,205,121308,IV,Federal Tax Deposits,Classification,5,2023,2,2023,1,02,02
2023-02-02,Federal Unemployment Taxes,null,7,34,2773,IV,Federal Tax Deposits,Classification,6,2023,2,2023,1,02,02
2023-02-02,Estate and Gift Taxes & Misc IRS Rcpts.,null,10,12,1425,IV,Federal Tax Deposits,Classification,7,2023,2,2023,1,02,02
2023-02-02,Cash Federal Tax Deposits,Direct,70,143,12479,IV,Federal Tax Deposits,Classification,9,2023,2,2023,1,02,02
2023-02-02,Cash Federal Tax Deposits,Through Depositaries,7850,40564,1362062,IV,Federal Tax Deposits,Classification,10,2023,2,2023,1,02,02
2023-02-02,Inter-agency Transfers,null,513,1498,42731,IV,Federal Tax Deposits,Classification,12,2023,2,2023,1,02,02
2023-02-01,Withheld Income and Employment Taxes,null,33189,33189,1145774,IV,Federal Tax Deposits,Classification,1,2023,2,2023,1,02,01
2023-02-01,Individual Income Taxes,null,393,393,107754,IV,Federal Tax Deposits,Classification,2,2023,2,2023,1,02,01
2023-02-01,Railroad Retirement Taxes,null,65,65,2684,IV,Federal Tax Deposits,Classification,3,2023,2,2023,1,02,01
2023-02-01,Excise Taxes,null,18,18,27266,IV,Federal Tax Deposits,Classification,4,2023,2,2023,1,02,01
2023-02-01,Corporation Income Taxes,null,77,77,121181,IV,Federal Tax Deposits,Classification,5,2023,2,2023,1,02,01
2023-02-01,Federal Unemployment Taxes,null,28,28,2766,IV,Federal Tax Deposits,Classification,6,2023,2,2023,1,02,01
2023-02-01,Estate and Gift Taxes & Misc IRS Rcpts.,null,2,2,1415,IV,Federal Tax Deposits,Classification,7,2023,2,2023,1,02,01
2023-02-01,Cash Federal Tax Deposits,Direct,74,74,12410,IV,Federal Tax Deposits,Classification,9,2023,2,2023,1,02,01
2023-02-01,Cash Federal Tax Deposits,Through Depositaries,32714,32714,1354212,IV,Federal Tax Deposits,Classification,10,2023,2,2023,1,02,01
2023-02-01,Inter-agency Transfers,null,985,985,42218,IV,Federal Tax Deposits,Classification,12,2023,2,2023,1,02,01
2023-01-31,Corporation Income Taxes,null,370,14580,121104,IV,Federal Tax Deposits,Classification,5,2023,2,2023,1,01,31
2023-01-31,Withheld Income and Employment Taxes,null,6375,288042,1112585,IV,Federal Tax Deposits,Classification,1,2023,2,2023,1,01,31
2023-01-31,Individual Income Taxes,null,366,61329,107361,IV,Federal Tax Deposits,Classification,2,2023,2,2023,1,01,31
2023-01-31,Railroad Retirement Taxes,null,119,860,2619,IV,Federal Tax Deposits,Classification,3,2023,2,2023,1,01,31
2023-01-31,Excise Taxes,null,328,6919,27248,IV,Federal Tax Deposits,Classification,4,2023,2,2023,1,01,31
2023-01-31,Federal Unemployment Taxes,null,1418,1896,2739,IV,Federal Tax Deposits,Classification,6,2023,2,2023,1,01,31
2023-01-31,Estate and Gift Taxes & Misc IRS Rcpts.,null,2,258,1413,IV,Federal Tax Deposits,Classification,7,2023,2,2023,1,01,31
2023-01-31,Cash Federal Tax Deposits,Direct,194,3449,12336,IV,Federal Tax Deposits,Classification,9,2023,2,2023,1,01,31
2023-01-31,Cash Federal Tax Deposits,Through Depositaries,8366,360166,1321499,IV,Federal Tax Deposits,Classification,10,2023,2,2023,1,01,31
2023-01-31,Inter-agency Transfers,null,418,10269,41233,IV,Federal Tax Deposits,Classification,12,2023,2,2023,1,01,31
2023-01-30,Withheld Income and Employment Taxes,null,21545,281667,1106210,IV,Federal Tax Deposits,Classification,1,2023,2,2023,1,01,30
2023-01-30,Individual Income Taxes,null,517,60963,106995,IV,Federal Tax Deposits,Classification,2,2023,2,2023,1,01,30
2023-01-30,Railroad Retirement Taxes,null,41,741,2500,IV,Federal Tax Deposits,Classification,3,2023,2,2023,1,01,30
2023-01-30,Excise Taxes,null,156,6591,26920,IV,Federal Tax Deposits,Classification,4,2023,2,2023,1,01,30
2023-01-30,Corporation Income Taxes,null,92,14210,120734,IV,Federal Tax Deposits,Classification,5,2023,2,2023,1,01,30
2023-01-30,Federal Unemployment Taxes,null,87,478,1320,IV,Federal Tax Deposits,Classification,6,2023,2,2023,1,01,30
2023-01-30,Estate and Gift Taxes & Misc IRS Rcpts.,null,3,257,1411,IV,Federal Tax Deposits,Classification,7,2023,2,2023,1,01,30
2023-01-30,Cash Federal Tax Deposits,Direct,94,3255,12142,IV,Federal Tax Deposits,Classification,9,2023,2,2023,1,01,30
2023-01-30,Cash Federal Tax Deposits,Through Depositaries,22336,351800,1313133,IV,Federal Tax Deposits,Classification,10,2023,2,2023,1,01,30
2023-01-30,Inter-agency Transfers,null,12,9851,40815,IV,Federal Tax Deposits,Classification,12,2023,2,2023,1,01,30
2023-01-27,Withheld Income and Employment Taxes,null,8188,260122,1084664,IV,Federal Tax Deposits,Classification,1,2023,2,2023,1,01,27
2023-01-27,Individual Income Taxes,null,309,60445,106477,IV,Federal Tax Deposits,Classification,2,2023,2,2023,1,01,27
2023-01-27,Railroad Retirement Taxes,null,26,700,2459,IV,Federal Tax Deposits,Classification,3,2023,2,2023,1,01,27
2023-01-27,Excise Taxes,null,1837,6435,26764,IV,Federal Tax Deposits,Classification,4,2023,2,2023,1,01,27
2023-01-27,Corporation Income Taxes,null,141,14118,120642,IV,Federal Tax Deposits,Classification,5,2023,2,2023,1,01,27
2023-01-27,Federal Unemployment Taxes,null,46,391,1233,IV,Federal Tax Deposits,Classification,6,2023,2,2023,1,01,27
2023-01-27,Estate and Gift Taxes & Misc IRS Rcpts.,null,1,254,1409,IV,Federal Tax Deposits,Classification,7,2023,2,2023,1,01,27
2023-01-27,Cash Federal Tax Deposits,Direct,432,3161,12048,IV,Federal Tax Deposits,Classification,9,2023,2,2023,1,01,27
2023-01-27,Cash Federal Tax Deposits,Through Depositaries,10088,329464,1290796,IV,Federal Tax Deposits,Classification,10,2023,2,2023,1,01,27
2023-01-27,Inter-agency Transfers,null,29,9840,40804,IV,Federal Tax Deposits,Classification,12,2023,2,2023,1,01,27
2023-01-26,Withheld Income and Employment Taxes,null,4285,251934,1076476,IV,Federal Tax Deposits,Classification,1,2023,2,2023,1,01,26
2023-01-26,Individual Income Taxes,null,324,60136,106168,IV,Federal Tax Deposits,Classification,2,2023,2,2023,1,01,26
2023-01-26,Railroad Retirement Taxes,null,44,673,2433,IV,Federal Tax Deposits,Classification,3,2023,2,2023,1,01,26
2023-01-26,Excise Taxes,null,479,4598,24927,IV,Federal Tax Deposits,Classification,4,2023,2,2023,1,01,26
2023-01-26,Corporation Income Taxes,null,142,13977,120500,IV,Federal Tax Deposits,Classification,5,2023,2,2023,1,01,26
2023-01-26,Federal Unemployment Taxes,null,22,345,1187,IV,Federal Tax Deposits,Classification,6,2023,2,2023,1,01,26
2023-01-26,Estate and Gift Taxes & Misc IRS Rcpts.,null,2,253,1408,IV,Federal Tax Deposits,Classification,7,2023,2,2023,1,01,26
2023-01-26,Cash Federal Tax Deposits,Direct,80,2728,11616,IV,Federal Tax Deposits,Classification,9,2023,2,2023,1,01,26
2023-01-26,Cash Federal Tax Deposits,Through Depositaries,4679,319377,1280709,IV,Federal Tax Deposits,Classification,10,2023,2,2023,1,01,26
2023-01-26,Inter-agency Transfers,null,538,9811,40775,IV,Federal Tax Deposits,Classification,12,2023,2,2023,1,01,26
2023-01-25,Withheld Income and Employment Taxes,null,12682,247648,1072191,IV,Federal Tax Deposits,Classification,1,2023,2,2023,1,01,25
2023-01-25,Individual Income Taxes,null,342,59813,105844,IV,Federal Tax Deposits,Classification,2,2023,2,2023,1,01,25
2023-01-25,Railroad Retirement Taxes,null,39,630,2389,IV,Federal Tax Deposits,Classification,3,2023,2,2023,1,01,25
2023-01-25,Excise Taxes,null,405,4119,24448,IV,Federal Tax Deposits,Classification,4,2023,2,2023,1,01,25
2023-01-25,Corporation Income Taxes,null,90,13834,120358,IV,Federal Tax Deposits,Classification,5,2023,2,2023,1,01,25
2023-01-25,Federal Unemployment Taxes,null,24,323,1165,IV,Federal Tax Deposits,Classification,6,2023,2,2023,1,01,25
2023-01-25,Estate and Gift Taxes & Misc IRS Rcpts.,null,8,252,1406,IV,Federal Tax Deposits,Classification,7,2023,2,2023,1,01,25
2023-01-25,Cash Federal Tax Deposits,Direct,105,2648,11535,IV,Federal Tax Deposits,Classification,9,2023,2,2023,1,01,25
2023-01-25,Cash Federal Tax Deposits,Through Depositaries,13464,314698,1276030,IV,Federal Tax Deposits,Classification,10,2023,2,2023,1,01,25
2023-01-25,Inter-agency Transfers,null,21,9273,40237,IV,Federal Tax Deposits,Classification,12,2023,2,2023,1,01,25
2023-01-24,Withheld Income and Employment Taxes,null,2609,234966,1059509,IV,Federal Tax Deposits,Classification,1,2023,2,2023,1,01,24
2023-01-24,Individual Income Taxes,null,2491,59471,105503,IV,Federal Tax Deposits,Classification,2,2023,2,2023,1,01,24
2023-01-24,Railroad Retirement Taxes,null,3,591,2350,IV,Federal Tax Deposits,Classification,3,2023,2,2023,1,01,24
2023-01-24,Excise Taxes,null,92,3714,24043,IV,Federal Tax Deposits,Classification,4,2023,2,2023,1,01,24
2023-01-24,Corporation Income Taxes,null,85,13745,120268,IV,Federal Tax Deposits,Classification,5,2023,2,2023,1,01,24
2023-01-24,Federal Unemployment Taxes,null,22,298,1141,IV,Federal Tax Deposits,Classification,6,2023,2,2023,1,01,24
2023-01-24,Estate and Gift Taxes & Misc IRS Rcpts.,null,2,243,1398,IV,Federal Tax Deposits,Classification,7,2023,2,2023,1,01,24
2023-01-24,Cash Federal Tax Deposits,Direct,71,2543,11430,IV,Federal Tax Deposits,Classification,9,2023,2,2023,1,01,24
2023-01-24,Cash Federal Tax Deposits,Through Depositaries,5223,301233,1262566,IV,Federal Tax Deposits,Classification,10,2023,2,2023,1,01,24
2023-01-24,Inter-agency Transfers,null,12,9252,40216,IV,Federal Tax Deposits,Classification,12,2023,2,2023,1,01,24
2023-01-23,Withheld Income and Employment Taxes,null,26227,232357,1056899,IV,Federal Tax Deposits,Classification,1,2023,2,2023,1,01,23
2023-01-23,Individual Income Taxes,null,728,56979,103011,IV,Federal Tax Deposits,Classification,2,2023,2,2023,1,01,23
2023-01-23,Railroad Retirement Taxes,null,105,588,2347,IV,Federal Tax Deposits,Classification,3,2023,2,2023,1,01,23
2023-01-23,Excise Taxes,null,56,3622,23951,IV,Federal Tax Deposits,Classification,4,2023,2,2023,1,01,23
2023-01-23,Corporation Income Taxes,null,552,13659,120183,IV,Federal Tax Deposits,Classification,5,2023,2,2023,1,01,23
2023-01-23,Federal Unemployment Taxes,null,19,276,1119,IV,Federal Tax Deposits,Classification,6,2023,2,2023,1,01,23
2023-01-23,Estate and Gift Taxes & Misc IRS Rcpts.,null,14,241,1396,IV,Federal Tax Deposits,Classification,7,2023,2,2023,1,01,23
2023-01-23,Cash Federal Tax Deposits,Direct,80,2472,11359,IV,Federal Tax Deposits,Classification,9,2023,2,2023,1,01,23
2023-01-23,Cash Federal Tax Deposits,Through Depositaries,26475,296011,1257343,IV,Federal Tax Deposits,Classification,10,2023,2,2023,1,01,23
2023-01-23,Inter-agency Transfers,null,1146,9240,40204,IV,Federal Tax Deposits,Classification,12,2023,2,2023,1,01,23
2023-01-20,Withheld Income and Employment Taxes,null,9412,206130,1030672,IV,Federal Tax Deposits,Classification,1,2023,2,2023,1,01,20
2023-01-20,Individual Income Taxes,null,542,56251,102283,IV,Federal Tax Deposits,Classification,2,2023,2,2023,1,01,20
2023-01-20,Railroad Retirement Taxes,null,17,483,2242,IV,Federal Tax Deposits,Classification,3,2023,2,2023,1,01,20
2023-01-20,Excise Taxes,null,30,3566,23895,IV,Federal Tax Deposits,Classification,4,2023,2,2023,1,01,20
2023-01-20,Corporation Income Taxes,null,122,13107,119631,IV,Federal Tax Deposits,Classification,5,2023,2,2023,1,01,20
2023-01-20,Federal Unemployment Taxes,null,20,257,1099,IV,Federal Tax Deposits,Classification,6,2023,2,2023,1,01,20
2023-01-20,Estate and Gift Taxes & Misc IRS Rcpts.,null,5,227,1382,IV,Federal Tax Deposits,Classification,7,2023,2,2023,1,01,20
2023-01-20,Cash Federal Tax Deposits,Direct,37,2391,11279,IV,Federal Tax Deposits,Classification,9,2023,2,2023,1,01,20
2023-01-20,Cash Federal Tax Deposits,Through Depositaries,8951,269536,1230868,IV,Federal Tax Deposits,Classification,10,2023,2,2023,1,01,20
2023-01-20,Inter-agency Transfers,null,1160,8094,39058,IV,Federal Tax Deposits,Classification,12,2023,2,2023,1,01,20
2023-01-19,Withheld Income and Employment Taxes,null,10818,196718,1021260,IV,Federal Tax Deposits,Classification,1,2023,2,2023,1,01,19
2023-01-19,Individual Income Taxes,null,778,55709,101741,IV,Federal Tax Deposits,Classification,2,2023,2,2023,1,01,19
2023-01-19,Railroad Retirement Taxes,null,2,466,2225,IV,Federal Tax Deposits,Classification,3,2023,2,2023,1,01,19
2023-01-19,Excise Taxes,null,41,3536,23865,IV,Federal Tax Deposits,Classification,4,2023,2,2023,1,01,19
2023-01-19,Corporation Income Taxes,null,-98,12985,119508,IV,Federal Tax Deposits,Classification,5,2023,2,2023,1,01,19
2023-01-19,Federal Unemployment Taxes,null,14,237,1079,IV,Federal Tax Deposits,Classification,6,2023,2,2023,1,01,19
2023-01-19,Estate and Gift Taxes & Misc IRS Rcpts.,null,11,222,1376,IV,Federal Tax Deposits,Classification,7,2023,2,2023,1,01,19
2023-01-19,Cash Federal Tax Deposits,Direct,99,2354,11241,IV,Federal Tax Deposits,Classification,9,2023,2,2023,1,01,19
2023-01-19,Cash Federal Tax Deposits,Through Depositaries,11408,260584,1221916,IV,Federal Tax Deposits,Classification,10,2023,2,2023,1,01,19
2023-01-19,Inter-agency Transfers,null,58,6934,37898,IV,Federal Tax Deposits,Classification,12,2023,2,2023,1,01,19
2023-01-18,Withheld Income and Employment Taxes,null,4950,185900,1010443,IV,Federal Tax Deposits,Classification,1,2023,2,2023,1,01,18
2023-01-18,Individual Income Taxes,null,6128,54932,100964,IV,Federal Tax Deposits,Classification,2,2023,2,2023,1,01,18
