Record Date,Federal Tax Refund Type,Federal Tax Refund Type Description,Federal Tax Refunds Today,Federal Tax Refunds Month to Date,Federal Tax Refunds Fiscal Year to Date,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2026-04-15,Taxes - Business Tax Refunds (Checks),null,1,3629,49596,V,Income Tax Refunds Issued,Classification,1,2026,3,2026,2,04,15
2026-04-15,Taxes - Business Tax Refunds (EFT),null,4,1975,18396,V,Income Tax Refunds Issued,Classification,2,2026,3,2026,2,04,15
2026-04-15,Taxes - Individual Tax Refunds (Checks),null,51,2056,24078,V,Income Tax Refunds Issued,Classification,3,2026,3,2026,2,04,15
2026-04-15,Taxes - Individual Tax Refunds (EFT),null,12636,52706,279431,V,Income Tax Refunds Issued,Classification,4,2026,3,2026,2,04,15
2026-04-14,Taxes - Business Tax Refunds (Checks),null,1787,3628,49595,V,Income Tax Refunds Issued,Classification,1,2026,3,2026,2,04,14
2026-04-14,Taxes - Business Tax Refunds (EFT),null,67,1971,18393,V,Income Tax Refunds Issued,Classification,2,2026,3,2026,2,04,14
2026-04-14,Taxes - Individual Tax Refunds (Checks),null,74,2006,24027,V,Income Tax Refunds Issued,Classification,3,2026,3,2026,2,04,14
2026-04-14,Taxes - Individual Tax Refunds (EFT),null,2448,40070,266795,V,Income Tax Refunds Issued,Classification,4,2026,3,2026,2,04,14
2026-04-13,Taxes - Business Tax Refunds (Checks),null,14,1842,47809,V,Income Tax Refunds Issued,Classification,1,2026,3,2026,2,04,13
2026-04-13,Taxes - Business Tax Refunds (EFT),null,722,1904,18325,V,Income Tax Refunds Issued,Classification,2,2026,3,2026,2,04,13
2026-04-13,Taxes - Individual Tax Refunds (Checks),null,157,1932,23953,V,Income Tax Refunds Issued,Classification,3,2026,3,2026,2,04,13
2026-04-13,Taxes - Individual Tax Refunds (EFT),null,2568,37622,264347,V,Income Tax Refunds Issued,Classification,4,2026,3,2026,2,04,13
2026-04-10,Taxes - Business Tax Refunds (Checks),null,3,1827,47795,V,Income Tax Refunds Issued,Classification,1,2026,3,2026,2,04,10
2026-04-10,Taxes - Business Tax Refunds (EFT),null,262,1182,17604,V,Income Tax Refunds Issued,Classification,2,2026,3,2026,2,04,10
2026-04-10,Taxes - Individual Tax Refunds (Checks),null,714,1775,23796,V,Income Tax Refunds Issued,Classification,3,2026,3,2026,2,04,10
2026-04-10,Taxes - Individual Tax Refunds (EFT),null,3385,35053,261779,V,Income Tax Refunds Issued,Classification,4,2026,3,2026,2,04,10
2026-04-09,Taxes - Business Tax Refunds (Checks),null,8,1824,47791,V,Income Tax Refunds Issued,Classification,1,2026,3,2026,2,04,09
2026-04-09,Taxes - Business Tax Refunds (EFT),null,49,920,17341,V,Income Tax Refunds Issued,Classification,2,2026,3,2026,2,04,09
2026-04-09,Taxes - Individual Tax Refunds (Checks),null,54,1061,23082,V,Income Tax Refunds Issued,Classification,3,2026,3,2026,2,04,09
2026-04-09,Taxes - Individual Tax Refunds (EFT),null,1901,31668,258393,V,Income Tax Refunds Issued,Classification,4,2026,3,2026,2,04,09
2026-04-08,Taxes - Business Tax Refunds (Checks),null,12,1816,47783,V,Income Tax Refunds Issued,Classification,1,2026,3,2026,2,04,08
2026-04-08,Taxes - Business Tax Refunds (EFT),null,13,871,17292,V,Income Tax Refunds Issued,Classification,2,2026,3,2026,2,04,08
2026-04-08,Taxes - Individual Tax Refunds (Checks),null,61,1006,23028,V,Income Tax Refunds Issued,Classification,3,2026,3,2026,2,04,08
2026-04-08,Taxes - Individual Tax Refunds (EFT),null,11005,29767,256492,V,Income Tax Refunds Issued,Classification,4,2026,3,2026,2,04,08
2026-04-07,Taxes - Business Tax Refunds (Checks),null,1564,1804,47771,V,Income Tax Refunds Issued,Classification,1,2026,3,2026,2,04,07
2026-04-07,Taxes - Business Tax Refunds (EFT),null,626,858,17279,V,Income Tax Refunds Issued,Classification,2,2026,3,2026,2,04,07
2026-04-07,Taxes - Individual Tax Refunds (Checks),null,32,945,22966,V,Income Tax Refunds Issued,Classification,3,2026,3,2026,2,04,07
2026-04-07,Taxes - Individual Tax Refunds (EFT),null,1711,18761,245487,V,Income Tax Refunds Issued,Classification,4,2026,3,2026,2,04,07
2026-04-06,Taxes - Business Tax Refunds (Checks),null,159,240,46207,V,Income Tax Refunds Issued,Classification,1,2026,3,2026,2,04,06
2026-04-06,Taxes - Business Tax Refunds (EFT),null,-2,231,16653,V,Income Tax Refunds Issued,Classification,2,2026,3,2026,2,04,06
2026-04-06,Taxes - Individual Tax Refunds (Checks),null,51,913,22934,V,Income Tax Refunds Issued,Classification,3,2026,3,2026,2,04,06
2026-04-06,Taxes - Individual Tax Refunds (EFT),null,2379,17050,243776,V,Income Tax Refunds Issued,Classification,4,2026,3,2026,2,04,06
