Record Date,Federal Tax Refund Type,Federal Tax Refund Type Description,Federal Tax Refunds Today,Federal Tax Refunds Month to Date,Federal Tax Refunds Fiscal Year to Date,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2024-09-04,Taxes - Individual Tax Refunds (EFT),null,54,133,295073,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,09,04
2024-09-03,Taxes - Business Tax Refunds (Checks),null,1419,1419,59018,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,09,03
2024-09-03,Taxes - Business Tax Refunds (EFT),null,30,30,16315,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,09,03
2024-09-03,Taxes - Individual Tax Refunds (Checks),null,31,31,60452,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,09,03
2024-09-03,Taxes - Individual Tax Refunds (EFT),null,79,79,295019,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,09,03
2024-08-30,Taxes - Business Tax Refunds (Checks),null,9,3591,57600,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,08,30
2024-08-30,Taxes - Business Tax Refunds (EFT),null,-15,388,16285,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,08,30
2024-08-30,Taxes - Individual Tax Refunds (Checks),null,587,3720,60422,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,08,30
2024-08-30,Taxes - Individual Tax Refunds (EFT),null,35,3878,294940,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,08,30
2024-08-29,Taxes - Business Tax Refunds (Checks),null,21,3582,57590,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,08,29
2024-08-29,Taxes - Business Tax Refunds (EFT),null,0,402,16300,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,08,29
2024-08-29,Taxes - Individual Tax Refunds (Checks),null,59,3133,59834,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,08,29
2024-08-29,Taxes - Individual Tax Refunds (EFT),null,47,3843,294905,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,08,29
2024-08-28,Taxes - Business Tax Refunds (Checks),null,2,3561,57569,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,08,28
2024-08-28,Taxes - Business Tax Refunds (EFT),null,45,402,16300,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,08,28
2024-08-28,Taxes - Individual Tax Refunds (Checks),null,22,3073,59775,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,08,28
2024-08-28,Taxes - Individual Tax Refunds (EFT),null,682,3796,294859,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,08,28
2024-08-27,Taxes - Business Tax Refunds (Checks),null,1032,3558,57567,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,08,27
2024-08-27,Taxes - Business Tax Refunds (EFT),null,55,357,16254,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,08,27
2024-08-27,Taxes - Individual Tax Refunds (Checks),null,25,3051,59753,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,08,27
2024-08-27,Taxes - Individual Tax Refunds (EFT),null,57,3114,294176,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,08,27
2024-08-26,Taxes - Business Tax Refunds (Checks),null,28,2526,56534,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,08,26
2024-08-26,Taxes - Business Tax Refunds (EFT),null,1,302,16199,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,08,26
2024-08-26,Taxes - Individual Tax Refunds (Checks),null,27,3026,59728,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,08,26
2024-08-26,Taxes - Individual Tax Refunds (EFT),null,49,3057,294120,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,08,26
2024-08-23,Taxes - Business Tax Refunds (Checks),null,9,2498,56506,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,08,23
2024-08-23,Taxes - Business Tax Refunds (EFT),null,-2,301,16199,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,08,23
2024-08-23,Taxes - Individual Tax Refunds (Checks),null,608,2998,59700,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,08,23
2024-08-23,Taxes - Individual Tax Refunds (EFT),null,33,3008,294070,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,08,23
2024-08-22,Taxes - Business Tax Refunds (Checks),null,24,2488,56497,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,08,22
2024-08-22,Taxes - Business Tax Refunds (EFT),null,19,303,16200,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,08,22
2024-08-22,Taxes - Individual Tax Refunds (Checks),null,75,2391,59092,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,08,22
2024-08-22,Taxes - Individual Tax Refunds (EFT),null,45,2974,294037,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,08,22
2024-08-21,Taxes - Business Tax Refunds (Checks),null,1,2464,56473,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,08,21
2024-08-21,Taxes - Business Tax Refunds (EFT),null,0,284,16181,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,08,21
2024-08-21,Taxes - Individual Tax Refunds (Checks),null,36,2316,59018,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,08,21
2024-08-21,Taxes - Individual Tax Refunds (EFT),null,729,2929,293992,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,08,21
2024-08-20,Taxes - Business Tax Refunds (Checks),null,983,2463,56472,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,08,20
2024-08-20,Taxes - Business Tax Refunds (EFT),null,190,284,16181,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,08,20
2024-08-20,Taxes - Individual Tax Refunds (Checks),null,54,2280,58982,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,08,20
2024-08-20,Taxes - Individual Tax Refunds (EFT),null,54,2200,293263,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,08,20
2024-08-19,Taxes - Business Tax Refunds (Checks),null,6,1480,55488,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,08,19
2024-08-19,Taxes - Business Tax Refunds (EFT),null,-14,94,15992,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,08,19
2024-08-19,Taxes - Individual Tax Refunds (Checks),null,30,2227,58928,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,08,19
2024-08-19,Taxes - Individual Tax Refunds (EFT),null,57,2146,293209,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,08,19
2024-08-16,Taxes - Business Tax Refunds (Checks),null,2,1474,55482,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,08,16
2024-08-16,Taxes - Business Tax Refunds (EFT),null,-27,108,16005,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,08,16
2024-08-16,Taxes - Individual Tax Refunds (Checks),null,646,2196,58898,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,08,16
2024-08-16,Taxes - Individual Tax Refunds (EFT),null,50,2090,293152,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,08,16
2024-08-15,Taxes - Business Tax Refunds (Checks),null,13,1472,55480,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,08,15
2024-08-15,Taxes - Business Tax Refunds (EFT),null,3,135,16032,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,08,15
2024-08-15,Taxes - Individual Tax Refunds (Checks),null,45,1550,58252,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,08,15
2024-08-15,Taxes - Individual Tax Refunds (EFT),null,55,2039,293102,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,08,15
2024-08-14,Taxes - Business Tax Refunds (Checks),null,12,1458,55467,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,08,14
2024-08-14,Taxes - Business Tax Refunds (EFT),null,0,132,16030,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,08,14
2024-08-14,Taxes - Individual Tax Refunds (Checks),null,38,1506,58207,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,08,14
2024-08-14,Taxes - Individual Tax Refunds (EFT),null,804,1984,293047,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,08,14
2024-08-13,Taxes - Business Tax Refunds (Checks),null,1021,1446,55454,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,08,13
2024-08-13,Taxes - Business Tax Refunds (EFT),null,39,132,16030,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,08,13
2024-08-13,Taxes - Individual Tax Refunds (Checks),null,25,1468,58170,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,08,13
2024-08-13,Taxes - Individual Tax Refunds (EFT),null,81,1180,292242,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,08,13
2024-08-12,Taxes - Business Tax Refunds (Checks),null,1,425,54434,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,08,12
2024-08-12,Taxes - Business Tax Refunds (EFT),null,0,93,15991,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,08,12
2024-08-12,Taxes - Individual Tax Refunds (Checks),null,68,1443,58145,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,08,12
2024-08-12,Taxes - Individual Tax Refunds (EFT),null,55,1099,292162,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,08,12
2024-08-09,Taxes - Business Tax Refunds (Checks),null,1,424,54432,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,08,09
2024-08-09,Taxes - Business Tax Refunds (EFT),null,0,93,15990,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,08,09
2024-08-09,Taxes - Individual Tax Refunds (Checks),null,603,1375,58077,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,08,09
2024-08-09,Taxes - Individual Tax Refunds (EFT),null,43,1044,292106,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,08,09
2024-08-08,Taxes - Business Tax Refunds (Checks),null,3,423,54432,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,08,08
2024-08-08,Taxes - Business Tax Refunds (EFT),null,-1,93,15990,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,08,08
2024-08-08,Taxes - Individual Tax Refunds (Checks),null,37,772,57474,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,08,08
2024-08-08,Taxes - Individual Tax Refunds (EFT),null,47,1000,292063,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,08,08
2024-08-07,Taxes - Business Tax Refunds (Checks),null,11,420,54429,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,08,07
2024-08-07,Taxes - Business Tax Refunds (EFT),null,4,94,15992,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,08,07
2024-08-07,Taxes - Individual Tax Refunds (Checks),null,44,735,57437,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,08,07
2024-08-07,Taxes - Individual Tax Refunds (EFT),null,733,953,292016,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,08,07
2024-08-06,Taxes - Business Tax Refunds (Checks),null,319,409,54417,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,08,06
2024-08-06,Taxes - Business Tax Refunds (EFT),null,23,90,15988,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,08,06
2024-08-06,Taxes - Individual Tax Refunds (Checks),null,27,691,57393,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,08,06
2024-08-06,Taxes - Individual Tax Refunds (EFT),null,67,220,291282,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,08,06
2024-08-05,Taxes - Business Tax Refunds (Checks),null,19,90,54098,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,08,05
2024-08-05,Taxes - Business Tax Refunds (EFT),null,0,68,15965,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,08,05
2024-08-05,Taxes - Individual Tax Refunds (Checks),null,33,664,57366,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,08,05
2024-08-05,Taxes - Individual Tax Refunds (EFT),null,58,153,291215,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,08,05
2024-08-02,Taxes - Business Tax Refunds (Checks),null,47,71,54079,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,08,02
2024-08-02,Taxes - Business Tax Refunds (EFT),null,9,68,15965,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,08,02
2024-08-02,Taxes - Individual Tax Refunds (Checks),null,592,631,57332,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,08,02
2024-08-02,Taxes - Individual Tax Refunds (EFT),null,50,95,291157,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,08,02
2024-08-01,Taxes - Business Tax Refunds (Checks),null,24,24,54032,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,08,01
2024-08-01,Taxes - Business Tax Refunds (EFT),null,59,59,15956,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,08,01
2024-08-01,Taxes - Individual Tax Refunds (Checks),null,39,39,56741,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,08,01
2024-08-01,Taxes - Individual Tax Refunds (EFT),null,45,45,291107,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,08,01
2024-07-31,Taxes - Business Tax Refunds (Checks),null,1,5465,54008,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,07,31
2024-07-31,Taxes - Business Tax Refunds (EFT),null,0,1413,15897,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,07,31
2024-07-31,Taxes - Individual Tax Refunds (Checks),null,31,3216,56702,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,07,31
2024-07-31,Taxes - Individual Tax Refunds (EFT),null,789,5013,291063,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,07,31
2024-07-30,Taxes - Business Tax Refunds (Checks),null,1479,5464,54008,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,07,30
2024-07-30,Taxes - Business Tax Refunds (EFT),null,57,1413,15897,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,07,30
2024-07-30,Taxes - Individual Tax Refunds (Checks),null,30,3185,56671,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,07,30
2024-07-30,Taxes - Individual Tax Refunds (EFT),null,74,4224,290273,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,07,30
2024-07-29,Taxes - Business Tax Refunds (Checks),null,3,3985,52529,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,07,29
2024-07-29,Taxes - Business Tax Refunds (EFT),null,0,1356,15840,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,07,29
2024-07-29,Taxes - Individual Tax Refunds (Checks),null,34,3156,56641,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,07,29
2024-07-29,Taxes - Individual Tax Refunds (EFT),null,66,4150,290199,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,07,29
2024-07-26,Taxes - Business Tax Refunds (Checks),null,14,3982,52526,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,07,26
2024-07-26,Taxes - Business Tax Refunds (EFT),null,1,1356,15840,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,07,26
2024-07-26,Taxes - Individual Tax Refunds (Checks),null,627,3122,56607,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,07,26
2024-07-26,Taxes - Individual Tax Refunds (EFT),null,43,4084,290133,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,07,26
2024-07-25,Taxes - Business Tax Refunds (Checks),null,4,3968,52512,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,07,25
2024-07-25,Taxes - Business Tax Refunds (EFT),null,49,1355,15839,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,07,25
2024-07-25,Taxes - Individual Tax Refunds (Checks),null,37,2495,55980,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,07,25
2024-07-25,Taxes - Individual Tax Refunds (EFT),null,45,4042,290091,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,07,25
2024-07-24,Taxes - Business Tax Refunds (Checks),null,5,3964,52508,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,07,24
2024-07-24,Taxes - Business Tax Refunds (EFT),null,492,1306,15790,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,07,24
2024-07-24,Taxes - Individual Tax Refunds (Checks),null,32,2457,55943,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,07,24
2024-07-24,Taxes - Individual Tax Refunds (EFT),null,795,3996,290045,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,07,24
2024-07-23,Taxes - Business Tax Refunds (Checks),null,886,3960,52503,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,07,23
2024-07-23,Taxes - Business Tax Refunds (EFT),null,20,814,15298,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,07,23
2024-07-23,Taxes - Individual Tax Refunds (Checks),null,161,2426,55911,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,07,23
2024-07-23,Taxes - Individual Tax Refunds (EFT),null,58,3201,289250,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,07,23
2024-07-22,Taxes - Business Tax Refunds (Checks),null,8,3074,51618,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,07,22
2024-07-22,Taxes - Business Tax Refunds (EFT),null,365,794,15278,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,07,22
2024-07-22,Taxes - Individual Tax Refunds (Checks),null,28,2265,55750,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,07,22
2024-07-22,Taxes - Individual Tax Refunds (EFT),null,69,3144,289193,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,07,22
2024-07-19,Taxes - Business Tax Refunds (Checks),null,9,3066,51609,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,07,19
2024-07-19,Taxes - Business Tax Refunds (EFT),null,26,429,14913,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,07,19
2024-07-19,Taxes - Individual Tax Refunds (Checks),null,789,2237,55723,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,07,19
2024-07-19,Taxes - Individual Tax Refunds (EFT),null,51,3075,289124,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,07,19
2024-07-18,Taxes - Business Tax Refunds (Checks),null,3,3057,51601,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,07,18
2024-07-18,Taxes - Business Tax Refunds (EFT),null,3,403,14887,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,07,18
2024-07-18,Taxes - Individual Tax Refunds (Checks),null,43,1447,54933,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,07,18
2024-07-18,Taxes - Individual Tax Refunds (EFT),null,56,3023,289073,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,07,18
2024-07-17,Taxes - Business Tax Refunds (Checks),null,111,3054,51598,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,07,17
2024-07-17,Taxes - Business Tax Refunds (EFT),null,-1,401,14885,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,07,17
2024-07-17,Taxes - Individual Tax Refunds (Checks),null,32,1405,54891,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,07,17
2024-07-17,Taxes - Individual Tax Refunds (EFT),null,981,2967,289017,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,07,17
2024-07-16,Taxes - Business Tax Refunds (Checks),null,891,2943,51487,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,07,16
2024-07-16,Taxes - Business Tax Refunds (EFT),null,66,402,14886,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,07,16
2024-07-16,Taxes - Individual Tax Refunds (Checks),null,38,1373,54858,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,07,16
2024-07-16,Taxes - Individual Tax Refunds (EFT),null,74,1986,288035,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,07,16
2024-07-15,Taxes - Business Tax Refunds (Checks),null,21,2052,50596,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,07,15
2024-07-15,Taxes - Business Tax Refunds (EFT),null,0,336,14820,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,07,15
2024-07-15,Taxes - Individual Tax Refunds (Checks),null,47,1335,54821,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,07,15
2024-07-15,Taxes - Individual Tax Refunds (EFT),null,62,1913,287962,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,07,15
2024-07-12,Taxes - Business Tax Refunds (Checks),null,12,2031,50575,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,07,12
2024-07-12,Taxes - Business Tax Refunds (EFT),null,32,336,14820,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,07,12
2024-07-12,Taxes - Individual Tax Refunds (Checks),null,314,1289,54774,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,07,12
2024-07-12,Taxes - Individual Tax Refunds (EFT),null,59,1851,287900,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,07,12
2024-07-11,Taxes - Business Tax Refunds (Checks),null,117,2019,50563,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,07,11
2024-07-11,Taxes - Business Tax Refunds (EFT),null,34,303,14787,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,07,11
2024-07-11,Taxes - Individual Tax Refunds (Checks),null,42,975,54460,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,07,11
2024-07-11,Taxes - Individual Tax Refunds (EFT),null,81,1792,287842,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,07,11
2024-07-10,Taxes - Business Tax Refunds (Checks),null,8,1902,50446,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,07,10
2024-07-10,Taxes - Business Tax Refunds (EFT),null,1,270,14754,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,07,10
2024-07-10,Taxes - Individual Tax Refunds (Checks),null,31,933,54419,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,07,10
2024-07-10,Taxes - Individual Tax Refunds (EFT),null,468,1712,287761,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,07,10
2024-07-09,Taxes - Business Tax Refunds (Checks),null,569,1894,50438,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,07,09
2024-07-09,Taxes - Business Tax Refunds (EFT),null,81,269,14753,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,07,09
2024-07-09,Taxes - Individual Tax Refunds (Checks),null,63,902,54388,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,07,09
2024-07-09,Taxes - Individual Tax Refunds (EFT),null,70,1244,287293,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,07,09
2024-07-08,Taxes - Business Tax Refunds (Checks),null,65,1325,49869,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,07,08
2024-07-08,Taxes - Business Tax Refunds (EFT),null,0,188,14672,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,07,08
2024-07-08,Taxes - Individual Tax Refunds (Checks),null,596,839,54324,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,07,08
2024-07-08,Taxes - Individual Tax Refunds (EFT),null,58,1174,287223,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,07,08
2024-07-05,Taxes - Business Tax Refunds (Checks),null,69,1261,49804,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,07,05
2024-07-05,Taxes - Business Tax Refunds (EFT),null,28,188,14672,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,07,05
2024-07-05,Taxes - Individual Tax Refunds (Checks),null,87,243,53729,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,07,05
2024-07-05,Taxes - Individual Tax Refunds (EFT),null,70,1116,287165,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,07,05
2024-07-03,Taxes - Business Tax Refunds (Checks),null,4,1191,49735,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,07,03
2024-07-03,Taxes - Business Tax Refunds (EFT),null,10,159,14643,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,07,03
2024-07-03,Taxes - Individual Tax Refunds (Checks),null,61,156,53642,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,07,03
2024-07-03,Taxes - Individual Tax Refunds (EFT),null,895,1046,287096,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,07,03
2024-07-02,Taxes - Business Tax Refunds (Checks),null,1168,1187,49731,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,07,02
2024-07-02,Taxes - Business Tax Refunds (EFT),null,79,149,14634,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,07,02
2024-07-02,Taxes - Individual Tax Refunds (Checks),null,49,95,53581,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,07,02
2024-07-02,Taxes - Individual Tax Refunds (EFT),null,70,152,286201,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,07,02
2024-07-01,Taxes - Business Tax Refunds (Checks),null,19,19,48563,V,Income Tax Refunds Issued,Classification,1,2024,4,2024,3,07,01
2024-07-01,Taxes - Business Tax Refunds (EFT),null,70,70,14554,V,Income Tax Refunds Issued,Classification,2,2024,4,2024,3,07,01
2024-07-01,Taxes - Individual Tax Refunds (Checks),null,46,46,53532,V,Income Tax Refunds Issued,Classification,3,2024,4,2024,3,07,01
2024-07-01,Taxes - Individual Tax Refunds (EFT),null,81,81,286130,V,Income Tax Refunds Issued,Classification,4,2024,4,2024,3,07,01
2024-06-28,Taxes - Business Tax Refunds (Checks),null,16,4298,48544,V,Income Tax Refunds Issued,Classification,1,2024,3,2024,2,06,28
2024-06-28,Taxes - Business Tax Refunds (EFT),null,21,2004,14484,V,Income Tax Refunds Issued,Classification,2,2024,3,2024,2,06,28
2024-06-28,Taxes - Individual Tax Refunds (Checks),null,560,3899,53486,V,Income Tax Refunds Issued,Classification,3,2024,3,2024,2,06,28
2024-06-28,Taxes - Individual Tax Refunds (EFT),null,126,5895,286049,V,Income Tax Refunds Issued,Classification,4,2024,3,2024,2,06,28
2024-06-27,Taxes - Business Tax Refunds (Checks),null,36,4283,48528,V,Income Tax Refunds Issued,Classification,1,2024,3,2024,2,06,27
2024-06-27,Taxes - Business Tax Refunds (EFT),null,73,1982,14463,V,Income Tax Refunds Issued,Classification,2,2024,3,2024,2,06,27
2024-06-27,Taxes - Individual Tax Refunds (Checks),null,35,3340,52926,V,Income Tax Refunds Issued,Classification,3,2024,3,2024,2,06,27
2024-06-27,Taxes - Individual Tax Refunds (EFT),null,82,5769,285923,V,Income Tax Refunds Issued,Classification,4,2024,3,2024,2,06,27
2024-06-26,Taxes - Business Tax Refunds (Checks),null,85,4246,48492,V,Income Tax Refunds Issued,Classification,1,2024,3,2024,2,06,26
2024-06-26,Taxes - Business Tax Refunds (EFT),null,36,1909,14390,V,Income Tax Refunds Issued,Classification,2,2024,3,2024,2,06,26
2024-06-26,Taxes - Individual Tax Refunds (Checks),null,61,3304,52891,V,Income Tax Refunds Issued,Classification,3,2024,3,2024,2,06,26
2024-06-26,Taxes - Individual Tax Refunds (EFT),null,1037,5687,285841,V,Income Tax Refunds Issued,Classification,4,2024,3,2024,2,06,26
2024-06-25,Taxes - Business Tax Refunds (Checks),null,1212,4161,48406,V,Income Tax Refunds Issued,Classification,1,2024,3,2024,2,06,25
