Record Date,Debt Category,Debt Category Description,Closing Balance Today,Opening Balance Today,Opening Balance This Month,Opening Balance This Fiscal Year,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2026-04-09,Debt Held by the Public,null,31364680,31373299,31431182,30277766,IIIC,Debt Subject to Limit,Balance Transactions,1,2026,3,2026,2,04,09
2026-04-09,Intragovernmental Holdings,null,7578111,7576626,7634239,7359787,IIIC,Debt Subject to Limit,Balance Transactions,2,2026,3,2026,2,04,09
2026-04-09,Debt Not Subject to Limit,Other Debt (-),475,475,475,475,IIIC,Debt Subject to Limit,Balance Transactions,4,2026,3,2026,2,04,09
2026-04-09,Debt Not Subject to Limit,Unamortized Discount (-),172411,170398,170747,106665,IIIC,Debt Subject to Limit,Balance Transactions,5,2026,3,2026,2,04,09
2026-04-09,Debt Not Subject to Limit,Federal Financing Bank (-),4093,4093,4093,4093,IIIC,Debt Subject to Limit,Balance Transactions,6,2026,3,2026,2,04,09
2026-04-09,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2026,3,2026,2,04,09
2026-04-09,Statutory Debt Limit,null,41103996,41103996,41103996,41103996,IIIC,Debt Subject to Limit,Balance Transactions,9,2026,3,2026,2,04,09
2026-04-08,Debt Held by the Public,null,31373299,31371921,31431182,30277766,IIIC,Debt Subject to Limit,Balance Transactions,1,2026,3,2026,2,04,08
2026-04-08,Intragovernmental Holdings,null,7576626,7598021,7634239,7359787,IIIC,Debt Subject to Limit,Balance Transactions,2,2026,3,2026,2,04,08
2026-04-08,Debt Not Subject to Limit,Other Debt (-),475,475,475,475,IIIC,Debt Subject to Limit,Balance Transactions,4,2026,3,2026,2,04,08
2026-04-08,Debt Not Subject to Limit,Unamortized Discount (-),170398,171089,170747,106665,IIIC,Debt Subject to Limit,Balance Transactions,5,2026,3,2026,2,04,08
2026-04-08,Debt Not Subject to Limit,Federal Financing Bank (-),4093,4093,4093,4093,IIIC,Debt Subject to Limit,Balance Transactions,6,2026,3,2026,2,04,08
2026-04-08,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2026,3,2026,2,04,08
