mkt,split,mech,n,tr,ho
RTY,0.5,cal,46,16.182069945550705,6.559745964103885
RTY,0.5,gap,7,11.565799509783226,-1.2932441680986957
RTY,0.5,imp,103,24.404801203572656,-22.791429306234306
RTY,0.5,orb,18,30.405669105170915,-10.742220584575238
RTY,0.5,rev,98,24.7981192833642,-7.51362835249696
RTY,0.5,rnd,46,17.64209701112324,17.717694093177364
RTY,0.5,sqz,24,31.071294032486605,-2.985382588347209
RTY,0.5,vwr,82,19.39044857136914,-15.107933648464552
RTY,0.5,xmk,99,45.6873786276617,24.810900219997794
RTY,0.6,cal,46,14.707100478302891,-17.798515878755424
RTY,0.6,gap,9,12.618663978517775,-2.6642710914131835
RTY,0.6,imp,107,32.95856702383899,3.3332117431100867
RTY,0.6,orb,19,19.19033970897957,-25.8628318906233
RTY,0.6,rev,103,20.39162974568297,-0.7754713326112975
RTY,0.6,rnd,54,17.64329026303772,17.4153350558891
RTY,0.6,sqz,26,25.160128649314984,3.3150269194918636
RTY,0.6,vwr,88,19.039333848337282,-6.44916940900729
RTY,0.6,xmk,100,37.060265342607956,24.390839112492063
RTY,0.7,cal,46,13.786114449943904,25.85182981261651
RTY,0.7,gap,7,11.84425554846779,-5.036244489038434
RTY,0.7,imp,105,20.134069419396806,-21.809351594631607
RTY,0.7,orb,15,15.671177377772205,-17.227902487325476
RTY,0.7,rev,99,18.521118806980276,-1.7231754415534033
RTY,0.7,rnd,46,16.725114222030594,17.624545883963787
RTY,0.7,sqz,25,24.965697178641452,-5.224695590612602
RTY,0.7,vwr,87,16.620632853108642,-7.4536158734923585
RTY,0.7,xmk,99,37.33912628291981,29.82603260013574
RTY,0.8,cal,43,12.69743754128973,38.60194838175906
RTY,0.8,gap,5,16.918955549437545,-19.95859089275643
RTY,0.8,imp,91,9.975751495931734,-5.044492816388184
RTY,0.8,orb,7,8.48259319565709,-24.151580125836045
RTY,0.8,rev,83,18.47338662197835,29.98783133000648
RTY,0.8,rnd,31,19.57668764690391,15.421345673677157
RTY,0.8,sqz,16,9.385269069444666,12.177466287543686
RTY,0.8,vwr,76,17.717951281608297,-37.48487275472371
RTY,0.8,xmk,89,32.105020710139144,32.98935262835949
YM,0.5,cal,46,21.487120686489366,2.3988386978511813
YM,0.5,gap,5,7.868181946218244,12.043979006377782
YM,0.5,imp,105,28.255312076153622,-2.9760314581388214
