mech,tpw,risk,tr,ho,wr,n,rr,tpw_ho,bk
imp,286.1799410029499,1.5707510140651577,-1.0872560709610675,-1.330142293681234,0.12021336906663918,38806,1.8002415040345188,286.8141592920354,"(150.0, 300.0]"
vol,38.716814159292035,35.66581507289327,-3.972703973692654,-4.256442881899963,0.3464761904761905,5250,1.967944836616291,37.43362831858407,"(20.0, 40.0]"
sqz,3.08259587020649,7.560091416030364,-2.44238951098163,-2.753779502607231,0.291866028708134,418,1.612157874473107,3.0678466076696167,"(0.0, 5.0]"
vwr,24.491150442477878,37.19599441309452,-3.0004787449729355,2.7210558308357773,0.39656729900632337,3321,1.8563090031408842,21.238938053097346,"(20.0, 40.0]"
vol,3.952802359882006,19.714338891436203,-2.7888937330292127,0.760642158075404,0.3358208955223881,536,1.5715237357900413,3.982300884955752,"(0.0, 5.0]"
vol,41.27581120943953,37.65044331578976,0.4620798761799982,-2.101349458443654,0.4504198677863141,5597,1.7378692691328648,42.0353982300885,"(40.0, 80.0]"
rev,66.17994100294986,38.25241061573844,0.5304847007181196,-1.8370334267383415,0.40907064854022734,8974,1.6425123558211945,65.2212389380531,"(40.0, 80.0]"
rev,166.570796460177,17.19139224675361,-0.5985173183856268,-1.3252522874556725,0.40129277903218663,22587,1.5482439303444337,167.46312684365782,"(150.0, 300.0]"
vol,13.237463126843659,38.134348662617306,-2.8198691553201574,-5.278385327879179,0.38050139275766015,1795,1.5756804919579843,11.297935103244837,"(10.0, 20.0]"
imp,100.9070796460177,39.00850019698576,-3.1274040541098316,-2.2699043212286205,0.36673244171599795,13683,1.9459235210359154,100.117994100295,"(80.0, 150.0]"
orb,3.325958702064897,21.4401080971088,-1.3648177773175998,-0.2599679480881294,0.45454545454545453,451,1.5971738339248178,3.4513274336283186,"(0.0, 5.0]"
vwr,51.45280235988201,11.036541211825314,-1.4783123439400019,-1.8291862670407175,0.3158950838469256,6977,1.680450709287818,47.37463126843658,"(40.0, 80.0]"
imp,21.18731563421829,11.367146805542612,-1.7868469232402295,-2.499073029430152,0.30873651235642185,2873,1.6409180074462886,20.64896755162242,"(20.0, 40.0]"
imp,59.3952802359882,5.628085445267242,-1.3320470928671089,-1.8010257442379376,0.25204867146759374,8054,1.970891344531894,57.34513274336283,"(40.0, 80.0]"
vwr,104.66076696165192,35.94204460252614,-1.1533697378484817,-0.8001362027343487,0.4942925591882751,14192,1.6703213440680882,102.4778761061947,"(80.0, 150.0]"
imp,20.707964601769913,15.871863273158992,-2.500180745440981,-3.508495226019557,0.3126780626780627,2808,1.7525526356624967,23.36283185840708,"(20.0, 40.0]"
sqz,8.392330383480827,25.065027185811424,-1.622986021595696,2.6050695853704355,0.37170474516695956,1138,1.7654148501311004,8.171091445427729,"(5.0, 10.0]"
rev,11.91740412979351,3.169491359566027,-2.271980600242402,-2.6870187852954577,0.0983910891089109,1616,1.9511069979571771,13.156342182890857,"(10.0, 20.0]"
imp,44.65339233038348,44.66790215457273,-3.819298863833236,0.6169527574053602,0.43914120561519404,6055,1.7428764579115361,43.74631268436578,"(40.0, 80.0]"
rev,60.892330383480825,23.229008936877168,-1.5679114363040036,-1.867712437578526,0.3553348673852489,8257,1.6826658017822773,55.78171091445428,"(40.0, 80.0]"
imp,32.65486725663717,28.746494410477357,-0.639595927663086,-1.1025674799196854,0.3719512195121951,4428,1.8400829066154998,34.365781710914455,"(20.0, 40.0]"
rev,10.3023598820059,88.32407026189607,-3.1265072824821853,-8.141704172423124,0.4323550465282749,1397,1.7524225617359857,11.061946902654867,"(10.0, 20.0]"
orb,3.510324483775811,34.75160578312183,-1.0413035965732163,9.600220445097248,0.41386554621848737,476,1.7110077504677261,3.8938053097345136,"(0.0, 5.0]"
vol,2.6548672566371683,10.723009291854167,-2.9356250601970526,-2.1561426839624573,0.29444444444444445,360,1.5629514188283158,1.7699115044247788,"(0.0, 5.0]"
vol,1.4970501474926254,23.431779804888055,0.5653977686701954,7.060093157107124,0.3645320197044335,203,1.6262580817083454,1.12094395280236,"(0.0, 5.0]"
imp,61.8141592920354,55.998835316728346,-1.0752584625704347,-2.138120475194149,0.4945120496301599,8382,1.635187046392153,62.50737463126844,"(40.0, 80.0]"
vwr,15.184365781710914,61.031935343757915,0.7501764666242488,-0.7577973858890881,0.45216124332200097,2059,1.6569920368746773,15.04424778761062,"(10.0, 20.0]"
rev,14.882005899705016,24.26864313834905,-0.5853740818024488,-4.109275084456067,0.3959365708622398,2018,1.5972371291000098,13.716814159292037,"(10.0, 20.0]"
vol,76.30530973451327,1.6408735527041145,-1.4594325849239724,-1.7709276893683097,0.06494636126413453,10347,1.5342769150109874,73.21533923303835,"(40.0, 80.0]"
imp,57.30825958702065,22.27436973209139,-2.8216534902426162,-4.395719084584357,0.33444859091494017,7771,1.7084676562104764,57.876106194690266,"(40.0, 80.0]"
imp,16.246312684365783,17.90115656564459,-5.338557556805245,-1.1267120636912842,0.2941443486155243,2203,1.5674973692648426,14.749262536873157,"(10.0, 20.0]"
vol,13.193215339233038,20.019598356827895,-2.1302583202355945,-1.9000881087821013,0.3135830072666294,1789,1.921419278088054,11.68141592920354,"(10.0, 20.0]"
vol,42.809734513274336,8.201761445209286,-1.6865155207118159,-2.090418223545353,0.2561584840654608,5805,1.9711941613713577,40.88495575221239,"(40.0, 80.0]"
vwr,31.408554572271388,19.39891612532772,-2.209974374145255,-3.319027593740733,0.3606480394458793,4259,1.5287091306036165,27.964601769911507,"(20.0, 40.0]"
vol,16.44542772861357,70.65437038759207,-1.1746688527065237,1.7516225864132282,0.4618834080717489,2230,1.5758175278745647,17.345132743362832,"(10.0, 20.0]"
vwr,74.74926253687316,33.400200941736195,-0.9850237541058342,-1.099867028402264,0.4664561957379637,10136,1.6496877142042328,72.59587020648968,"(40.0, 80.0]"
imp,21.924778761061948,63.95542670308137,-1.375184613511707,-1.9791833117414408,0.4587958291288261,2973,1.8296898912971105,21.91740412979351,"(20.0, 40.0]"
