mkt,mech,tr_wk,ho_wk,tr_adj,ho_adj,side,dec
RTY,cal,5.131234293857244,32.70277758777942,3.076155896205522,25.689529611717184,1.0,9
RTY,xmk,-97.84724050233399,-134.54030131626953,-97.85845445325832,-134.26753821107,0.010702341137123745,1
RTY,imp,-110.90542181841937,-96.65038473109553,-111.9029758875998,-102.42926407854297,0.05472636815920398,1
RTY,xmk,9.047905563911701,29.229743897104033,7.672490104890226,22.114787644526725,0.09241555130656469,9
RTY,xmk,-13.035216577930335,-12.503141327039286,-13.012301112998038,-12.498518223561327,0.01090909090909091,6
RTY,rnd,-1.9421747578215667,-6.144536848568321,-1.1025911277489076,-3.3845440722274143,-1.0,8
RTY,rev,-68.1723421036385,-117.16195567214432,-68.40295944221246,-120.23169638150843,0.01299419408349461,2
RTY,rnd,-12.471152268141614,-77.98214898092702,-4.053863191733705,-53.07749054516744,-1.0,7
RTY,vwr,-43.012161543472025,-44.56826580491275,-43.09797264619722,-44.8364058066343,0.07568555758683729,3
RTY,rnd,-18.18073832232382,-56.59543086734741,-7.836599939268319,-21.49682926269051,-1.0,7
RTY,imp,11.395895555660452,63.92591772968355,11.257427639899339,64.65636807920089,0.016359918200409,9
RTY,rnd,6.8682858472310055,-2.4318894711358254,2.5962581081504874,-15.089946793784748,1.0,9
RTY,xmk,0.6912026138294403,-10.21501015805707,0.8286954034232196,-11.084153611913168,-0.026874115983026876,8
RTY,rev,-34.5778627246267,-141.5779791056175,-34.43890724578193,-140.1309477170166,0.014551333872271624,4
RTY,xmk,-41.18272100732015,-44.75755508856699,-41.90382680806199,-42.40439541828637,0.04121475054229935,3
RTY,rnd,-60.78153757772755,-78.02821857673358,-61.04823458449279,-79.01756272101657,1.0,2
RTY,orb,-3.719963988689852,12.284472122320016,-3.50543623187686,12.164271431893116,-0.06566604127579738,7
RTY,orb,-3.9226846433592115,-2.044304703383022,-3.9324359050325275,-2.0396815999050646,0.13513513513513514,7
RTY,rev,-53.72343744137937,24.74800877553583,-53.970144361714304,22.538165313071936,0.06916890080428954,3
RTY,vwr,-22.10679487913538,-113.95865587420549,-21.746973323389952,-116.47824726969253,0.03864734299516908,5
RTY,sqz,-2.2244603235069325,4.673481666449264,-2.302470416893475,5.635087189864522,0.08333333333333333,8
RTY,rev,-74.44777501795298,138.34357157859603,-75.56429447954787,139.58256331068876,0.03253796095444685,2
RTY,xmk,-27.747754944047408,-34.37046648614228,-28.534681761084155,-49.788516585132086,0.044229791560752414,4
RTY,imp,-160.83319873864474,-93.28410514717984,-160.73763637424622,-90.27908788650717,-0.027895181741335588,1
RTY,imp,4.654131742444621,-50.05714495374709,2.0559080695891097,-47.03363527916258,0.11595866819747416,8
RTY,imp,-4.667050425889644,-29.112206605899285,-4.623169748359713,-28.723865913750803,0.0018867924528301887,7
RTY,rnd,-32.49763333977494,-124.97407253973007,-19.605977844565185,-81.0777050165192,-1.0,5
RTY,vwr,-56.253811541285856,-52.16688473362067,-56.95005162476074,-55.14416337342561,0.1100685673042223,3
RTY,rev,-69.37248662127907,-79.02917776521693,-69.11797869160547,-77.22616740881332,-0.09770453207769277,2
RTY,rev,-68.32310543228334,-70.03073997295252,-68.2782496285861,-69.28179720952332,0.053811659192825115,2
RTY,vwr,-29.27011944049408,-44.14459405154691,-29.87030959648679,-46.06318199489947,0.07485913603434398,4
RTY,vwr,-39.27784146802596,-29.79896644847132,-39.16765221111747,-29.290425065895942,-0.1204730229120473,3
RTY,vwr,-70.08664045433665,-105.91721599495719,-70.65903951456039,-104.66897805590854,-0.034229137199434226,2
RTY,rnd,-36.01402164357209,25.912000274911005,-15.445197832959241,88.65676067775655,-1.0,5
RTY,rev,-55.595957421721046,-7.176076108226776,-55.820724003291,-6.62592679434979,0.053597295992274266,3
RTY,sqz,-28.239993817128283,-118.40105356747404,-31.42085537496455,-125.35420119832281,0.04169562195969423,4
RTY,imp,82.19378441560804,116.3083933650275,84.12697204234328,113.14619058610423,-0.003861003861003861,9
RTY,xmk,-27.2066464317218,146.37559166016143,-25.514802531401205,131.36899777070988,0.015342960288808664,4
RTY,imp,-177.5895177937077,-200.98508251639842,-177.616821326393,-201.84960286677656,0.0631447681668745,0
RTY,xmk,-92.98199448682949,-0.08518262654982432,-93.93274249997798,2.013706352443093,0.05737316263632053,1
