contract,split,mech,n,tr,ho,tpw,ctl,beat
HGZ4,0.5,imp,167,7.5731585297217165,-3.7793231793669078,9.492827868852459,-4.252882727548319,True
HGZ4,0.5,rev,167,4.0094491855913414,0.1884574663136016,11.818647540983608,-4.252882727548319,True
HGZ4,0.5,rnd,183,2.785001909426297,-4.252882727548319,6.63479052823315,-4.252882727548319,False
HGZ4,0.5,sqz,68,9.689824670654295,-1.1315894869323115,6.502732240437159,-4.252882727548319,True
HGZ4,0.5,vol,15,-1.7495223212957984,-6.713119713851861,7.3770491803278695,-4.252882727548319,False
HGZ4,0.5,vwr,148,5.569433582513493,-2.754936873449646,8.032786885245901,-4.252882727548319,True
HGZ4,0.6,imp,168,7.098148275114431,-4.447216735800023,9.959016393442624,-3.1040434386630085,False
HGZ4,0.6,rev,167,4.430548822495657,0.049043546215300715,11.234631147540984,-3.1040434386630085,True
HGZ4,0.6,rnd,184,1.9973343772125491,-3.1040434386630085,8.214936247723134,-3.1040434386630085,False
HGZ4,0.6,sqz,68,8.886064001745558,-7.080682274097289,5.382513661202186,-3.1040434386630085,False
HGZ4,0.6,vol,16,-2.8898174329390045,-6.247830255882782,7.3770491803278695,-3.1040434386630085,False
HGZ4,0.6,vwr,149,4.972681761095742,-3.9901346761889975,11.768149882903982,-3.1040434386630085,False
HGZ4,0.7,imp,166,6.3714020580938175,-2.022981505176422,10.445696721311476,-1.7756362638263645,False
HGZ4,0.7,rev,166,2.4729414532622913,5.934249067113676,13.135245901639346,-1.7756362638263645,True
HGZ4,0.7,rnd,180,2.015310837002821,-1.7756362638263645,7.071948998178508,-1.7756362638263645,False
HGZ4,0.7,sqz,66,5.829087174261237,-0.6875544795038824,5.286885245901639,-1.7756362638263645,True
HGZ4,0.7,vol,16,-3.0902724245818582,-8.370835912902388,7.3497267759562845,-1.7756362638263645,False
HGZ4,0.7,vwr,146,4.5912722614880375,-0.1423244529505538,9.314988290398125,-1.7756362638263645,True
HGZ4,0.8,imp,160,5.776300185837582,-2.6404991455681253,12.889344262295083,-1.8841834485018492,False
HGZ4,0.8,rev,157,3.3066169740603564,4.900186869394167,13.799765807962528,-1.8841834485018492,True
HGZ4,0.8,rnd,157,0.5577229548583909,-1.8841834485018492,8.26112412177986,-1.8841834485018492,False
HGZ4,0.8,sqz,55,4.123102683416309,12.585679922432611,8.01912568306011,-1.8841834485018492,True
HGZ4,0.8,vol,13,-2.940186883600839,-7.718858737003096,7.3770491803278695,-1.8841834485018492,False
HGZ4,0.8,vwr,144,5.2454788581134695,-0.9176292515358375,9.754098360655737,-1.8841834485018492,True
HGZ5,0.5,imp,163,10.673008700694515,-0.5233295586429731,7.653688524590164,-3.6815879429767424,True
HGZ5,0.5,rev,163,12.048473455442682,4.798027220749643,8.422131147540984,-3.6815879429767424,True
HGZ5,0.5,rnd,167,5.926705168768423,-3.6815879429767424,5.256147540983607,-3.6815879429767424,False
HGZ5,0.5,sqz,61,12.582353857580486,-5.434082335901159,7.418032786885246,-3.6815879429767424,False
HGZ5,0.5,vol,11,2.6457336176695225,0.9760584593655137,6.5437158469945365,-3.6815879429767424,True
HGZ5,0.5,vwr,145,11.884242798715338,3.830468628460501,8.39578454332553,-3.6815879429767424,True
HGZ5,0.6,imp,164,8.660592887810601,2.0931537039590156,9.989754098360656,-4.251737937826769,True
HGZ5,0.6,rev,163,9.44155971562348,6.126542380838941,9.90266393442623,-4.251737937826769,True
HGZ5,0.6,rnd,169,5.634751559328532,-4.251737937826769,4.85655737704918,-4.251737937826769,False
HGZ5,0.6,sqz,63,12.445177346227629,-5.542772904802611,5.833333333333333,-4.251737937826769,False
HGZ5,0.6,vol,12,3.2913539677594605,0.0023044316629041717,6.5437158469945365,-4.251737937826769,True
HGZ5,0.6,vwr,149,11.951762719091565,-0.5777392353097168,10.714285714285717,-4.251737937826769,True
HGZ5,0.7,imp,160,8.50184209624899,-0.853694171327366,6.977459016393443,-9.730633083480969,True
HGZ5,0.7,rev,158,9.771316904686028,13.725663599315897,10.345433255269322,-9.730633083480969,True
HGZ5,0.7,rnd,153,2.206322708858487,-9.730633083480969,6.943793911007027,-9.730633083480969,False
HGZ5,0.7,sqz,58,11.733975857998972,2.16566968151148,6.7349726775956285,-9.730633083480969,True
HGZ5,0.7,vol,11,2.7028700557326126,0.5164704963551818,6.5437158469945365,-9.730633083480969,True
HGZ5,0.7,vwr,146,12.379828081090803,0.6925848958186144,11.615925058548012,-9.730633083480969,True
HGZ5,0.8,imp,144,6.543215001998609,6.981648204217341,10.28688524590164,7.156659643259903,False
HGZ5,0.8,rev,148,11.206253034923408,7.093334206629295,10.345433255269322,7.156659643259903,False
HGZ5,0.8,rnd,125,0.7278266606884615,7.156659643259903,13.244535519125684,7.156659643259903,False
HGZ5,0.8,sqz,50,5.550227971400974,-2.5840564315975443,8.183060109289618,7.156659643259903,False
HGZ5,0.8,vol,7,-1.8993615983669254,-1.4774887846998377,9.41256830601093,7.156659643259903,False
HGZ5,0.8,vwr,138,10.728003450483776,6.8569416972282395,8.750000000000002,7.156659643259903,False
