cond,mech,tpw,tr,ho,trpos,both
full cost today,vol,104.07817109144543,-3.3475177019787177,-3.4555042397203586,False,False
no exit slippage,vol,104.07817109144543,-2.9897328503730627,-3.102211698927818,False,False
no commission,vol,104.07817109144543,-1.5475177019787179,-1.6555042397203583,False,False
lifetime plan + stop-limit,vol,104.07817109144543,-2.250846791015324,-2.3615287152448325,False,False
frictionless,vol,104.07817109144543,-1.1897328503730629,-1.3022116989278176,False,False
full cost today,imp,8.08259587020649,-2.8436861533604647,-5.307484686122502,False,False
no exit slippage,imp,8.08259587020649,-2.486722539809649,-4.937919468731197,False,False
no commission,imp,8.08259587020649,-1.0436861533604647,-3.507484686122502,False,False
lifetime plan + stop-limit,imp,8.08259587020649,-1.7475079852299749,-4.203745555687719,False,False
frictionless,imp,8.08259587020649,-0.686722539809649,-3.137919468731198,False,False
full cost today,orb,3.7831858407079646,-3.1812512804371016,-0.838362905873665,False,False
no exit slippage,orb,3.7831858407079646,-2.722365338792539,-0.3971864352854298,False,False
no commission,orb,3.7831858407079646,-1.381251280437102,0.9616370941263346,False,False
lifetime plan + stop-limit,orb,3.7831858407079646,-2.0239197154503636,0.3083429764792765,False,False
frictionless,orb,3.7831858407079646,-0.9223653387925396,1.4028135647145699,False,False
full cost today,vol,10.575221238938054,-5.588824883771767,-5.086727058650767,False,False
no exit slippage,vol,10.575221238938054,-5.257935791196148,-4.757280994510825,False,False
no commission,vol,10.575221238938054,-3.7888248837717673,-3.286727058650768,False,False
lifetime plan + stop-limit,vol,10.575221238938054,-4.508291428226396,-4.0070594201668035,False,False
frictionless,vol,10.575221238938054,-3.457935791196149,-2.9572809945108265,False,False
full cost today,sqz,35.16224188790561,-4.226694182904456,-3.803855783405857,False,False
no exit slippage,sqz,35.16224188790561,-3.881079164692072,-3.4594020719796688,False,False
no commission,sqz,35.16224188790561,-2.426694182904457,-2.0038557834058577,False,False
lifetime plan + stop-limit,sqz,35.16224188790561,-3.1373251719770248,-2.7151835565501443,False,False
frictionless,sqz,35.16224188790561,-2.0810791646920723,-1.6594020719796692,False,False
full cost today,orb,4.786135693215339,-3.0062110567359586,-2.157791848261169,False,False
no exit slippage,orb,4.786135693215339,-2.6176693900692913,-1.7790936234090977,False,False
no commission,orb,4.786135693215339,-1.2062110567359576,-0.3577918482611688,False,False
lifetime plan + stop-limit,orb,4.786135693215339,-1.8910860567359564,-1.0485729133499266,False,False
frictionless,orb,4.786135693215339,-0.8176693900692911,0.020906376590902206,False,False
full cost today,imp,5.626843657817109,-3.2736570588730496,-4.688005117952816,False,False
no exit slippage,imp,5.626843657817109,-2.9339876373854463,-4.346232966054082,False,False
no commission,imp,5.626843657817109,-1.4736570588730502,-2.888005117952818,False,False
lifetime plan + stop-limit,imp,5.626843657817109,-2.187855405980487,-3.6009418268135778,False,False
frictionless,imp,5.626843657817109,-1.1339876373854467,-2.5462329660540837,False,False
full cost today,rev,11.401179941002951,-7.717995427123854,-0.569003694141635,False,False
no exit slippage,rev,11.401179941002951,-7.323496248141916,-0.18943052340992772,False,False
no commission,rev,11.401179941002951,-5.917995427123855,1.2309963058583646,False,False
lifetime plan + stop-limit,rev,11.401179941002951,-6.599295919734691,0.5407402082973882,False,False
frictionless,rev,11.401179941002951,-5.5234962481419165,1.6105694765900718,False,False
full cost today,sqz,9.78613569321534,-3.4162427369900583,-5.586079039988067,False,False
no exit slippage,sqz,9.78613569321534,-3.006604182773191,-5.164628888930665,False,False
no commission,sqz,9.78613569321534,-1.6162427369900587,-3.7860790399880666,False,False
lifetime plan + stop-limit,sqz,9.78613569321534,-2.2884596044599363,-4.451208949353624,False,False
frictionless,sqz,9.78613569321534,-1.2066041827731913,-3.364628888930665,False,False
full cost today,rev,49.32153392330384,-3.694386905298576,-4.9359524140865725,False,False
no exit slippage,rev,49.32153392330384,-3.3117790858709255,-4.532418231004301,False,False
no commission,rev,49.32153392330384,-1.894386905298576,-3.135952414086573,False,False
lifetime plan + stop-limit,rev,49.32153392330384,-2.582822213641986,-3.8118319042372106,False,False
frictionless,rev,49.32153392330384,-1.511779085870926,-2.732418231004302,False,False
full cost today,vol,3.466076696165192,-4.073175903412014,-1.6690513225566481,False,False
