20250611 154300;6107.5;6107.5;6105.75;6106.25;35
20250611 154400;6106.5;6107.25;6106.25;6106.5;8
20250611 154500;6106;6106;6104.75;6105.5;17
20250611 154600;6105.75;6106;6105.75;6105.75;7
20250611 154700;6106.25;6107.5;6105.5;6107.5;13
20250611 154800;6107.75;6107.75;6106.25;6106.25;9
20250611 154900;6106;6106;6101.25;6102;58
20250611 155000;6101.75;6104.5;6100;6104.5;26
20250611 155100;6104.75;6104.75;6103;6103.75;15
20250611 155200;6104.25;6106;6104.25;6106;10
20250611 155300;6106.25;6106.5;6106;6106.25;21
20250611 155400;6106.75;6108.25;6106.75;6108.25;15
20250611 155500;6108.75;6109.75;6108.5;6109.75;19
20250611 155600;6108;6108.5;6106.75;6106.75;6
20250611 155700;6105.5;6106;6105.25;6106;16
20250611 155800;6106;6106.25;6104.5;6104.5;7
20250611 155900;6104.5;6104.5;6102.75;6104;34
20250611 160000;6103.75;6105;6102.75;6103.25;42
20250611 160100;6103.5;6105;6103.5;6104.75;50
20250611 160200;6105.75;6106;6103.5;6103.5;34
20250611 160300;6103.25;6103.75;6102.25;6102.25;46
20250611 160400;6102.25;6103.25;6101.25;6103;109
20250611 160500;6102.5;6103;6100;6101.25;23
20250611 160600;6101.25;6101.25;6097.75;6099;91
20250611 160700;6099.25;6099.25;6095.25;6095.25;93
20250611 160800;6095;6097;6092;6096.75;115
20250611 160900;6096.5;6097.5;6096.25;6096.5;61
20250611 161000;6096.5;6099;6096.25;6097.75;67
20250611 161100;6097.75;6098;6092;6092.5;177
20250611 161200;6092.5;6093.25;6090;6092.75;130
20250611 161300;6092.75;6096;6092.5;6096;50
20250611 161400;6095.25;6097.5;6095;6097.5;71
20250611 161500;6098;6098;6095.25;6095.5;24
20250611 161600;6095.5;6097.25;6095.5;6096.5;13
20250611 161700;6096.5;6096.5;6095.25;6096.5;20
20250611 161800;6097;6097;6093.75;6093.75;21
20250611 161900;6093.5;6094;6092;6093.5;42
20250611 162000;6094;6094;6090;6092;62
20250611 162100;6091.75;6092;6090;6090.75;93
20250611 162200;6090.75;6091.25;6087.25;6091.25;109
20250611 162300;6091.25;6091.75;6090.25;6091.5;72
20250611 162400;6092;6094;6092;6093.75;71
20250611 162500;6094;6094;6092;6092.25;37
20250611 162600;6093;6094.75;6092.5;6094.75;33
20250611 162700;6094;6096.25;6093.5;6095.75;34
20250611 162800;6096.25;6098.25;6096.25;6098.25;30
20250611 162900;6098;6099.25;6098;6098.25;25
20250611 163000;6098.25;6099.75;6097.75;6099.75;36
20250611 163100;6099.5;6101.75;6099.5;6100.75;81
20250611 163200;6100.75;6102.75;6100.75;6102.75;25
20250611 163300;6103;6103;6099.5;6101;52
20250611 163400;6101.25;6101.25;6100;6100.25;24
20250611 163500;6100.25;6101.25;6100;6100;21
20250611 163600;6100.25;6100.75;6096.75;6096.75;33
20250611 163700;6097;6098;6095;6097.25;32
20250611 163800;6097.5;6097.5;6096;6096.25;26
20250611 163900;6096.25;6099;6096;6099;27
20250611 164000;6098.75;6099;6096.75;6096.75;25
20250611 164100;6096.25;6097;6095;6097;59
20250611 164200;6096.75;6096.75;6095.25;6095.5;41
