name,trades,wr,pnl,per_day,per_trade,n_days,max_dd,worst_day,best_day,trades_per_day,sharpe
H17_LONG_5min_15_45,280,0.4,849.541999999969,20.720536585365096,3.0340785714284606,41,-680.5669999999743,-232.5999999999773,309.9019999999969,6.829268292682927,0.16222688535267976
H17_LONG_SINGLE_20_60,41,0.4634146341463415,422.60800000001126,10.307512195122225,10.307512195122225,41,-196.69200000000137,-46.45800000000076,119.15799999999378,1.0,0.1820333791336362
H19_LONG_SINGLE_10_20,41,0.5365853658536586,369.93199999999723,9.022731707317005,9.022731707317005,41,-90.95199999999113,-23.651999999996622,39.624000000001395,1.0,0.3031616033558508
H17_LONG_SINGLE_30_30,41,0.5609756097560976,249.63800000001004,6.088731707317318,6.088731707317318,41,-296.69200000000137,-66.45800000000075,59.74200000000361,1.0,0.12178449174914827
H17_LONG_10min_10_20,221,0.4117647058823529,232.228999999993,5.664121951219341,1.0508099547510996,41,-509.607999999967,-137.70599999999598,164.22000000001077,5.390243902439025,0.07277755864726888
H17_LONG_SINGLE_40_40,41,0.5365853658536586,191.41400000000817,4.668634146341663,4.668634146341663,41,-396.69200000000137,-86.45800000000075,79.74200000000361,1.0,0.07830530478169964
H06_LONG_SINGLE_10_20,42,0.5238095238095238,183.3870000000187,4.366357142857588,4.366357142857588,42,-158.94899999999757,-26.172000000000697,39.08800000000134,1.0,0.16689843692901427
H20_SHORT_SINGLE_10_20,41,0.43902439024390244,159.46700000002988,3.8894390243909727,3.8894390243909727,41,-123.06699999997409,-28.598000000000173,39.512000000000405,1.0,0.13123501315668107
H00_LONG_SINGLE_10_20,43,0.46511627906976744,122.9980000000139,2.860418604651486,2.860418604651486,43,-135.08999999999162,-33.805999999998896,42.883999999996156,1.0,0.09810437976590082
H17_LONG_SINGLE_10_20,41,0.4146341463414634,95.74100000000564,2.335146341463552,2.335146341463552,41,-188.0680000000031,-25.08599999999773,39.74200000000361,1.0,0.08098116712374752
H22_LONG_SINGLE_10_20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
H20_SHORT_10min_10_20,78,0.38461538461538464,-10.803999999987955,-0.23486956521712946,-0.13851282051266608,46,-229.8029999999673,-52.7519999999972,77.46600000000355,1.6956521739130435,-0.006682878577484332
H07_LONG_SINGLE_10_20,43,0.37209302325581395,-17.832999999984438,-0.4147209302321962,-0.4147209302321962,43,-160.30499999999768,-31.28200000000128,45.41000000000145,1.0,-0.014483150712883724
H19_LONG_10min_10_20,225,0.38666666666666666,-35.61399999985571,-0.8686341463379441,-0.15828444444380316,41,-526.4409999999326,-139.51999999999447,168.94400000001477,5.487804878048781,-0.010265775845069082
H20_SHORT_5min_8_16,109,0.3669724770642202,-127.94099999996608,-2.8431333333325797,-1.1737706422015237,45,-301.9759999999734,-64.78599999999162,61.21000000000961,2.422222222222222,-0.07383741050195787
H02_SHORT_SINGLE_10_20,43,0.32558139534883723,-137.18599999997264,-3.1903720930226194,-3.1903720930226194,43,-242.4939999999673,-26.129999999999416,43.39400000000547,1.0,-0.1258838682593324
H20_SHORT_5min_RR1,112,0.5178571428571429,-145.2799999999648,-3.3018181818173815,-1.2971428571425427,44,-262.3719999999755,-76.78599999999162,55.388000000000176,2.5454545454545454,-0.09968655665037954
H14_LONG_SINGLE_10_20,41,0.34146341463414637,-165.73400000000748,-4.042292682927012,-4.042292682927012,41,-312.3560000000019,-33.299999999997674,45.891999999997786,1.0,-0.13948559828764315
H17_LONG_2min_10_20,673,0.3818722139673105,-171.58099999989224,-4.184902439021762,-0.2549494799404045,41,-1103.6030000000057,-327.16599999999625,315.78400000000573,16.414634146341463,-0.03262400094592696
H00_LONG_10min_10_20,231,0.4025974025974026,-230.55599999995076,-5.36176744185932,-0.998077922077709,43,-629.586999999981,-141.97599999999278,114.01999999999911,5.372093023255814,-0.091643020411925
H15_SHORT_SINGLE_10_20,41,0.24390243902439024,-295.25600000000463,-7.20136585365865,-7.20136585365865,41,-309.4780000000029,-24.99600000000122,39.75400000000605,1.0,-0.27494421633062055
H05_SHORT_SINGLE_10_20,42,0.2857142857142857,-311.53100000000086,-7.417404761904782,-7.417404761904782,42,-370.30600000000084,-25.812000000000115,39.349999999996506,1.0,-0.308179587090847
H18_SHORT_SINGLE_10_20,41,0.24390243902439024,-363.8410000000111,-8.874170731707588,-8.874170731707588,41,-355.93100000000896,-24.901999999996622,38.67999999999825,1.0,-0.36251960665631694
H05_SHORT_10min_10_20,205,0.4,-365.0920000000506,-8.490511627908154,-1.7809365853661003,43,-434.5570000000399,-134.5120000000001,111.66199999999166,4.767441860465116,-0.15767853146589877
