n,tr_day,wr,per_day,per_trade,maxDD,sharpe,worst_q,n_folds,pos_folds,name,fam,mode
40337,51.8,29.4,-207.4,-4.0,161356.0,-24.4,-278.1,13,0,FADE5w3_s14.5-21.0_w50_trailS30.0T0.0B0.0tr8.0,imp,trail
31408,40.5,35.0,-154.8,-3.83,120502.0,-13.05,-230.2,13,0,FADE5w3_s14.5-21.0_w50_trailS30.0T0.0B0.0tr15.0,imp,trail
26817,34.6,38.3,-113.0,-3.27,87853.0,-8.37,-186.6,13,0,FADE5w3_s14.5-21.0_w50_trailS40.0T0.0B0.0tr20.0,imp,trail
35013,45.1,32.8,-175.6,-3.89,136336.0,-16.19,-233.8,13,0,FADE5w3_s14.5-21.0_w50_trailS30.0T60.0B0.0tr12.0,imp,trail
25949,33.4,27.8,-87.4,-2.61,68125.0,-6.7,-148.7,13,0,FADE5w3_s14.5-21.0_w50_beS20.0T40.0B10.0tr0.0,imp,be
21436,27.6,35.7,-56.1,-2.03,43915.0,-3.76,-126.2,13,1,FADE5w3_s14.5-21.0_w50_beS30.0T60.0B15.0tr0.0,imp,be
31532,40.6,34.2,-154.9,-3.81,120453.0,-13.24,-236.3,13,0,FADE5w3_s14.5-21.0_w50_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
27038,34.8,37.1,-113.7,-3.26,88577.0,-8.55,-189.9,13,0,FADE5w3_s14.5-21.0_w50_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
22248,28.7,42.9,-58.5,-2.04,46358.0,-3.98,-110.4,13,0,FADE5w3_s14.5-21.0_w50_fixedS20.0T40.0B0.0tr0.0,imp,fixed
19307,24.9,46.6,-37.2,-1.5,30794.0,-2.39,-76.2,13,2,FADE5w3_s14.5-21.0_w50_fixedS30.0T60.0B0.0tr0.0,imp,fixed
55452,70.5,29.7,-268.2,-3.81,211218.0,-24.49,-381.1,13,0,FADE5w3_s14.5-21.0_a50_trailS30.0T0.0B0.0tr8.0,imp,trail
40520,51.6,34.6,-192.9,-3.74,151636.0,-12.95,-324.1,13,0,FADE5w3_s14.5-21.0_a50_trailS30.0T0.0B0.0tr15.0,imp,trail
