n,tr_day,wr,per_day,per_trade,maxDD,sharpe,worst_q,n_folds,pos_folds,name,fam,mode
5707,7.5,40.7,-13.1,-1.75,13254.0,-1.54,-61.9,13,2,FADE8w3_s14.5-16.0_w50_fixedS20.0T40.0B0.0tr0.0,imp,fixed
4801,6.3,45.6,-4.0,-0.64,6866.0,-0.43,-62.5,13,4,FADE8w3_s14.5-16.0_w50_fixedS30.0T60.0B0.0tr0.0,imp,fixed
13807,18.0,29.2,-69.1,-3.84,53191.0,-14.48,-96.4,13,0,FADE8w3_s14.5-16.0_a50_trailS30.0T0.0B0.0tr8.0,imp,trail
11086,14.4,33.2,-57.2,-3.96,44421.0,-7.45,-106.2,13,1,FADE8w3_s14.5-16.0_a50_trailS30.0T0.0B0.0tr15.0,imp,trail
9431,12.3,35.3,-49.3,-4.01,38017.0,-5.75,-98.7,13,0,FADE8w3_s14.5-16.0_a50_trailS40.0T0.0B0.0tr20.0,imp,trail
12262,16.0,31.7,-62.3,-3.9,47994.0,-9.74,-108.7,13,0,FADE8w3_s14.5-16.0_a50_trailS30.0T60.0B0.0tr12.0,imp,trail
9177,11.9,22.2,-41.1,-3.44,32066.0,-4.73,-87.3,13,1,FADE8w3_s14.5-16.0_a50_beS20.0T40.0B10.0tr0.0,imp,be
7132,9.3,29.4,-32.7,-3.52,26062.0,-3.17,-96.7,13,3,FADE8w3_s14.5-16.0_a50_beS30.0T60.0B15.0tr0.0,imp,be
11121,14.5,32.6,-55.9,-3.86,43475.0,-7.26,-103.7,13,1,FADE8w3_s14.5-16.0_a50_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
9520,12.4,34.3,-49.2,-3.97,37960.0,-5.77,-104.3,13,0,FADE8w3_s14.5-16.0_a50_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
7663,10.0,39.1,-30.1,-3.01,23737.0,-3.01,-79.4,13,0,FADE8w3_s14.5-16.0_a50_fixedS20.0T40.0B0.0tr0.0,imp,fixed
6136,8.0,42.6,-34.4,-4.3,27874.0,-3.13,-86.0,13,1,FADE8w3_s14.5-16.0_a50_fixedS30.0T60.0B0.0tr0.0,imp,fixed
180689,192.6,30.2,-763.1,-3.96,716929.0,-22.21,-1172.2,13,0,MOM5w3_trailS30.0T0.0B0.0tr8.0,imp,trail
119940,127.9,36.2,-464.9,-3.64,437120.0,-15.14,-787.4,13,0,MOM5w3_trailS30.0T0.0B0.0tr15.0,imp,trail
99669,106.3,39.2,-345.4,-3.25,325005.0,-11.87,-671.2,13,0,MOM5w3_trailS40.0T0.0B0.0tr20.0,imp,trail
139857,149.1,34.0,-564.5,-3.79,530307.0,-17.69,-953.5,13,0,MOM5w3_trailS30.0T60.0B0.0tr12.0,imp,trail
99455,106.0,30.8,-306.3,-2.89,288302.0,-11.28,-614.5,13,0,MOM5w3_beS20.0T40.0B10.0tr0.0,imp,be
81639,87.0,37.4,-211.6,-2.43,199148.0,-8.09,-408.9,13,0,MOM5w3_beS30.0T60.0B15.0tr0.0,imp,be
120549,128.5,35.6,-465.4,-3.62,437599.0,-15.03,-793.0,13,0,MOM5w3_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
100617,107.3,38.2,-349.6,-3.26,329062.0,-12.15,-673.1,13,0,MOM5w3_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
85904,91.6,42.6,-203.7,-2.22,191878.0,-7.59,-427.1,13,0,MOM5w3_fixedS20.0T40.0B0.0tr0.0,imp,fixed
75181,80.2,44.9,-144.1,-1.8,136440.0,-5.57,-268.3,13,0,MOM5w3_fixedS30.0T60.0B0.0tr0.0,imp,fixed
122350,130.4,30.1,-527.5,-4.04,495584.0,-21.89,-802.4,13,0,MOM5w3_w50_trailS30.0T0.0B0.0tr8.0,imp,trail
88197,94.0,36.4,-339.3,-3.61,318789.0,-15.53,-541.5,13,0,MOM5w3_w50_trailS30.0T0.0B0.0tr15.0,imp,trail
76760,81.8,39.2,-268.3,-3.28,252500.0,-12.14,-442.4,13,0,MOM5w3_w50_trailS40.0T0.0B0.0tr20.0,imp,trail
99373,105.9,34.1,-403.6,-3.81,379172.0,-17.83,-659.1,13,0,MOM5w3_w50_trailS30.0T60.0B0.0tr12.0,imp,trail
77712,82.8,30.9,-240.4,-2.9,226529.0,-11.79,-431.9,13,0,MOM5w3_w50_beS20.0T40.0B10.0tr0.0,imp,be
66852,71.3,37.5,-168.6,-2.37,158992.0,-7.78,-281.5,13,0,MOM5w3_w50_beS30.0T60.0B15.0tr0.0,imp,be
88562,94.4,35.8,-340.4,-3.61,319841.0,-15.54,-544.0,13,0,MOM5w3_w50_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
77353,82.5,38.4,-268.7,-3.26,252686.0,-12.52,-436.2,13,0,MOM5w3_w50_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
70244,74.9,42.3,-181.8,-2.43,171705.0,-8.68,-304.9,13,0,MOM5w3_w50_fixedS20.0T40.0B0.0tr0.0,imp,fixed
63209,67.4,44.7,-133.7,-1.98,126318.0,-5.94,-229.4,13,0,MOM5w3_w50_fixedS30.0T60.0B0.0tr0.0,imp,fixed
85646,91.7,30.6,-352.5,-3.84,329745.0,-19.12,-570.6,13,0,MOM5w3_a50_trailS30.0T0.0B0.0tr8.0,imp,trail
65976,70.6,36.7,-248.9,-3.52,232865.0,-12.88,-437.1,13,0,MOM5w3_a50_trailS30.0T0.0B0.0tr15.0,imp,trail
58846,63.0,40.1,-200.2,-3.18,187399.0,-10.81,-380.6,13,0,MOM5w3_a50_trailS40.0T0.0B0.0tr20.0,imp,trail
72651,77.8,34.3,-290.4,-3.73,271623.0,-15.27,-492.3,13,0,MOM5w3_a50_trailS30.0T60.0B0.0tr12.0,imp,trail
59195,63.4,31.8,-189.7,-2.99,177658.0,-9.93,-332.2,13,0,MOM5w3_a50_beS20.0T40.0B10.0tr0.0,imp,be
52383,56.1,38.7,-148.0,-2.64,138711.0,-7.26,-300.9,13,0,MOM5w3_a50_beS30.0T60.0B15.0tr0.0,imp,be
66198,70.9,36.1,-248.8,-3.51,232728.0,-12.9,-440.2,13,0,MOM5w3_a50_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
59174,63.4,39.3,-202.0,-3.19,189101.0,-10.92,-383.1,13,0,MOM5w3_a50_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
54120,57.9,43.2,-145.0,-2.5,135869.0,-7.83,-298.0,13,0,MOM5w3_a50_fixedS20.0T40.0B0.0tr0.0,imp,fixed
49802,53.3,45.5,-123.9,-2.32,116170.0,-6.1,-259.5,13,0,MOM5w3_a50_fixedS30.0T60.0B0.0tr0.0,imp,fixed
78301,99.4,29.0,-415.1,-4.18,327706.0,-29.04,-608.3,13,0,MOM5w3_s14.5-21.0_trailS30.0T0.0B0.0tr8.0,imp,trail
50550,64.3,33.8,-261.0,-4.06,205586.0,-15.08,-416.6,13,0,MOM5w3_s14.5-21.0_trailS30.0T0.0B0.0tr15.0,imp,trail
40215,51.2,37.1,-190.1,-3.72,150024.0,-10.5,-349.1,13,0,MOM5w3_s14.5-21.0_trailS40.0T0.0B0.0tr20.0,imp,trail
60264,76.5,32.0,-320.7,-4.19,252960.0,-19.12,-506.9,13,0,MOM5w3_s14.5-21.0_trailS30.0T60.0B0.0tr12.0,imp,trail
40023,51.0,25.9,-156.5,-3.07,123543.0,-9.18,-288.4,13,0,MOM5w3_s14.5-21.0_beS20.0T40.0B10.0tr0.0,imp,be
30416,38.8,33.5,-118.4,-3.05,93438.0,-6.23,-234.6,13,0,MOM5w3_s14.5-21.0_beS30.0T60.0B15.0tr0.0,imp,be
50889,64.8,33.2,-262.5,-4.05,206520.0,-15.18,-424.2,13,0,MOM5w3_s14.5-21.0_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
40745,51.9,35.8,-193.1,-3.72,152332.0,-10.55,-358.2,13,0,MOM5w3_s14.5-21.0_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
32596,41.6,41.6,-97.6,-2.35,77141.0,-5.63,-225.6,13,0,MOM5w3_s14.5-21.0_fixedS20.0T40.0B0.0tr0.0,imp,fixed
26749,34.2,44.8,-76.3,-2.23,59865.0,-4.02,-197.8,13,0,MOM5w3_s14.5-21.0_fixedS30.0T60.0B0.0tr0.0,imp,fixed
51821,66.1,28.7,-285.5,-4.32,224160.0,-26.19,-420.0,13,0,MOM5w3_s14.5-21.0_w50_trailS30.0T0.0B0.0tr8.0,imp,trail
35911,45.8,33.9,-192.3,-4.2,150791.0,-14.14,-289.8,13,0,MOM5w3_s14.5-21.0_w50_trailS30.0T0.0B0.0tr15.0,imp,trail
30020,38.2,37.3,-145.0,-3.79,114113.0,-9.69,-253.2,13,0,MOM5w3_s14.5-21.0_w50_trailS40.0T0.0B0.0tr20.0,imp,trail
41443,52.7,31.9,-227.2,-4.31,178790.0,-17.7,-343.2,13,0,MOM5w3_s14.5-21.0_w50_trailS30.0T60.0B0.0tr12.0,imp,trail
30566,39.0,26.2,-130.1,-3.34,102310.0,-8.99,-237.1,13,0,MOM5w3_s14.5-21.0_w50_beS20.0T40.0B10.0tr0.0,imp,be
24679,31.5,34.2,-81.1,-2.58,63694.0,-4.83,-124.4,13,0,MOM5w3_s14.5-21.0_w50_beS30.0T60.0B15.0tr0.0,imp,be
36109,46.1,33.2,-191.2,-4.15,149935.0,-14.35,-293.0,13,0,MOM5w3_s14.5-21.0_w50_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
30325,38.6,36.3,-141.2,-3.65,110914.0,-9.62,-234.7,13,0,MOM5w3_s14.5-21.0_w50_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
26429,33.7,41.5,-89.9,-2.67,70746.0,-5.52,-170.5,13,0,MOM5w3_s14.5-21.0_w50_fixedS20.0T40.0B0.0tr0.0,imp,fixed
22653,28.9,45.0,-61.1,-2.12,49786.0,-3.5,-109.3,13,1,MOM5w3_s14.5-21.0_w50_fixedS30.0T60.0B0.0tr0.0,imp,fixed
37224,47.9,29.2,-197.8,-4.13,153883.0,-22.8,-286.3,13,0,MOM5w3_s14.5-21.0_a50_trailS30.0T0.0B0.0tr8.0,imp,trail
27637,35.6,33.8,-142.0,-3.99,110614.0,-11.93,-209.4,13,0,MOM5w3_s14.5-21.0_a50_trailS30.0T0.0B0.0tr15.0,imp,trail
23843,30.7,37.2,-118.0,-3.84,91793.0,-9.45,-194.1,13,0,MOM5w3_s14.5-21.0_a50_trailS40.0T0.0B0.0tr20.0,imp,trail
31050,40.0,31.8,-164.2,-4.1,127682.0,-15.49,-220.9,13,0,MOM5w3_s14.5-21.0_a50_trailS30.0T60.0B0.0tr12.0,imp,trail
24043,31.0,26.4,-104.9,-3.38,81890.0,-8.22,-168.6,13,0,MOM5w3_s14.5-21.0_a50_beS20.0T40.0B10.0tr0.0,imp,be
20236,26.1,34.2,-82.9,-3.18,64900.0,-5.82,-155.8,13,0,MOM5w3_s14.5-21.0_a50_beS30.0T60.0B15.0tr0.0,imp,be
27742,35.8,33.1,-141.5,-3.96,110107.0,-11.99,-208.1,13,0,MOM5w3_s14.5-21.0_a50_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
24048,31.0,36.0,-118.0,-3.81,91911.0,-9.36,-191.6,13,0,MOM5w3_s14.5-21.0_a50_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
21158,27.3,41.2,-79.3,-2.91,62059.0,-5.71,-168.6,13,0,MOM5w3_s14.5-21.0_a50_fixedS20.0T40.0B0.0tr0.0,imp,fixed
18693,24.1,44.5,-69.9,-2.9,55280.0,-4.54,-126.9,13,0,MOM5w3_s14.5-21.0_a50_fixedS30.0T60.0B0.0tr0.0,imp,fixed
23373,30.3,28.6,-130.9,-4.32,101104.0,-20.9,-177.5,13,0,MOM5w3_s14.5-16.0_trailS30.0T0.0B0.0tr8.0,imp,trail
15784,20.4,32.5,-87.7,-4.29,67844.0,-10.03,-134.9,13,0,MOM5w3_s14.5-16.0_trailS30.0T0.0B0.0tr15.0,imp,trail
12472,16.2,34.7,-63.2,-3.91,49223.0,-6.29,-113.3,13,0,MOM5w3_s14.5-16.0_trailS40.0T0.0B0.0tr20.0,imp,trail
18562,24.0,31.5,-101.8,-4.23,78673.0,-12.69,-159.5,13,0,MOM5w3_s14.5-16.0_trailS30.0T60.0B0.0tr12.0,imp,trail
12417,16.1,22.5,-51.8,-3.22,40484.0,-5.37,-93.8,13,1,MOM5w3_s14.5-16.0_beS20.0T40.0B10.0tr0.0,imp,be
9048,11.7,29.4,-39.0,-3.32,31001.0,-3.56,-106.1,13,1,MOM5w3_s14.5-16.0_beS30.0T60.0B15.0tr0.0,imp,be
15878,20.6,31.8,-87.2,-4.24,67444.0,-10.02,-137.6,13,0,MOM5w3_s14.5-16.0_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
12662,16.4,33.6,-63.8,-3.89,49629.0,-6.37,-115.0,13,0,MOM5w3_s14.5-16.0_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
9729,12.6,39.7,-31.1,-2.47,24368.0,-3.0,-61.3,13,1,MOM5w3_s14.5-16.0_fixedS20.0T40.0B0.0tr0.0,imp,fixed
7526,9.7,43.6,-20.0,-2.05,16774.0,-1.82,-75.3,13,3,MOM5w3_s14.5-16.0_fixedS30.0T60.0B0.0tr0.0,imp,fixed
15355,19.9,28.3,-87.8,-4.42,67896.0,-18.01,-122.6,13,0,MOM5w3_s14.5-16.0_w50_trailS30.0T0.0B0.0tr8.0,imp,trail
10932,14.2,32.8,-61.2,-4.32,47245.0,-8.58,-101.5,13,0,MOM5w3_s14.5-16.0_w50_trailS30.0T0.0B0.0tr15.0,imp,trail
9050,11.7,35.3,-44.5,-3.79,34503.0,-5.35,-73.0,13,0,MOM5w3_s14.5-16.0_w50_trailS40.0T0.0B0.0tr20.0,imp,trail
12527,16.2,31.7,-68.2,-4.21,52703.0,-10.8,-103.5,13,0,MOM5w3_s14.5-16.0_w50_trailS30.0T60.0B0.0tr12.0,imp,trail
9235,12.0,22.6,-40.9,-3.42,31935.0,-4.92,-64.9,13,0,MOM5w3_s14.5-16.0_w50_beS20.0T40.0B10.0tr0.0,imp,be
7181,9.3,30.2,-26.3,-2.82,20481.0,-2.72,-65.4,13,2,MOM5w3_s14.5-16.0_w50_beS30.0T60.0B15.0tr0.0,imp,be
10989,14.2,32.2,-60.6,-4.26,46805.0,-8.52,-104.0,13,0,MOM5w3_s14.5-16.0_w50_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
9163,11.9,34.1,-44.9,-3.78,34804.0,-5.6,-68.4,13,0,MOM5w3_s14.5-16.0_w50_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
7742,10.0,40.0,-23.3,-2.33,19473.0,-2.49,-50.8,13,1,MOM5w3_s14.5-16.0_w50_fixedS20.0T40.0B0.0tr0.0,imp,fixed
6317,8.2,44.5,-9.7,-1.18,11012.0,-0.93,-43.8,13,3,MOM5w3_s14.5-16.0_w50_fixedS30.0T60.0B0.0tr0.0,imp,fixed
10998,14.3,29.0,-59.5,-4.17,45923.0,-14.13,-89.3,13,0,MOM5w3_s14.5-16.0_a50_trailS30.0T0.0B0.0tr8.0,imp,trail
8306,10.8,32.2,-47.7,-4.43,37348.0,-7.27,-81.7,13,1,MOM5w3_s14.5-16.0_a50_trailS30.0T0.0B0.0tr15.0,imp,trail
7078,9.2,35.0,-40.4,-4.4,31642.0,-5.3,-95.5,13,1,MOM5w3_s14.5-16.0_a50_trailS40.0T0.0B0.0tr20.0,imp,trail
9289,12.0,31.2,-51.5,-4.27,40002.0,-9.04,-88.4,13,1,MOM5w3_s14.5-16.0_a50_trailS30.0T60.0B0.0tr12.0,imp,trail
7160,9.3,22.1,-37.3,-4.01,29448.0,-4.82,-75.1,13,1,MOM5w3_s14.5-16.0_a50_beS20.0T40.0B10.0tr0.0,imp,be
5822,7.6,30.0,-31.6,-4.18,25260.0,-3.44,-79.9,13,1,MOM5w3_s14.5-16.0_a50_beS30.0T60.0B15.0tr0.0,imp,be
8340,10.8,31.5,-46.8,-4.32,36638.0,-7.2,-76.0,13,1,MOM5w3_s14.5-16.0_a50_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
7136,9.3,33.8,-39.2,-4.24,30738.0,-5.14,-91.8,13,1,MOM5w3_s14.5-16.0_a50_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
6090,7.9,39.0,-31.3,-3.96,25115.0,-3.66,-87.9,13,1,MOM5w3_s14.5-16.0_a50_fixedS20.0T40.0B0.0tr0.0,imp,fixed
5209,6.8,42.8,-27.0,-4.0,22387.0,-2.75,-89.6,13,1,MOM5w3_s14.5-16.0_a50_fixedS30.0T60.0B0.0tr0.0,imp,fixed
138642,148.0,29.8,-598.2,-4.04,561620.0,-19.64,-1006.8,13,0,MOM8w3_trailS30.0T0.0B0.0tr8.0,imp,trail
98159,104.8,35.3,-403.7,-3.85,379360.0,-14.05,-734.0,13,0,MOM8w3_trailS30.0T0.0B0.0tr15.0,imp,trail
81565,87.0,38.4,-305.9,-3.51,288062.0,-11.16,-627.4,13,0,MOM8w3_trailS40.0T0.0B0.0tr20.0,imp,trail
113098,120.7,33.1,-479.1,-3.97,449532.0,-16.14,-863.5,13,0,MOM8w3_trailS30.0T60.0B0.0tr12.0,imp,trail
81274,86.7,28.8,-261.8,-3.02,246270.0,-10.01,-530.0,13,0,MOM8w3_beS20.0T40.0B10.0tr0.0,imp,be
65170,69.6,36.2,-173.3,-2.49,163256.0,-6.86,-383.2,13,0,MOM8w3_beS30.0T60.0B15.0tr0.0,imp,be
98658,105.3,34.6,-403.6,-3.83,379253.0,-13.95,-730.2,13,0,MOM8w3_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
82353,87.9,37.4,-306.8,-3.49,288586.0,-11.17,-639.1,13,0,MOM8w3_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
69109,73.8,42.2,-174.9,-2.37,164842.0,-6.43,-399.8,13,0,MOM8w3_fixedS20.0T40.0B0.0tr0.0,imp,fixed
59038,63.0,45.0,-120.9,-1.92,115085.0,-4.96,-261.6,13,0,MOM8w3_fixedS30.0T60.0B0.0tr0.0,imp,fixed
92145,98.3,29.6,-403.7,-4.11,378937.0,-19.31,-663.8,13,0,MOM8w3_w50_trailS30.0T0.0B0.0tr8.0,imp,trail
69118,73.8,35.6,-281.1,-3.81,264006.0,-13.67,-469.9,13,0,MOM8w3_w50_trailS30.0T0.0B0.0tr15.0,imp,trail
60232,64.3,38.6,-222.4,-3.46,208970.0,-10.57,-407.5,13,0,MOM8w3_w50_trailS40.0T0.0B0.0tr20.0,imp,trail
77315,82.5,33.2,-325.3,-3.94,305347.0,-15.75,-569.5,13,0,MOM8w3_w50_trailS30.0T60.0B0.0tr12.0,imp,trail
61146,65.3,29.2,-191.9,-2.94,180692.0,-9.59,-366.3,13,0,MOM8w3_w50_beS20.0T40.0B10.0tr0.0,imp,be
51710,55.2,36.3,-130.5,-2.36,122855.0,-6.21,-246.1,13,0,MOM8w3_w50_beS30.0T60.0B15.0tr0.0,imp,be
69402,74.1,35.0,-281.4,-3.8,264300.0,-13.76,-476.9,13,0,MOM8w3_w50_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
60698,64.8,37.6,-223.2,-3.45,209538.0,-10.77,-404.2,13,0,MOM8w3_w50_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
54791,58.5,42.3,-138.1,-2.36,130383.0,-6.73,-259.9,13,0,MOM8w3_w50_fixedS20.0T40.0B0.0tr0.0,imp,fixed
48462,51.7,45.0,-94.8,-1.83,89548.0,-4.45,-174.1,13,0,MOM8w3_w50_fixedS30.0T60.0B0.0tr0.0,imp,fixed
59144,64.7,29.6,-262.1,-4.05,239897.0,-17.09,-470.7,13,0,MOM8w3_a50_trailS30.0T0.0B0.0tr8.0,imp,trail
47563,52.0,35.1,-204.1,-3.92,186954.0,-12.26,-392.9,13,0,MOM8w3_a50_trailS30.0T0.0B0.0tr15.0,imp,trail
42603,46.6,38.6,-169.1,-3.63,154952.0,-9.92,-357.0,13,0,MOM8w3_a50_trailS40.0T0.0B0.0tr20.0,imp,trail
51825,56.7,32.7,-231.7,-4.09,212055.0,-14.18,-428.4,13,0,MOM8w3_a50_trailS30.0T60.0B0.0tr12.0,imp,trail
42781,46.8,29.1,-152.6,-3.26,139982.0,-8.98,-323.4,13,0,MOM8w3_a50_beS20.0T40.0B10.0tr0.0,imp,be
37600,41.1,36.4,-128.5,-3.12,118076.0,-6.83,-301.1,13,0,MOM8w3_a50_beS30.0T60.0B15.0tr0.0,imp,be
47723,52.2,34.4,-203.9,-3.9,186737.0,-12.26,-392.2,13,0,MOM8w3_a50_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
42843,46.9,37.6,-169.6,-3.62,155455.0,-9.87,-357.3,13,0,MOM8w3_a50_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
38965,42.6,42.3,-120.9,-2.84,111055.0,-6.86,-280.8,13,0,MOM8w3_a50_fixedS20.0T40.0B0.0tr0.0,imp,fixed
35437,38.8,45.0,-105.2,-2.71,97101.0,-5.47,-261.2,13,0,MOM8w3_a50_fixedS30.0T60.0B0.0tr0.0,imp,fixed
64962,83.4,29.0,-347.2,-4.16,271014.0,-26.08,-523.3,13,0,MOM8w3_s14.5-21.0_trailS30.0T0.0B0.0tr8.0,imp,trail
45197,58.4,33.7,-238.3,-4.08,184925.0,-14.6,-381.9,13,0,MOM8w3_s14.5-21.0_trailS30.0T0.0B0.0tr15.0,imp,trail
36549,47.1,36.7,-178.0,-3.78,138968.0,-10.25,-307.3,13,0,MOM8w3_s14.5-21.0_trailS40.0T0.0B0.0tr20.0,imp,trail
52764,68.0,31.7,-289.7,-4.26,225036.0,-18.54,-463.7,13,0,MOM8w3_s14.5-21.0_trailS30.0T60.0B0.0tr12.0,imp,trail
36396,47.0,24.9,-149.6,-3.19,116658.0,-8.92,-297.1,13,0,MOM8w3_s14.5-21.0_beS20.0T40.0B10.0tr0.0,imp,be
27630,35.7,33.0,-100.1,-2.81,78742.0,-5.36,-193.1,13,1,MOM8w3_s14.5-21.0_beS30.0T60.0B15.0tr0.0,imp,be
45497,58.8,32.9,-239.4,-4.07,185773.0,-14.73,-385.0,13,0,MOM8w3_s14.5-21.0_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
36984,47.7,35.6,-176.1,-3.69,137382.0,-10.21,-312.3,13,0,MOM8w3_s14.5-21.0_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
29704,38.2,41.4,-89.1,-2.33,70125.0,-4.9,-200.5,13,1,MOM8w3_s14.5-21.0_fixedS20.0T40.0B0.0tr0.0,imp,fixed
24138,31.1,44.6,-72.3,-2.33,56894.0,-3.67,-200.5,13,2,MOM8w3_s14.5-21.0_fixedS30.0T60.0B0.0tr0.0,imp,fixed
42435,54.6,28.8,-233.2,-4.27,181375.0,-23.74,-344.3,13,0,MOM8w3_s14.5-21.0_w50_trailS30.0T0.0B0.0tr8.0,imp,trail
31040,40.1,33.7,-168.4,-4.2,130591.0,-12.99,-261.1,13,0,MOM8w3_s14.5-21.0_w50_trailS30.0T0.0B0.0tr15.0,imp,trail
26312,33.9,37.2,-127.6,-3.76,99323.0,-8.69,-215.4,13,0,MOM8w3_s14.5-21.0_w50_trailS40.0T0.0B0.0tr20.0,imp,trail
35278,45.5,31.8,-196.7,-4.33,152797.0,-16.17,-309.8,13,0,MOM8w3_s14.5-21.0_w50_trailS30.0T60.0B0.0tr12.0,imp,trail
26821,34.6,25.7,-109.0,-3.15,85393.0,-7.67,-206.7,13,0,MOM8w3_s14.5-21.0_w50_beS20.0T40.0B10.0tr0.0,imp,be
21714,28.0,33.7,-67.9,-2.43,52791.0,-4.19,-124.1,13,0,MOM8w3_s14.5-21.0_w50_beS30.0T60.0B15.0tr0.0,imp,be
31231,40.3,33.0,-170.6,-4.23,132260.0,-13.18,-277.4,13,0,MOM8w3_s14.5-21.0_w50_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
26572,34.2,36.1,-125.6,-3.67,97568.0,-8.65,-219.4,13,0,MOM8w3_s14.5-21.0_w50_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
23299,30.1,41.5,-73.9,-2.46,57394.0,-4.65,-152.7,13,0,MOM8w3_s14.5-21.0_w50_fixedS20.0T40.0B0.0tr0.0,imp,fixed
19837,25.6,45.3,-44.7,-1.75,35682.0,-2.62,-103.6,13,1,MOM8w3_s14.5-21.0_w50_fixedS30.0T60.0B0.0tr0.0,imp,fixed
28416,36.9,29.2,-153.0,-4.15,117956.0,-19.63,-235.8,13,0,MOM8w3_s14.5-21.0_a50_trailS30.0T0.0B0.0tr8.0,imp,trail
22404,29.1,33.0,-123.6,-4.25,95552.0,-11.68,-197.3,13,0,MOM8w3_s14.5-21.0_a50_trailS30.0T0.0B0.0tr15.0,imp,trail
19659,25.5,36.4,-104.8,-4.1,81012.0,-9.06,-191.7,13,0,MOM8w3_s14.5-21.0_a50_trailS40.0T0.0B0.0tr20.0,imp,trail
24635,32.0,31.4,-135.5,-4.24,104601.0,-14.53,-201.4,13,0,MOM8w3_s14.5-21.0_a50_trailS30.0T60.0B0.0tr12.0,imp,trail
19808,25.7,25.0,-93.2,-3.62,72189.0,-7.78,-168.7,13,0,MOM8w3_s14.5-21.0_a50_beS20.0T40.0B10.0tr0.0,imp,be
16823,21.8,32.8,-76.1,-3.48,59307.0,-5.61,-172.7,13,0,MOM8w3_s14.5-21.0_a50_beS30.0T60.0B15.0tr0.0,imp,be
22498,29.2,32.3,-123.4,-4.23,95366.0,-11.64,-197.9,13,0,MOM8w3_s14.5-21.0_a50_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
19788,25.7,35.4,-102.9,-4.0,79525.0,-8.9,-189.4,13,0,MOM8w3_s14.5-21.0_a50_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
17531,22.8,40.5,-71.2,-3.13,55509.0,-5.4,-173.4,13,0,MOM8w3_s14.5-21.0_a50_fixedS20.0T40.0B0.0tr0.0,imp,fixed
15510,20.1,43.7,-62.5,-3.11,49241.0,-4.24,-144.7,13,0,MOM8w3_s14.5-21.0_a50_fixedS30.0T60.0B0.0tr0.0,imp,fixed
20253,26.4,28.8,-113.9,-4.32,87512.0,-19.82,-164.0,13,0,MOM8w3_s14.5-16.0_trailS30.0T0.0B0.0tr8.0,imp,trail
14499,18.9,32.5,-81.4,-4.31,62559.0,-9.92,-133.9,13,0,MOM8w3_s14.5-16.0_trailS30.0T0.0B0.0tr15.0,imp,trail
11691,15.2,34.7,-59.6,-3.92,46275.0,-6.22,-111.2,13,1,MOM8w3_s14.5-16.0_trailS40.0T0.0B0.0tr20.0,imp,trail
16754,21.8,30.8,-93.6,-4.29,71857.0,-12.48,-144.0,13,0,MOM8w3_s14.5-16.0_trailS30.0T60.0B0.0tr12.0,imp,trail
11662,15.2,21.5,-54.6,-3.6,42421.0,-5.68,-106.7,13,1,MOM8w3_s14.5-16.0_beS20.0T40.0B10.0tr0.0,imp,be
8567,11.2,29.0,-35.1,-3.15,28005.0,-3.31,-90.1,13,1,MOM8w3_s14.5-16.0_beS30.0T60.0B15.0tr0.0,imp,be
14577,19.0,31.9,-81.1,-4.27,62335.0,-9.9,-130.2,13,0,MOM8w3_s14.5-16.0_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
11870,15.5,33.4,-60.0,-3.88,46579.0,-6.3,-114.9,13,1,MOM8w3_s14.5-16.0_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
