name,imp,W,pull,stop,tgt,invert,cooldown,max_hold,max_wait,min_leg,n,tr_day,wr,tgt%,stop%,to%,net,per_day,per_trade,maxDD,train_per_day,train_n,test_per_day,test_n,test_wr,test_maxDD
i5.0_w4_p0.382_s6.0_t30.0_WITH_cd60_mh600_mw300_ml0.0,5.0,4,0.382,6.0,30.0,False,60,600,300,0.0,9817,142.3,24.9,11.9,72.4,15.7,-1462.0,-21.2,-0.15,6196.0,-66.3,6338,85.2,3479,23.0,2416.0
i3.0_w4_p0.5_s10.0_t24.0_WITH_cd60_mh600_mw300_ml0.0,3.0,4,0.5,10.0,24.0,False,60,600,300,0.0,9391,136.1,36.9,20.5,55.7,23.8,-1469.0,-21.3,-0.16,4290.0,-43.4,5994,31.4,3397,34.9,2081.0
i3.0_w5_p0.618_s6.0_t12.0_INV_cd60_mh600_mw300_ml0.0,3.0,5,0.618,6.0,12.0,True,60,600,300,0.0,9378,135.9,37.5,31.7,59.6,8.7,-1503.0,-21.8,-0.16,3786.0,-20.8,6092,-23.0,3286,36.5,1732.0
i5.0_w4_p0.5_s12.0_t18.0_INV_cd60_mh600_mw300_ml0.0,5.0,4,0.5,12.0,18.0,True,60,600,300,0.0,8733,126.6,44.0,31.2,47.7,21.1,-1512.0,-21.9,-0.17,4450.0,-33.3,5494,5.7,3239,43.3,1189.0
i3.0_w4_p0.5_s6.0_t30.0_WITH_cd60_mh600_mw300_ml0.0,3.0,4,0.5,6.0,30.0,False,60,600,300,0.0,9821,142.3,26.2,11.3,70.9,17.8,-1544.0,-22.4,-0.16,5235.0,-54.7,6366,54.1,3455,23.0,2506.0
i5.0_w4_p0.618_s6.0_t24.0_WITH_cd60_mh600_mw300_ml0.0,5.0,4,0.618,6.0,24.0,False,60,600,300,0.0,8471,122.8,27.0,15.9,70.7,13.3,-1544.0,-22.4,-0.18,3742.0,-52.5,5375,49.1,3096,25.5,1907.0
i5.0_w5_p0.618_s6.0_t30.0_WITH_cd60_mh600_mw300_ml0.0,5.0,5,0.618,6.0,30.0,False,60,600,300,0.0,8046,116.6,25.5,11.4,72.1,16.5,-1599.0,-23.2,-0.2,3147.0,-30.3,5098,-5.4,2948,23.0,2187.0
i7.0_w3_p0.382_s6.0_t30.0_WITH_cd60_mh600_mw300_ml0.0,7.0,3,0.382,6.0,30.0,False,60,600,300,0.0,8966,129.9,23.9,12.7,74.3,13.0,-1603.0,-23.2,-0.18,3912.0,-34.7,5653,4.6,3313,21.6,1898.0
i7.0_w4_p0.5_s10.0_t24.0_WITH_cd60_mh600_mw300_ml0.0,7.0,4,0.5,10.0,24.0,False,60,600,300,0.0,7923,114.8,35.8,22.0,58.9,19.1,-1606.0,-23.3,-0.2,3857.0,-32.8,4885,0.1,3038,34.5,1644.0
i3.0_w5_p0.5_s12.0_t12.0_INV_cd60_mh600_mw300_ml0.0,3.0,5,0.5,12.0,12.0,True,60,600,300,0.0,9639,139.7,51.4,43.1,40.3,16.6,-1607.0,-23.3,-0.17,4535.0,-63.0,6202,70.5,3437,52.8,1035.0
i7.0_w3_p0.618_s10.0_t24.0_WITH_cd60_mh600_mw300_ml0.0,7.0,3,0.618,10.0,24.0,False,60,600,300,0.0,7105,103.0,35.2,22.9,60.1,17.0,-1614.0,-23.4,-0.23,3406.0,-8.3,4334,-57.5,2771,33.4,3406.0
i7.0_w5_p0.382_s12.0_t18.0_INV_cd60_mh600_mw300_ml0.0,7.0,5,0.382,12.0,18.0,True,60,600,300,0.0,8763,127.0,43.6,32.2,48.8,19.0,-1791.0,-26.0,-0.2,4885.0,-49.2,5470,29.4,3293,43.6,1516.0
i7.0_w4_p0.618_s6.0_t24.0_WITH_cd60_mh600_mw300_ml0.0,7.0,4,0.618,6.0,24.0,False,60,600,300,0.0,7515,108.9,25.8,16.7,72.4,11.0,-1821.0,-26.4,-0.24,3147.0,-27.3,4678,-23.0,2837,24.2,2404.0
i7.0_w5_p0.618_s6.0_t18.0_INV_cd60_mh600_mw300_ml0.0,7.0,5,0.618,6.0,18.0,True,60,600,300,0.0,7330,106.2,29.8,22.3,68.5,9.2,-1831.0,-26.5,-0.25,4241.0,-34.0,4535,-7.9,2795,29.0,1581.0
i5.0_w4_p0.5_s10.0_t24.0_WITH_cd60_mh600_mw300_ml0.0,5.0,4,0.5,10.0,24.0,False,60,600,300,0.0,8743,126.7,36.2,21.1,57.3,21.7,-1869.0,-27.1,-0.21,4023.0,-47.0,5499,20.6,3244,34.7,2236.0
i5.0_w4_p0.382_s12.0_t24.0_INV_cd60_mh600_mw300_ml0.0,5.0,4,0.382,12.0,24.0,True,60,600,300,0.0,9114,132.1,39.8,22.9,51.2,25.9,-1918.0,-27.8,-0.21,4620.0,-32.1,5741,-16.5,3373,38.2,2369.0
i7.0_w3_p0.382_s10.0_t12.0_INV_cd60_mh600_mw300_ml0.0,7.0,3,0.382,10.0,12.0,True,60,600,300,0.0,9258,134.2,47.5,42.9,48.5,8.6,-1921.0,-27.8,-0.21,3904.0,-46.0,5862,15.9,3396,48.1,1201.0
i7.0_w3_p0.5_s10.0_t24.0_WITH_cd60_mh600_mw300_ml0.0,7.0,3,0.5,10.0,24.0,False,60,600,300,0.0,7965,115.4,35.4,22.8,59.7,17.5,-1927.0,-27.9,-0.24,4761.0,-8.8,4923,-71.3,3042,33.4,2661.0
i7.0_w5_p0.618_s8.0_t30.0_WITH_cd60_mh600_mw300_ml0.0,7.0,5,0.618,8.0,30.0,False,60,600,300,0.0,6907,100.1,29.8,14.2,66.7,19.1,-1952.0,-28.3,-0.28,3160.0,-15.6,4273,-56.5,2634,27.3,2498.0
i7.0_w5_p0.618_s6.0_t24.0_WITH_cd60_mh600_mw300_ml0.0,7.0,5,0.618,6.0,24.0,False,60,600,300,0.0,7374,106.9,26.2,16.3,72.1,11.6,-1957.0,-28.4,-0.27,3102.0,-7.4,4577,-75.8,2797,23.7,3102.0
i5.0_w4_p0.618_s8.0_t12.0_INV_cd60_mh600_mw300_ml0.0,5.0,4,0.618,8.0,12.0,True,60,600,300,0.0,8582,124.4,43.0,37.3,53.3,9.4,-2023.0,-29.3,-0.24,4013.0,-12.7,5464,-66.7,3118,41.9,1952.0
