phase,name,n,tr_per_day,wr,per_day,per_trade,dd,sharpe,n_emit,n_filt
PHASE4_HYPER,HS_034_imp40_b4_pp500_s8t16_INV_cd5,1314,87.60,0.3501,-304.19,-3.472,4641.68,-1.071,0,0
PHASE4_HYPER,HS_024_imp40_b5_pp236_s12t30_INV_cd20,1406,93.73,0.3720,-319.99,-3.414,5163.31,-1.138,0,0
PHASE4_HYPER,HS_019_imp60_b3_pp382_s10t20_TRD_cd5,1240,82.67,0.3573,-333.51,-4.034,5002.58,-1.640,0,0
PHASE4_HYPER,HS_011_imp40_b5_pp382_s4t8_INV_cd20,2134,142.27,0.3482,-334.07,-2.348,5031.43,-1.605,0,0
PHASE4_HYPER,HS_026_imp50_b3_pp236_s10t20_INV_cd5,1604,106.93,0.3734,-343.98,-3.217,5593.31,-0.911,0,0
PHASE4_HYPER,HS_035_imp40_b4_pp118_s8t20_INV_cd20,1917,127.80,0.3370,-344.35,-2.694,5709.00,-0.751,0,0
PHASE4_HYPER,HS_030_imp50_b4_pp500_s8t12_TRD_cd5,1258,83.87,0.3665,-357.07,-4.258,5378.07,-1.575,0,0
PHASE4_HYPER,HS_004_imp50_b4_pp236_s5t12_INV_cd5,2251,150.07,0.3150,-366.79,-2.444,5783.78,-1.202,0,0
PHASE4_HYPER,HS_012_imp60_b4_pp118_s5t12_INV_cd30,2302,153.47,0.3149,-372.95,-2.430,5817.70,-1.253,0,0
PHASE4_HYPER,HS_000_imp30_b3_pp382_s5t10_INV_cd5,2332,155.47,0.3465,-390.59,-2.512,5961.19,-1.562,0,0
PHASE4_HYPER,HS_022_imp30_b3_pp118_s4t12_INV_cd10,3026,201.73,0.2868,-398.63,-1.976,6230.20,-1.400,0,0
PHASE4_HYPER,HS_031_imp30_b4_pp382_s4t8_INV_cd10,2478,165.20,0.3462,-401.14,-2.428,6048.42,-1.619,0,0
PHASE4_HYPER,HS_021_imp50_b4_pp118_s4t10_INV_cd10,2736,182.40,0.3114,-404.15,-2.216,6356.66,-1.360,0,0
PHASE4_HYPER,HS_027_imp30_b3_pp118_s4t10_INV_cd10,3131,208.73,0.3172,-418.52,-2.005,6504.81,-1.337,0,0
PHASE4_HYPER,HS_028_imp50_b5_pp500_s5t10_TRD_cd30,1345,89.67,0.2721,-418.73,-4.670,6280.94,-1.810,0,0
PHASE4_HYPER,HS_038_imp60_b5_pp236_s4t6_INV_cd5,2422,161.47,0.3939,-436.83,-2.705,6670.03,-1.522,0,0
