,0
2025-11-12,-197.5
2025-11-13,240.5
2025-11-17,-535.0
2025-11-18,-346.5
2025-11-19,-131.5
2025-11-20,-243.5
2025-11-24,-70.5
2025-11-25,-110.5
2025-11-26,212.5
2025-11-27,67.5
2025-12-01,-225.0
2025-12-02,-76.5
2025-12-03,-482.5
2025-12-04,-292.0
2025-12-08,-217.5
2025-12-09,96.0
2025-12-10,133.0
2025-12-11,569.5
2025-12-15,-393.5
2025-12-16,-241.0
2025-12-17,123.5
2025-12-18,-536.5
2025-12-22,191.0
2025-12-23,35.0
2025-12-24,-107.0
2025-12-29,-86.5
2025-12-30,-206.5
2025-12-31,-115.5
2026-01-02,257.5
2026-01-05,-499.0
2026-01-06,578.0
2026-01-07,452.0
2026-01-08,-425.0
2026-01-09,161.5
2026-01-12,708.0
2026-01-13,-154.0
2026-01-14,579.0
2026-01-15,279.0
2026-01-16,-414.0
2026-01-19,239.0
2026-01-20,1195.0
2026-01-21,-92.0
2026-01-22,-4.0
2026-01-23,-37.0
2026-01-26,72.0
2026-01-27,-96.0
2026-01-28,509.0
2026-01-29,-1144.0
2026-01-30,364.0
2026-02-02,-810.0
2026-02-03,-1084.0
2026-02-04,918.0
2026-02-05,2687.0
2026-02-06,567.5
2026-02-09,167.0
2026-02-10,264.0
2026-02-11,-586.0
2026-02-12,-581.0
2026-02-13,897.5
2026-02-16,-210.0
2026-02-17,1117.0
2026-02-18,-527.0
2026-02-19,-160.0
2026-02-20,197.0
2026-02-23,126.0
2026-02-24,154.0
2026-02-25,87.0
2026-02-26,-1218.0
2026-02-27,-49.0
2026-03-02,320.0
2026-03-03,-536.0
2026-03-04,-691.0
2026-03-05,-514.0
2026-03-06,-74.5
2026-03-09,-239.0
2026-03-10,424.0
2026-03-11,230.0
2026-03-12,1966.0
2026-03-13,-112.5
2026-03-16,586.0
2026-03-17,614.0
2026-03-18,-136.0
2026-03-19,-520.0
2026-03-20,-164.5
2026-03-23,-350.0
2026-03-24,-86.0
2026-03-25,-497.0
2026-03-26,-522.0
2026-03-27,609.5
2026-03-30,496.0
2026-03-31,-581.0
2026-04-01,-582.0
2026-04-02,1121.0
2026-04-06,200.0
2026-04-07,-1887.0
2026-04-08,-1373.0
2026-04-09,61.0
2026-04-10,204.0
2026-04-13,329.0
2026-04-14,486.0
2026-04-15,-336.0
2026-04-16,167.0
2026-04-17,287.5
2026-04-20,-422.0
2026-04-21,-79.0
2026-04-22,-48.0
2026-04-23,1387.0
2026-04-24,363.0
2026-04-27,277.0
2026-04-28,-239.0
2026-04-29,346.0
2026-04-30,864.0
2026-05-01,-243.0
2026-05-04,-69.0
2026-05-05,937.0
2026-05-06,-255.0
2026-05-07,-331.0
2026-05-08,157.0
2026-05-11,1048.0
2026-05-12,120.0
2026-05-13,-500.0
2026-05-14,96.0
2026-05-15,696.5
2026-05-18,-41.0
2026-05-19,-757.0
2026-05-20,910.0
2026-05-21,424.0
2026-05-22,36.0
2026-05-25,-229.0
2026-05-26,-956.0
2026-05-27,1193.0
2026-05-28,-337.0
2026-05-29,228.5
2026-06-01,-62.0
2026-06-02,-428.0
2026-06-03,-329.0
2026-06-04,-146.0
2026-06-05,94.0
2026-06-08,-452.0
2026-06-09,-1481.0
2026-06-10,1152.0
2026-06-11,5258.0
2026-06-12,-264.0
2026-06-15,3.0
