usd_wk,pos_wk,worst_day,p5_day,worst_wk,tr_wk,name
30.0,47,-598.0,-536.0,-1510.0,77.1,a1.2_cap2_fv-cap1_ds-350_dis60_qg
829.0,82,-1652.0,-570.0,-1456.0,100.3,a1.2_cap2_fv-skip_ds0_dis100
671.0,71,-1573.0,-709.0,-1828.0,91.2,a1.2_cap2_fv-skip_ds0_dis100_qg
965.0,76,-1576.0,-470.0,-1242.0,106.8,a1.2_cap2_fv-skip_ds0_dis60
712.0,71,-1744.0,-599.0,-1683.0,96.4,a1.2_cap2_fv-skip_ds0_dis60_qg
486.0,71,-638.0,-478.0,-1346.0,78.3,a1.2_cap2_fv-skip_ds-350_dis100
207.0,59,-734.0,-550.0,-1755.0,72.3,a1.2_cap2_fv-skip_ds-350_dis100_qg
567.0,65,-552.0,-457.0,-1162.0,82.0,a1.2_cap2_fv-skip_ds-350_dis60
222.0,53,-598.0,-549.0,-1392.0,72.9,a1.2_cap2_fv-skip_ds-350_dis60_qg
870.0,65,-1990.0,-721.0,-1320.0,103.1,a1.5_123_fv-none_ds0_dis100
1026.0,94,-2219.0,-846.0,-314.0,90.1,a1.5_123_fv-none_ds0_dis100_qg
1069.0,71,-1864.0,-585.0,-1810.0,110.4,a1.5_123_fv-none_ds0_dis60
1074.0,82,-2225.0,-872.0,-1120.0,96.1,a1.5_123_fv-none_ds0_dis60_qg
280.0,59,-802.0,-602.0,-1399.0,77.6,a1.5_123_fv-none_ds-350_dis100
249.0,59,-855.0,-602.0,-1012.0,66.5,a1.5_123_fv-none_ds-350_dis100_qg
638.0,65,-616.0,-508.0,-1458.0,83.4,a1.5_123_fv-none_ds-350_dis60
175.0,59,-666.0,-581.0,-1212.0,67.0,a1.5_123_fv-none_ds-350_dis60_qg
889.0,71,-1990.0,-682.0,-1728.0,103.1,a1.5_123_fv-cap1_ds0_dis100
969.0,76,-2218.0,-824.0,-314.0,89.9,a1.5_123_fv-cap1_ds0_dis100_qg
