dow,hour,mean,sum,count,abs_mean
0,0,0.7129148148149196,384.97400000005655,540,0.7129148148149196
0,1,0.34965370370368704,188.812999999991,540,0.34965370370368704
0,2,0.1595833333333522,86.17500000001019,540,0.1595833333333522
0,3,0.027459259259073103,14.827999999899475,540,0.027459259259073103
0,4,-0.027212962962982635,-14.695000000010623,540,0.027212962962982635
0,5,-0.3925537037036419,-211.97899999996662,540,0.3925537037036419
0,6,0.31110555555561503,167.99700000003213,540,0.31110555555561503
0,7,0.14893148148145244,80.42299999998431,540,0.14893148148145244
0,8,0.10893148148148882,58.82300000000396,540,0.10893148148148882
0,9,-0.11364444444452265,-61.36800000004223,540,0.11364444444452265
0,10,-0.03819402985070848,-20.471999999979744,536,0.03819402985070848
0,11,0.35821666666665636,193.43699999999444,540,0.35821666666665636
0,12,0.4296499999999435,232.0109999999695,540,0.4296499999999435
0,13,-0.11513780260715374,-61.82900000004156,537,0.11513780260715374
0,14,0.30332838589994043,163.4940000000679,539,0.30332838589994043
0,15,-0.024160447761378642,-12.950000000098953,536,0.024160447761378642
0,16,0.10195668549896783,54.13899999995192,531,0.10195668549896783
0,17,0.47675208333337954,228.84100000002218,480,0.47675208333337954
0,18,-0.6621354166666606,-317.8249999999971,480,0.6621354166666606
0,19,0.2742312500000935,131.63100000004488,480,0.2742312500000935
0,20,-1.075583333333422,-129.07000000001062,120,1.075583333333422
0,22,-0.07587592592591574,-40.9729999999945,540,0.07587592592591574
0,23,-0.026618518518518142,-14.373999999999796,540,0.026618518518518142
1,0,-0.629590740740753,-339.97900000000664,540,0.629590740740753
1,1,-0.16542962962952582,-89.33199999994395,540,0.16542962962952582
1,2,0.18970555555549287,102.44099999996615,540,0.18970555555549287
1,3,0.24659259259245084,133.15999999992346,540,0.24659259259245084
1,4,0.039649999999919264,21.410999999956402,540,0.039649999999919264
1,5,-0.023937037037042804,-12.926000000003114,540,0.023937037037042804
1,6,0.19435925925930927,104.95400000002701,540,0.19435925925930927
1,7,0.04077735124765467,21.245000000028085,521,0.04077735124765467
1,8,0.23244795539035615,125.05700000001161,538,0.23244795539035615
1,9,-0.20332592592589613,-109.7959999999839,540,0.20332592592589613
1,10,0.12576666666673528,67.91400000003705,540,0.12576666666673528
1,11,-0.47500000000000675,-256.50000000000364,540,0.47500000000000675
1,12,0.3467365491650119,186.8909999999414,539,0.3467365491650119
1,13,0.4285929368029175,230.58299999996962,538,0.4285929368029175
1,14,-1.8258314814815026,-985.9490000000114,540,1.8258314814815026
1,15,-1.7360870370370052,-937.4869999999828,540,1.7360870370370052
1,16,0.14611962616821575,78.17399999999543,535,0.14611962616821575
1,17,1.2434370370369598,671.4559999999583,540,1.2434370370369598
1,18,0.3691907407407093,199.362999999983,540,0.3691907407407093
1,19,0.08363148148152875,45.161000000025524,540,0.08363148148152875
1,20,-0.27597761194018816,-36.980999999985215,134,0.27597761194018816
1,22,0.11497222222213302,62.08499999995183,540,0.11497222222213302
1,23,0.16009074074074844,86.44900000000416,540,0.16009074074074844
2,0,0.18998518518524685,102.5920000000333,540,0.18998518518524685
2,1,0.18642037037033232,100.66699999997945,540,0.18642037037033232
2,2,-0.2382407407407165,-128.6499999999869,540,0.2382407407407165
2,3,0.20966481481475596,113.21899999996822,540,0.20966481481475596
2,4,-0.07386481481477893,-39.88699999998062,540,0.07386481481477893
2,5,0.3704685185185385,200.0530000000108,540,0.3704685185185385
2,6,0.19716666666678334,106.47000000006301,540,0.19716666666678334
2,7,0.24565185185182162,132.65199999998367,540,0.24565185185182162
2,8,-0.11247955390340512,-60.514000000031956,538,0.11247955390340512
2,9,0.10930740740745763,59.026000000027125,540,0.10930740740745763
2,10,0.3554092592593103,191.92100000002756,540,0.3554092592593103
2,11,0.008352320675026463,3.9589999999625434,474,0.008352320675026463
2,12,-0.47230271398748946,-226.23300000000745,479,0.47230271398748946
2,13,-0.4323970588235598,-205.82100000001446,476,0.4323970588235598
2,14,0.7488284518829338,357.94000000004235,478,0.7488284518829338
2,15,0.22045588235280722,104.93699999993623,476,0.22045588235280722
2,16,-0.19176249999999678,-92.04599999999846,480,0.19176249999999678
2,17,0.6219708333333226,298.5459999999948,480,0.6219708333333226
2,18,-0.014666666666774594,-7.040000000051805,480,0.014666666666774594
2,19,0.37364999999998266,179.35199999999168,480,0.37364999999998266
2,20,-0.9153083333332082,-109.83699999998498,120,0.9153083333332082
2,22,0.1928770833334132,92.58100000003833,480,0.1928770833334132
2,23,-0.0712916666665933,-34.219999999964784,480,0.0712916666665933
3,0,0.9675416666666934,464.4200000000128,480,0.9675416666666934
3,1,0.07384791666659869,35.446999999967375,480,0.07384791666659869
3,2,-0.7590229166667617,-364.3310000000456,480,0.7590229166667617
3,3,-0.14123333333329052,-67.79199999997945,480,0.14123333333329052
3,4,-0.0025104166666551466,-1.2049999999944703,480,0.0025104166666551466
3,5,0.14852500000007846,71.29200000003766,480,0.14852500000007846
3,6,0.25259166666658833,121.2439999999624,480,0.25259166666658833
3,7,0.3784104166667172,181.63700000002427,480,0.3784104166667172
3,8,-0.2029729166666963,-97.42700000001423,480,0.2029729166666963
3,9,-0.17649166666657645,-84.7159999999567,480,0.17649166666657645
3,10,-0.5797395833333667,-278.275000000016,480,0.5797395833333667
3,11,0.40530624999995174,194.54699999997683,480,0.40530624999995174
3,12,0.04830252100840758,22.992000000002008,476,0.04830252100840758
3,13,-0.6359644351466528,-303.99100000010003,478,0.6359644351466528
3,14,0.7984873417721523,378.4830000000002,474,0.7984873417721523
3,15,0.7155833333333703,343.48000000001775,480,0.7155833333333703
3,16,-0.23419583333338778,-112.41400000002614,480,0.23419583333338778
