name,total_pnl,per_day,y2024,y2025,y2026,worst_30d_roll
WEEKOPEN_LONG_HOLD5d,32319.393999999997,394.13895121951214,4262.151999999998,13368.665999999992,14688.57600000001,-3134.7440000000083
HOLD_24H_22UTC_LONG,31597.05000000002,83.59007936507942,4847.3560000000125,12875.205999999982,13874.48800000002,-6735.248000000016
WEEKOPEN_LONG_HOLD2d,23246.410000000018,283.492804878049,3350.6500000000124,8460.891999999998,11434.868000000011,1897.7240000000058
HTF_60m_BR10_S100_T200,22023.409999999985,33.419438543247324,15630.00799999993,2942.6780000000326,3450.724000000024,-5485.139999999993
HOLD_16H_22UTC_LONG,20809.612000000045,51.00395098039227,4578.974000000049,8321.71799999999,7908.920000000004,-2630.42399999998
HOLD_SESSION_22to14_LONG,19397.7340000001,47.66028009828034,4483.232000000095,7240.348000000001,7674.154000000004,-2363.011999999984
HTF_60m_BR20_S100_T200,18191.548000000003,30.885480475382007,19817.805999999997,-2242.5260000000135,616.268000000021,-5125.717999999979
HTF_30m_MOMx2_LONG_S75_T150,17299.703999999423,23.158907630521316,1932.9779999996745,-8464.962000000185,23831.687999999936,-13169.996000000012
