Round 12 partial — days 3/53, 4542 active
# name  n  wr  per_day  tr_per_day  dd
T_LH_CANONINV_imp6_b4_s15_t50_pp382_cd15_mh60_all  57  0.579  36.24  19.00  54.19
T_LH_CANONINV_imp3_b4_s8_t36_pp236_cd5_mhd_CME  45  0.467  35.70  15.00  56.40
B_ASH_off63_imp5_b4_pp118_s4t16_INV  108  0.380  35.54  36.00  54.27
T_LH_CANONINV_imp4_b4_s10_t40_pp236_cd3_mh120_all  73  0.452  35.14  24.33  59.90
T_LH_CANONINV_imp2_b3_s12_t36_pp618_cd30_mh600_all  59  0.492  35.03  19.67  87.05
S_OS_pl8_rv3_imp6_b4_s10t30  62  0.516  34.97  20.67  53.25
T_LH_CANONINV_imp6_b6_s7_t16_pp118_cd15_mh240_CME  45  0.489  34.84  15.00  37.50
S_OS_pl6_rv2_imp6_b4_s10t30  64  0.531  34.81  21.33  45.85
F_HB_aft_imp5_b3_s8t30  75  0.453  34.63  25.00  51.22
T_LH_CANONINV_imp6_b6_s15_t32_pp118_cd10_mh120_all  60  0.550  34.19  20.00  77.45
P_CG_w50_t55_imp6_b4_s10t30_INV  50  0.520  34.12  16.67  58.26
T_LH_CANONINV_imp3_b2_s9_t20_pp500_cd3_mh600_LDN  16  0.625  33.87  5.33  19.00
F_HB_morn_imp5_b4_s10t20  78  0.500  33.87  26.00  61.19
B_ASH_off87_imp5_b4_pp118_s4t16_INV  106  0.387  33.85  35.33  53.49
T_LH_CANONINV_imp6_b4_s6_t32_pp118_cd3_mh600_all  73  0.425  33.16  24.33  57.02
S_OS_pl2_rv1_imp5_b4_s4t16  131  0.534  33.01  43.67  43.20
B_ASH_off37_imp5_b4_pp236_s10t20_INV  79  0.494  32.98  26.33  88.86
B_ASH_off37_imp5_b4_pp118_s4t16_INV  109  0.367  32.95  36.33  50.74
S_OS_pl2_rv3_imp5_b4_s4t16  122  0.377  32.93  40.67  57.87
F_HB_morn_imp4_b3_s8t24  83  0.434  32.93  27.67  77.54
S_OS_pl4_rv3_imp4_b3_s8t24  87  0.506  32.58  29.00  66.90
T_LH_R4INV_imp2_b8_s15_t36_pp500_cd10_mh600_all  20  0.700  32.51  6.67  15.50
P_CG_w50_t50_imp5_b4_s10t20_INV  67  0.478  32.38  22.33  71.25
B_ASH_off37_imp5_b3_pp300_s8t30_INV  72  0.472  31.96  24.00  54.22
T_LH_CANONINV_imp6_b4_s15_t24_pp118_cd20_mh120_all  59  0.508  31.81  19.67  58.85
B_ASH_off37_imp4_b4_pp500_s6t18_INV  69  0.464  31.68  23.00  39.48
S_OS_pl4_rv1_imp5_b4_s10t20  91  0.538  31.37  30.33  70.68
T_LH_CANONINV_imp2_b4_s15_t16_pp300_cd10_mh60_all  81  0.543  31.28  27.00  58.44
T_LH_CANONINV_imp3_b4_s15_t28_pp500_cd20_mh240_all  59  0.525  31.17  19.67  78.30
S_OS_pl6_rv3_imp5_b4_s4t16  114  0.386  30.75  38.00  36.71
P_CG_w50_t40_imp5_b3_s8t30_INV  75  0.440  30.69  25.00  50.62
T_LH_CANONINV_imp2_b4_s15_t40_pp300_cd30_mh60_LDN  16  0.562  30.30  5.33  39.47
T_LH_CANONINV_imp4_b6_s9_t12_pp118_cd3_mhd_all  94  0.511  30.24  31.33  85.61
T_LH_CANONINV_imp5_b4_s15_t40_pp236_cd15_mh120_CME  34  0.588  30.22  11.33  32.83
T_LH_CANONINV_imp6_b4_s5_t28_pp236_cd30_mh60_LDN  16  0.562  30.18  5.33  16.94
T_LH_CANONINV_imp8_b2_s15_t50_pp500_cd30_mh60_all  29  0.517  30.08  9.67  42.48
T_LH_CANONINV_imp5_b4_s9_t12_pp118_cd15_mh120_CME  45  0.556  30.08  15.00  22.79
T_LH_CANONINV_imp4_b4_s4_t36_pp236_cd5_mh240_LDN  20  0.400  29.99  6.67  18.00
T_LH_CANONINV_imp4_b3_s9_t16_pp618_cd10_mh60_CME  31  0.484  29.82  10.33  31.83
S_OS_pl6_rv3_imp5_b3_s8t30  76  0.487  29.67  25.33  57.99
S_OS_pl2_rv2_imp5_b4_s4t16  128  0.469  29.51  42.67  32.54
S_OS_pl8_rv2_imp5_b4_s10t20  80  0.487  29.46  26.67  74.63
T_LH_CANONINV_imp5_b3_s12_t20_pp618_cd3_mh240_CME  26  0.692  29.45  8.67  25.00
T_LH_CANONINV_imp5_b3_s12_t36_pp382_cd3_mh60_LDN  15  0.600  29.44  5.00  14.77
T_LH_CANONINV_imp4_b4_s6_t8_pp618_cd20_mh120_CME  41  0.610  29.36  13.67  13.97
T_LH_CANONINV_imp3_b3_s12_t32_pp382_cd10_mhd_LDN  13  0.692  29.25  4.33  12.50
T_LH_CANONINV_imp2_b4_s7_t28_pp300_cd10_mh600_CME  46  0.478  29.22  15.33  53.72
T_LH_CANONINV_imp7_b6_s9_t16_pp118_cd30_mh60_CME  39  0.513  29.13  13.00  50.44
S_OS_pl8_rv3_imp5_b3_s8t30  75  0.453  29.10  25.00  51.35
B_ASH_off112_imp4_b4_pp500_s6t18_INV  68  0.485  29.08  22.67  52.43
T_LH_CANONINV_imp4_b2_s10_t32_pp500_cd30_mh60_CME  37  0.514  29.07  12.33  53.03
B_ASH_off112_imp5_b4_pp236_s10t20_INV  74  0.500  28.91  24.67  79.16
S_OS_pl8_rv1_imp6_b4_s10t30  67  0.507  28.87  22.33  63.19
T_LH_CANONINV_imp3_b2_s4_t8_pp300_cd20_mh240_all  158  0.411  28.36  52.67  55.46
F_HB_aft_imp4_b3_s8t24  82  0.427  27.99  27.33  59.50
P_CG_w50_t50_imp5_b3_s8t30_INV  50  0.460  27.94  16.67  42.50
T_LH_CANONINV_imp2_b5_s9_t28_pp450_cd30_mh60_LDN  17  0.588  27.59  5.67  33.62
T_LH_R10BASE_imp2_b8_s12_t20_pp450_cd15_mh600_CME  15  0.667  27.47  5.00  12.80
B_ASH_off37_imp4_b3_pp382_s8t24_INV  79  0.456  27.43  26.33  67.77
T_LH_CANONINV_imp2_b6_s15_t36_pp500_cd10_mh120_LDN  14  0.643  27.42  4.67  32.34
S_OS_pl4_rv2_imp6_b4_s10t30  66  0.591  27.34  22.00  42.00
T_LH_CANONINV_imp6_b3_s7_t28_pp118_cd3_mh120_all  76  0.421  27.02  25.33  60.81
B_ASH_off112_imp4_b3_pp450_s6t24_INV  81  0.432  26.95  27.00  53.46
T_LH_CANONINV_imp2_b8_s8_t32_pp382_cd15_mh600_CME  38  0.526  26.93  12.67  47.92
F_HB_aft_imp5_b4_s10t20  78  0.487  26.83  26.00  61.51
T_LH_CANONINV_imp3_b3_s10_t24_pp300_cd5_mhd_all  81  0.481  26.73  27.00  93.09
T_LH_CANONINV_imp3_b8_s10_t24_pp500_cd10_mh240_LDN  11  0.727  26.62  3.67  21.00
T_LH_CANONINV_imp3_b4_s7_t40_pp300_cd15_mhd_LDN  18  0.500  26.49  6.00  22.50
T_LH_CANONINV_imp2_b6_s12_t16_pp118_cd10_mhd_CME  44  0.523  26.34  14.67  50.73
T_LH_CANONINV_imp4_b2_s9_t50_pp500_cd5_mhd_LDN  14  0.714  26.25  4.67  19.00
B_ASH_off112_imp4_b3_pp382_s8t24_INV  77  0.455  26.02  25.67  73.56
T_LH_CANONINV_imp8_b8_s8_t36_pp118_cd30_mh120_all  60  0.467  25.94  20.00  52.46
T_LH_CANONINV_imp3_b2_s10_t32_pp118_cd5_mh120_LDN  19  0.579  25.86  6.33  26.98
T_LH_CANONINV_imp4_b2_s7_t50_pp300_cd30_mh240_LDN  18  0.556  25.71  6.00  30.69
T_LH_CANONINV_imp6_b2_s7_t20_pp118_cd10_mh60_CME  33  0.455  25.66  11.00  46.92
S_OS_pl6_rv2_imp5_b4_s10t20  82  0.512  25.58  27.33  71.25
T_LH_CANONINV_imp4_b4_s10_t40_pp300_cd30_mh240_all  78  0.410  25.55  26.00  77.71
S_OS_pl8_rv2_imp5_b4_s4t16  112  0.357  25.15  37.33  61.46
T_LH_CANONINV_imp3_b2_s12_t20_pp764_cd10_mh240_CME  27  0.556  24.89  9.00  30.74
F_HB_asia_imp5_b3_s8t30  68  0.441  24.87  22.67  52.96
T_LH_R10BASE_imp5_b5_s5_t32_pp382_cd20_mh240_CME  14  0.571  24.86  4.67  17.33
B_ASH_off137_imp4_b4_pp500_s6t18_TRD  75  0.427  24.72  25.00  56.36
T_LH_CANONINV_imp4_b2_s10_t50_pp618_cd10_mhd_all  57  0.509  24.70  19.00  76.29
B_ASH_off13_imp4_b3_pp382_s8t24_INV  81  0.432  24.44  27.00  81.41
T_LH_CANONINV_imp4_b2_s6_t28_pp450_cd15_mh240_LDN  17  0.529  24.36  5.67  19.50
P_CG_w20_t40_imp5_b3_s8t30_INV  57  0.439  24.28  19.00  49.34
T_LH_CANONINV_imp8_b8_s8_t28_pp118_cd15_mh600_CME  35  0.486  24.24  11.67  52.01
F_HB_us_imp4_b3_s8t24  82  0.427  24.09  27.33  73.37
B_ASH_off112_imp5_b4_pp118_s4t16_INV  100  0.380  24.03  33.33  80.23
T_LH_CANONINV_imp2_b6_s12_t20_pp118_cd15_mh60_CME  41  0.561  24.03  13.67  41.10
D_SCF_off6_sw60_sp20_s8t24  8  0.625  23.94  2.67  17.00
O_RND_0528_imp5.3_b3_s16_t20_pp116_cd20_CME_INV  14  0.714  23.89  4.67  16.97
P_CG_w20_t55_imp4_b3_s8t24_INV  20  0.500  23.88  6.67  42.50
S_OS_pl8_rv1_imp5_b4_s4t16  113  0.354  23.86  37.67  64.74
T_LH_R10BASE_imp6_b8_s15_t36_pp618_cd3_mhd_CME  6  0.667  23.62  2.00  6.29
P_CG_w50_t55_imp5_b4_s10t20_INV  50  0.500  23.46  16.67  71.87
B_ASH_off137_imp4_b4_pp500_s6t18_INV  67  0.463  23.37  22.33  55.74
S_OS_pl4_rv2_imp5_b4_s10t20  91  0.538  23.34  30.33  81.25
S_OS_pl4_rv3_imp5_b4_s4t16  115  0.443  23.29  38.33  41.72
T_LH_R10BASE_imp5_b6_s15_t20_pp118_cd10_mh600_all  20  0.700  23.20  6.67  27.26
T_LH_R10BASE_imp3_b8_s12_t50_pp450_cd20_mh600_CME  14  0.643  23.15  4.67  12.62
T_LH_CANONINV_imp2_b8_s4_t40_pp118_cd3_mhd_LDN  21  0.333  23.14  7.00  38.82
T_LH_CANONINV_imp5_b3_s12_t36_pp618_cd3_mhd_LDN  11  0.636  23.08  3.67  25.00
T_LH_CANONINV_imp2_b6_s5_t24_pp450_cd10_mh120_LDN  23  0.391  23.03  7.67  22.40
T_LH_R10BASE_imp2_b3_s12_t50_pp118_cd20_mh600_CME  22  0.682  22.72  7.33  17.12
T_LH_CANONINV_imp3_b8_s12_t40_pp764_cd30_mh120_all  36  0.500  22.71  12.00  61.61
T_LH_CANONINV_imp2_b4_s7_t36_pp236_cd5_mh60_LDN  20  0.550  22.63  6.67  29.95
D_SCF_off6_sw60_sp35_s8t24  8  0.625  22.62  2.67  17.00
S_OS_pl4_rv2_imp5_b3_s8t30  82  0.537  22.52  27.33  45.23
T_LH_CANONINV_imp8_b5_s7_t16_pp118_cd30_mh240_CME  33  0.485  22.52  11.00  35.03
T_LH_CANONINV_imp10_b2_s5_t16_pp118_cd30_mhd_CME  19  0.421  22.41  6.33  16.76
T_LH_CANONINV_imp10_b6_s5_t8_pp118_cd20_mh600_CME  32  0.562  22.34  10.67  14.52
T_LH_R10BASE_imp6_b2_s8_t36_pp764_cd3_mh60_all  7  0.571  22.30  2.33  9.84
P_CG_w20_t45_imp4_b3_s8t24_INV  32  0.469  22.25  10.67  44.68
B_ASH_off112_imp5_b4_pp500_s5t20_INV  66  0.409  22.25  22.00  47.62
F_HB_preldn_imp4_b3_s8t24  80  0.425  22.22  26.67  90.66
T_LH_CANONINV_imp2_b3_s6_t36_pp300_cd30_mh600_CME  51  0.431  22.08  17.00  53.07
T_LH_R10BASE_imp2_b8_s5_t40_pp500_cd10_mh240_CME  21  0.429  22.04  7.00  33.00
B_ASH_off87_imp5_b4_pp500_s5t20_INV  65  0.400  22.02  21.67  53.66
T_LH_CANONINV_imp3_b2_s9_t20_pp300_cd10_mh600_LDN  19  0.579  21.78  6.33  15.75
B_ASH_off63_imp5_b4_pp236_s10t20_INV  77  0.468  21.73  25.67  61.92
T_LH_CANONINV_imp4_b4_s9_t24_pp500_cd20_mh60_LDN  16  0.562  21.68  5.33  29.14
T_LH_R10BASE_imp6_b5_s9_t40_pp382_cd10_mh60_CME  10  0.700  21.52  3.33  11.71
S_OS_pl4_rv1_imp5_b4_s4t16  123  0.415  21.40  41.00  47.97
B_ASH_off13_imp4_b4_pp500_s6t18_INV  71  0.423  21.37  23.67  57.86
P_CG_w20_t50_imp4_b3_s8t24_INV  21  0.476  21.32  7.00  51.00
T_LH_CANONINV_imp2_b8_s7_t40_pp450_cd15_mhd_LDN  18  0.444  21.12  6.00  24.89
D_SCF_off6_sw40_sp20_s8t24  9  0.556  21.11  3.00  21.37
D_SCF_off6_sw40_sp35_s8t24  9  0.556  21.11  3.00  21.37
P_CG_w50_t40_imp5_b4_s10t20_INV  80  0.487  21.03  26.67  63.23
T_LH_CANONINV_imp4_b6_s15_t40_pp382_cd15_mh240_LDN  14  0.571  20.87  4.67  31.00
T_LH_CANONINV_imp2_b3_s8_t36_pp118_cd3_mh120_LDN  22  0.500  20.76  7.33  29.31
T_LH_CANONINV_imp2_b6_s6_t8_pp618_cd10_mh120_CME  34  0.618  20.70  11.33  19.50
T_LH_CANONINV_imp8_b4_s15_t24_pp236_cd5_mh60_CME  22  0.591  20.53  7.33  20.47
T_LH_CANONINV_imp10_b3_s5_t12_pp118_cd10_mhd_CME  24  0.500  20.46  8.00  26.50
T_LH_CANONINV_imp3_b2_s9_t36_pp764_cd5_mhd_CME  24  0.583  20.34  8.00  15.74
T_LH_CANONINV_imp6_b5_s8_t24_pp236_cd10_mhd_LDN  15  0.467  20.21  5.00  34.78
