name,tf,net_wk,fees_wk,gross_wk,trades,trades_wk,sel_usd_wk,blind_usd_wk,sel_total,blind_total,win_pct
LODF_1min_time40_rth,1min,-15.6,14.1,-1.5,1132,7.2,-45.6,16.0,-3651.0,1216.0,53.4
LODF_1min_trail2.0_all,1min,-191.4,125.4,-66.0,9991,64.0,-153.1,-231.4,-12250.0,-17622.0,34.8
LODF_1min_trail2.0_rth,1min,-91.1,34.7,-56.4,2770,17.7,-71.1,-112.0,-5686.0,-8528.0,34.1
CLPOS_1min_time5_all,1min,66.1,1324.4,1390.5,105509,675.7,17.1,117.5,1364.0,8949.0,48.6
CLPOS_1min_time5_rth,1min,19.1,393.8,412.9,31366,200.9,43.2,-6.3,3456.0,-480.0,49.1
CLPOS_1min_time15_all,1min,-17.4,661.7,644.3,52720,337.6,-127.4,98.2,-10194.0,7478.0,49.3
CLPOS_1min_time15_rth,1min,31.5,206.6,238.1,16459,105.4,-43.8,110.6,-3502.0,8418.0,50.2
CLPOS_1min_time40_all,1min,-3.7,294.8,291.1,23491,150.4,87.2,-99.2,6977.0,-7550.0,49.7
CLPOS_1min_time40_rth,1min,-75.5,96.0,20.5,7648,49.0,36.6,-193.3,2932.0,-14718.0,49.7
CLPOS_1min_trail2.0_all,1min,-1366.5,1074.3,-292.2,85576,548.1,-1113.5,-1631.4,-89080.0,-124223.0,35.7
CLPOS_1min_trail2.0_rth,1min,-626.6,301.4,-325.2,24012,153.8,-509.2,-749.5,-40737.0,-57070.0,35.5
GAP1_1min_time5_all,1min,-24.5,671.3,646.8,53479,342.5,-40.0,-8.2,-3198.0,-626.0,48.6
GAP1_1min_time5_rth,1min,35.6,80.4,116.0,6398,41.0,34.8,36.6,2780.0,2784.0,50.3
GAP1_1min_time15_all,1min,3.5,411.6,415.1,32788,210.0,-17.5,25.6,-1402.0,1952.0,49.4
GAP1_1min_time15_rth,1min,21.2,63.1,84.3,5034,32.2,36.5,5.0,2921.0,384.0,50.4
GAP1_1min_time40_all,1min,-27.3,219.1,191.8,17450,111.8,-12.9,-42.4,-1030.0,-3231.0,49.6
GAP1_1min_time40_rth,1min,15.4,44.5,59.9,3550,22.7,27.8,2.3,2225.0,176.0,49.9
GAP1_1min_trail2.0_all,1min,-564.4,584.1,19.7,46525,298.0,-430.3,-705.0,-34421.0,-53683.0,36.1
GAP1_1min_trail2.0_rth,1min,-82.6,72.5,-10.1,5785,37.0,-58.4,-107.9,-4673.0,-8220.0,36.5
VCT3_1min_time5_all,1min,12.6,139.4,152.0,11101,71.1,9.5,15.8,760.0,1206.0,48.9
VCT3_1min_time5_rth,1min,13.5,45.1,58.6,3598,23.0,10.2,16.9,815.0,1289.0,49.7
VCT3_1min_time15_all,1min,-7.2,126.0,118.8,10039,64.3,2.2,-17.1,176.0,-1301.0,50.1
VCT3_1min_time15_rth,1min,-1.9,41.0,39.1,3256,20.9,4.3,-8.4,344.0,-637.0,51.2
