pattern,hold_min,side,sel_per_trade,sel_tr_wk,sel_usd_wk,blind_per_trade,blind_tr_wk,blind_usd_wk
P3_65862_h30,30,1,-3.0,41.6,-125.0,-3.03,13.4,-41.0
P3_95395_h15,15,-1,-3.24,39.7,-129.0,-6.01,48.2,-290.0
P3_14140_h30,30,1,-3.32,38.8,-129.0,-2.51,11.4,-28.0
P3_14140_h15,15,-1,-3.32,38.8,-129.0,-3.69,11.4,-42.0
P3_55394_h30,30,1,-2.88,48.0,-138.0,-2.81,12.6,-35.0
P3_4706_h15,15,1,-2.52,55.2,-139.0,-3.53,12.3,-43.0
P3_65862_h15,15,-1,-3.46,41.6,-144.0,-3.02,13.4,-41.0
P3_64828_h30,30,1,-3.11,48.0,-149.0,-3.55,15.9,-56.0
P3_15196_h30,30,1,-3.17,48.0,-152.0,-3.29,16.6,-55.0
P3_5762_h15,15,1,-3.41,45.4,-155.0,-5.88,11.7,-69.0
P3_5762_h30,30,1,-3.44,45.4,-156.0,-6.2,11.7,-73.0
P3_65884_h30,30,-1,-3.47,48.0,-167.0,-5.0,18.5,-93.0
P3_55394_h15,15,1,-3.25,52.0,-169.0,-4.15,12.6,-52.0
P3_64828_h15,15,-1,-3.42,55.2,-189.0,-3.94,15.9,-63.0
P3_65884_h15,15,-1,-3.08,61.9,-190.0,-4.48,18.5,-83.0
P3_15196_h15,15,-1,-3.38,59.9,-202.0,-3.23,16.6,-54.0
