year,hour,mean,sum,count
2024,0,-1.209606177606088,-313.2879999999768,259
2024,1,2.67917760617754,693.9069999999829,259
2024,2,1.7481814671814688,452.77900000000045,259
2024,3,0.6695019305020071,173.40100000001985,259
2024,4,0.3132432432430365,81.12999999994645,259
2024,5,-1.3695444015445473,-354.71200000003773,259
2024,6,1.398837209302303,360.8999999999942,258
2024,7,2.2383914728681225,577.5049999999756,258
2024,8,-0.391015444015427,-101.27299999999559,259
2024,9,-1.093015444015656,-283.0910000000549,259
2024,10,1.227135135135028,317.82799999997223,259
2024,11,0.9632123552123051,249.47199999998702,259
2024,12,3.811374517374492,987.1459999999934,259
2024,13,-4.003220077220164,-1036.8340000000226,259
2024,14,-5.071957528957693,-1313.6370000000425,259
2024,15,4.29128571428569,1111.4429999999938,259
2024,16,3.5948416988417353,931.0640000000094,259
2024,17,2.7336220472441237,694.3400000000074,254
2024,18,-0.6640358565738094,-166.67300000002615,251
2024,19,-1.6984819277107357,-422.9219999999732,249
2024,20,-0.9267148594376796,-230.75199999998222,249
2024,21,-3.6526705882350248,-310.4769999999771,85
2024,22,3.167000000000118,535.22300000002,169
2024,23,1.6032779922779494,415.2489999999889,259
2025,0,-2.9411328125000153,-752.9300000000039,256
2025,1,5.722112840467006,1470.5830000000205,257
2025,2,0.6377470817119838,163.90099999997983,257
2025,3,-1.932638132295699,-496.68799999999464,257
2025,4,-1.8816848249025568,-483.5929999999571,257
2025,5,0.6374708171205727,163.8299999999872,257
2025,6,2.3986108949417164,616.4430000000211,257
2025,7,1.5845542635659005,408.8150000000023,258
2025,8,2.1814863813229564,560.6419999999998,257
2025,9,0.701315175097295,180.23800000000483,257
2025,10,-1.3987617187501797,-358.083000000046,256
2025,11,-0.379852140077762,-97.62199999998484,257
2025,12,0.8579531249999519,219.6359999999877,256
2025,13,3.848027343749962,985.0949999999903,256
2025,14,-2.6898515624999533,-688.601999999988,256
2025,15,-6.493770428015626,-1668.8990000000158,257
2025,16,-0.5473035019455648,-140.65700000001016,257
2025,17,6.599624000000025,1649.9060000000063,250
2025,18,2.096823293172678,522.1089999999967,249
2025,19,3.0376356275303875,750.2960000000057,247
2025,20,-1.313497975708698,-324.4340000000484,247
2025,21,4.4708414634144615,366.6089999999858,82
2025,22,5.3489820359280715,893.2799999999879,167
2025,23,1.1855136186771549,304.6770000000288,257
2026,0,10.434449152542182,1231.2649999999776,118
2026,1,-0.22622881355947372,-26.6950000000179,118
2026,2,-6.768440677965974,-798.6759999999849,118
2026,3,0.23416949152571329,27.632000000034168,118
2026,4,1.150118644068012,135.7140000000254,118
2026,5,-2.8624915254238625,-337.7740000000158,118
2026,6,6.02593220338978,711.059999999994,118
2026,7,8.923635593220443,1052.9890000000123,118
2026,8,-0.6659067796611807,-78.57700000001932,118
2026,9,-0.7314830508475391,-86.3150000000096,118
2026,10,-2.7126016949154352,-320.08700000002136,118
2026,11,6.886324786324669,805.6999999999862,117
2026,12,-1.1154786324785273,-130.5109999999877,117
2026,13,2.9749914529913952,348.07399999999325,117
2026,14,7.257282051282167,849.1020000000135,117
2026,15,-3.8480598290597197,-450.2229999999872,117
2026,16,7.274547008547034,851.122000000003,117
2026,17,5.036215517241544,584.2010000000191,116
2026,18,-7.202429824561349,-821.0769999999939,114
2026,19,14.61765789473675,1666.4129999999896,114
2026,20,-3.0255263157893766,-344.90999999998894,114
2026,21,1.6237045454546122,71.44300000000294,44
2026,22,14.897513888888877,1072.6209999999992,72
2026,23,1.0559830508474557,124.60599999999977,118
