pattern,hold_min,side,sel_per_trade,sel_n,blind_per_trade,blind_n,sel_usd_wk,blind_usd_wk,sel_tr_wk,blind_tr_wk
M1B4_296001_h15,15,-1,-1.07,1125,-6.53,1630,-15.0,-136.0,13.7,20.9
F15V3_183983_h5,5,1,-1.68,723,-2.41,574,-15.0,-18.0,8.8,7.4
F05I4_2432901_h2,2,-1,-1.48,826,-3.39,1621,-15.0,-70.0,10.1,20.8
F15V4_26839685_h15,15,1,-0.88,1434,-3.02,1983,-15.0,-77.0,17.5,25.4
F15V3_121787_h5,5,1,-1.37,868,-3.25,586,-15.0,-24.0,10.6,7.5
F05I3_55261_h2,2,1,-1.48,808,-3.51,749,-15.0,-34.0,9.9,9.6
F05V3_297071_h2,2,-1,-1.74,686,-3.42,973,-15.0,-43.0,8.4,12.5
F05I3_41443_h5,5,1,-1.01,1189,-1.91,1750,-15.0,-43.0,14.5,22.4
F05I4_5307237_h2,2,-1,-1.57,767,-3.85,1270,-15.0,-63.0,9.4,16.3
F05V4_13247675_h15,15,1,-0.93,1331,-0.92,2139,-15.0,-25.0,16.2,27.4
F15V4_19937189_h5,5,1,-1.56,843,-5.49,478,-16.0,-34.0,10.3,6.1
F05V4_24351353_h5,5,1,-1.11,1195,-3.5,536,-16.0,-24.0,14.6,6.9
F05I3_40199_h2,2,1,-1.31,1003,-2.07,1481,-16.0,-39.0,12.2,19.0
F05I3_40319_h5,5,1,-0.96,1331,-3.81,1954,-16.0,-95.0,16.2,25.1
F05V3_75218_h5,5,1,-1.57,813,-3.61,985,-16.0,-46.0,9.9,12.6
F05I4_5253023_h2,2,-1,-1.65,799,-5.13,1407,-16.0,-93.0,9.7,18.0
F05V4_11103653_h15,15,-1,-0.98,1347,-5.15,890,-16.0,-59.0,16.4,11.4
F05I4_4796731_h5,5,1,-1.34,1063,-2.05,1516,-17.0,-40.0,13.0,19.4
F15V4_11010779_h5,5,-1,-1.3,1062,-3.63,1650,-17.0,-77.0,13.0,21.2
F05I3_55265_h2,2,-1,-1.61,847,-2.47,1300,-17.0,-41.0,10.3,16.7
F05I4_1980091_h2,2,1,-1.59,897,-2.92,1454,-17.0,-54.0,10.9,18.6
