pattern,hold_min,side,sel_per_trade,sel_n,blind_per_trade,blind_n,sel_usd_wk,blind_usd_wk,sel_tr_wk,blind_tr_wk
F05V4_10979705_h2,2,1,-2.53,1951,-3.32,2967,-60.0,-126.0,23.8,38.0
F05V4_13436879_h2,2,1,-2.34,2112,-2.77,1489,-60.0,-53.0,25.8,19.1
F05V4_13436063_h5,5,1,-2.23,2229,-4.02,1468,-61.0,-76.0,27.2,18.8
F05I3_31007_h5,5,1,-2.0,2566,-4.2,2277,-63.0,-123.0,31.3,29.2
F15V3_152891_h5,5,1,-2.11,2475,-2.43,3628,-64.0,-113.0,30.2,46.5
F05V3_121775_h5,5,1,-2.45,2147,-3.75,1046,-64.0,-50.0,26.2,13.4
F15I3_109343_h5,5,1,-2.02,2657,-3.45,3731,-65.0,-165.0,32.4,47.8
F05V4_11163257_h2,2,1,-2.39,2230,-3.6,1468,-65.0,-68.0,27.2,18.8
F05V3_62208_h15,15,1,-1.79,3017,-3.59,5249,-66.0,-242.0,36.8,67.3
F05V4_11196965_h5,5,1,-2.42,2238,-3.02,3152,-66.0,-122.0,27.3,40.4
F05V4_13436915_h5,5,1,-2.43,2219,-2.27,1455,-66.0,-42.0,27.1,18.7
F05V4_6500261_h2,2,1,-2.5,2207,-3.03,1382,-67.0,-54.0,26.9,17.7
F05V3_120923_h5,5,1,-2.31,2385,-3.97,1116,-67.0,-57.0,29.1,14.3
F05V3_89369_h15,15,1,-1.66,3380,-3.32,1384,-68.0,-59.0,41.2,17.7
F05V3_369779_h15,15,1,-1.8,3102,-4.58,1497,-68.0,-88.0,37.8,19.2
F05I4_4855361_h2,2,-1,-2.39,2323,-4.19,3117,-68.0,-167.0,28.3,40.0
F15I3_50687_h5,5,1,-2.01,2836,-2.99,4037,-70.0,-155.0,34.6,51.8
F05I3_95323_h2,2,-1,-2.08,2855,-3.36,4265,-72.0,-184.0,34.8,54.7
F15V4_24602789_h5,5,-1,-2.47,2469,-2.61,3565,-74.0,-119.0,30.1,45.7
F05V3_310997_h2,2,1,-2.73,2271,-3.76,1178,-76.0,-57.0,27.7,15.1
F05V4_13436063_h2,2,1,-2.65,2380,-4.66,1571,-77.0,-94.0,29.0,20.1
F05I3_44635_h5,5,1,-1.76,3580,-0.76,5335,-77.0,-52.0,43.7,68.4
F05I3_110469_h2,2,-1,-2.44,2668,-3.06,4520,-79.0,-177.0,32.5,57.9
F05V3_307547_h5,5,-1,-2.47,2626,-2.54,1210,-79.0,-39.0,32.0,15.5
F05I3_55199_h2,2,-1,-2.42,2861,-4.27,4563,-84.0,-250.0,34.9,58.5
F05I3_104733_h2,2,-1,-2.55,2728,-2.75,4913,-85.0,-173.0,33.3,63.0
F05V3_185723_h5,5,1,-2.52,2778,-3.68,1803,-85.0,-85.0,33.9,23.1
F05V4_10976633_h5,5,1,-2.4,2928,-3.23,1916,-86.0,-79.0,35.7,24.6
F05V3_120923_h2,2,1,-2.75,2575,-4.09,1181,-86.0,-62.0,31.4,15.1
F15V3_341705_h5,5,-1,-2.67,2627,-2.58,3695,-86.0,-122.0,32.0,47.4
F05V4_26873813_h5,5,-1,-2.28,3115,-2.66,4760,-87.0,-162.0,38.0,61.0
F05I3_45859_h2,2,1,-2.45,2966,-1.59,4738,-89.0,-97.0,36.2,60.7
F05I3_50687_h15,15,-1,-1.64,4436,-4.19,5501,-89.0,-296.0,54.1,70.5
F05V3_12_h15,15,1,-1.89,3915,-2.79,6137,-90.0,-220.0,47.7,78.7
F05I3_40005_h2,2,1,-2.59,2910,-2.78,4089,-92.0,-146.0,35.5,52.4
F15V3_152459_h5,5,1,-2.29,3323,-2.44,4584,-93.0,-143.0,40.5,58.8
F05V3_151577_h15,15,1,-2.12,3597,-1.9,1697,-93.0,-41.0,43.9,21.8
F05I3_110493_h2,2,-1,-2.6,3027,-2.65,5153,-96.0,-175.0,36.9,66.1
F05V3_90281_h5,5,1,-2.2,3600,-3.15,2289,-97.0,-92.0,43.9,29.3
F05V3_154181_h15,15,1,-2.03,3930,-4.57,2466,-97.0,-144.0,47.9,31.6
F05V3_185723_h2,2,1,-2.65,3025,-3.52,1925,-98.0,-87.0,36.9,24.7
F05V3_123539_h15,15,1,-2.06,3897,-3.5,1615,-98.0,-72.0,47.5,20.7
F05V4_13436885_h2,2,-1,-2.72,2942,-4.16,4386,-98.0,-234.0,35.9,56.2
F05I3_105981_h2,2,-1,-2.56,3215,-2.21,5332,-100.0,-151.0,39.2,68.4
F05I3_104735_h5,5,-1,-2.25,3742,-3.27,5804,-103.0,-243.0,45.6,74.4
F15V3_152927_h5,5,-1,-2.4,3560,-3.49,4928,-104.0,-220.0,43.4,63.2
F15V4_24413609_h5,5,-1,-2.61,3257,-4.74,4572,-104.0,-278.0,39.7,58.6
F05V4_26687231_h15,15,-1,-2.0,4305,-4.58,5451,-105.0,-320.0,52.5,69.9
F05V3_339119_h2,2,1,-2.71,3177,-2.96,4793,-105.0,-182.0,38.7,61.4
F05V3_339083_h2,2,1,-2.79,3133,-4.51,4520,-107.0,-261.0,38.2,57.9
F05V3_62208_h5,5,1,-2.41,3771,-2.97,7052,-111.0,-269.0,46.0,90.4
F05V3_369791_h15,15,1,-2.16,4227,-5.66,2966,-111.0,-215.0,51.5,38.0
F05I3_105957_h2,2,-1,-2.48,3654,-3.81,6106,-111.0,-298.0,44.6,78.3
F05V3_864_h5,5,1,-2.39,3846,-2.9,6976,-112.0,-259.0,46.9,89.4
F05I3_44635_h2,2,1,-2.25,4133,-1.95,6365,-113.0,-159.0,50.4,81.6
F05V3_186581_h2,2,-1,-2.44,3835,-3.95,5529,-114.0,-280.0,46.8,70.9
F15V3_341669_h15,15,-1,-2.26,4175,-5.07,5116,-115.0,-333.0,50.9,65.6
F05I3_96545_h2,2,-1,-2.6,3622,-3.63,5450,-115.0,-254.0,44.2,69.9
F05V3_151625_h5,5,1,-2.59,3781,-3.71,2394,-119.0,-114.0,46.1,30.7
F05V3_373211_h15,15,-1,-2.08,4832,-4.12,5841,-123.0,-309.0,58.9,74.9
F05V3_370217_h2,2,-1,-2.75,3776,-4.05,5428,-127.0,-282.0,46.0,69.6
F15V3_372773_h5,5,1,-2.76,3926,-3.1,5173,-132.0,-206.0,47.9,66.3
F05V3_62208_h2,2,1,-2.76,4110,-3.22,7954,-138.0,-328.0,50.1,102.0
F05I3_50589_h2,2,-1,-2.66,4258,-3.37,7259,-138.0,-314.0,51.9,93.1
F05V3_864_h2,2,1,-2.73,4186,-3.12,7833,-139.0,-313.0,51.0,100.4
F05V3_90281_h2,2,1,-2.87,4036,-3.38,2493,-141.0,-108.0,49.2,32.0
F05I3_109341_h2,2,-1,-2.41,4888,-3.39,7848,-144.0,-341.0,59.6,100.6
F15V4_24600197_h5,5,-1,-2.55,4668,-4.26,6262,-145.0,-342.0,56.9,80.3
F05I3_30615_h2,2,1,-2.76,4301,-3.84,2560,-145.0,-126.0,52.5,32.8
F15V3_186587_h5,5,-1,-2.65,4751,-4.45,6746,-154.0,-385.0,57.9,86.5
F05V3_89369_h5,5,1,-2.53,5042,-3.98,1852,-156.0,-94.0,61.5,23.7
F05V4_26871227_h2,2,-1,-2.69,4957,-3.6,8048,-163.0,-371.0,60.5,103.2
F15V3_339077_h15,15,-1,-2.47,5491,-5.84,6257,-165.0,-468.0,67.0,80.2
F05V3_91973_h5,5,1,-2.8,4904,-3.37,2073,-167.0,-90.0,59.8,26.6
F05V4_24600233_h2,2,-1,-2.7,5093,-3.38,7230,-168.0,-313.0,62.1,92.7
F05V3_183167_h5,5,1,-2.77,5114,-3.71,3475,-173.0,-165.0,62.4,44.6
F05V3_121823_h5,5,1,-2.71,5722,-3.42,3804,-189.0,-167.0,69.8,48.8
F05V3_373235_h5,5,1,-2.78,5611,-3.17,3542,-190.0,-144.0,68.4,45.4
F05V4_26687231_h5,5,-1,-2.12,7532,-4.28,10346,-195.0,-568.0,91.9,132.6
F05V3_90233_h2,2,1,-3.01,5431,-3.42,2299,-199.0,-101.0,66.2,29.5
F05V3_276869_h5,5,1,-2.6,6386,-4.0,3865,-202.0,-198.0,77.9,49.6
F05V3_12_h2,2,1,-2.93,5673,-3.19,9722,-203.0,-398.0,69.2,124.6
F15V4_24413573_h5,5,-1,-2.74,6130,-4.01,8073,-205.0,-415.0,74.8,103.5
F05V3_373205_h5,5,-1,-2.66,6328,-3.62,8435,-205.0,-391.0,77.2,108.1
F05I3_40097_h2,2,1,-2.88,6213,-2.25,8966,-218.0,-259.0,75.8,114.9
F15V3_341669_h5,5,-1,-2.89,6647,-4.03,8626,-234.0,-446.0,81.1,110.6
F05V4_13436891_h2,2,-1,-2.99,6680,-4.34,10398,-244.0,-579.0,81.5,133.3
F05V3_121823_h2,2,1,-3.0,6699,-3.31,4369,-245.0,-185.0,81.7,56.0
F05V3_14_h15,15,1,-2.53,8301,-2.97,7199,-256.0,-274.0,101.2,92.3
F05V4_10976681_h2,2,1,-2.8,7616,-2.56,11311,-260.0,-371.0,92.9,145.0
F05V3_373205_h2,2,-1,-2.98,8119,-3.32,11251,-295.0,-479.0,99.0,144.2
F05V4_13436927_h5,5,-1,-2.91,8422,-3.9,11460,-299.0,-573.0,102.7,146.9
F05V3_152441_h2,2,1,-3.06,8036,-2.91,4952,-300.0,-185.0,98.0,63.5
F05V4_0_h15,15,1,-2.42,10339,-2.51,7447,-305.0,-240.0,126.1,95.5
F05V3_373211_h5,5,-1,-2.93,8658,-3.79,11424,-309.0,-555.0,105.6,146.5
F05V4_26871263_h2,2,-1,-3.03,8499,-3.66,12946,-314.0,-607.0,103.6,166.0
F05V3_152489_h5,5,1,-2.93,9178,-2.14,11897,-328.0,-326.0,111.9,152.5
F05V4_26687231_h2,2,-1,-2.84,10318,-3.54,15126,-357.0,-686.0,125.8,193.9
F05V4_10979237_h2,2,1,-2.99,9853,-2.72,14054,-359.0,-490.0,120.2,180.2
F05V3_370655_h5,5,-1,-2.76,10682,-4.33,13482,-360.0,-748.0,130.3,172.8
F05V3_373247_h5,5,-1,-2.95,10944,-3.68,13606,-394.0,-642.0,133.5,174.4
F15V3_36_h5,5,1,-3.09,10760,-3.22,6212,-405.0,-256.0,131.2,79.6
F15V3_2592_h5,5,1,-3.04,11165,-3.2,6333,-414.0,-260.0,136.2,81.2
F05V3_155045_h5,5,1,-3.03,11406,-2.24,13850,-421.0,-398.0,139.1,177.6
F05V3_72576_h5,5,1,-3.0,11582,-2.95,10214,-424.0,-386.0,141.2,130.9
F05V3_186587_h2,2,-1,-3.12,11541,-4.02,16218,-439.0,-836.0,140.7,207.9
F05V3_14_h5,5,1,-3.0,12034,-3.36,10544,-440.0,-454.0,146.8,135.2
F05V3_0_h15,15,1,-2.79,13296,-2.88,10627,-452.0,-392.0,162.1,136.2
F05V3_373211_h2,2,-1,-3.04,12259,-3.74,17357,-454.0,-832.0,149.5,222.5
F05V4_31542_h2,2,1,-3.11,12170,-3.12,7091,-462.0,-284.0,148.4,90.9
F05V3_152489_h2,2,1,-2.96,13306,-2.66,18144,-480.0,-619.0,162.3,232.6
F15V3_0_h5,5,1,-3.11,13679,-3.08,7816,-519.0,-309.0,166.8,100.2
F05V3_370655_h2,2,-1,-3.0,15817,-3.61,21263,-579.0,-984.0,192.9,272.6
F05V3_155045_h2,2,1,-3.18,17140,-3.04,21964,-665.0,-856.0,209.0,281.6
F05V4_0_h5,5,1,-3.0,19276,-3.13,12754,-705.0,-512.0,235.1,163.5
F05V3_36_h5,5,1,-3.15,19317,-2.96,13622,-742.0,-517.0,235.6,174.6
F05V3_438_h2,2,1,-3.22,21582,-3.34,13841,-847.0,-593.0,263.2,177.4
F05V3_6_h2,2,1,-3.25,21429,-3.34,13508,-849.0,-578.0,261.3,173.2
F05V3_36_h2,2,1,-3.26,26089,-3.25,17755,-1037.0,-740.0,318.2,227.6
F05V4_0_h2,2,1,-3.14,27600,-3.19,17183,-1057.0,-703.0,336.6,220.3
F05V3_0_h5,5,1,-3.17,28029,-3.08,20791,-1084.0,-821.0,341.8,266.6
F05I3_0_h2,2,1,-3.18,39652,-3.11,20877,-1538.0,-832.0,483.6,267.7
F05V3_0_h2,2,1,-3.24,44862,-3.22,31209,-1773.0,-1288.0,547.1,400.1
