hour,mean,sum,count,std,mean_per_min,sum_pts
0,0.22153372093027937,571.5570000001208,2580,9.536489065602593,0.22153372093027937,571.5570000001208
1,0.03608456167570979,93.02599999997983,2578,7.978990255374986,0.03608456167570979,93.02599999997983
2,-0.10700891472870283,-276.0830000000533,2580,6.41588039533962,-0.10700891472870283,-276.0830000000533
3,0.05085155038752926,131.1969999998255,2580,5.108193465336986,0.05085155038752926,131.1969999998255
4,0.014871345029234264,38.144999999985885,2565,5.0128079666420735,0.014871345029234264,38.144999999985885
5,-0.1325750487328982,-340.0549999998839,2565,6.345925536538386,-0.1325750487328982,-340.0549999998839
6,0.22721125098350758,577.5710000000763,2542,5.998547834354425,0.22721125098350758,577.5710000000763
7,0.19760601327605673,506.0689999999813,2561,6.554340090896714,0.19760601327605673,506.0689999999813
8,-0.023814440993799237,-61.346000000026834,2576,7.63843376654812,-0.023814440993799237,-61.346000000026834
9,-0.04725823962773198,-121.87899999992078,2579,6.360272703057473,-0.04725823962773198,-121.87899999992078
10,0.006636645962746161,17.09600000003411,2576,6.861472115416701,0.006636645962746161,17.09600000003411
11,0.09522434367537723,239.39399999989837,2514,7.2681072674310085,0.09522434367537723,239.39399999989837
12,-0.049745027844125725,-125.05900000013207,2514,9.205487680917209,-0.049745027844125725,-125.05900000013207
13,-0.051774541101407306,-129.74700000012672,2506,17.410625347535937,-0.051774541101407306,-129.74700000012672
14,0.12790814696488062,320.2820000000611,2504,18.051585359219125,0.12790814696488062,320.2820000000611
15,-0.25960374352853766,-651.865000000158,2511,14.114365638299287,-0.25960374352853766,-651.865000000158
16,0.03179608938545474,79.68099999994956,2506,12.459512564175508,0.03179608938545474,79.68099999994956
17,0.8407950386335951,2067.5150000000103,2459,13.159980300008911,0.8407950386335951,2067.5150000000103
18,-0.3334081300813235,-820.1840000000557,2460,10.032653612622761,-0.3334081300813235,-820.1840000000557
19,0.20501260162603777,504.3310000000529,2460,11.44823346801907,0.20501260162603777,504.3310000000529
20,-0.5705040650406396,-350.8599999999933,615,13.446348762104519,-0.5705040650406396,-350.8599999999933
22,0.28750930232560584,741.7740000000631,2580,8.79384634642163,0.28750930232560584,741.7740000000631
23,0.06865697674421363,177.13500000007116,2580,6.2570292153353595,0.06865697674421363,177.13500000007116
