n,tr_day,wr,per_day,per_trade,maxDD,sharpe,worst_q,n_folds,pos_folds,name,fam
448,1.2,46.4,-4.9,-3.96,2253.0,-1.39,-25.0,13,4,MA20x60_s14.5-16.0_anti50_S30.0T60.0,ma
15204,19.6,36.9,-52.1,-2.65,40761.0,-4.56,-101.0,13,0,FADE5w3_s13.0-15.0_S15.0T30.0,imp
14073,18.2,37.0,-42.5,-2.34,33768.0,-3.75,-86.2,13,0,FADE8w3_s13.0-15.0_S15.0T30.0,imp
5464,7.1,38.7,-15.9,-2.26,12456.0,-2.39,-37.0,13,1,ZFADE20z2.0_s13.0-15.0_S15.0T30.0,zs
5725,7.4,36.0,-24.0,-3.25,19234.0,-3.27,-57.3,13,1,ZFADE60z2.0_s13.0-15.0_S15.0T30.0,zs
1699,2.5,34.9,-8.6,-3.49,6347.0,-2.07,-28.8,13,2,ZFADE60z3.0_s13.0-15.0_S15.0T30.0,zs
15284,19.7,36.0,-63.9,-3.24,49864.0,-5.6,-111.3,13,0,MOM5w3_s13.0-15.0_S15.0T30.0,imp
14107,18.2,35.5,-61.6,-3.38,47918.0,-5.74,-104.4,13,0,MOM8w3_s13.0-15.0_S15.0T30.0,imp
5117,6.6,36.0,-23.1,-3.5,18225.0,-3.58,-47.5,13,0,ZMOM20z2.0_s13.0-15.0_S15.0T30.0,zs
5184,6.7,35.2,-23.9,-3.57,18703.0,-3.62,-44.2,13,0,ZMOM60z2.0_s13.0-15.0_S15.0T30.0,zs
1550,2.2,34.6,-7.2,-3.23,5716.0,-1.85,-23.3,13,1,ZMOM60z3.0_s13.0-15.0_S15.0T30.0,zs
3385,4.4,38.4,-10.4,-2.38,8268.0,-2.1,-17.7,13,1,MA9x30_s13.0-15.0_S15.0T30.0,ma
1798,2.4,39.7,-5.5,-2.25,4541.0,-1.41,-13.1,13,3,MA20x60_s13.0-15.0_S15.0T30.0,ma
14374,18.5,36.0,-61.3,-3.31,47747.0,-5.61,-140.0,13,0,TF60b5.0_s13.0-15.0_S15.0T30.0,tf
14038,18.1,36.2,-56.3,-3.11,44191.0,-5.11,-87.8,13,0,TF120b8.0_s13.0-15.0_S15.0T30.0,tf
12333,15.9,39.5,-38.0,-2.39,30174.0,-3.1,-72.8,13,1,FADE5w3_s13.0-15.0_S20.0T40.0,imp
11477,14.8,39.1,-39.0,-2.64,31333.0,-3.23,-83.3,13,0,FADE8w3_s13.0-15.0_S20.0T40.0,imp
5033,6.5,41.2,-16.0,-2.46,12672.0,-2.03,-51.6,13,2,ZFADE20z2.0_s13.0-15.0_S20.0T40.0,zs
4944,6.4,38.4,-20.4,-3.19,16679.0,-2.48,-64.9,13,1,ZFADE60z2.0_s13.0-15.0_S20.0T40.0,zs
1555,2.2,38.5,-6.2,-2.76,5261.0,-1.28,-34.7,13,3,ZFADE60z3.0_s13.0-15.0_S20.0T40.0,zs
12270,15.8,39.4,-38.5,-2.43,30368.0,-3.25,-77.5,13,0,MOM5w3_s13.0-15.0_S20.0T40.0,imp
11399,14.7,38.5,-41.9,-2.85,32716.0,-3.58,-95.9,13,1,MOM8w3_s13.0-15.0_S20.0T40.0,imp
4699,6.1,38.3,-20.2,-3.33,16030.0,-2.69,-57.0,13,1,ZMOM20z2.0_s13.0-15.0_S20.0T40.0,zs
4412,5.7,38.1,-17.3,-3.03,13783.0,-2.35,-47.3,13,2,ZMOM60z2.0_s13.0-15.0_S20.0T40.0,zs
1378,2.0,37.1,-6.1,-3.09,4793.0,-1.41,-20.5,13,3,ZMOM60z3.0_s13.0-15.0_S20.0T40.0,zs
3291,4.3,40.7,-10.2,-2.4,8274.0,-1.77,-22.7,13,2,MA9x30_s13.0-15.0_S20.0T40.0,ma
1780,2.4,42.6,-4.0,-1.66,3982.0,-0.88,-17.5,13,3,MA20x60_s13.0-15.0_S20.0T40.0,ma
11635,15.0,39.2,-44.5,-2.97,34763.0,-3.66,-79.0,13,1,TF60b5.0_s13.0-15.0_S20.0T40.0,tf
11362,14.6,39.4,-37.6,-2.57,29895.0,-3.19,-62.2,13,1,TF120b8.0_s13.0-15.0_S20.0T40.0,tf
11191,14.4,37.4,-39.4,-2.73,30990.0,-3.18,-77.2,13,0,FADE5w3_s13.0-15.0_S20.0T60.0,imp
10368,13.4,37.3,-33.8,-2.53,26588.0,-2.82,-57.1,13,0,FADE8w3_s13.0-15.0_S20.0T60.0,imp
4895,6.3,38.9,-15.3,-2.42,12234.0,-1.77,-57.9,13,3,ZFADE20z2.0_s13.0-15.0_S20.0T60.0,zs
4757,6.1,35.9,-19.7,-3.21,17441.0,-2.17,-74.9,13,3,ZFADE60z2.0_s13.0-15.0_S20.0T60.0,zs
1539,2.2,35.5,-6.0,-2.72,5861.0,-1.1,-35.2,13,5,ZFADE60z3.0_s13.0-15.0_S20.0T60.0,zs
11099,14.3,37.9,-30.5,-2.13,25756.0,-2.39,-69.5,13,2,MOM5w3_s13.0-15.0_S20.0T60.0,imp
10288,13.3,36.4,-40.5,-3.05,31946.0,-3.21,-67.2,13,1,MOM8w3_s13.0-15.0_S20.0T60.0,imp
4507,5.8,36.4,-20.3,-3.48,16088.0,-2.52,-53.3,13,1,ZMOM20z2.0_s13.0-15.0_S20.0T60.0,zs
4000,5.2,36.6,-11.7,-2.26,9930.0,-1.46,-26.0,13,2,ZMOM60z2.0_s13.0-15.0_S20.0T60.0,zs
1281,1.8,35.7,-3.9,-2.13,3378.0,-0.82,-24.0,13,4,ZMOM60z3.0_s13.0-15.0_S20.0T60.0,zs
3289,4.3,39.0,-11.6,-2.72,9413.0,-1.83,-31.1,13,2,MA9x30_s13.0-15.0_S20.0T60.0,ma
1780,2.4,41.5,-2.7,-1.11,3496.0,-0.54,-23.0,13,4,MA20x60_s13.0-15.0_S20.0T60.0,ma
10665,13.7,37.1,-42.3,-3.08,33125.0,-3.4,-90.8,13,1,TF60b5.0_s13.0-15.0_S20.0T60.0,tf
10391,13.4,37.4,-37.0,-2.76,29270.0,-3.04,-55.5,13,1,TF120b8.0_s13.0-15.0_S20.0T60.0,tf
9624,12.4,43.2,-37.5,-3.02,29952.0,-2.73,-102.2,13,1,FADE5w3_s13.0-15.0_S30.0T60.0,imp
8891,11.5,43.4,-32.5,-2.83,25948.0,-2.56,-65.7,13,1,FADE8w3_s13.0-15.0_S30.0T60.0,imp
4440,5.7,44.6,-16.0,-2.79,13204.0,-1.75,-59.4,13,3,ZFADE20z2.0_s13.0-15.0_S30.0T60.0,zs
4047,5.2,43.4,-10.6,-2.03,12126.0,-1.15,-68.3,13,4,ZFADE60z2.0_s13.0-15.0_S30.0T60.0,zs
1369,2.0,42.7,-3.1,-1.55,4617.0,-0.52,-26.5,13,6,ZFADE60z3.0_s13.0-15.0_S30.0T60.0,zs
9610,12.4,43.5,-27.4,-2.21,23524.0,-2.13,-81.8,13,1,MOM5w3_s13.0-15.0_S30.0T60.0,imp
8875,11.5,42.7,-31.5,-2.75,26486.0,-2.53,-85.0,13,1,MOM8w3_s13.0-15.0_S30.0T60.0,imp
4273,5.5,42.3,-16.4,-2.97,13551.0,-1.85,-51.8,13,1,ZMOM20z2.0_s13.0-15.0_S30.0T60.0,zs
3638,4.7,43.3,-8.9,-1.89,7330.0,-1.02,-31.8,13,2,ZMOM60z2.0_s13.0-15.0_S30.0T60.0,zs
1214,1.8,42.3,-4.4,-2.52,4280.0,-0.81,-27.0,13,4,ZMOM60z3.0_s13.0-15.0_S30.0T60.0,zs
3157,4.1,44.9,-7.9,-1.94,6525.0,-1.15,-24.8,13,4,MA9x30_s13.0-15.0_S30.0T60.0,ma
1746,2.4,46.0,-3.6,-1.51,4214.0,-0.64,-19.3,13,4,MA20x60_s13.0-15.0_S30.0T60.0,ma
9299,12.0,43.1,-34.0,-2.84,26628.0,-2.54,-85.5,13,1,TF60b5.0_s13.0-15.0_S30.0T60.0,tf
