name,trades,trades_per_day,wr,net,per_day,per_trade,max_dd,worst_day,best_day,sharpe,n_days,pos_d,neg_d
INV_236_s5t5_atrmax2,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
TIB_w200_th75_s5t4,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
TIB_w500_th70_s6t5,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
TIB_w100_th80_s4t3,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
TIB_w200_th75_RTH_s4t3,0,0.0,0.0000,0.00,0.00,0.000,0.00,0.00,0.00,0.000,0,0,0
INV_236_s5t5_atrmax3,95,1.8,0.1684,-916.84,-17.30,-9.651,916.84,-427.75,7.59,-0.744,10,1,9
3BR_s4t8_RTH,606,11.4,0.5347,-4600.42,-86.80,-7.591,4627.60,-306.56,97.58,-1.235,42,6,36
ENG_s5t10_RTH,1559,29.4,0.3977,-10775.27,-203.31,-6.912,10775.27,-1103.59,19.24,-1.398,42,1,41
Z20_th2.5_s10t10,1545,29.2,0.2453,-12080.36,-227.93,-7.819,12141.45,-798.70,222.73,-1.042,51,6,45
3BR_s6t12,1918,36.2,0.3780,-14539.00,-274.32,-7.580,14603.77,-671.90,34.60,-1.614,52,2,50
Z10_th2_s5t5,4305,81.2,0.1672,-30044.95,-566.89,-6.979,30044.95,-1025.52,16.85,-1.838,52,1,51
INV_236_s5t5_LUNCH,3776,71.2,0.1766,-36629.16,-691.12,-9.701,36629.16,-1171.23,-258.84,-4.711,42,0,42
ENG_s8t12,5077,95.8,0.2559,-36844.51,-695.18,-7.257,36844.51,-2445.96,-45.15,-1.705,52,0,52
Z20_th2_s8t8,5179,97.7,0.2045,-39405.10,-743.49,-7.609,39470.12,-1559.92,30.82,-1.595,52,2,50
INV_236_s10t20_CMEOPEN,2956,55.8,0.1360,-46137.72,-870.52,-15.608,46137.72,-2189.30,-42.48,-1.774,52,0,52
INV_236_s10t20_LDNNY,5016,94.6,0.1262,-79268.32,-1495.63,-15.803,79282.50,-2666.73,-986.69,-4.911,42,0,42
IBBO_s4t8_RTH,3232,61.0,0.2652,-85626.93,-1615.60,-26.493,85640.52,-5393.73,-414.76,-2.189,42,0,42
RN_100_s10t10,6520,123.0,0.2546,-87379.26,-1648.67,-13.402,87379.26,-7400.07,-2.74,-1.085,51,0,51
Z20_th1.5_s8t8,11193,211.2,0.1857,-99628.98,-1879.79,-8.901,99668.07,-3470.49,-57.45,-1.913,52,0,52
INV_236_s5t5_RTH_fast,12395,233.9,0.1849,-118082.08,-2227.96,-9.527,118082.08,-3655.89,-1008.46,-6.048,42,0,42
