name,trades,trades_wk,sel_usd_wk,blind_usd_wk,sel_total,blind_total,win_pct
BWEXP3min_k1.3_d20_rth_t60,1767,11.3,22.5,139.4,1799.0,10612.0,50.7
BWEXP3min_k1.3_d20_rth_tr2,6119,39.2,-466.7,-483.3,-37338.0,-36798.0,32.9
BWEXP3min_k1.3_d20_all_t20,9204,58.9,-152.1,-98.1,-12168.0,-7468.0,47.7
BWEXP3min_k1.3_d20_all_t40,6399,41.0,-156.1,63.9,-12485.0,4867.0,47.8
BWEXP3min_k1.3_d20_all_t60,4723,30.2,14.4,-26.2,1155.0,-1998.0,48.5
BWEXP3min_k1.3_d20_all_tr2,18443,118.1,-957.2,-1156.1,-76574.0,-88030.0,31.1
BWEXP3min_k1.5_d10_rth_t20,2941,18.8,-75.3,-18.4,-6026.0,-1398.0,48.0
BWEXP3min_k1.5_d10_rth_t40,2107,13.5,90.8,162.5,7266.0,12376.0,51.4
BWEXP3min_k1.5_d10_rth_t60,1659,10.6,5.6,228.3,452.0,17385.0,51.0
BWEXP3min_k1.5_d10_rth_tr2,5001,32.0,-343.9,-423.9,-27510.0,-32275.0,32.2
BWEXP3min_k1.5_d10_all_t20,8906,57.0,-125.1,-59.4,-10007.0,-4525.0,47.7
BWEXP3min_k1.5_d10_all_t40,6013,38.5,-93.9,256.9,-7510.0,19564.0,49.5
BWEXP3min_k1.5_d10_all_t60,4470,28.6,-191.4,319.8,-15314.0,24347.0,48.9
BWEXP3min_k1.5_d10_all_tr2,15211,97.4,-746.5,-997.3,-59719.0,-75940.0,30.8
BWEXP3min_k1.5_d20_rth_t20,2650,17.0,-83.1,-71.7,-6650.0,-5458.0,48.1
BWEXP3min_k1.5_d20_rth_t40,2023,13.0,31.1,-62.0,2488.0,-4721.0,48.6
BWEXP3min_k1.5_d20_rth_t60,1648,10.6,-19.4,-95.2,-1550.0,-7245.0,50.1
BWEXP3min_k1.5_d20_rth_tr2,5114,32.8,-356.2,-411.3,-28494.0,-31319.0,33.7
BWEXP3min_k1.5_d20_all_t20,7864,50.4,-159.3,-50.7,-12744.0,-3858.0,46.8
BWEXP3min_k1.5_d20_all_t40,5865,37.6,-73.5,-43.0,-5878.0,-3277.0,48.8
BWEXP3min_k1.5_d20_all_t60,4408,28.2,-18.9,-159.6,-1512.0,-12155.0,48.5
BWEXP3min_k1.5_d20_all_tr2,15298,98.0,-764.9,-994.5,-61195.0,-75728.0,31.2
BWEXP3min_k1.8_d10_rth_t20,2217,14.2,-59.8,22.1,-4786.0,1682.0,48.3
BWEXP3min_k1.8_d10_rth_t40,1765,11.3,67.5,114.4,5403.0,8708.0,49.2
BWEXP3min_k1.8_d10_rth_t60,1469,9.4,46.9,143.8,3752.0,10946.0,50.1
BWEXP3min_k1.8_d10_rth_tr2,3608,23.1,-239.7,-381.6,-19175.0,-29055.0,31.9
BWEXP3min_k1.8_d10_all_t20,6735,43.1,-117.1,-55.1,-9369.0,-4194.0,48.6
BWEXP3min_k1.8_d10_all_t40,4976,31.9,-14.9,232.3,-1188.0,17684.0,48.2
BWEXP3min_k1.8_d10_all_t60,3876,24.8,43.4,196.3,3474.0,14950.0,50.1
BWEXP3min_k1.8_d10_all_tr2,10730,68.7,-553.0,-775.3,-44239.0,-59030.0,30.7
BWEXP3min_k1.8_d20_rth_t20,2105,13.5,29.7,18.3,2377.0,1390.0,49.2
BWEXP3min_k1.8_d20_rth_t40,1725,11.0,123.9,118.3,9914.0,9006.0,51.9
BWEXP3min_k1.8_d20_rth_t60,1485,9.5,107.5,217.2,8603.0,16541.0,53.5
BWEXP3min_k1.8_d20_rth_tr2,3996,25.6,-230.0,-346.9,-18399.0,-26416.0,33.5
BWEXP3min_k1.8_d20_all_t20,6296,40.3,-66.4,-47.3,-5314.0,-3600.0,47.8
BWEXP3min_k1.8_d20_all_t40,5052,32.4,8.8,104.8,702.0,7978.0,49.4
BWEXP3min_k1.8_d20_all_t60,3949,25.3,118.3,125.9,9462.0,9586.0,50.1
BWEXP3min_k1.8_d20_all_tr2,11721,75.1,-558.9,-805.7,-44714.0,-61351.0,31.4
BWEXP3min_k2.2_d10_rth_t20,1486,9.5,-35.8,113.4,-2866.0,8635.0,50.2
BWEXP3min_k2.2_d10_rth_t40,1275,8.2,-18.3,241.5,-1466.0,18385.0,51.5
BWEXP3min_k2.2_d10_rth_t60,1163,7.4,20.0,249.5,1596.0,19000.0,52.3
BWEXP3min_k2.2_d10_rth_tr2,2320,14.9,-162.2,-217.0,-12974.0,-16520.0,32.7
BWEXP3min_k2.2_d10_all_t20,4527,29.0,-74.4,66.8,-5950.0,5090.0,47.6
BWEXP3min_k2.2_d10_all_t40,3655,23.4,2.0,176.1,164.0,13408.0,50.2
BWEXP3min_k2.2_d10_all_t60,3029,19.4,-4.1,236.4,-330.0,17996.0,50.7
BWEXP3min_k2.2_d10_all_tr2,6749,43.2,-369.3,-491.6,-29540.0,-37430.0,31.2
BWEXP3min_k2.2_d20_rth_t20,1551,9.9,-34.5,-9.9,-2758.0,-756.0,47.8
BWEXP3min_k2.2_d20_rth_t40,1376,8.8,-5.7,-13.5,-453.0,-1030.0,49.8
BWEXP3min_k2.2_d20_rth_t60,1239,7.9,-66.3,18.2,-5306.0,1388.0,48.9
BWEXP3min_k2.2_d20_rth_tr2,2885,18.5,-189.4,-252.7,-15156.0,-19239.0,33.6
BWEXP3min_k2.2_d20_all_t20,4660,29.8,-57.7,-65.8,-4612.0,-5008.0,47.5
BWEXP3min_k2.2_d20_all_t40,4020,25.7,11.0,-94.8,883.0,-7220.0,49.5
BWEXP3min_k2.2_d20_all_t60,3293,21.1,-58.0,93.5,-4640.0,7122.0,49.4
BWEXP3min_k2.2_d20_all_tr2,8251,52.8,-432.3,-577.8,-34586.0,-43999.0,31.5
BWEXP5min_k1.3_d10_rth_t20,2191,14.0,47.5,-13.3,3800.0,-1013.0,49.2
BWEXP5min_k1.3_d10_rth_t40,1524,9.8,-62.9,7.0,-5034.0,534.0,49.0
BWEXP5min_k1.3_d10_rth_t60,1332,8.5,-40.5,-43.9,-3242.0,-3344.0,50.6
BWEXP5min_k1.3_d10_rth_tr2,4165,26.7,-360.4,-487.1,-28834.0,-37088.0,32.0
BWEXP5min_k1.3_d10_all_t20,6225,39.9,-56.1,-91.3,-4491.0,-6949.0,47.7
BWEXP5min_k1.3_d10_all_t40,3976,25.5,-81.6,113.6,-6527.0,8646.0,48.8
BWEXP5min_k1.3_d10_all_t60,2918,18.7,-154.8,-5.0,-12387.0,-378.0,48.6
BWEXP5min_k1.3_d10_all_tr2,11813,75.7,-747.0,-973.1,-59757.0,-74096.0,31.2
BWEXP5min_k1.3_d20_rth_t20,2056,13.2,192.4,-59.8,15396.0,-4550.0,51.4
BWEXP5min_k1.3_d20_rth_t40,1459,9.3,111.0,104.5,8878.0,7956.0,50.8
BWEXP5min_k1.3_d20_rth_t60,1302,8.3,96.9,106.8,7750.0,8131.0,53.1
BWEXP5min_k1.3_d20_rth_tr2,4228,27.1,-313.1,-594.3,-25052.0,-45252.0,31.6
BWEXP5min_k1.3_d20_all_t20,5505,35.3,78.0,-83.0,6240.0,-6318.0,48.8
BWEXP5min_k1.3_d20_all_t40,3827,24.5,-97.7,138.6,-7816.0,10552.0,47.9
BWEXP5min_k1.3_d20_all_t60,2850,18.3,26.9,136.9,2148.0,10421.0,49.6
BWEXP5min_k1.3_d20_all_tr2,11552,74.0,-691.6,-1039.9,-55332.0,-79179.0,31.4
BWEXP5min_k1.5_d10_rth_t20,1819,11.6,18.9,-76.8,1512.0,-5846.0,48.7
BWEXP5min_k1.5_d10_rth_t40,1387,8.9,-100.5,61.7,-8038.0,4699.0,49.2
BWEXP5min_k1.5_d10_rth_t60,1190,7.6,-4.9,4.5,-394.0,344.0,50.7
BWEXP5min_k1.5_d10_rth_tr2,3350,21.5,-305.9,-463.9,-24468.0,-35322.0,31.6
BWEXP5min_k1.5_d10_all_t20,5261,33.7,-68.0,-32.3,-5444.0,-2460.0,47.9
BWEXP5min_k1.5_d10_all_t40,3563,22.8,-103.7,31.4,-8300.0,2390.0,48.4
BWEXP5min_k1.5_d10_all_t60,2697,17.3,-57.7,-146.9,-4614.0,-11184.0,49.7
BWEXP5min_k1.5_d10_all_tr2,9435,60.4,-650.0,-870.9,-51998.0,-66313.0,30.5
BWEXP5min_k1.5_d20_rth_t20,1787,11.4,147.9,-135.7,11832.0,-10329.0,49.9
BWEXP5min_k1.5_d20_rth_t40,1347,8.6,106.8,-114.8,8548.0,-8744.0,50.6
BWEXP5min_k1.5_d20_rth_t60,1210,7.7,91.1,16.5,7286.0,1257.0,51.4
BWEXP5min_k1.5_d20_rth_tr2,3680,23.6,-274.5,-474.5,-21962.0,-36129.0,32.5
BWEXP5min_k1.5_d20_all_t20,4767,30.5,-2.7,-139.2,-214.0,-10598.0,48.2
BWEXP5min_k1.5_d20_all_t40,3497,22.4,-52.0,-77.7,-4158.0,-5915.0,48.3
BWEXP5min_k1.5_d20_all_t60,2665,17.1,0.2,21.4,14.0,1627.0,48.7
BWEXP5min_k1.5_d20_all_tr2,9830,63.0,-597.9,-867.1,-47836.0,-66023.0,31.6
BWEXP5min_k1.8_d10_rth_t20,1380,8.8,109.8,-15.0,8788.0,-1141.0,51.0
BWEXP5min_k1.8_d10_rth_t40,1159,7.4,84.6,-130.7,6770.0,-9952.0,51.8
BWEXP5min_k1.8_d10_rth_t60,1008,6.5,63.9,-8.4,5115.0,-638.0,52.9
BWEXP5min_k1.8_d10_rth_tr2,2415,15.5,-182.8,-287.1,-14626.0,-21859.0,33.2
BWEXP5min_k1.8_d10_all_t20,4059,26.0,-29.0,-94.7,-2318.0,-7214.0,47.5
BWEXP5min_k1.8_d10_all_t40,2980,19.1,-67.1,-119.8,-5371.0,-9120.0,48.5
BWEXP5min_k1.8_d10_all_t60,2366,15.2,69.8,-12.5,5588.0,-950.0,51.4
BWEXP5min_k1.8_d10_all_tr2,6740,43.2,-434.0,-638.7,-34722.0,-48636.0,31.2
BWEXP5min_k1.8_d20_rth_t20,1464,9.4,95.1,-111.6,7610.0,-8496.0,50.3
BWEXP5min_k1.8_d20_rth_t40,1209,7.7,121.4,-229.0,9710.0,-17440.0,49.0
BWEXP5min_k1.8_d20_rth_t60,1077,6.9,88.1,-96.8,7046.0,-7370.0,49.9
BWEXP5min_k1.8_d20_rth_tr2,3003,19.2,-280.3,-430.1,-22420.0,-32747.0,31.4
BWEXP5min_k1.8_d20_all_t20,3830,24.5,-45.1,-197.0,-3608.0,-14999.0,48.3
BWEXP5min_k1.8_d20_all_t40,3017,19.3,-45.7,-265.1,-3659.0,-20183.0,48.6
BWEXP5min_k1.8_d20_all_t60,2390,15.3,-22.9,-286.8,-1828.0,-21834.0,50.0
BWEXP5min_k1.8_d20_all_tr2,7686,49.2,-544.9,-730.0,-43595.0,-55581.0,31.5
BWEXP5min_k2.2_d10_rth_t20,950,6.1,2.6,-68.6,204.0,-5221.0,48.7
BWEXP5min_k2.2_d10_rth_t40,877,5.6,59.9,-51.8,4788.0,-3946.0,52.2
BWEXP5min_k2.2_d10_rth_t60,784,5.0,54.7,20.0,4376.0,1522.0,53.6
BWEXP5min_k2.2_d10_rth_tr2,1606,10.3,-135.0,-240.0,-10801.0,-18272.0,33.3
BWEXP5min_k2.2_d10_all_t20,2786,17.8,-27.0,-3.5,-2161.0,-264.0,47.6
BWEXP5min_k2.2_d10_all_t40,2251,14.4,-82.7,-92.9,-6614.0,-7072.0,48.6
BWEXP5min_k2.2_d10_all_t60,1908,12.2,-129.9,-3.5,-10392.0,-266.0,48.2
BWEXP5min_k2.2_d10_all_tr2,4372,28.0,-302.1,-440.8,-24166.0,-33562.0,31.1
BWEXP5min_k2.2_d20_rth_t20,1140,7.3,75.1,-62.5,6010.0,-4760.0,50.6
BWEXP5min_k2.2_d20_rth_t40,1008,6.5,96.9,-27.1,7755.0,-2065.0,51.5
BWEXP5min_k2.2_d20_rth_t60,935,6.0,81.7,10.2,6534.0,776.0,53.4
BWEXP5min_k2.2_d20_rth_tr2,2300,14.7,-193.6,-313.0,-15489.0,-23835.0,31.9
BWEXP5min_k2.2_d20_all_t20,2905,18.6,-1.8,-201.2,-146.0,-15320.0,47.9
BWEXP5min_k2.2_d20_all_t40,2441,15.6,-57.5,-284.0,-4600.0,-21627.0,48.5
BWEXP5min_k2.2_d20_all_t60,2071,13.3,-63.0,-79.2,-5040.0,-6032.0,49.6
