hour,mean,sum,count,std
0,0.260737756714055,165.04699999999684,633,41.110771837482275
1,3.371916403785466,2137.7949999999855,634,40.34105637026415
2,-0.28705993690852466,-181.99600000000464,634,27.948299687765584
3,-0.46633280757088424,-295.6549999999406,634,24.660282898353394
4,-0.42073974763404615,-266.74899999998524,634,24.504471279069794
5,-0.83384227129348,-528.6560000000663,634,33.947084132745175
6,2.6673033175355596,1688.4030000000093,633,30.61260103507267
7,3.2165757097791645,2039.3089999999902,634,41.08509879171414
8,0.6006182965299447,380.7919999999849,634,40.2949843775864
9,-0.2983722397477282,-189.1680000000597,634,36.56507830551423
10,-0.5692606635072593,-360.34200000009514,633,39.801359393925374
11,1.512717219589239,957.5499999999884,633,44.51408023806031
12,1.7029604430379641,1076.2709999999934,632,54.65902068767491
13,0.46888449367082424,296.3349999999609,632,79.59362267139586
14,-1.8245838607595206,-1153.137000000017,632,102.30841287366505
15,-1.5919099526066496,-1007.6790000000092,633,84.00476917633925
16,2.593252764612958,1641.5290000000023,633,71.32023002604272
17,4.7233016129032785,2928.447000000033,620,86.9195276112666
18,-0.758372964169419,-465.64100000002327,614,62.80220452642912
19,3.2685032786885606,1993.787000000022,610,72.09129789663355
20,-1.4755672131147861,-900.0960000000196,610,52.83987114596394
21,0.6046208530806239,127.57500000001164,211,24.948200501159047
22,6.130205882352959,2501.124000000007,408,42.805876380291316
23,1.3320694006309424,844.5320000000174,634,33.67915042796763
