n,tr_day,wr,per_day,per_trade,maxDD,sharpe,worst_q,n_folds,pos_folds,name,fam
771,1.0,32.9,-5.7,-5.65,4519.0,-2.25,-16.2,13,2,ORB15b3.0_s15.0t40.0,orb
771,1.0,47.2,-4.0,-4.05,3622.0,-1.73,-10.4,13,3,ORB15b3.0_s20.0t20.0,orb
771,1.0,39.0,-5.0,-4.96,4093.0,-1.75,-14.9,13,2,ORB15b3.0_s20.0t40.0,orb
771,1.0,28.0,-6.9,-6.9,5316.0,-4.23,-14.9,13,0,ORB30b1.0_s10.0t20.0,orb
771,1.0,23.0,-6.6,-6.64,5093.0,-3.26,-16.2,13,0,ORB30b1.0_s10.0t40.0,orb
771,1.0,35.8,-7.7,-7.66,5985.0,-3.84,-14.0,13,1,ORB30b1.0_s15.0t20.0,orb
771,1.0,30.1,-7.6,-7.65,5864.0,-3.17,-15.7,13,0,ORB30b1.0_s15.0t40.0,orb
771,1.0,42.8,-6.6,-6.56,5451.0,-2.91,-16.8,13,1,ORB30b1.0_s20.0t20.0,orb
771,1.0,36.7,-6.6,-6.59,5350.0,-2.44,-14.1,13,1,ORB30b1.0_s20.0t40.0,orb
769,1.0,28.7,-6.8,-6.83,5263.0,-4.18,-11.8,13,0,ORB30b3.0_s10.0t20.0,orb
769,1.0,24.1,-6.4,-6.45,4952.0,-3.16,-10.9,13,0,ORB30b3.0_s10.0t40.0,orb
769,1.0,37.3,-7.2,-7.16,5588.0,-3.59,-12.9,13,1,ORB30b3.0_s15.0t20.0,orb
769,1.0,32.4,-6.6,-6.59,5152.0,-2.72,-13.5,13,0,ORB30b3.0_s15.0t40.0,orb
769,1.0,44.2,-6.3,-6.34,5306.0,-2.82,-15.5,13,1,ORB30b3.0_s20.0t20.0,orb
769,1.0,38.5,-6.1,-6.07,5134.0,-2.25,-11.6,13,1,ORB30b3.0_s20.0t40.0,orb
740,1.0,32.4,-4.9,-4.95,3780.0,-2.99,-10.1,13,2,ORB60b1.0_s10.0t20.0,orb
740,1.0,28.5,-4.5,-4.48,3490.0,-2.22,-14.3,13,2,ORB60b1.0_s10.0t40.0,orb
740,1.0,41.8,-4.7,-4.66,3601.0,-2.35,-10.1,13,3,ORB60b1.0_s15.0t20.0,orb
740,1.0,37.0,-4.5,-4.51,3547.0,-1.9,-12.0,13,2,ORB60b1.0_s15.0t40.0,orb
740,1.0,44.7,-5.9,-5.91,4597.0,-2.69,-13.6,13,2,ORB60b1.0_s20.0t20.0,orb
740,1.0,39.7,-6.1,-6.09,4876.0,-2.34,-14.6,13,3,ORB60b1.0_s20.0t40.0,orb
734,1.0,33.7,-4.3,-4.32,3429.0,-2.59,-12.7,13,2,ORB60b3.0_s10.0t20.0,orb
734,1.0,29.0,-4.1,-4.1,3371.0,-2.01,-12.0,13,3,ORB60b3.0_s10.0t40.0,orb
734,1.0,42.0,-4.3,-4.34,3438.0,-2.2,-9.2,13,2,ORB60b3.0_s15.0t20.0,orb
734,1.0,37.2,-4.1,-4.06,3333.0,-1.71,-11.9,13,3,ORB60b3.0_s15.0t40.0,orb
734,1.0,46.3,-4.6,-4.61,3683.0,-2.11,-11.2,13,4,ORB60b3.0_s20.0t20.0,orb
734,1.0,41.3,-4.6,-4.63,3915.0,-1.77,-11.9,13,3,ORB60b3.0_s20.0t40.0,orb
52695,56.2,40.0,-133.8,-2.38,125499.0,-11.19,-180.0,13,0,ZFADE20z2.0_s10.0t20.0,zs
51331,54.7,37.4,-131.1,-2.4,123010.0,-9.29,-198.6,13,0,ZFADE20z2.0_s10.0t40.0,zs
48786,52.0,45.4,-105.4,-2.03,98892.0,-8.04,-163.2,13,0,ZFADE20z2.0_s15.0t20.0,zs
47420,50.6,42.4,-107.2,-2.12,100534.0,-7.17,-208.8,13,0,ZFADE20z2.0_s15.0t40.0,zs
5658,6.1,41.3,-11.4,-1.86,10607.0,-3.21,-22.6,13,2,ZFADE20z3.0_s10.0t20.0,zs
5649,6.1,38.0,-13.5,-2.21,12862.0,-3.17,-26.6,13,1,ZFADE20z3.0_s10.0t40.0,zs
5628,6.1,46.4,-9.2,-1.51,8931.0,-2.18,-29.3,13,4,ZFADE20z3.0_s15.0t20.0,zs
5616,6.1,42.8,-11.9,-1.96,12035.0,-2.38,-36.1,13,3,ZFADE20z3.0_s15.0t40.0,zs
44763,47.8,39.1,-121.9,-2.55,114236.0,-10.84,-176.3,13,0,ZFADE60z2.0_s10.0t20.0,zs
43152,46.1,35.9,-116.0,-2.52,108991.0,-8.76,-184.6,13,0,ZFADE60z2.0_s10.0t40.0,zs
39369,42.0,45.2,-92.0,-2.19,86732.0,-7.56,-156.5,13,0,ZFADE60z2.0_s15.0t20.0,zs
37684,40.2,41.4,-85.4,-2.12,80396.0,-6.06,-149.7,13,0,ZFADE60z2.0_s15.0t40.0,zs
9571,10.4,39.0,-25.2,-2.42,23229.0,-4.82,-38.9,13,0,ZFADE60z3.0_s10.0t20.0,zs
9412,10.2,34.7,-28.5,-2.79,26354.0,-4.6,-55.5,13,0,ZFADE60z3.0_s10.0t40.0,zs
8853,9.6,45.2,-22.6,-2.35,20845.0,-3.89,-44.5,13,0,ZFADE60z3.0_s15.0t20.0,zs
8672,9.4,40.7,-23.1,-2.45,21262.0,-3.33,-38.1,13,0,ZFADE60z3.0_s15.0t40.0,zs
49288,52.5,37.8,-147.2,-2.8,138355.0,-12.6,-211.0,13,0,ZMOM20z2.0_s10.0t20.0,zs
46499,49.6,35.0,-144.8,-2.92,136209.0,-10.95,-207.9,13,0,ZMOM20z2.0_s10.0t40.0,zs
47457,50.6,43.0,-123.4,-2.44,116072.0,-9.9,-180.3,13,0,ZMOM20z2.0_s15.0t20.0,zs
44481,47.4,40.0,-116.1,-2.45,109380.0,-8.09,-169.8,13,0,ZMOM20z2.0_s15.0t40.0,zs
5632,6.1,37.3,-18.4,-3.02,17062.0,-4.64,-38.2,13,0,ZMOM20z3.0_s10.0t20.0,zs
5609,6.1,33.7,-19.8,-3.24,18269.0,-4.29,-37.9,13,0,ZMOM20z3.0_s10.0t40.0,zs
5611,6.1,42.3,-17.1,-2.8,15774.0,-3.9,-34.8,13,0,ZMOM20z3.0_s15.0t20.0,zs
5588,6.1,38.4,-19.1,-3.16,17692.0,-3.72,-39.0,13,0,ZMOM20z3.0_s15.0t40.0,zs
40272,43.0,36.7,-126.9,-2.95,118948.0,-11.26,-197.1,13,0,ZMOM60z2.0_s10.0t20.0,zs
35672,38.1,33.3,-111.9,-2.94,105343.0,-9.47,-162.6,13,0,ZMOM60z2.0_s10.0t40.0,zs
37520,40.0,42.9,-100.6,-2.51,94382.0,-8.33,-170.9,13,0,ZMOM60z2.0_s15.0t20.0,zs
33235,35.5,38.9,-88.4,-2.49,83211.0,-6.98,-124.9,13,0,ZMOM60z2.0_s15.0t40.0,zs
8866,9.6,36.4,-27.0,-2.8,25095.0,-5.43,-48.2,13,0,ZMOM60z3.0_s10.0t20.0,zs
8114,8.8,31.8,-26.1,-2.96,24307.0,-4.43,-52.2,13,0,ZMOM60z3.0_s10.0t40.0,zs
8564,9.3,42.1,-26.2,-2.81,24289.0,-4.69,-40.2,13,0,ZMOM60z3.0_s15.0t20.0,zs
7762,8.4,37.2,-24.7,-2.92,23011.0,-3.9,-50.7,13,0,ZMOM60z3.0_s15.0t40.0,zs
