name,mode,imp,W,stop,tgt,htf,n,tr_day,wr,per_day,per_trade,maxDD,sharpe
MOM_i3.0_w3_s25.0_t50.0_htf60,momentum,3.0,3,25.0,50.0,60,6139,89.0,44.5,-198.4,-2.23,14628.0,-8.3
FADE_i3.0_w4_s8.0_t12.0_htf0,fade,3.0,4,8.0,12.0,0,15717,227.8,38.5,-775.4,-3.4,53543.0,-21.67
FADE_i3.0_w4_s8.0_t12.0_htf30,fade,3.0,4,8.0,12.0,30,8292,120.2,37.7,-456.7,-3.8,31555.0,-19.46
FADE_i3.0_w4_s8.0_t12.0_htf60,fade,3.0,4,8.0,12.0,60,8703,126.1,37.9,-466.6,-3.7,32265.0,-19.47
FADE_i3.0_w4_s8.0_t20.0_htf0,fade,3.0,4,8.0,20.0,0,13516,195.9,31.9,-690.6,-3.53,47683.0,-20.73
FADE_i3.0_w4_s8.0_t20.0_htf30,fade,3.0,4,8.0,20.0,30,7742,112.2,31.6,-433.0,-3.86,30057.0,-17.97
FADE_i3.0_w4_s8.0_t20.0_htf60,fade,3.0,4,8.0,20.0,60,8111,117.6,32.0,-430.9,-3.67,29821.0,-18.11
FADE_i3.0_w4_s8.0_t35.0_htf0,fade,3.0,4,8.0,35.0,0,11929,172.9,29.1,-586.2,-3.39,40670.0,-18.05
FADE_i3.0_w4_s8.0_t35.0_htf30,fade,3.0,4,8.0,35.0,30,7323,106.1,28.8,-409.5,-3.86,28408.0,-17.28
FADE_i3.0_w4_s8.0_t35.0_htf60,fade,3.0,4,8.0,35.0,60,7676,111.2,29.1,-425.4,-3.82,29559.0,-16.77
FADE_i3.0_w4_s8.0_t50.0_htf0,fade,3.0,4,8.0,50.0,0,11339,164.3,29.0,-505.0,-3.07,35236.0,-15.91
FADE_i3.0_w4_s8.0_t50.0_htf30,fade,3.0,4,8.0,50.0,30,7166,103.9,28.4,-394.7,-3.8,27536.0,-15.46
FADE_i3.0_w4_s8.0_t50.0_htf60,fade,3.0,4,8.0,50.0,60,7532,109.2,28.4,-425.1,-3.89,29629.0,-15.64
FADE_i3.0_w4_s12.0_t12.0_htf0,fade,3.0,4,12.0,12.0,0,13384,194.0,47.4,-584.9,-3.02,40438.0,-18.75
FADE_i3.0_w4_s12.0_t12.0_htf30,fade,3.0,4,12.0,12.0,30,7270,105.4,46.4,-359.1,-3.41,24823.0,-16.96
FADE_i3.0_w4_s12.0_t12.0_htf60,fade,3.0,4,12.0,12.0,60,7601,110.2,46.7,-348.0,-3.16,24032.0,-16.14
FADE_i3.0_w4_s12.0_t20.0_htf0,fade,3.0,4,12.0,20.0,0,11369,164.8,40.5,-460.1,-2.79,31951.0,-15.26
FADE_i3.0_w4_s12.0_t20.0_htf30,fade,3.0,4,12.0,20.0,30,6710,97.2,39.5,-342.8,-3.53,23734.0,-15.83
FADE_i3.0_w4_s12.0_t20.0_htf60,fade,3.0,4,12.0,20.0,60,6982,101.2,40.0,-312.6,-3.09,21669.0,-13.37
FADE_i3.0_w4_s12.0_t35.0_htf0,fade,3.0,4,12.0,35.0,0,9944,144.1,36.8,-392.1,-2.72,27299.0,-12.76
FADE_i3.0_w4_s12.0_t35.0_htf30,fade,3.0,4,12.0,35.0,30,6302,91.3,35.9,-337.7,-3.7,23433.0,-15.4
FADE_i3.0_w4_s12.0_t35.0_htf60,fade,3.0,4,12.0,35.0,60,6540,94.8,36.2,-320.5,-3.38,22307.0,-13.53
FADE_i3.0_w4_s12.0_t50.0_htf0,fade,3.0,4,12.0,50.0,0,9419,136.5,36.3,-332.1,-2.43,23675.0,-10.93
FADE_i3.0_w4_s12.0_t50.0_htf30,fade,3.0,4,12.0,50.0,30,6162,89.3,35.3,-319.8,-3.58,22488.0,-13.91
FADE_i3.0_w4_s12.0_t50.0_htf60,fade,3.0,4,12.0,50.0,60,6412,92.9,35.4,-307.9,-3.31,21640.0,-12.77
FADE_i3.0_w4_s18.0_t12.0_htf0,fade,3.0,4,18.0,12.0,0,11527,167.1,54.8,-431.6,-2.58,29888.0,-14.8
FADE_i3.0_w4_s18.0_t12.0_htf30,fade,3.0,4,18.0,12.0,30,6485,94.0,53.1,-271.2,-2.89,18759.0,-13.08
FADE_i3.0_w4_s18.0_t12.0_htf60,fade,3.0,4,18.0,12.0,60,6727,97.5,53.2,-267.6,-2.74,18535.0,-13.05
FADE_i3.0_w4_s18.0_t20.0_htf0,fade,3.0,4,18.0,20.0,0,9726,141.0,47.5,-324.1,-2.3,22575.0,-10.9
FADE_i3.0_w4_s18.0_t20.0_htf30,fade,3.0,4,18.0,20.0,30,5915,85.7,46.1,-267.3,-3.12,18511.0,-12.76
FADE_i3.0_w4_s18.0_t20.0_htf60,fade,3.0,4,18.0,20.0,60,6137,88.9,46.6,-229.5,-2.58,15894.0,-10.58
FADE_i3.0_w4_s18.0_t35.0_htf0,fade,3.0,4,18.0,35.0,0,8476,122.8,43.3,-264.6,-2.15,18713.0,-9.71
FADE_i3.0_w4_s18.0_t35.0_htf30,fade,3.0,4,18.0,35.0,30,5558,80.6,42.6,-226.9,-2.82,15843.0,-10.01
FADE_i3.0_w4_s18.0_t35.0_htf60,fade,3.0,4,18.0,35.0,60,5751,83.3,42.9,-202.0,-2.42,14204.0,-8.78
FADE_i3.0_w4_s18.0_t50.0_htf0,fade,3.0,4,18.0,50.0,0,8046,116.6,42.4,-262.3,-2.25,18633.0,-9.19
FADE_i3.0_w4_s18.0_t50.0_htf30,fade,3.0,4,18.0,50.0,30,5422,78.6,41.8,-210.2,-2.67,15025.0,-8.97
FADE_i3.0_w4_s18.0_t50.0_htf60,fade,3.0,4,18.0,50.0,60,5621,81.5,42.1,-188.3,-2.31,13596.0,-7.78
FADE_i3.0_w4_s25.0_t12.0_htf0,fade,3.0,4,25.0,12.0,0,10380,150.4,58.5,-348.3,-2.32,24070.0,-11.0
FADE_i3.0_w4_s25.0_t12.0_htf30,fade,3.0,4,25.0,12.0,30,6028,87.4,56.7,-213.2,-2.44,14755.0,-9.85
FADE_i3.0_w4_s25.0_t12.0_htf60,fade,3.0,4,25.0,12.0,60,6206,89.9,56.8,-205.4,-2.28,14247.0,-9.64
FADE_i3.0_w4_s25.0_t20.0_htf0,fade,3.0,4,25.0,20.0,0,8775,127.2,51.4,-256.8,-2.02,17830.0,-8.46
FADE_i3.0_w4_s25.0_t20.0_htf30,fade,3.0,4,25.0,20.0,30,5482,79.4,49.7,-202.0,-2.54,14013.0,-9.25
FADE_i3.0_w4_s25.0_t20.0_htf60,fade,3.0,4,25.0,20.0,60,5643,81.8,50.1,-179.5,-2.19,12376.0,-7.8
FADE_i3.0_w4_s25.0_t35.0_htf0,fade,3.0,4,25.0,35.0,0,7719,111.9,46.9,-210.8,-1.88,15181.0,-6.71
FADE_i3.0_w4_s25.0_t35.0_htf30,fade,3.0,4,25.0,35.0,30,5135,74.4,45.9,-186.8,-2.51,13086.0,-8.34
FADE_i3.0_w4_s25.0_t35.0_htf60,fade,3.0,4,25.0,35.0,60,5285,76.6,45.9,-180.1,-2.35,12849.0,-7.73
FADE_i3.0_w4_s25.0_t50.0_htf0,fade,3.0,4,25.0,50.0,0,7364,106.7,46.7,-159.4,-1.49,12030.0,-5.76
FADE_i3.0_w4_s25.0_t50.0_htf30,fade,3.0,4,25.0,50.0,30,5027,72.9,45.0,-182.4,-2.5,13152.0,-7.4
FADE_i3.0_w4_s25.0_t50.0_htf60,fade,3.0,4,25.0,50.0,60,5178,75.0,45.0,-165.0,-2.2,12182.0,-6.84
MOM_i3.0_w4_s8.0_t12.0_htf0,momentum,3.0,4,8.0,12.0,0,15714,227.7,37.7,-821.3,-3.61,56821.0,-21.65
MOM_i3.0_w4_s8.0_t12.0_htf30,momentum,3.0,4,8.0,12.0,30,11817,171.3,37.9,-596.0,-3.48,41214.0,-23.29
MOM_i3.0_w4_s8.0_t12.0_htf60,momentum,3.0,4,8.0,12.0,60,11194,162.2,37.7,-580.7,-3.58,40085.0,-21.41
MOM_i3.0_w4_s8.0_t20.0_htf0,momentum,3.0,4,8.0,20.0,0,13473,195.3,31.0,-703.0,-3.6,48741.0,-19.38
MOM_i3.0_w4_s8.0_t20.0_htf30,momentum,3.0,4,8.0,20.0,30,10261,148.7,31.3,-514.4,-3.46,35719.0,-20.17
MOM_i3.0_w4_s8.0_t20.0_htf60,momentum,3.0,4,8.0,20.0,60,9761,141.5,31.3,-495.2,-3.5,34228.0,-20.91
MOM_i3.0_w4_s8.0_t35.0_htf0,momentum,3.0,4,8.0,35.0,0,11814,171.2,27.6,-630.3,-3.68,43966.0,-17.04
MOM_i3.0_w4_s8.0_t35.0_htf30,momentum,3.0,4,8.0,35.0,30,9141,132.5,27.9,-469.5,-3.54,33023.0,-17.34
MOM_i3.0_w4_s8.0_t35.0_htf60,momentum,3.0,4,8.0,35.0,60,8667,125.6,28.3,-409.8,-3.26,29100.0,-17.39
MOM_i3.0_w4_s8.0_t50.0_htf0,momentum,3.0,4,8.0,50.0,0,11192,162.2,27.1,-602.6,-3.72,42970.0,-15.73
MOM_i3.0_w4_s8.0_t50.0_htf30,momentum,3.0,4,8.0,50.0,30,8785,127.3,27.3,-466.1,-3.66,32947.0,-16.94
MOM_i3.0_w4_s8.0_t50.0_htf60,momentum,3.0,4,8.0,50.0,60,8312,120.5,27.6,-401.6,-3.33,28714.0,-16.59
MOM_i3.0_w4_s12.0_t12.0_htf0,momentum,3.0,4,12.0,12.0,0,13400,194.2,45.9,-692.3,-3.56,47965.0,-19.92
MOM_i3.0_w4_s12.0_t12.0_htf30,momentum,3.0,4,12.0,12.0,30,10525,152.5,46.0,-522.1,-3.42,36099.0,-20.89
MOM_i3.0_w4_s12.0_t12.0_htf60,momentum,3.0,4,12.0,12.0,60,10007,145.0,46.2,-481.9,-3.32,33311.0,-18.07
MOM_i3.0_w4_s12.0_t20.0_htf0,momentum,3.0,4,12.0,20.0,0,11421,165.5,38.3,-598.0,-3.61,41563.0,-17.16
MOM_i3.0_w4_s12.0_t20.0_htf30,momentum,3.0,4,12.0,20.0,30,9037,131.0,39.1,-422.1,-3.22,29325.0,-17.04
MOM_i3.0_w4_s12.0_t20.0_htf60,momentum,3.0,4,12.0,20.0,60,8648,125.3,39.2,-393.7,-3.14,27419.0,-17.72
MOM_i3.0_w4_s12.0_t35.0_htf0,momentum,3.0,4,12.0,35.0,0,9926,143.9,34.6,-507.8,-3.53,35281.0,-13.99
MOM_i3.0_w4_s12.0_t35.0_htf30,momentum,3.0,4,12.0,35.0,30,8008,116.1,35.2,-387.4,-3.34,27285.0,-15.69
MOM_i3.0_w4_s12.0_t35.0_htf60,momentum,3.0,4,12.0,35.0,60,7647,110.8,35.4,-334.3,-3.02,23695.0,-13.47
MOM_i3.0_w4_s12.0_t50.0_htf0,momentum,3.0,4,12.0,50.0,0,9367,135.8,33.9,-502.3,-3.7,35433.0,-13.13
MOM_i3.0_w4_s12.0_t50.0_htf30,momentum,3.0,4,12.0,50.0,30,7645,110.8,34.3,-393.0,-3.55,27890.0,-13.78
MOM_i3.0_w4_s12.0_t50.0_htf60,momentum,3.0,4,12.0,50.0,60,7272,105.4,34.6,-336.1,-3.19,23868.0,-12.97
MOM_i3.0_w4_s18.0_t12.0_htf0,momentum,3.0,4,18.0,12.0,0,11517,166.9,52.5,-580.7,-3.48,40376.0,-16.77
MOM_i3.0_w4_s18.0_t12.0_htf30,momentum,3.0,4,18.0,12.0,30,9454,137.0,53.0,-415.3,-3.03,28704.0,-16.3
MOM_i3.0_w4_s18.0_t12.0_htf60,momentum,3.0,4,18.0,12.0,60,9016,130.7,53.3,-371.9,-2.85,25788.0,-16.45
MOM_i3.0_w4_s18.0_t20.0_htf0,momentum,3.0,4,18.0,20.0,0,9751,141.3,45.6,-405.0,-2.87,28337.0,-13.16
MOM_i3.0_w4_s18.0_t20.0_htf30,momentum,3.0,4,18.0,20.0,30,8056,116.8,45.6,-313.5,-2.69,21911.0,-13.13
MOM_i3.0_w4_s18.0_t20.0_htf60,momentum,3.0,4,18.0,20.0,60,7727,112.0,46.3,-273.4,-2.44,19054.0,-12.35
MOM_i3.0_w4_s18.0_t35.0_htf0,momentum,3.0,4,18.0,35.0,0,8478,122.9,41.7,-321.8,-2.62,23525.0,-11.16
MOM_i3.0_w4_s18.0_t35.0_htf30,momentum,3.0,4,18.0,35.0,30,7116,103.1,41.2,-299.0,-2.9,20999.0,-11.9
MOM_i3.0_w4_s18.0_t35.0_htf60,momentum,3.0,4,18.0,35.0,60,6796,98.5,42.5,-194.5,-1.97,14257.0,-8.72
MOM_i3.0_w4_s18.0_t50.0_htf0,momentum,3.0,4,18.0,50.0,0,8017,116.2,40.3,-367.7,-3.16,26919.0,-11.18
MOM_i3.0_w4_s18.0_t50.0_htf30,momentum,3.0,4,18.0,50.0,30,6788,98.4,40.3,-273.6,-2.78,19818.0,-10.15
MOM_i3.0_w4_s18.0_t50.0_htf60,momentum,3.0,4,18.0,50.0,60,6469,93.8,41.4,-203.4,-2.17,15337.0,-7.84
MOM_i3.0_w4_s25.0_t12.0_htf0,momentum,3.0,4,25.0,12.0,0,10358,150.1,56.8,-419.0,-2.79,29229.0,-12.33
MOM_i3.0_w4_s25.0_t12.0_htf30,momentum,3.0,4,25.0,12.0,30,8783,127.3,56.9,-312.8,-2.46,21819.0,-12.85
MOM_i3.0_w4_s25.0_t12.0_htf60,momentum,3.0,4,25.0,12.0,60,8439,122.3,56.8,-306.2,-2.5,21322.0,-12.35
MOM_i3.0_w4_s25.0_t20.0_htf0,momentum,3.0,4,25.0,20.0,0,8768,127.1,49.0,-354.3,-2.79,24826.0,-13.53
MOM_i3.0_w4_s25.0_t20.0_htf30,momentum,3.0,4,25.0,20.0,30,7497,108.7,48.8,-265.8,-2.45,18669.0,-11.54
MOM_i3.0_w4_s25.0_t20.0_htf60,momentum,3.0,4,25.0,20.0,60,7214,104.6,49.8,-212.4,-2.03,15072.0,-10.56
MOM_i3.0_w4_s25.0_t35.0_htf0,momentum,3.0,4,25.0,35.0,0,7763,112.5,44.4,-299.6,-2.66,21901.0,-10.19
MOM_i3.0_w4_s25.0_t35.0_htf30,momentum,3.0,4,25.0,35.0,30,6650,96.4,44.1,-256.6,-2.66,18263.0,-9.13
MOM_i3.0_w4_s25.0_t35.0_htf60,momentum,3.0,4,25.0,35.0,60,6383,92.5,45.4,-163.4,-1.77,12749.0,-6.8
MOM_i3.0_w4_s25.0_t50.0_htf0,momentum,3.0,4,25.0,50.0,0,7357,106.6,42.5,-336.1,-3.15,24423.0,-10.93
MOM_i3.0_w4_s25.0_t50.0_htf30,momentum,3.0,4,25.0,50.0,30,6344,91.9,42.8,-252.0,-2.74,18497.0,-9.1
MOM_i3.0_w4_s25.0_t50.0_htf60,momentum,3.0,4,25.0,50.0,60,6064,87.9,44.1,-171.7,-1.95,13410.0,-6.77
FADE_i3.0_w6_s8.0_t12.0_htf0,fade,3.0,6,8.0,12.0,0,15884,230.2,38.6,-768.8,-3.34,53077.0,-21.96
FADE_i3.0_w6_s8.0_t12.0_htf30,fade,3.0,6,8.0,12.0,30,7506,108.8,38.1,-392.5,-3.61,27067.0,-20.84
FADE_i3.0_w6_s8.0_t12.0_htf60,fade,3.0,6,8.0,12.0,60,8132,117.9,38.3,-428.1,-3.63,29591.0,-20.59
FADE_i3.0_w6_s8.0_t20.0_htf0,fade,3.0,6,8.0,20.0,0,13603,197.1,32.1,-676.7,-3.43,46719.0,-21.04
FADE_i3.0_w6_s8.0_t20.0_htf30,fade,3.0,6,8.0,20.0,30,6962,100.9,31.9,-381.0,-3.78,26299.0,-18.64
FADE_i3.0_w6_s8.0_t20.0_htf60,fade,3.0,6,8.0,20.0,60,7556,109.5,32.7,-379.1,-3.46,26193.0,-19.55
FADE_i3.0_w6_s8.0_t35.0_htf0,fade,3.0,6,8.0,35.0,0,12036,174.4,29.0,-586.5,-3.36,40817.0,-19.98
FADE_i3.0_w6_s8.0_t35.0_htf30,fade,3.0,6,8.0,35.0,30,6643,96.3,29.3,-367.4,-3.82,25430.0,-17.63
FADE_i3.0_w6_s8.0_t35.0_htf60,fade,3.0,6,8.0,35.0,60,7215,104.6,30.0,-367.6,-3.52,25463.0,-17.13
FADE_i3.0_w6_s8.0_t50.0_htf0,fade,3.0,6,8.0,50.0,0,11401,165.2,29.1,-507.1,-3.07,35625.0,-17.66
FADE_i3.0_w6_s8.0_t50.0_htf30,fade,3.0,6,8.0,50.0,30,6560,95.1,28.7,-357.2,-3.76,24789.0,-16.24
FADE_i3.0_w6_s8.0_t50.0_htf60,fade,3.0,6,8.0,50.0,60,7124,103.2,29.1,-378.0,-3.66,26175.0,-17.46
FADE_i3.0_w6_s12.0_t12.0_htf0,fade,3.0,6,12.0,12.0,0,13472,195.2,47.5,-569.6,-2.92,39356.0,-17.82
FADE_i3.0_w6_s12.0_t12.0_htf30,fade,3.0,6,12.0,12.0,30,6573,95.3,46.6,-299.5,-3.14,20705.0,-16.96
FADE_i3.0_w6_s12.0_t12.0_htf60,fade,3.0,6,12.0,12.0,60,7026,101.8,47.2,-308.1,-3.03,21285.0,-15.93
FADE_i3.0_w6_s12.0_t20.0_htf0,fade,3.0,6,12.0,20.0,0,11422,165.5,40.3,-478.9,-2.89,33069.0,-15.15
FADE_i3.0_w6_s12.0_t20.0_htf30,fade,3.0,6,12.0,20.0,30,6025,87.3,40.1,-264.1,-3.02,18297.0,-13.94
FADE_i3.0_w6_s12.0_t20.0_htf60,fade,3.0,6,12.0,20.0,60,6463,93.7,40.9,-253.9,-2.71,17568.0,-13.39
FADE_i3.0_w6_s12.0_t35.0_htf0,fade,3.0,6,12.0,35.0,0,10040,145.5,36.2,-433.0,-2.98,30414.0,-15.41
FADE_i3.0_w6_s12.0_t35.0_htf30,fade,3.0,6,12.0,35.0,30,5692,82.5,36.9,-257.2,-3.12,17931.0,-13.81
FADE_i3.0_w6_s12.0_t35.0_htf60,fade,3.0,6,12.0,35.0,60,6111,88.6,37.6,-240.6,-2.72,16743.0,-12.63
FADE_i3.0_w6_s12.0_t50.0_htf0,fade,3.0,6,12.0,50.0,0,9492,137.6,35.9,-392.1,-2.85,28598.0,-12.41
FADE_i3.0_w6_s12.0_t50.0_htf30,fade,3.0,6,12.0,50.0,30,5588,81.0,36.1,-248.2,-3.06,17495.0,-12.5
FADE_i3.0_w6_s12.0_t50.0_htf60,fade,3.0,6,12.0,50.0,60,6009,87.1,36.6,-256.7,-2.95,17747.0,-13.38
FADE_i3.0_w6_s18.0_t12.0_htf0,fade,3.0,6,18.0,12.0,0,11595,168.0,54.9,-408.3,-2.43,28233.0,-12.82
FADE_i3.0_w6_s18.0_t12.0_htf30,fade,3.0,6,18.0,12.0,30,5855,84.9,53.4,-214.7,-2.53,14834.0,-12.84
FADE_i3.0_w6_s18.0_t12.0_htf60,fade,3.0,6,18.0,12.0,60,6205,89.9,53.5,-240.7,-2.68,16641.0,-13.15
FADE_i3.0_w6_s18.0_t20.0_htf0,fade,3.0,6,18.0,20.0,0,9806,142.1,46.9,-384.0,-2.7,26608.0,-11.9
FADE_i3.0_w6_s18.0_t20.0_htf30,fade,3.0,6,18.0,20.0,30,5351,77.6,46.3,-206.7,-2.67,14327.0,-10.4
FADE_i3.0_w6_s18.0_t20.0_htf60,fade,3.0,6,18.0,20.0,60,5686,82.4,46.9,-195.0,-2.37,13477.0,-10.05
FADE_i3.0_w6_s18.0_t35.0_htf0,fade,3.0,6,18.0,35.0,0,8566,124.1,42.9,-309.7,-2.49,22149.0,-11.59
FADE_i3.0_w6_s18.0_t35.0_htf30,fade,3.0,6,18.0,35.0,30,5035,73.0,43.1,-182.9,-2.51,12640.0,-9.57
FADE_i3.0_w6_s18.0_t35.0_htf60,fade,3.0,6,18.0,35.0,60,5344,77.4,43.5,-166.7,-2.15,11584.0,-7.96
FADE_i3.0_w6_s18.0_t50.0_htf0,fade,3.0,6,18.0,50.0,0,8125,117.8,42.3,-275.1,-2.34,20417.0,-10.15
FADE_i3.0_w6_s18.0_t50.0_htf30,fade,3.0,6,18.0,50.0,30,4940,71.6,42.2,-166.9,-2.33,11753.0,-8.95
FADE_i3.0_w6_s18.0_t50.0_htf60,fade,3.0,6,18.0,50.0,60,5228,75.8,42.4,-182.9,-2.41,12596.0,-9.39
FADE_i3.0_w6_s25.0_t12.0_htf0,fade,3.0,6,25.0,12.0,0,10437,151.3,58.5,-344.4,-2.28,23863.0,-11.76
FADE_i3.0_w6_s25.0_t12.0_htf30,fade,3.0,6,25.0,12.0,30,5485,79.5,56.2,-200.8,-2.53,13880.0,-10.81
FADE_i3.0_w6_s25.0_t12.0_htf60,fade,3.0,6,25.0,12.0,60,5730,83.0,56.7,-189.9,-2.29,13147.0,-10.04
FADE_i3.0_w6_s25.0_t20.0_htf0,fade,3.0,6,25.0,20.0,0,8860,128.4,51.0,-284.3,-2.21,19781.0,-9.65
FADE_i3.0_w6_s25.0_t20.0_htf30,fade,3.0,6,25.0,20.0,30,5022,72.8,49.4,-181.1,-2.49,12536.0,-8.98
FADE_i3.0_w6_s25.0_t20.0_htf60,fade,3.0,6,25.0,20.0,60,5268,76.3,50.3,-156.0,-2.04,10762.0,-7.61
FADE_i3.0_w6_s25.0_t35.0_htf0,fade,3.0,6,25.0,35.0,0,7799,113.0,46.4,-292.7,-2.59,20694.0,-9.76
FADE_i3.0_w6_s25.0_t35.0_htf30,fade,3.0,6,25.0,35.0,30,4731,68.6,46.2,-145.6,-2.12,10134.0,-7.32
FADE_i3.0_w6_s25.0_t35.0_htf60,fade,3.0,6,25.0,35.0,60,4956,71.8,46.5,-145.7,-2.03,10111.0,-7.19
FADE_i3.0_w6_s25.0_t50.0_htf0,fade,3.0,6,25.0,50.0,0,7445,107.9,46.0,-226.5,-2.1,17154.0,-7.81
FADE_i3.0_w6_s25.0_t50.0_htf30,fade,3.0,6,25.0,50.0,30,4633,67.1,45.4,-144.7,-2.16,10268.0,-7.09
FADE_i3.0_w6_s25.0_t50.0_htf60,fade,3.0,6,25.0,50.0,60,4845,70.2,45.4,-160.9,-2.29,11094.0,-8.44
MOM_i3.0_w6_s8.0_t12.0_htf0,momentum,3.0,6,8.0,12.0,0,15830,229.4,37.4,-859.7,-3.75,59349.0,-22.24
MOM_i3.0_w6_s8.0_t12.0_htf30,momentum,3.0,6,8.0,12.0,30,12076,175.0,37.6,-636.7,-3.64,44016.0,-21.65
MOM_i3.0_w6_s8.0_t12.0_htf60,momentum,3.0,6,8.0,12.0,60,11275,163.4,37.7,-599.5,-3.67,41440.0,-21.3
MOM_i3.0_w6_s8.0_t20.0_htf0,momentum,3.0,6,8.0,20.0,0,13563,196.6,30.7,-724.1,-3.68,50096.0,-18.24
MOM_i3.0_w6_s8.0_t20.0_htf30,momentum,3.0,6,8.0,20.0,30,10501,152.2,31.3,-532.3,-3.5,37117.0,-18.24
MOM_i3.0_w6_s8.0_t20.0_htf60,momentum,3.0,6,8.0,20.0,60,9838,142.6,31.3,-503.2,-3.53,34854.0,-18.72
MOM_i3.0_w6_s8.0_t35.0_htf0,momentum,3.0,6,8.0,35.0,0,11880,172.2,27.3,-641.2,-3.72,44844.0,-16.82
MOM_i3.0_w6_s8.0_t35.0_htf30,momentum,3.0,6,8.0,35.0,30,9273,134.4,27.8,-495.0,-3.68,34848.0,-16.2
MOM_i3.0_w6_s8.0_t35.0_htf60,momentum,3.0,6,8.0,35.0,60,8654,125.4,28.1,-434.2,-3.46,30465.0,-16.5
MOM_i3.0_w6_s8.0_t50.0_htf0,momentum,3.0,6,8.0,50.0,0,11327,164.2,26.4,-661.5,-4.03,46041.0,-15.98
MOM_i3.0_w6_s8.0_t50.0_htf30,momentum,3.0,6,8.0,50.0,30,8849,128.2,27.2,-488.0,-3.81,34423.0,-16.1
MOM_i3.0_w6_s8.0_t50.0_htf60,momentum,3.0,6,8.0,50.0,60,8254,119.6,27.6,-420.2,-3.51,29412.0,-16.51
MOM_i3.0_w6_s12.0_t12.0_htf0,momentum,3.0,6,12.0,12.0,0,13476,195.3,45.9,-707.1,-3.62,48846.0,-17.8
MOM_i3.0_w6_s12.0_t12.0_htf30,momentum,3.0,6,12.0,12.0,30,10699,155.1,45.8,-548.3,-3.54,37901.0,-19.88
MOM_i3.0_w6_s12.0_t12.0_htf60,momentum,3.0,6,12.0,12.0,60,10017,145.2,46.2,-496.1,-3.42,34324.0,-19.03
MOM_i3.0_w6_s12.0_t20.0_htf0,momentum,3.0,6,12.0,20.0,0,11485,166.4,38.4,-609.3,-3.66,42269.0,-15.56
MOM_i3.0_w6_s12.0_t20.0_htf30,momentum,3.0,6,12.0,20.0,30,9202,133.4,38.6,-478.6,-3.59,33257.0,-16.05
MOM_i3.0_w6_s12.0_t20.0_htf60,momentum,3.0,6,12.0,20.0,60,8656,125.4,38.9,-437.9,-3.49,30370.0,-16.73
MOM_i3.0_w6_s12.0_t35.0_htf0,momentum,3.0,6,12.0,35.0,0,9975,144.6,34.4,-539.8,-3.73,37952.0,-13.95
MOM_i3.0_w6_s12.0_t35.0_htf30,momentum,3.0,6,12.0,35.0,30,8092,117.3,34.7,-444.8,-3.79,31137.0,-15.96
MOM_i3.0_w6_s12.0_t35.0_htf60,momentum,3.0,6,12.0,35.0,60,7599,110.1,35.3,-364.8,-3.31,25566.0,-13.71
MOM_i3.0_w6_s12.0_t50.0_htf0,momentum,3.0,6,12.0,50.0,0,9477,137.3,33.6,-519.8,-3.78,36419.0,-12.94
MOM_i3.0_w6_s12.0_t50.0_htf30,momentum,3.0,6,12.0,50.0,30,7687,111.4,34.1,-407.5,-3.66,28793.0,-13.8
MOM_i3.0_w6_s12.0_t50.0_htf60,momentum,3.0,6,12.0,50.0,60,7195,104.3,34.7,-338.6,-3.25,23794.0,-13.19
MOM_i3.0_w6_s18.0_t12.0_htf0,momentum,3.0,6,18.0,12.0,0,11605,168.2,52.9,-548.3,-3.26,38070.0,-16.94
MOM_i3.0_w6_s18.0_t12.0_htf30,momentum,3.0,6,18.0,12.0,30,9572,138.7,52.5,-453.8,-3.27,31361.0,-17.04
MOM_i3.0_w6_s18.0_t12.0_htf60,momentum,3.0,6,18.0,12.0,60,8992,130.3,52.9,-402.3,-3.09,27902.0,-16.03
MOM_i3.0_w6_s18.0_t20.0_htf0,momentum,3.0,6,18.0,20.0,0,9817,142.3,44.8,-484.3,-3.4,34099.0,-13.99
MOM_i3.0_w6_s18.0_t20.0_htf30,momentum,3.0,6,18.0,20.0,30,8162,118.3,45.0,-381.4,-3.22,26584.0,-13.73
MOM_i3.0_w6_s18.0_t20.0_htf60,momentum,3.0,6,18.0,20.0,60,7720,111.9,45.7,-325.2,-2.91,22877.0,-12.44
MOM_i3.0_w6_s18.0_t35.0_htf0,momentum,3.0,6,18.0,35.0,0,8558,124.0,40.8,-394.8,-3.18,28521.0,-13.08
MOM_i3.0_w6_s18.0_t35.0_htf30,momentum,3.0,6,18.0,35.0,30,7146,103.6,40.5,-360.7,-3.48,25283.0,-13.21
MOM_i3.0_w6_s18.0_t35.0_htf60,momentum,3.0,6,18.0,35.0,60,6748,97.8,41.8,-244.9,-2.5,17742.0,-9.94
MOM_i3.0_w6_s18.0_t50.0_htf0,momentum,3.0,6,18.0,50.0,0,8091,117.3,40.2,-363.0,-3.1,26175.0,-11.5
MOM_i3.0_w6_s18.0_t50.0_htf30,momentum,3.0,6,18.0,50.0,30,6798,98.5,40.0,-300.3,-3.05,21517.0,-10.75
MOM_i3.0_w6_s18.0_t50.0_htf60,momentum,3.0,6,18.0,50.0,60,6396,92.7,41.1,-220.7,-2.38,16335.0,-8.16
MOM_i3.0_w6_s25.0_t12.0_htf0,momentum,3.0,6,25.0,12.0,0,10473,151.8,57.0,-421.9,-2.78,29343.0,-14.51
