name,mode,imp,W,stop,tgt,htf,n,tr_day,wr,per_day,per_trade,maxDD,sharpe
MOM_i12.0_w6_s18.0_t50.0_htf60,momentum,12.0,6,18.0,50.0,60,4262,61.8,39.0,-180.5,-2.92,13717.0,-7.29
MOM_i12.0_w6_s25.0_t12.0_htf0,momentum,12.0,6,25.0,12.0,0,7668,111.1,58.7,-358.3,-3.22,25061.0,-12.56
MOM_i12.0_w6_s25.0_t12.0_htf30,momentum,12.0,6,25.0,12.0,30,6275,90.9,58.6,-270.4,-2.97,18713.0,-11.73
MOM_i12.0_w6_s25.0_t12.0_htf60,momentum,12.0,6,25.0,12.0,60,5828,84.5,58.7,-241.6,-2.86,17420.0,-11.15
MOM_i12.0_w6_s25.0_t20.0_htf0,momentum,12.0,6,25.0,20.0,0,6443,93.4,50.2,-292.7,-3.13,20663.0,-11.04
MOM_i12.0_w6_s25.0_t20.0_htf30,momentum,12.0,6,25.0,20.0,30,5307,76.9,49.6,-238.5,-3.1,16677.0,-10.43
MOM_i12.0_w6_s25.0_t20.0_htf60,momentum,12.0,6,25.0,20.0,60,4923,71.3,50.4,-174.1,-2.44,12850.0,-7.57
MOM_i12.0_w6_s25.0_t35.0_htf0,momentum,12.0,6,25.0,35.0,0,5501,79.7,45.1,-201.3,-2.52,16248.0,-7.46
MOM_i12.0_w6_s25.0_t35.0_htf30,momentum,12.0,6,25.0,35.0,30,4557,66.0,43.8,-205.0,-3.1,15117.0,-8.18
MOM_i12.0_w6_s25.0_t35.0_htf60,momentum,12.0,6,25.0,35.0,60,4233,61.3,45.5,-107.4,-1.75,9295.0,-4.74
MOM_i12.0_w6_s25.0_t50.0_htf0,momentum,12.0,6,25.0,50.0,0,5121,74.2,43.6,-183.6,-2.47,14724.0,-6.39
MOM_i12.0_w6_s25.0_t50.0_htf30,momentum,12.0,6,25.0,50.0,30,4268,61.9,42.4,-172.6,-2.79,13209.0,-6.85
MOM_i12.0_w6_s25.0_t50.0_htf60,momentum,12.0,6,25.0,50.0,60,3961,57.4,43.5,-112.3,-1.96,9440.0,-4.93
