name,sel_usd_wk,sel_tr_wk,sel_per,sel_pos,bl_usd_wk,bl_tr_wk,bl_per,bl_worst,bl_pos
MOMR_k30_a3.0_all_t5_s0,-1323.0,590.0,-2.24,11,-836.0,410.5,-2.04,-2564.0,33
Z60F_all_t5_s15,-1336.0,419.9,-3.18,0,-1641.0,307.0,-5.35,-2129.0,0
MOMR_k15_a3.0_all_t5_s15,-1340.0,511.6,-2.62,0,-294.0,399.0,-0.74,-3017.0,50
MOMF_k30_a1.5_rth_t5_s15,-1340.0,364.6,-3.68,0,-1209.0,437.2,-2.77,-1944.0,0
MOMF_k5_a1.5_all_t30_s15,-1353.0,336.2,-4.02,0,-1605.0,279.8,-5.73,-3942.0,17
MOMR_k3_a1.5_all_t15_s15,-1357.0,418.6,-3.24,0,-52.0,331.5,-0.16,-1215.0,33
RUNR_all_t15_s0,-1367.0,317.4,-4.31,0,-404.0,210.5,-1.92,-1412.0,17
MOMR_k30_a3.0_all_t15_s15,-1387.0,461.7,-3.0,0,-333.0,380.5,-0.88,-2288.0,33
DON20R_all_t5_s15,-1399.0,476.1,-2.94,0,-928.0,385.5,-2.41,-3298.0,33
MOMR_k30_a1.5_all_t30_s15,-1414.0,413.9,-3.42,22,278.0,349.8,0.8,-2231.0,67
MOMF_k15_a1.5_all_t15_s0,-1443.0,360.2,-4.01,0,-2103.0,244.7,-8.6,-6624.0,17
RSI2R_all_t5_s15,-1458.0,837.1,-1.74,11,-1851.0,639.3,-2.9,-4615.0,17
MOMR_k5_a1.5_all_t5_s0,-1495.0,599.0,-2.5,11,-1430.0,424.7,-3.37,-2866.0,17
MOMF_k5_a1.5_all_t5_s0,-1500.0,599.0,-2.5,0,-694.0,424.7,-1.63,-2286.0,17
DON20R_all_t15_s15,-1503.0,396.1,-3.79,0,-708.0,324.2,-2.19,-2330.0,33
MOMR_k3_a1.5_all_t5_s15,-1530.0,584.4,-2.62,22,-929.0,457.8,-2.03,-3738.0,33
MOMF_k3_a1.5_all_t15_s15,-1572.0,388.4,-4.05,11,-1715.0,311.3,-5.51,-4116.0,0
MOMF_k3_a1.5_all_t5_s15,-1592.0,540.9,-2.94,0,-1431.0,415.2,-3.45,-3462.0,0
MOMF_k30_a3.0_all_t5_s0,-1627.0,590.0,-2.76,0,-1217.0,410.5,-2.96,-3194.0,0
MOMF_k15_a1.5_all_t15_s15,-1655.0,500.0,-3.31,0,-1936.0,404.5,-4.79,-4456.0,0
MOMF_k30_a1.5_all_t15_s15,-1664.0,539.3,-3.08,0,-1945.0,452.8,-4.29,-4380.0,0
MOMR_k5_a1.5_all_t30_s15,-1691.0,372.2,-4.54,0,-1114.0,314.3,-3.54,-3432.0,17
RSI2F_all_t30_s0,-1709.0,190.0,-8.99,11,-50.0,128.7,-0.39,-1438.0,33
RUNR_all_t5_s0,-1743.0,613.1,-2.84,11,-710.0,493.0,-1.44,-1938.0,20
MOMR_k15_a1.5_all_t5_s0,-1789.0,827.1,-2.16,0,-414.0,558.2,-0.74,-2969.0,50
MOMR_k5_a1.5_all_t15_s15,-1827.0,503.8,-3.63,0,-669.0,409.8,-1.63,-3822.0,33
MOMF_k30_a3.0_all_t5_s15,-1875.0,667.3,-2.81,0,-1972.0,517.7,-3.81,-5190.0,0
MOMR_k15_a1.5_all_t30_s15,-1888.0,411.9,-4.58,0,-37.0,341.7,-0.11,-2838.0,50
MOMF_k5_a1.5_all_t15_s15,-1919.0,451.1,-4.25,0,-2017.0,359.7,-5.61,-4386.0,0
RUNF_all_t5_s15,-1954.0,675.6,-2.89,0,-2244.0,481.5,-4.66,-4479.0,0
MOMR_k30_a1.5_all_t5_s0,-1975.0,899.6,-2.2,0,-1237.0,612.5,-2.02,-4160.0,33
MOMR_k30_a3.0_all_t5_s15,-1983.0,734.2,-2.7,0,-1015.0,572.8,-1.77,-3158.0,17
RSI2F_all_t15_s0,-2059.0,333.3,-6.18,0,-236.0,225.5,-1.05,-954.0,50
MOMR_k30_a1.5_all_t15_s15,-2068.0,603.8,-3.42,0,-320.0,498.8,-0.64,-2893.0,50
MOMR_k15_a1.5_all_t15_s15,-2079.0,594.1,-3.5,0,-41.0,480.8,-0.09,-2632.0,50
RSI2F_all_t60_s15,-2106.0,240.0,-8.78,0,-766.0,194.8,-3.93,-2091.0,17
RSI2F_all_t30_s15,-2133.0,328.1,-6.5,0,-641.0,260.2,-2.46,-3190.0,33
RUNR_all_t5_s15,-2189.0,741.6,-2.95,11,-959.0,547.7,-1.75,-2325.0,0
MOMF_k5_a1.5_all_t5_s15,-2280.0,664.3,-3.43,0,-1897.0,504.8,-3.76,-4838.0,17
MOMR_k5_a1.5_all_t5_s15,-2287.0,749.6,-3.05,0,-1587.0,598.5,-2.65,-3926.0,17
RUNR_all_t15_s15,-2318.0,487.1,-4.76,0,-990.0,371.2,-2.67,-1746.0,0
MOMF_k15_a1.5_all_t5_s0,-2347.0,827.1,-2.84,0,-2377.0,558.2,-4.26,-3963.0,0
MOMF_k15_a1.5_all_t5_s15,-2399.0,929.8,-2.58,0,-3101.0,706.7,-4.39,-6124.0,0
RSI2F_all_t5_s0,-2427.0,674.3,-3.6,0,-1562.0,461.5,-3.38,-3232.0,17
RSI2F_all_t15_s15,-2440.0,448.8,-5.44,0,-1072.0,347.2,-3.09,-3658.0,33
MOMF_k30_a1.5_all_t5_s0,-2522.0,899.6,-2.8,0,-1825.0,612.5,-2.98,-2788.0,0
RSI2F_all_t5_s15,-2666.0,724.7,-3.68,0,-2015.0,527.7,-3.82,-5158.0,0
MOMR_k15_a1.5_all_t5_s15,-3101.0,1016.1,-3.05,0,-1450.0,782.2,-1.85,-4168.0,50
MOMF_k30_a1.5_all_t5_s15,-3177.0,1042.2,-3.05,0,-2900.0,807.7,-3.59,-5100.0,0
MOMR_k30_a1.5_all_t5_s15,-3334.0,1111.0,-3.0,0,-1920.0,860.8,-2.23,-5264.0,33
