name,sel_usd_wk,sel_tr_wk,sel_per,sel_pos,bl_usd_wk,bl_tr_wk,bl_per,bl_worst,bl_pos
VSPKR_rth_t15_s0,-91.0,20.1,-4.53,33,-375.0,13.2,-28.27,-1522.0,50
MOMR_k3_a3.0_rth_t60_s0,-93.0,12.3,-7.52,33,-488.0,12.0,-40.68,-741.0,0
ORB30_all_t15_s0,-95.0,22.7,-4.19,56,13.0,17.8,0.72,-334.0,50
BBR_rth_t30_s0,-96.0,40.0,-2.39,22,194.0,37.2,5.22,-578.0,25
MOMR_k30_a1.5_rth_t15_s0,-97.0,118.6,-0.82,44,53.0,114.0,0.46,-682.0,50
Z60R_rth_t5_s0,-101.0,119.9,-0.85,33,196.0,121.8,1.61,-70.0,75
VSPKF_rth_t30_s15,-102.0,27.7,-3.68,44,-109.0,22.0,-4.95,-474.0,25
MOMF_k30_a3.0_rth_t60_s0,-103.0,31.6,-3.27,56,1126.0,30.5,36.91,-230.0,75
ORB15_rth_t30_s15,-103.0,32.3,-3.19,56,-257.0,32.8,-7.84,-640.0,0
ORB15_all_t60_s0,-104.0,14.3,-7.29,44,-555.0,13.2,-41.89,-1650.0,25
PDHF_all_t30_s15,-104.0,37.4,-2.79,56,-336.0,25.8,-13.02,-2024.0,33
BBF_rth_t30_s0,-104.0,40.0,-2.61,44,-381.0,37.2,-10.22,-2356.0,75
MOMF_k5_a1.5_rth_t30_s0,-104.0,58.4,-1.78,67,342.0,56.0,6.11,-1832.0,50
ORB15_all_t30_s0,-107.0,19.2,-5.57,33,-329.0,17.8,-18.54,-1110.0,25
PDHF_all_t15_s15,-109.0,39.1,-2.78,33,-468.0,26.7,-17.54,-2024.0,33
NTBF_rth_t30_s15,-109.0,25.9,-4.21,33,-78.0,20.2,-3.87,-376.0,25
ORB15_all_t5_s0,-111.0,34.3,-3.23,33,211.0,31.0,6.81,-796.0,50
MOMR_k5_a3.0_rth_t5_s0,-111.0,33.1,-3.35,33,-418.0,34.5,-12.11,-1428.0,25
ORB30_all_t5_s0,-113.0,31.4,-3.59,44,159.0,23.8,6.69,-270.0,50
DON20F_rth_t60_s0,-114.0,30.3,-3.77,44,418.0,28.5,14.66,-1179.0,50
RSI2R_all_t30_s15,-116.0,371.3,-0.31,56,-905.0,320.0,-2.83,-4069.0,33
MOMF_k3_a1.5_rth_t60_s0,-118.0,31.7,-3.73,33,-303.0,30.5,-9.94,-916.0,0
PDHF_all_t5_s0,-118.0,41.4,-2.84,22,-311.0,26.7,-11.66,-2334.0,50
ORB15_rth_t5_s0,-118.0,30.3,-3.89,33,239.0,27.2,8.77,-834.0,75
MOMF_k3_a3.0_rth_t30_s15,-118.0,17.9,-6.61,33,-242.0,19.5,-12.41,-738.0,25
ORB15_rth_t60_s15,-120.0,31.8,-3.78,33,-93.0,32.5,-2.87,-726.0,50
MOMF_k5_a3.0_all_t15_s0,-121.0,108.4,-1.11,44,-1010.0,81.7,-12.36,-2404.0,17
ORB15_all_t15_s15,-124.0,35.8,-3.46,33,-115.0,36.2,-3.18,-239.0,25
BBR_rth_t5_s15,-127.0,92.8,-1.37,44,-643.0,99.0,-6.49,-1296.0,0
MOMF_k3_a3.0_rth_t5_s0,-130.0,16.2,-8.01,22,456.0,15.5,29.43,12.0,100
DON60F_rth_t5_s0,-131.0,65.6,-2.01,44,-322.0,71.8,-4.48,-1302.0,50
MOMR_k3_a3.0_rth_t30_s15,-131.0,22.9,-5.73,33,-119.0,20.5,-5.82,-420.0,50
ORB30_all_t30_s15,-132.0,32.3,-4.08,44,-68.0,26.2,-2.58,-562.0,50
ORB30_rth_t5_s0,-133.0,28.6,-4.67,44,204.0,19.0,10.73,-147.0,50
RUNF_rth_t15_s0,-134.0,102.7,-1.3,33,-1035.0,96.8,-10.7,-1474.0,0
MOMR_k5_a3.0_rth_t15_s0,-135.0,28.0,-4.84,33,-17.0,30.0,-0.58,-1416.0,50
VSPKF_all_t15_s15,-135.0,115.4,-1.17,44,-681.0,64.8,-10.5,-1479.0,17
MOMF_k3_a3.0_all_t30_s0,-136.0,56.2,-2.42,33,21.0,36.0,0.57,-896.0,33
MOMF_k3_a3.0_rth_t5_s15,-136.0,18.7,-7.28,33,-74.0,19.5,-3.78,-499.0,50
MOMF_k3_a3.0_rth_t60_s15,-138.0,17.6,-7.88,33,-300.0,19.5,-15.36,-1024.0,25
ORB30_rth_t15_s0,-139.0,20.4,-6.81,67,64.0,14.5,4.45,-282.0,50
NTBF_all_t30_s15,-140.0,93.1,-1.5,44,-524.0,52.7,-9.96,-1393.0,17
MOMF_k3_a3.0_rth_t15_s15,-141.0,18.1,-7.77,33,-290.0,19.5,-14.89,-544.0,0
MOMF_k3_a3.0_rth_t15_s0,-144.0,15.2,-9.49,33,145.0,13.8,10.53,-924.0,50
BBR_rth_t60_s0,-145.0,26.6,-5.45,44,-903.0,24.0,-37.62,-1454.0,0
MOMR_k15_a1.5_rth_t60_s0,-145.0,34.9,-4.14,44,247.0,32.8,7.55,-1764.0,50
MOMR_k3_a3.0_all_t30_s0,-145.0,56.2,-2.58,33,-201.0,36.0,-5.57,-2282.0,50
VSPKF_rth_t60_s0,-146.0,16.6,-8.81,22,835.0,11.2,74.23,436.0,100
MOMF_k15_a3.0_rth_t30_s0,-147.0,45.8,-3.2,33,212.0,45.2,4.69,-1263.0,50
DON60F_rth_t15_s0,-149.0,46.0,-3.23,44,-783.0,47.5,-16.49,-2166.0,25
DON20F_all_t30_s0,-149.0,156.8,-0.95,44,-836.0,108.8,-7.68,-2297.0,17
MOMF_k3_a3.0_all_t30_s15,-150.0,68.0,-2.2,22,-915.0,50.3,-18.17,-2050.0,17
ORB15_rth_t15_s15,-153.0,32.8,-4.66,33,-52.0,33.0,-1.58,-239.0,50
PDHF_all_t5_s15,-154.0,45.2,-3.4,11,-205.0,29.5,-6.94,-2024.0,50
NTBF_rth_t5_s15,-157.0,28.0,-5.59,44,61.0,20.5,2.99,-116.0,75
DON60F_all_t60_s0,-162.0,74.0,-2.19,44,-209.0,52.2,-4.0,-2451.0,50
ORB15_rth_t30_s0,-162.0,17.2,-9.43,33,-286.0,15.5,-18.44,-1120.0,25
ORB30_rth_t30_s15,-162.0,29.9,-5.43,44,-28.0,22.2,-1.24,-536.0,50
MOMF_k3_a1.5_rth_t15_s0,-162.0,83.9,-1.93,44,26.0,81.5,0.32,-1303.0,50
Z60F_rth_t30_s0,-163.0,41.9,-3.89,44,-351.0,42.2,-8.31,-1634.0,25
ORB15_rth_t60_s0,-168.0,12.7,-13.3,33,-543.0,11.5,-47.24,-1812.0,25
ORB15_all_t15_s0,-171.0,24.6,-6.95,22,-234.0,24.0,-9.74,-904.0,25
MOMR_k5_a3.0_rth_t5_s15,-172.0,50.3,-3.42,44,-343.0,56.8,-6.05,-510.0,0
MOMR_k5_a3.0_rth_t30_s15,-177.0,45.7,-3.87,33,-233.0,52.5,-4.43,-778.0,50
MOMR_k15_a3.0_all_t15_s0,-177.0,226.1,-0.78,11,193.0,158.5,1.22,-858.0,50
MOMR_k5_a1.5_rth_t60_s15,-183.0,110.8,-1.65,33,-304.0,139.2,-2.18,-2034.0,50
MOMR_k5_a1.5_all_t60_s0,-185.0,101.8,-1.81,44,24.0,69.2,0.35,-3073.0,67
ORB15_rth_t5_s15,-187.0,35.3,-5.3,11,-19.0,33.5,-0.58,-334.0,50
MOMR_k5_a1.5_rth_t30_s0,-188.0,58.4,-3.22,33,-622.0,56.0,-11.11,-3205.0,25
ORB15_all_t5_s15,-188.0,39.3,-4.77,11,-70.0,37.2,-1.88,-296.0,50
MOMR_k5_a3.0_rth_t15_s15,-189.0,48.6,-3.9,22,-365.0,54.5,-6.69,-890.0,0
VSPKF_rth_t5_s15,-191.0,30.0,-6.36,33,16.0,22.8,0.69,-213.0,50
VSPKR_rth_t5_s15,-192.0,32.3,-5.93,22,53.0,24.8,2.14,-222.0,50
Z60R_all_t30_s0,-195.0,135.0,-1.44,22,62.0,87.0,0.71,-2161.0,50
Z60R_rth_t5_s15,-195.0,165.6,-1.18,22,-350.0,201.0,-1.74,-674.0,25
BBR_rth_t15_s15,-196.0,86.9,-2.25,56,-666.0,93.2,-7.14,-1524.0,25
Z60F_rth_t60_s0,-196.0,27.3,-7.16,33,608.0,26.0,23.4,-512.0,75
BBF_rth_t15_s0,-197.0,52.3,-3.76,22,-227.0,50.5,-4.5,-1279.0,50
VSPKF_all_t30_s15,-197.0,106.2,-1.86,56,-510.0,60.7,-8.4,-1393.0,17
ORB30_all_t15_s15,-201.0,33.1,-6.06,22,-22.0,26.5,-0.83,-371.0,75
RUNR_all_t60_s0,-204.0,101.2,-2.01,33,-509.0,67.7,-7.52,-2238.0,17
MOMF_k3_a1.5_rth_t30_s0,-206.0,53.1,-3.87,33,512.0,51.8,9.89,-1681.0,75
MOMR_k3_a3.0_all_t5_s15,-207.0,85.1,-2.43,22,114.0,59.5,1.91,-812.0,33
Z60R_rth_t30_s15,-207.0,103.6,-2.0,44,-527.0,134.0,-3.93,-1702.0,25
NTBF_rth_t60_s15,-210.0,25.7,-8.17,11,-78.0,20.2,-3.85,-602.0,50
DON20R_rth_t60_s15,-211.0,95.7,-2.21,33,-840.0,132.2,-6.35,-2345.0,25
ORB15_rth_t15_s0,-215.0,21.8,-9.87,22,-190.0,20.8,-9.16,-979.0,50
VSPKR_rth_t30_s0,-217.0,19.2,-11.29,33,-884.0,12.5,-70.73,-1302.0,0
MOMR_k30_a3.0_all_t30_s0,-217.0,171.0,-1.27,33,491.0,116.8,4.21,-1386.0,83
Z60R_all_t15_s0,-217.0,209.0,-1.04,44,168.0,133.2,1.26,-2156.0,67
RUNF_all_t15_s0,-217.0,317.4,-0.68,33,-648.0,210.5,-3.08,-1649.0,33
DON20R_rth_t5_s0,-218.0,116.8,-1.86,44,-602.0,120.8,-4.98,-1763.0,25
MOMR_k3_a1.5_rth_t30_s15,-221.0,120.6,-1.83,33,-200.0,141.2,-1.41,-1053.0,50
MOMR_k15_a3.0_rth_t30_s15,-221.0,113.7,-1.95,33,-281.0,143.0,-1.96,-1422.0,25
MOMR_k30_a1.5_rth_t60_s0,-222.0,36.0,-6.17,56,-1448.0,34.5,-41.96,-2954.0,25
ORB30_rth_t15_s15,-224.0,30.6,-7.35,22,17.0,22.2,0.75,-306.0,50
RUNR_rth_t60_s0,-227.0,32.7,-6.94,44,-312.0,31.2,-9.97,-1528.0,25
VSPKF_rth_t60_s15,-227.0,27.3,-8.31,11,-104.0,21.8,-4.77,-699.0,50
MOMR_k5_a3.0_rth_t30_s0,-228.0,24.1,-9.46,22,336.0,23.2,14.43,-324.0,75
DON60F_rth_t5_s15,-230.0,70.3,-3.28,33,-451.0,87.5,-5.16,-983.0,25
VSPKF_all_t15_s0,-236.0,97.0,-2.43,44,-35.0,51.0,-0.69,-1479.0,33
RSI2R_rth_t5_s15,-237.0,297.4,-0.8,33,-975.0,347.8,-2.8,-2232.0,25
MOMF_k5_a3.0_rth_t5_s15,-240.0,38.7,-6.19,33,-177.0,44.2,-4.01,-468.0,25
NTBF_all_t5_s0,-240.0,96.9,-2.48,44,-284.0,48.5,-5.85,-1563.0,33
ORB30_all_t60_s15,-242.0,31.9,-7.59,33,-85.0,26.0,-3.28,-842.0,50
VSPKR_rth_t15_s15,-243.0,31.8,-7.65,11,-26.0,23.8,-1.08,-618.0,50
MOMR_k5_a1.5_all_t30_s0,-244.0,184.1,-1.33,44,-396.0,124.5,-3.18,-3688.0,67
ORB30_all_t5_s15,-246.0,36.0,-6.82,22,-49.0,28.5,-1.72,-264.0,25
MOMR_k15_a3.0_rth_t15_s15,-247.0,140.8,-1.75,22,-220.0,170.2,-1.29,-1116.0,50
VSPKR_all_t15_s0,-249.0,97.0,-2.57,33,-220.0,51.0,-4.31,-3049.0,67
MOMF_k5_a1.5_rth_t60_s0,-250.0,32.9,-7.59,22,-59.0,32.2,-1.83,-1223.0,50
VSPKR_all_t5_s0,-251.0,116.6,-2.16,33,1.0,60.8,0.02,-1404.0,67
Z60R_rth_t15_s15,-252.0,121.1,-2.08,33,-81.0,151.8,-0.53,-852.0,25
MOMF_k3_a3.0_all_t5_s15,-255.0,72.6,-3.51,33,-689.0,56.7,-12.15,-2050.0,17
MOMR_k3_a1.5_rth_t15_s0,-258.0,83.9,-3.07,22,-434.0,81.5,-5.32,-1578.0,25
ORB30_rth_t5_s15,-259.0,33.0,-7.84,22,12.0,23.2,0.51,-130.0,25
BBF_rth_t5_s0,-259.0,64.0,-4.05,33,575.0,61.2,9.38,-256.0,75
MOMR_k5_a3.0_all_t5_s0,-260.0,130.6,-1.99,44,-111.0,100.2,-1.11,-1460.0,17
VSPKF_all_t60_s15,-260.0,96.4,-2.7,44,-662.0,56.5,-11.71,-1505.0,17
RUNF_rth_t60_s15,-264.0,94.8,-2.79,44,-75.0,123.8,-0.61,-1251.0,25
BBF_rth_t5_s15,-264.0,69.6,-3.8,33,-189.0,71.0,-2.66,-808.0,50
BBR_all_t30_s0,-266.0,128.1,-2.07,44,-7.0,84.3,-0.08,-1621.0,33
BBF_rth_t15_s15,-267.0,65.0,-4.1,22,-670.0,68.2,-9.82,-1374.0,0
ORB30_rth_t60_s15,-272.0,29.4,-9.22,33,-77.0,22.0,-3.48,-778.0,50
BBR_rth_t30_s15,-273.0,80.0,-3.41,33,-853.0,89.0,-9.58,-1789.0,0
MOMF_k15_a1.5_rth_t60_s15,-278.0,102.8,-2.7,22,-258.0,137.0,-1.89,-1669.0,25
RUNR_all_t30_s0,-282.0,184.4,-1.53,44,-852.0,122.3,-6.97,-2240.0,0
NTBF_all_t5_s15,-286.0,108.8,-2.63,44,-562.0,57.7,-9.74,-1563.0,0
MOMF_k3_a3.0_all_t60_s15,-292.0,64.9,-4.49,22,-973.0,47.2,-20.63,-2050.0,17
VSPKR_rth_t60_s15,-299.0,30.4,-9.83,22,-284.0,23.0,-12.35,-655.0,25
MOMF_k15_a3.0_rth_t5_s0,-300.0,120.1,-2.5,22,-501.0,114.0,-4.4,-1937.0,25
MOMR_k15_a3.0_rth_t5_s0,-300.0,120.1,-2.5,11,-69.0,114.0,-0.6,-1104.0,25
MOMR_k3_a3.0_all_t60_s15,-301.0,73.9,-4.08,44,159.0,48.3,3.28,-1291.0,50
RUNF_all_t60_s0,-303.0,101.2,-2.99,56,171.0,67.7,2.52,-3764.0,83
MOMF_k15_a1.5_all_t60_s15,-305.0,245.9,-1.24,33,-932.0,224.3,-4.15,-2512.0,17
MOMF_k3_a3.0_all_t15_s15,-306.0,70.3,-4.35,33,-976.0,53.3,-18.3,-2050.0,0
DON20F_rth_t15_s0,-310.0,76.4,-4.06,11,-1278.0,76.2,-16.77,-4022.0,25
DON60F_rth_t60_s15,-312.0,44.7,-6.98,33,-328.0,61.2,-5.35,-1476.0,25
MOMR_k3_a3.0_all_t15_s15,-313.0,94.5,-3.31,38,94.0,56.2,1.67,-1356.0,33
Z60F_rth_t15_s0,-313.0,64.6,-4.85,22,-773.0,64.5,-11.99,-3066.0,50
MOMR_k3_a1.5_rth_t5_s0,-318.0,139.9,-2.28,44,-379.0,143.0,-2.65,-1382.0,25
MOMR_k30_a3.0_rth_t5_s0,-320.0,180.4,-1.77,11,9.0,179.5,0.05,-1106.0,50
MOMR_k15_a1.5_rth_t5_s0,-321.0,256.0,-1.25,33,246.0,246.2,1.0,-1020.0,50
MOMF_k5_a1.5_all_t60_s0,-324.0,101.8,-3.19,33,-370.0,69.2,-5.35,-2371.0,33
DON60F_rth_t15_s15,-327.0,56.1,-5.82,44,-837.0,73.0,-11.47,-1470.0,25
RUNF_all_t60_s15,-327.0,230.4,-1.42,44,-976.0,206.8,-4.72,-2268.0,17
Z60F_all_t60_s15,-327.0,143.2,-2.28,33,-660.0,119.3,-5.53,-2283.0,33
VSPKF_all_t5_s0,-331.0,116.6,-2.84,33,-305.0,60.8,-5.02,-1563.0,33
DON60F_rth_t60_s0,-335.0,24.2,-13.83,33,346.0,23.2,14.9,-998.0,50
NTBF_all_t60_s15,-338.0,85.0,-3.97,44,-635.0,50.0,-12.69,-1461.0,17
MOMR_k3_a1.5_all_t60_s15,-338.0,234.9,-1.44,22,-719.0,204.7,-3.52,-3010.0,17
MOMF_k5_a3.0_rth_t30_s15,-339.0,34.6,-9.81,22,-386.0,42.2,-9.12,-968.0,50
DON20R_all_t60_s15,-341.0,230.2,-1.48,33,-32.0,202.3,-0.16,-2538.0,67
DON60F_rth_t30_s15,-342.0,50.0,-6.84,22,-865.0,67.5,-12.81,-1548.0,25
VSPKR_rth_t30_s15,-342.0,31.3,-10.9,0,-200.0,23.8,-8.4,-752.0,25
RUNF_rth_t5_s0,-344.0,200.6,-1.72,33,-541.0,190.5,-2.84,-964.0,25
DON20F_rth_t5_s15,-344.0,124.3,-2.76,22,-1024.0,145.8,-7.02,-1806.0,0
MOMR_k30_a3.0_rth_t60_s15,-348.0,107.0,-3.26,22,-18.0,134.8,-0.13,-2034.0,25
MOMR_k3_a3.0_all_t60_s0,-350.0,46.4,-7.53,33,-206.0,29.3,-7.03,-3027.0,33
BBR_all_t5_s0,-351.0,220.1,-1.6,44,-503.0,138.8,-3.62,-2828.0,33
BBF_all_t15_s0,-352.0,177.8,-1.98,11,-943.0,114.8,-8.21,-2438.0,17
MOMF_k3_a3.0_all_t5_s0,-356.0,66.8,-5.34,33,-160.0,49.3,-3.25,-2296.0,50
MOMR_k15_a1.5_all_t15_s0,-358.0,360.2,-0.99,33,880.0,244.7,3.6,-2434.0,67
Z60F_rth_t60_s15,-359.0,56.2,-6.39,44,88.0,75.8,1.16,-896.0,75
MOMF_k3_a3.0_all_t15_s0,-360.0,62.6,-5.75,22,-467.0,42.3,-11.04,-2368.0,17
DON20R_rth_t30_s0,-362.0,50.3,-7.2,11,-72.0,49.2,-1.45,-252.0,25
Z60F_rth_t15_s15,-363.0,90.2,-4.02,22,-505.0,120.2,-4.2,-1121.0,25
VSPKR_all_t60_s0,-365.0,61.7,-5.92,44,-124.0,32.8,-3.79,-1060.0,33
MOMF_k5_a3.0_rth_t15_s15,-366.0,36.1,-10.13,11,-428.0,43.0,-9.94,-910.0,25
DON20F_rth_t5_s0,-366.0,116.8,-3.14,33,-2.0,120.8,-0.02,-1720.0,75
RUNF_rth_t30_s0,-367.0,59.6,-6.17,33,-251.0,56.0,-4.48,-1564.0,50
MOMR_k15_a3.0_all_t30_s0,-374.0,150.8,-2.48,22,307.0,103.3,2.97,-1811.0,67
BBF_all_t30_s0,-375.0,128.1,-2.93,44,-415.0,84.3,-4.92,-2366.0,50
MOMR_k3_a1.5_all_t30_s0,-376.0,171.6,-2.19,33,-83.0,117.0,-0.71,-1764.0,33
MOMR_k3_a3.0_all_t30_s15,-377.0,80.4,-4.69,11,-83.0,53.2,-1.55,-1346.0,17
MOMF_k15_a3.0_all_t30_s0,-380.0,150.8,-2.52,33,-823.0,103.3,-7.97,-2270.0,33
RUNR_rth_t15_s0,-380.0,102.7,-3.7,11,552.0,96.8,5.7,-121.0,75
MOMF_k3_a1.5_rth_t5_s0,-381.0,139.9,-2.72,33,-336.0,143.0,-2.35,-1850.0,50
MOMF_k5_a3.0_all_t5_s0,-392.0,130.6,-3.01,44,-390.0,100.2,-3.89,-2296.0,50
VSPKF_all_t5_s15,-397.0,129.2,-3.07,22,-637.0,69.8,-9.12,-1563.0,0
MOMR_k30_a1.5_rth_t60_s15,-404.0,121.9,-3.31,33,-2118.0,173.0,-12.24,-4015.0,0
RSI2R_all_t15_s15,-409.0,525.8,-0.78,22,-1008.0,430.8,-2.34,-4651.0,50
DON20R_rth_t30_s15,-409.0,122.0,-3.35,33,-929.0,160.0,-5.81,-1394.0,0
MOMR_k5_a3.0_all_t30_s15,-412.0,147.9,-2.79,33,-235.0,112.5,-2.09,-1792.0,17
MOMR_k30_a1.5_rth_t30_s0,-414.0,65.1,-6.36,22,-561.0,61.8,-9.09,-1372.0,25
DON60F_all_t15_s0,-416.0,145.9,-2.85,22,-1027.0,102.7,-10.0,-2407.0,17
MOMF_k30_a3.0_all_t60_s0,-420.0,96.2,-4.36,44,152.0,66.2,2.3,-2319.0,50
MOMR_k30_a3.0_rth_t30_s0,-421.0,53.4,-7.88,22,928.0,53.2,17.42,204.0,100
MOMR_k5_a3.0_all_t15_s0,-421.0,108.4,-3.89,33,601.0,81.7,7.36,-1802.0,83
RUNR_rth_t60_s15,-422.0,106.7,-3.95,22,436.0,127.5,3.42,-188.0,75
MOMF_k30_a1.5_rth_t60_s15,-424.0,104.4,-4.06,33,-688.0,152.8,-4.5,-1514.0,0
MOMR_k30_a3.0_rth_t15_s15,-429.0,172.9,-2.48,11,239.0,214.5,1.11,-1120.0,50
MOMF_k5_a1.5_rth_t5_s0,-430.0,184.1,-2.33,22,-554.0,184.0,-3.01,-1018.0,25
MOMR_k5_a3.0_all_t30_s0,-434.0,89.3,-4.85,22,438.0,61.7,7.11,-926.0,67
MOMF_k5_a3.0_rth_t60_s15,-436.0,32.9,-13.27,33,-139.0,41.0,-3.38,-1066.0,50
MOMR_k5_a3.0_all_t60_s15,-437.0,127.8,-3.42,22,-142.0,100.2,-1.42,-1540.0,33
DON20F_rth_t15_s15,-442.0,99.1,-4.46,22,-1523.0,123.8,-12.31,-2564.0,0
MOMF_k15_a3.0_rth_t60_s15,-443.0,69.8,-6.34,44,-496.0,95.8,-5.18,-1904.0,25
MOMR_k15_a1.5_rth_t60_s15,-446.0,122.1,-3.65,22,-1092.0,162.5,-6.72,-2514.0,25
MOMF_k30_a1.5_all_t30_s0,-453.0,202.6,-2.24,22,-1185.0,136.8,-8.66,-3030.0,17
MOMF_k30_a3.0_rth_t60_s15,-461.0,81.8,-5.63,33,-123.0,106.8,-1.15,-926.0,50
MOMF_k5_a3.0_all_t5_s15,-463.0,141.6,-3.27,22,-969.0,116.3,-8.33,-2114.0,17
RUNF_rth_t15_s15,-469.0,162.2,-2.89,22,-1302.0,190.2,-6.84,-2368.0,0
MOMR_k5_a1.5_all_t15_s0,-471.0,311.4,-1.51,33,121.0,213.8,0.56,-2184.0,50
MOMF_k15_a1.5_all_t30_s0,-471.0,198.6,-2.37,33,-969.0,133.2,-7.28,-2220.0,0
VSPKR_all_t30_s0,-473.0,81.2,-5.82,22,-545.0,43.7,-12.49,-2370.0,50
MOMF_k30_a1.5_rth_t30_s15,-474.0,140.6,-3.37,33,-789.0,191.0,-4.13,-1732.0,0
Z60F_rth_t30_s15,-478.0,68.6,-6.97,33,-469.0,92.0,-5.1,-1228.0,25
Z60F_all_t30_s0,-480.0,135.0,-3.56,22,-497.0,87.0,-5.71,-2299.0,33
MOMR_k15_a3.0_rth_t5_s15,-481.0,171.6,-2.81,11,260.0,199.5,1.3,-999.0,50
MOMF_k3_a1.5_all_t30_s0,-482.0,171.6,-2.81,22,-502.0,117.0,-4.29,-2165.0,50
VSPKR_all_t5_s15,-485.0,141.0,-3.44,11,-274.0,76.2,-3.6,-1496.0,33
BBF_rth_t30_s15,-485.0,58.7,-8.26,11,-695.0,62.5,-11.12,-1247.0,25
MOMF_k15_a3.0_rth_t15_s15,-486.0,93.1,-5.21,22,-1181.0,122.0,-9.68,-2052.0,0
MOMR_k5_a3.0_all_t5_s15,-488.0,171.1,-2.85,33,-223.0,135.7,-1.64,-1590.0,17
MOMR_k3_a1.5_all_t60_s0,-489.0,98.3,-4.97,33,397.0,66.0,6.02,-2922.0,67
MOMR_k5_a1.5_rth_t5_s0,-491.0,184.1,-2.67,11,-366.0,184.0,-1.99,-1140.0,50
MOMF_k5_a1.5_rth_t15_s0,-492.0,97.4,-5.05,22,-200.0,95.2,-2.1,-925.0,25
MOMF_k15_a3.0_rth_t30_s15,-492.0,81.2,-6.05,44,-840.0,109.2,-7.69,-1722.0,25
MOMR_k5_a3.0_all_t15_s15,-493.0,161.2,-3.06,22,-53.0,123.8,-0.43,-1467.0,33
MOMF_k15_a3.0_rth_t5_s15,-494.0,141.6,-3.49,11,-1426.0,164.5,-8.67,-2301.0,0
MOMF_k30_a1.5_rth_t15_s0,-496.0,118.6,-4.18,33,-623.0,114.0,-5.46,-1816.0,25
RUNF_rth_t30_s15,-496.0,123.4,-4.02,22,-703.0,151.8,-4.63,-1822.0,50
Z60F_rth_t5_s0,-498.0,119.9,-4.15,11,-805.0,121.8,-6.61,-1028.0,0
MOMF_k30_a3.0_rth_t15_s0,-503.0,87.3,-5.76,22,-1112.0,88.0,-12.63,-2518.0,25
DON60F_all_t60_s15,-504.0,120.3,-4.19,33,-908.0,103.7,-8.75,-2018.0,17
VSPKR_all_t60_s15,-505.0,107.2,-4.71,11,-798.0,63.2,-12.64,-2176.0,0
DON20F_rth_t30_s15,-516.0,85.3,-6.05,22,-1524.0,110.0,-13.86,-2511.0,0
MOMR_k15_a1.5_all_t30_s0,-522.0,198.6,-2.63,22,304.0,133.2,2.28,-626.0,50
VSPKR_all_t15_s15,-524.0,132.9,-3.95,11,-279.0,72.3,-3.85,-1907.0,50
MOMR_k30_a3.0_rth_t30_s15,-524.0,140.2,-3.73,22,146.0,177.5,0.82,-954.0,25
MOMR_k3_a1.5_rth_t5_s15,-526.0,191.2,-2.75,33,-42.0,213.0,-0.2,-424.0,25
DON60F_all_t5_s0,-529.0,203.4,-2.6,22,-370.0,153.0,-2.42,-1656.0,33
MOMF_k15_a1.5_rth_t30_s0,-529.0,63.6,-8.32,22,-100.0,60.0,-1.67,-632.0,50
RUNR_rth_t30_s15,-531.0,138.4,-3.84,22,-354.0,175.5,-2.02,-1116.0,50
MOMF_k3_a1.5_rth_t60_s15,-534.0,90.8,-5.89,33,-417.0,117.8,-3.54,-1627.0,50
DON60F_all_t30_s15,-537.0,139.1,-3.86,22,-1238.0,115.7,-10.7,-1928.0,0
BBR_all_t15_s0,-537.0,177.8,-3.02,22,369.0,114.8,3.21,-978.0,67
Z60F_rth_t5_s15,-537.0,141.9,-3.79,11,-809.0,171.2,-4.72,-1182.0,0
MOMF_k5_a3.0_all_t30_s15,-538.0,119.0,-4.52,22,-1206.0,98.3,-12.27,-2574.0,0
MOMF_k30_a3.0_rth_t30_s15,-539.0,98.7,-5.47,22,-524.0,126.5,-4.14,-1430.0,50
BBR_all_t60_s15,-550.0,181.9,-3.02,33,-514.0,138.7,-3.7,-1753.0,17
MOMR_k30_a1.5_all_t30_s0,-559.0,202.6,-2.76,22,501.0,136.8,3.66,-1878.0,83
MOMR_k30_a3.0_rth_t5_s15,-559.0,253.7,-2.2,22,-230.0,304.8,-0.75,-1502.0,50
MOMR_k30_a1.5_all_t60_s0,-575.0,106.7,-5.39,33,285.0,71.5,3.98,-3496.0,50
MOMF_k30_a3.0_rth_t5_s0,-582.0,180.4,-3.23,0,-907.0,179.5,-5.05,-2400.0,25
MOMF_k30_a3.0_all_t60_s15,-594.0,201.9,-2.94,11,-1227.0,181.2,-6.77,-3328.0,0
DON20F_all_t15_s0,-597.0,241.7,-2.47,22,-1332.0,168.2,-7.92,-4286.0,17
MOMF_k5_a3.0_all_t15_s15,-601.0,128.9,-4.67,22,-1354.0,106.2,-12.76,-2584.0,0
MOMR_k30_a1.5_rth_t5_s0,-602.0,279.6,-2.15,22,-1114.0,272.0,-4.1,-2008.0,25
DON60F_all_t5_s15,-610.0,210.7,-2.9,22,-637.0,166.7,-3.82,-1443.0,0
DON20R_all_t15_s0,-611.0,241.7,-2.53,22,491.0,168.2,2.92,-2149.0,50
MOMF_k30_a1.5_all_t60_s15,-624.0,251.1,-2.49,33,-1114.0,235.3,-4.74,-2580.0,33
DON20R_rth_t15_s15,-624.0,149.3,-4.18,11,-888.0,182.2,-4.87,-2050.0,0
DON20R_rth_t5_s15,-624.0,171.2,-3.65,22,-696.0,205.0,-3.4,-1404.0,25
