name,imp,W,pull,stop,tgt,htf,n,tr_day,wr,to%,net,per_day,per_trade,maxDD,worst_month,months
i2.0_w4_p0.382_s10.0_t24.0_htf60,2.0,4,0.382,10.0,24.0,60,7230,104.8,37.5,27.7,-17001.0,-246.4,-2.35,17753.0,-357.0,"{'2025-12': -357.0, '2026-01': -253.0, '2026-02': -152.0}"
i2.0_w4_p0.382_s10.0_t40.0_htf0,2.0,4,0.382,10.0,40.0,0,9530,138.1,35.0,33.7,-6277.0,-91.0,-0.66,11765.0,-209.0,"{'2025-12': -104.0, '2026-01': -209.0, '2026-02': 47.0}"
i2.0_w4_p0.382_s10.0_t40.0_htf30,2.0,4,0.382,10.0,40.0,30,6728,97.5,32.5,35.5,-23723.0,-343.8,-3.53,25328.0,-361.0,"{'2025-12': -320.0, '2026-01': -346.0, '2026-02': -361.0}"
i2.0_w4_p0.382_s10.0_t40.0_htf60,2.0,4,0.382,10.0,40.0,60,7011,101.6,33.3,35.3,-22552.0,-326.8,-3.22,23768.0,-425.0,"{'2025-12': -425.0, '2026-01': -296.0, '2026-02': -283.0}"
i2.0_w4_p0.382_s10.0_t60.0_htf0,2.0,4,0.382,10.0,60.0,0,9168,132.9,34.6,39.5,-355.0,-5.1,-0.04,10237.0,-127.0,"{'2025-12': -88.0, '2026-01': -127.0, '2026-02': 193.0}"
i2.0_w4_p0.382_s10.0_t60.0_htf30,2.0,4,0.382,10.0,60.0,30,6653,96.4,31.3,39.0,-25961.0,-376.2,-3.9,27793.0,-401.0,"{'2025-12': -333.0, '2026-01': -385.0, '2026-02': -401.0}"
i2.0_w4_p0.382_s10.0_t60.0_htf60,2.0,4,0.382,10.0,60.0,60,6930,100.4,32.1,38.8,-23475.0,-340.2,-3.39,24984.0,-436.0,"{'2025-12': -436.0, '2026-01': -284.0, '2026-02': -326.0}"
i2.0_w4_p0.382_s14.0_t24.0_htf0,2.0,4,0.382,14.0,24.0,0,9765,141.5,41.3,30.7,-26542.0,-384.7,-2.72,27336.0,-509.0,"{'2025-12': -509.0, '2026-01': -321.0, '2026-02': -355.0}"
i2.0_w4_p0.382_s14.0_t24.0_htf30,2.0,4,0.382,14.0,24.0,30,6505,94.3,41.5,36.7,-18023.0,-261.2,-2.77,18843.0,-281.0,"{'2025-12': -261.0, '2026-01': -281.0, '2026-02': -240.0}"
i2.0_w4_p0.382_s14.0_t24.0_htf60,2.0,4,0.382,14.0,24.0,60,6796,98.5,42.5,36.5,-15353.0,-222.5,-2.26,15759.0,-343.0,"{'2025-12': -343.0, '2026-01': -213.0, '2026-02': -137.0}"
i2.0_w4_p0.382_s14.0_t40.0_htf0,2.0,4,0.382,14.0,40.0,0,9070,131.4,38.0,41.0,-19553.0,-283.4,-2.16,21852.0,-364.0,"{'2025-12': -364.0, '2026-01': -317.0, '2026-02': -184.0}"
i2.0_w4_p0.382_s14.0_t40.0_htf30,2.0,4,0.382,14.0,40.0,30,6268,90.8,37.4,45.8,-23156.0,-335.6,-3.69,24759.0,-378.0,"{'2025-12': -314.0, '2026-01': -313.0, '2026-02': -378.0}"
i2.0_w4_p0.382_s14.0_t40.0_htf60,2.0,4,0.382,14.0,40.0,60,6532,94.7,38.2,45.4,-20114.0,-291.5,-3.08,21234.0,-403.0,"{'2025-12': -403.0, '2026-01': -237.0, '2026-02': -262.0}"
i2.0_w4_p0.382_s14.0_t60.0_htf0,2.0,4,0.382,14.0,60.0,0,8693,126.0,37.6,47.5,-11219.0,-162.6,-1.29,14741.0,-220.0,"{'2025-12': -162.0, '2026-01': -220.0, '2026-02': -100.0}"
i2.0_w4_p0.382_s14.0_t60.0_htf30,2.0,4,0.382,14.0,60.0,30,6181,89.6,36.1,50.0,-25756.0,-373.3,-4.17,27488.0,-433.0,"{'2025-12': -332.0, '2026-01': -348.0, '2026-02': -433.0}"
i2.0_w4_p0.382_s14.0_t60.0_htf60,2.0,4,0.382,14.0,60.0,60,6433,93.2,36.8,49.9,-22965.0,-332.8,-3.57,24282.0,-446.0,"{'2025-12': -446.0, '2026-01': -239.0, '2026-02': -344.0}"
i2.0_w4_p0.5_s5.0_t24.0_htf0,2.0,4,0.5,5.0,24.0,0,10289,149.1,29.0,15.4,-8299.0,-120.3,-0.81,11953.0,-183.0,"{'2025-12': -130.0, '2026-01': -183.0, '2026-02': -44.0}"
i2.0_w4_p0.5_s5.0_t24.0_htf30,2.0,4,0.5,5.0,24.0,30,7023,101.8,25.4,15.9,-20330.0,-294.6,-2.89,21484.0,-316.0,"{'2025-12': -294.0, '2026-01': -316.0, '2026-02': -272.0}"
i2.0_w4_p0.5_s5.0_t24.0_htf60,2.0,4,0.5,5.0,24.0,60,7363,106.7,26.0,15.7,-19163.0,-277.7,-2.6,20511.0,-304.0,"{'2025-12': -304.0, '2026-01': -248.0, '2026-02': -289.0}"
i2.0_w4_p0.5_s5.0_t40.0_htf0,2.0,4,0.5,5.0,40.0,0,9846,142.7,26.7,22.1,-1249.0,-18.1,-0.13,10544.0,-126.0,"{'2025-12': -13.0, '2026-01': -126.0, '2026-02': 95.0}"
i2.0_w4_p0.5_s5.0_t40.0_htf30,2.0,4,0.5,5.0,40.0,30,6915,100.2,22.8,20.6,-20965.0,-303.8,-3.03,22546.0,-330.0,"{'2025-12': -330.0, '2026-01': -319.0, '2026-02': -267.0}"
i2.0_w4_p0.5_s5.0_t40.0_htf60,2.0,4,0.5,5.0,40.0,60,7242,105.0,23.4,20.9,-20071.0,-290.9,-2.77,21931.0,-359.0,"{'2025-12': -359.0, '2026-01': -253.0, '2026-02': -278.0}"
i2.0_w4_p0.5_s5.0_t60.0_htf0,2.0,4,0.5,5.0,60.0,0,9649,139.8,26.2,25.9,1779.0,25.8,0.18,9743.0,-120.0,"{'2025-12': 71.0, '2026-01': -120.0, '2026-02': 148.0}"
i2.0_w4_p0.5_s5.0_t60.0_htf30,2.0,4,0.5,5.0,60.0,30,6875,99.6,22.0,23.3,-21827.0,-316.3,-3.17,23800.0,-331.0,"{'2025-12': -331.0, '2026-01': -324.0, '2026-02': -297.0}"
i2.0_w4_p0.5_s5.0_t60.0_htf60,2.0,4,0.5,5.0,60.0,60,7202,104.4,22.7,23.3,-19716.0,-285.7,-2.74,21861.0,-353.0,"{'2025-12': -353.0, '2026-01': -233.0, '2026-02': -290.0}"
i2.0_w4_p0.5_s8.0_t24.0_htf0,2.0,4,0.5,8.0,24.0,0,9804,142.1,35.7,22.1,-8242.0,-119.5,-0.84,11312.0,-199.0,"{'2025-12': -199.0, '2026-01': -105.0, '2026-02': -72.0}"
i2.0_w4_p0.5_s8.0_t24.0_htf30,2.0,4,0.5,8.0,24.0,30,6590,95.5,32.5,23.6,-21025.0,-304.7,-3.19,22336.0,-313.0,"{'2025-12': -300.0, '2026-01': -313.0, '2026-02': -300.0}"
i2.0_w4_p0.5_s8.0_t24.0_htf60,2.0,4,0.5,8.0,24.0,60,6909,100.1,33.2,23.8,-18660.0,-270.4,-2.7,20037.0,-313.0,"{'2025-12': -313.0, '2026-01': -226.0, '2026-02': -285.0}"
i2.0_w4_p0.5_s8.0_t40.0_htf0,2.0,4,0.5,8.0,40.0,0,9304,134.8,32.6,30.4,-4376.0,-63.4,-0.47,9712.0,-107.0,"{'2025-12': -44.0, '2026-01': -107.0, '2026-02': -32.0}"
i2.0_w4_p0.5_s8.0_t40.0_htf30,2.0,4,0.5,8.0,40.0,30,6455,93.6,29.2,30.1,-24504.0,-355.1,-3.8,26096.0,-369.0,"{'2025-12': -369.0, '2026-01': -344.0, '2026-02': -356.0}"
i2.0_w4_p0.5_s8.0_t40.0_htf60,2.0,4,0.5,8.0,40.0,60,6749,97.8,30.0,30.8,-21251.0,-308.0,-3.15,23273.0,-369.0,"{'2025-12': -369.0, '2026-01': -251.0, '2026-02': -321.0}"
i2.0_w4_p0.5_s8.0_t60.0_htf0,2.0,4,0.5,8.0,60.0,0,9001,130.4,31.9,35.2,-1463.0,-21.2,-0.16,8186.0,-58.0,"{'2025-12': 29.0, '2026-01': -58.0, '2026-02': -21.0}"
i2.0_w4_p0.5_s8.0_t60.0_htf30,2.0,4,0.5,8.0,60.0,30,6403,92.8,28.3,33.3,-25037.0,-362.8,-3.91,26899.0,-391.0,"{'2025-12': -345.0, '2026-01': -350.0, '2026-02': -391.0}"
i2.0_w4_p0.5_s8.0_t60.0_htf60,2.0,4,0.5,8.0,60.0,60,6699,97.1,29.2,34.0,-20650.0,-299.3,-3.08,22983.0,-350.0,"{'2025-12': -338.0, '2026-01': -224.0, '2026-02': -350.0}"
i2.0_w4_p0.5_s10.0_t24.0_htf0,2.0,4,0.5,10.0,24.0,0,9556,138.5,38.6,26.0,-12207.0,-176.9,-1.28,14660.0,-233.0,"{'2025-12': -233.0, '2026-01': -171.0, '2026-02': -139.0}"
i2.0_w4_p0.5_s10.0_t24.0_htf30,2.0,4,0.5,10.0,24.0,30,6352,92.1,36.0,28.7,-20521.0,-297.4,-3.23,21949.0,-335.0,"{'2025-12': -271.0, '2026-01': -335.0, '2026-02': -278.0}"
i2.0_w4_p0.5_s10.0_t24.0_htf60,2.0,4,0.5,10.0,24.0,60,6687,96.9,36.4,28.9,-18805.0,-272.5,-2.81,19973.0,-325.0,"{'2025-12': -325.0, '2026-01': -242.0, '2026-02': -263.0}"
i2.0_w4_p0.5_s10.0_t40.0_htf0,2.0,4,0.5,10.0,40.0,0,8982,130.2,35.9,35.4,-3302.0,-47.9,-0.37,9863.0,-113.0,"{'2025-12': -80.0, '2026-01': -113.0, '2026-02': 48.0}"
i2.0_w4_p0.5_s10.0_t40.0_htf30,2.0,4,0.5,10.0,40.0,30,6198,89.8,32.4,36.0,-24362.0,-353.1,-3.93,26094.0,-356.0,"{'2025-12': -346.0, '2026-01': -356.0, '2026-02': -356.0}"
i2.0_w4_p0.5_s10.0_t40.0_htf60,2.0,4,0.5,10.0,40.0,60,6502,94.2,32.9,36.8,-22244.0,-322.4,-3.42,24085.0,-389.0,"{'2025-12': -389.0, '2026-01': -259.0, '2026-02': -338.0}"
i2.0_w4_p0.5_s10.0_t60.0_htf0,2.0,4,0.5,10.0,60.0,0,8673,125.7,35.1,40.8,-2169.0,-31.4,-0.25,9443.0,-122.0,"{'2025-12': 8.0, '2026-01': -122.0, '2026-02': 35.0}"
i2.0_w4_p0.5_s10.0_t60.0_htf30,2.0,4,0.5,10.0,60.0,30,6130,88.8,31.5,39.6,-25476.0,-369.2,-4.16,27579.0,-410.0,"{'2025-12': -315.0, '2026-01': -370.0, '2026-02': -410.0}"
i2.0_w4_p0.5_s10.0_t60.0_htf60,2.0,4,0.5,10.0,60.0,60,6444,93.4,32.1,40.4,-21976.0,-318.5,-3.41,24137.0,-371.0,"{'2025-12': -371.0, '2026-01': -240.0, '2026-02': -362.0}"
i2.0_w4_p0.5_s14.0_t24.0_htf0,2.0,4,0.5,14.0,24.0,0,9153,132.7,42.5,32.3,-17397.0,-252.1,-1.9,19262.0,-284.0,"{'2025-12': -284.0, '2026-01': -241.0, '2026-02': -239.0}"
i2.0_w4_p0.5_s14.0_t24.0_htf30,2.0,4,0.5,14.0,24.0,30,6002,87.0,41.1,37.8,-19086.0,-276.6,-3.18,20417.0,-327.0,"{'2025-12': -209.0, '2026-01': -327.0, '2026-02': -276.0}"
i2.0_w4_p0.5_s14.0_t24.0_htf60,2.0,4,0.5,14.0,24.0,60,6325,91.7,41.5,37.8,-16652.0,-241.3,-2.63,17878.0,-299.0,"{'2025-12': -299.0, '2026-01': -225.0, '2026-02': -214.0}"
i2.0_w4_p0.5_s14.0_t40.0_htf0,2.0,4,0.5,14.0,40.0,0,8526,123.6,39.6,42.9,-9564.0,-138.6,-1.12,13206.0,-170.0,"{'2025-12': -170.0, '2026-01': -103.0, '2026-02': -153.0}"
i2.0_w4_p0.5_s14.0_t40.0_htf30,2.0,4,0.5,14.0,40.0,30,5811,84.2,37.1,46.6,-23745.0,-344.1,-4.09,25285.0,-368.0,"{'2025-12': -307.0, '2026-01': -350.0, '2026-02': -368.0}"
i2.0_w4_p0.5_s14.0_t40.0_htf60,2.0,4,0.5,14.0,40.0,60,6095,88.3,37.6,47.2,-21088.0,-305.6,-3.46,22651.0,-370.0,"{'2025-12': -370.0, '2026-01': -254.0, '2026-02': -310.0}"
i2.0_w4_p0.5_s14.0_t60.0_htf0,2.0,4,0.5,14.0,60.0,0,8155,118.2,38.5,49.3,-8539.0,-123.8,-1.05,13629.0,-161.0,"{'2025-12': -101.0, '2026-01': -161.0, '2026-02': -101.0}"
i2.0_w4_p0.5_s14.0_t60.0_htf30,2.0,4,0.5,14.0,60.0,30,5737,83.1,36.0,50.8,-25286.0,-366.5,-4.41,27332.0,-438.0,"{'2025-12': -275.0, '2026-01': -367.0, '2026-02': -438.0}"
i2.0_w4_p0.5_s14.0_t60.0_htf60,2.0,4,0.5,14.0,60.0,60,6023,87.3,36.5,51.4,-21251.0,-308.0,-3.53,23301.0,-358.0,"{'2025-12': -358.0, '2026-01': -240.0, '2026-02': -342.0}"
i2.0_w4_p0.618_s5.0_t24.0_htf0,2.0,4,0.618,5.0,24.0,0,9735,141.1,27.1,15.7,-17829.0,-258.4,-1.83,20975.0,-290.0,"{'2025-12': -231.0, '2026-01': -290.0, '2026-02': -245.0}"
i2.0_w4_p0.618_s5.0_t24.0_htf30,2.0,4,0.618,5.0,24.0,30,6328,91.7,24.8,15.7,-21915.0,-317.6,-3.46,22925.0,-366.0,"{'2025-12': -262.0, '2026-01': -366.0, '2026-02': -309.0}"
i2.0_w4_p0.618_s5.0_t24.0_htf60,2.0,4,0.618,5.0,24.0,60,6649,96.4,25.2,16.0,-22300.0,-323.2,-3.35,23394.0,-334.0,"{'2025-12': -329.0, '2026-01': -309.0, '2026-02': -334.0}"
i2.0_w4_p0.618_s5.0_t40.0_htf0,2.0,4,0.618,5.0,40.0,0,9434,136.7,24.5,21.4,-16773.0,-243.1,-1.78,21163.0,-280.0,"{'2025-12': -159.0, '2026-01': -270.0, '2026-02': -280.0}"
i2.0_w4_p0.618_s5.0_t40.0_htf30,2.0,4,0.618,5.0,40.0,30,6250,90.6,21.9,20.1,-24595.0,-356.5,-3.94,25631.0,-381.0,"{'2025-12': -299.0, '2026-01': -376.0, '2026-02': -381.0}"
i2.0_w4_p0.618_s5.0_t40.0_htf60,2.0,4,0.618,5.0,40.0,60,6552,95.0,22.8,20.7,-22696.0,-328.9,-3.46,24023.0,-362.0,"{'2025-12': -362.0, '2026-01': -279.0, '2026-02': -357.0}"
i2.0_w4_p0.618_s5.0_t60.0_htf0,2.0,4,0.618,5.0,60.0,0,9313,135.0,23.9,24.2,-13618.0,-197.4,-1.46,19853.0,-252.0,"{'2025-12': -59.0, '2026-01': -247.0, '2026-02': -252.0}"
i2.0_w4_p0.618_s5.0_t60.0_htf30,2.0,4,0.618,5.0,60.0,30,6228,90.3,21.3,22.3,-24548.0,-355.8,-3.94,26049.0,-389.0,"{'2025-12': -271.0, '2026-01': -387.0, '2026-02': -389.0}"
i2.0_w4_p0.618_s5.0_t60.0_htf60,2.0,4,0.618,5.0,60.0,60,6519,94.5,22.2,22.9,-21608.0,-313.2,-3.31,23309.0,-363.0,"{'2025-12': -316.0, '2026-01': -265.0, '2026-02': -363.0}"
i2.0_w4_p0.618_s8.0_t24.0_htf0,2.0,4,0.618,8.0,24.0,0,9167,132.9,34.9,22.9,-13383.0,-194.0,-1.46,16819.0,-215.0,"{'2025-12': -193.0, '2026-01': -215.0, '2026-02': -171.0}"
i2.0_w4_p0.618_s8.0_t24.0_htf30,2.0,4,0.618,8.0,24.0,30,5943,86.1,32.1,24.5,-21177.0,-306.9,-3.56,22417.0,-340.0,"{'2025-12': -263.0, '2026-01': -340.0, '2026-02': -306.0}"
i2.0_w4_p0.618_s8.0_t24.0_htf60,2.0,4,0.618,8.0,24.0,60,6235,90.4,32.6,24.6,-19717.0,-285.8,-3.16,20867.0,-307.0,"{'2025-12': -300.0, '2026-01': -255.0, '2026-02': -307.0}"
i2.0_w4_p0.618_s8.0_t40.0_htf0,2.0,4,0.618,8.0,40.0,0,8773,127.1,32.1,30.9,-11819.0,-171.3,-1.35,16935.0,-249.0,"{'2025-12': -96.0, '2026-01': -155.0, '2026-02': -249.0}"
i2.0_w4_p0.618_s8.0_t40.0_htf30,2.0,4,0.618,8.0,40.0,30,5826,84.4,28.7,30.6,-24780.0,-359.1,-4.25,26283.0,-402.0,"{'2025-12': -291.0, '2026-01': -370.0, '2026-02': -402.0}"
i2.0_w4_p0.618_s8.0_t40.0_htf60,2.0,4,0.618,8.0,40.0,60,6111,88.6,29.6,31.3,-21520.0,-311.9,-3.52,22925.0,-366.0,"{'2025-12': -339.0, '2026-01': -242.0, '2026-02': -366.0}"
i2.0_w4_p0.618_s8.0_t60.0_htf0,2.0,4,0.618,8.0,60.0,0,8629,125.1,31.3,35.0,-8936.0,-129.5,-1.04,15295.0,-222.0,"{'2025-12': 18.0, '2026-01': -151.0, '2026-02': -222.0}"
i2.0_w4_p0.618_s8.0_t60.0_htf30,2.0,4,0.618,8.0,60.0,30,5796,84.0,28.0,33.5,-24254.0,-351.5,-4.18,26080.0,-414.0,"{'2025-12': -258.0, '2026-01': -362.0, '2026-02': -414.0}"
i2.0_w4_p0.618_s8.0_t60.0_htf60,2.0,4,0.618,8.0,60.0,60,6072,88.0,28.9,34.2,-20694.0,-299.9,-3.41,22442.0,-367.0,"{'2025-12': -301.0, '2026-01': -238.0, '2026-02': -367.0}"
i2.0_w4_p0.618_s10.0_t24.0_htf0,2.0,4,0.618,10.0,24.0,0,8904,129.0,37.9,26.7,-15869.0,-230.0,-1.78,19036.0,-292.0,"{'2025-12': -292.0, '2026-01': -244.0, '2026-02': -166.0}"
i2.0_w4_p0.618_s10.0_t24.0_htf30,2.0,4,0.618,10.0,24.0,30,5755,83.4,36.2,29.4,-19103.0,-276.9,-3.32,20292.0,-310.0,"{'2025-12': -271.0, '2026-01': -310.0, '2026-02': -245.0}"
i2.0_w4_p0.618_s10.0_t24.0_htf60,2.0,4,0.618,10.0,24.0,60,6028,87.4,36.4,29.6,-18653.0,-270.3,-3.09,19724.0,-328.0,"{'2025-12': -328.0, '2026-01': -250.0, '2026-02': -247.0}"
i2.0_w4_p0.618_s10.0_t40.0_htf0,2.0,4,0.618,10.0,40.0,0,8439,122.3,34.8,36.1,-12431.0,-180.2,-1.47,16754.0,-208.0,"{'2025-12': -161.0, '2026-01': -168.0, '2026-02': -208.0}"
i2.0_w4_p0.618_s10.0_t40.0_htf30,2.0,4,0.618,10.0,40.0,30,5619,81.4,32.5,36.5,-22607.0,-327.6,-4.02,24213.0,-337.0,"{'2025-12': -311.0, '2026-01': -331.0, '2026-02': -337.0}"
i2.0_w4_p0.618_s10.0_t40.0_htf60,2.0,4,0.618,10.0,40.0,60,5879,85.2,33.0,37.3,-21485.0,-311.4,-3.65,22981.0,-362.0,"{'2025-12': -362.0, '2026-01': -243.0, '2026-02': -346.0}"
i2.0_w4_p0.618_s10.0_t60.0_htf0,2.0,4,0.618,10.0,60.0,0,8264,119.8,34.1,40.7,-9523.0,-138.0,-1.15,15420.0,-206.0,"{'2025-12': -29.0, '2026-01': -156.0, '2026-02': -206.0}"
i2.0_w4_p0.618_s10.0_t60.0_htf30,2.0,4,0.618,10.0,60.0,30,5578,80.8,31.6,40.0,-22896.0,-331.8,-4.1,24743.0,-359.0,"{'2025-12': -282.0, '2026-01': -344.0, '2026-02': -359.0}"
i2.0_w4_p0.618_s10.0_t60.0_htf60,2.0,4,0.618,10.0,60.0,60,5835,84.6,32.2,40.6,-20046.0,-290.5,-3.44,21932.0,-339.0,"{'2025-12': -313.0, '2026-01': -229.0, '2026-02': -339.0}"
i2.0_w4_p0.618_s14.0_t24.0_htf0,2.0,4,0.618,14.0,24.0,0,8450,122.5,42.7,34.6,-15162.0,-219.7,-1.79,17694.0,-226.0,"{'2025-12': -226.0, '2026-01': -209.0, '2026-02': -226.0}"
i2.0_w4_p0.618_s14.0_t24.0_htf30,2.0,4,0.618,14.0,24.0,30,5444,78.9,40.8,38.3,-18361.0,-266.1,-3.37,19560.0,-322.0,"{'2025-12': -215.0, '2026-01': -322.0, '2026-02': -246.0}"
i2.0_w4_p0.618_s14.0_t24.0_htf60,2.0,4,0.618,14.0,24.0,60,5726,83.0,41.4,38.4,-17697.0,-256.5,-3.09,18495.0,-319.0,"{'2025-12': -319.0, '2026-01': -232.0, '2026-02': -234.0}"
i2.0_w4_p0.618_s14.0_t40.0_htf0,2.0,4,0.618,14.0,40.0,0,7901,114.5,39.5,45.3,-11840.0,-171.6,-1.5,16671.0,-218.0,"{'2025-12': -95.0, '2026-01': -185.0, '2026-02': -218.0}"
i2.0_w4_p0.618_s14.0_t40.0_htf30,2.0,4,0.618,14.0,40.0,30,5282,76.6,37.0,47.0,-21865.0,-316.9,-4.14,23520.0,-358.0,"{'2025-12': -238.0, '2026-01': -358.0, '2026-02': -335.0}"
i2.0_w4_p0.618_s14.0_t40.0_htf60,2.0,4,0.618,14.0,40.0,60,5541,80.3,37.8,47.7,-20282.0,-293.9,-3.66,21629.0,-335.0,"{'2025-12': -335.0, '2026-01': -236.0, '2026-02': -324.0}"
i2.0_w4_p0.618_s14.0_t60.0_htf0,2.0,4,0.618,14.0,60.0,0,7683,111.3,38.8,50.9,-8128.0,-117.8,-1.06,13906.0,-189.0,"{'2025-12': 4.0, '2026-01': -189.0, '2026-02': -137.0}"
i2.0_w4_p0.618_s14.0_t60.0_htf30,2.0,4,0.618,14.0,60.0,30,5230,75.8,36.1,51.2,-21964.0,-318.3,-4.2,23939.0,-358.0,"{'2025-12': -215.0, '2026-01': -357.0, '2026-02': -358.0}"
i2.0_w4_p0.618_s14.0_t60.0_htf60,2.0,4,0.618,14.0,60.0,60,5483,79.5,36.9,51.7,-19174.0,-277.9,-3.5,21135.0,-336.0,"{'2025-12': -282.0, '2026-01': -221.0, '2026-02': -336.0}"
i3.0_w3_p0.118_s5.0_t24.0_htf0,3.0,3,0.118,5.0,24.0,0,11399,165.2,34.0,13.9,28360.0,411.0,2.49,2501.0,107.0,"{'2025-12': 365.0, '2026-01': 107.0, '2026-02': 777.0}"
i3.0_w3_p0.118_s5.0_t24.0_htf30,3.0,3,0.118,5.0,24.0,30,8188,118.7,32.1,15.1,7869.0,114.0,0.96,4808.0,-50.0,"{'2025-12': -16.0, '2026-01': -50.0, '2026-02': 394.0}"
i3.0_w3_p0.118_s5.0_t24.0_htf60,3.0,3,0.118,5.0,24.0,60,8465,122.7,32.4,15.1,9381.0,136.0,1.11,4533.0,-41.0,"{'2025-12': 9.0, '2026-01': -41.0, '2026-02': 429.0}"
i3.0_w3_p0.118_s5.0_t40.0_htf0,3.0,3,0.118,5.0,40.0,0,10795,156.4,29.9,20.8,33378.0,483.7,3.09,3034.0,234.0,"{'2025-12': 340.0, '2026-01': 234.0, '2026-02': 869.0}"
i3.0_w3_p0.118_s5.0_t40.0_htf30,3.0,3,0.118,5.0,40.0,30,8010,116.1,27.7,21.3,5324.0,77.2,0.66,6841.0,-80.0,"{'2025-12': -80.0, '2026-01': -51.0, '2026-02': 340.0}"
i3.0_w3_p0.118_s5.0_t40.0_htf60,3.0,3,0.118,5.0,40.0,60,8269,119.8,27.9,21.5,6204.0,89.9,0.75,6196.0,-99.0,"{'2025-12': -99.0, '2026-01': -43.0, '2026-02': 384.0}"
i3.0_w3_p0.118_s5.0_t60.0_htf0,3.0,3,0.118,5.0,60.0,0,10326,149.7,29.9,26.7,41145.0,596.3,3.98,2710.0,290.0,"{'2025-12': 452.0, '2026-01': 290.0, '2026-02': 1042.0}"
i3.0_w3_p0.118_s5.0_t60.0_htf30,3.0,3,0.118,5.0,60.0,30,7896,114.4,26.2,24.9,1759.0,25.5,0.22,8362.0,-97.0,"{'2025-12': -84.0, '2026-01': -97.0, '2026-02': 245.0}"
i3.0_w3_p0.118_s5.0_t60.0_htf60,3.0,3,0.118,5.0,60.0,60,8170,118.4,26.3,24.9,3614.0,52.4,0.44,6952.0,-114.0,"{'2025-12': -114.0, '2026-01': -40.0, '2026-02': 284.0}"
i3.0_w3_p0.118_s8.0_t24.0_htf0,3.0,3,0.118,8.0,24.0,0,11116,161.1,38.4,18.9,13629.0,197.5,1.23,5726.0,-67.0,"{'2025-12': 104.0, '2026-01': -67.0, '2026-02': 558.0}"
i3.0_w3_p0.118_s8.0_t24.0_htf30,3.0,3,0.118,8.0,24.0,30,7825,113.4,38.0,21.4,3412.0,49.4,0.44,7856.0,-140.0,"{'2025-12': -69.0, '2026-01': -140.0, '2026-02': 348.0}"
i3.0_w3_p0.118_s8.0_t24.0_htf60,3.0,3,0.118,8.0,24.0,60,8085,117.2,38.0,21.0,3883.0,56.3,0.48,7333.0,-125.0,"{'2025-12': -85.0, '2026-01': -125.0, '2026-02': 364.0}"
i3.0_w3_p0.118_s8.0_t40.0_htf0,3.0,3,0.118,8.0,40.0,0,10477,151.8,33.8,26.8,17046.0,247.0,1.63,4626.0,31.0,"{'2025-12': 54.0, '2026-01': 31.0, '2026-02': 634.0}"
i3.0_w3_p0.118_s8.0_t40.0_htf30,3.0,3,0.118,8.0,40.0,30,7595,110.1,33.1,28.9,-123.0,-1.8,-0.02,10072.0,-154.0,"{'2025-12': -139.0, '2026-01': -154.0, '2026-02': 272.0}"
i3.0_w3_p0.118_s8.0_t40.0_htf60,3.0,3,0.118,8.0,40.0,60,7819,113.3,32.9,28.8,-1976.0,-28.6,-0.25,10719.0,-225.0,"{'2025-12': -225.0, '2026-01': -155.0, '2026-02': 263.0}"
i3.0_w3_p0.118_s8.0_t60.0_htf0,3.0,3,0.118,8.0,60.0,0,9997,144.9,33.0,32.8,22222.0,322.1,2.22,4252.0,81.0,"{'2025-12': 148.0, '2026-01': 81.0, '2026-02': 720.0}"
i3.0_w3_p0.118_s8.0_t60.0_htf30,3.0,3,0.118,8.0,60.0,30,7471,108.3,31.2,32.9,-5239.0,-75.9,-0.7,12245.0,-211.0,"{'2025-12': -147.0, '2026-01': -211.0, '2026-02': 126.0}"
i3.0_w3_p0.118_s8.0_t60.0_htf60,3.0,3,0.118,8.0,60.0,60,7709,111.7,31.1,32.7,-5558.0,-80.6,-0.72,12320.0,-275.0,"{'2025-12': -275.0, '2026-01': -164.0, '2026-02': 163.0}"
i3.0_w3_p0.118_s10.0_t24.0_htf0,3.0,3,0.118,10.0,24.0,0,10906,158.1,40.8,22.1,7209.0,104.5,0.66,6339.0,-100.0,"{'2025-12': -100.0, '2026-01': -85.0, '2026-02': 472.0}"
i3.0_w3_p0.118_s10.0_t24.0_htf30,3.0,3,0.118,10.0,24.0,30,7595,110.1,40.9,25.5,922.0,13.4,0.12,7840.0,-145.0,"{'2025-12': -87.0, '2026-01': -145.0, '2026-02': 265.0}"
i3.0_w3_p0.118_s10.0_t24.0_htf60,3.0,3,0.118,10.0,24.0,60,7839,113.6,40.9,25.0,2406.0,34.9,0.31,7183.0,-123.0,"{'2025-12': -93.0, '2026-01': -123.0, '2026-02': 307.0}"
i3.0_w3_p0.118_s10.0_t40.0_htf0,3.0,3,0.118,10.0,40.0,0,10241,148.4,36.5,30.8,12009.0,174.0,1.17,5231.0,-56.0,"{'2025-12': -56.0, '2026-01': 31.0, '2026-02': 511.0}"
i3.0_w3_p0.118_s10.0_t40.0_htf30,3.0,3,0.118,10.0,40.0,30,7329,106.2,35.8,33.9,-3165.0,-45.9,-0.43,10170.0,-166.0,"{'2025-12': -161.0, '2026-01': -166.0, '2026-02': 175.0}"
i3.0_w3_p0.118_s10.0_t40.0_htf60,3.0,3,0.118,10.0,40.0,60,7559,109.6,35.4,33.7,-4259.0,-61.7,-0.56,10723.0,-242.0,"{'2025-12': -242.0, '2026-01': -150.0, '2026-02': 177.0}"
