name,imp,W,pull,stop,tgt,htf,n,tr_day,wr,to%,net,per_day,per_trade,maxDD,worst_month,months
i2.0_w4_p0.236_s8.0_t24.0_htf60,2.0,4,0.236,8.0,24.0,60,8001,116.0,35.9,23.0,-8243.0,-119.5,-1.03,13099.0,-292.0,"{'2025-12': -292.0, '2026-01': -219.0, '2026-02': 125.0}"
i2.0_w4_p0.236_s8.0_t40.0_htf0,2.0,4,0.236,8.0,40.0,0,10374,150.3,33.2,28.2,7450.0,108.0,0.72,7026.0,-71.0,"{'2025-12': 23.0, '2026-01': -71.0, '2026-02': 370.0}"
i2.0_w4_p0.236_s8.0_t40.0_htf30,2.0,4,0.236,8.0,40.0,30,7543,109.3,31.0,29.7,-13977.0,-202.6,-1.85,16275.0,-332.0,"{'2025-12': -332.0, '2026-01': -283.0, '2026-02': -12.0}"
i2.0_w4_p0.236_s8.0_t40.0_htf60,2.0,4,0.236,8.0,40.0,60,7775,112.7,31.5,30.2,-12824.0,-185.9,-1.65,15928.0,-419.0,"{'2025-12': -419.0, '2026-01': -211.0, '2026-02': 26.0}"
i2.0_w4_p0.236_s8.0_t60.0_htf0,2.0,4,0.236,8.0,60.0,0,9953,144.2,32.7,33.9,11024.0,159.8,1.11,5923.0,-39.0,"{'2025-12': 136.0, '2026-01': -39.0, '2026-02': 394.0}"
i2.0_w4_p0.236_s8.0_t60.0_htf30,2.0,4,0.236,8.0,60.0,30,7448,107.9,29.5,33.3,-18731.0,-271.5,-2.51,21771.0,-337.0,"{'2025-12': -330.0, '2026-01': -337.0, '2026-02': -153.0}"
i2.0_w4_p0.236_s8.0_t60.0_htf60,2.0,4,0.236,8.0,60.0,60,7694,111.5,30.0,33.6,-16107.0,-233.4,-2.09,18826.0,-421.0,"{'2025-12': -421.0, '2026-01': -248.0, '2026-02': -69.0}"
i2.0_w4_p0.236_s10.0_t24.0_htf0,2.0,4,0.236,10.0,24.0,0,10744,155.7,38.7,22.7,-7607.0,-110.2,-0.71,13154.0,-265.0,"{'2025-12': -265.0, '2026-01': -232.0, '2026-02': 144.0}"
i2.0_w4_p0.236_s10.0_t24.0_htf30,2.0,4,0.236,10.0,24.0,30,7507,108.8,38.5,27.2,-10734.0,-155.6,-1.43,13660.0,-276.0,"{'2025-12': -254.0, '2026-01': -276.0, '2026-02': 53.0}"
i2.0_w4_p0.236_s10.0_t24.0_htf60,2.0,4,0.236,10.0,24.0,60,7742,112.2,39.3,27.5,-7282.0,-105.5,-0.94,12412.0,-290.0,"{'2025-12': -290.0, '2026-01': -196.0, '2026-02': 138.0}"
i2.0_w4_p0.236_s10.0_t40.0_htf0,2.0,4,0.236,10.0,40.0,0,10116,146.6,35.8,32.1,3783.0,54.8,0.37,6715.0,-67.0,"{'2025-12': -36.0, '2026-01': -67.0, '2026-02': 258.0}"
i2.0_w4_p0.236_s10.0_t40.0_htf30,2.0,4,0.236,10.0,40.0,30,7272,105.4,34.2,35.2,-14049.0,-203.6,-1.93,16186.0,-311.0,"{'2025-12': -311.0, '2026-01': -291.0, '2026-02': -23.0}"
i2.0_w4_p0.236_s10.0_t40.0_htf60,2.0,4,0.236,10.0,40.0,60,7481,108.4,34.7,35.6,-13541.0,-196.2,-1.81,15579.0,-421.0,"{'2025-12': -421.0, '2026-01': -198.0, '2026-02': -16.0}"
i2.0_w4_p0.236_s10.0_t60.0_htf0,2.0,4,0.236,10.0,60.0,0,9703,140.6,35.1,38.2,6152.0,89.2,0.63,6475.0,-60.0,"{'2025-12': 84.0, '2026-01': -60.0, '2026-02': 255.0}"
i2.0_w4_p0.236_s10.0_t60.0_htf30,2.0,4,0.236,10.0,60.0,30,7156,103.7,32.6,39.4,-19671.0,-285.1,-2.75,22705.0,-365.0,"{'2025-12': -296.0, '2026-01': -365.0, '2026-02': -190.0}"
i2.0_w4_p0.236_s10.0_t60.0_htf60,2.0,4,0.236,10.0,60.0,60,7387,107.1,33.1,39.4,-16590.0,-240.4,-2.25,19152.0,-426.0,"{'2025-12': -426.0, '2026-01': -227.0, '2026-02': -107.0}"
i2.0_w4_p0.236_s14.0_t24.0_htf0,2.0,4,0.236,14.0,24.0,0,10333,149.8,42.8,29.0,-16060.0,-232.7,-1.55,16988.0,-365.0,"{'2025-12': -365.0, '2026-01': -237.0, '2026-02': -123.0}"
i2.0_w4_p0.236_s14.0_t24.0_htf30,2.0,4,0.236,14.0,24.0,30,7102,102.9,43.2,35.0,-11633.0,-168.6,-1.64,13509.0,-299.0,"{'2025-12': -232.0, '2026-01': -299.0, '2026-02': 22.0}"
i2.0_w4_p0.236_s14.0_t24.0_htf60,2.0,4,0.236,14.0,24.0,60,7319,106.1,44.6,34.9,-4749.0,-68.8,-0.65,10209.0,-243.0,"{'2025-12': -243.0, '2026-01': -151.0, '2026-02': 157.0}"
i2.0_w4_p0.236_s14.0_t40.0_htf0,2.0,4,0.236,14.0,40.0,0,9688,140.4,38.9,39.2,-10059.0,-145.8,-1.04,12924.0,-225.0,"{'2025-12': -225.0, '2026-01': -202.0, '2026-02': -22.0}"
i2.0_w4_p0.236_s14.0_t40.0_htf30,2.0,4,0.236,14.0,40.0,30,6825,98.9,38.5,44.4,-15892.0,-230.3,-2.33,17701.0,-338.0,"{'2025-12': -297.0, '2026-01': -338.0, '2026-02': -61.0}"
i2.0_w4_p0.236_s14.0_t40.0_htf60,2.0,4,0.236,14.0,40.0,60,7011,101.6,39.3,44.6,-12776.0,-185.2,-1.82,14366.0,-368.0,"{'2025-12': -368.0, '2026-01': -201.0, '2026-02': -23.0}"
i2.0_w4_p0.236_s14.0_t60.0_htf0,2.0,4,0.236,14.0,60.0,0,9186,133.1,37.8,45.9,-8698.0,-126.1,-0.95,13130.0,-239.0,"{'2025-12': -84.0, '2026-01': -239.0, '2026-02': -37.0}"
i2.0_w4_p0.236_s14.0_t60.0_htf30,2.0,4,0.236,14.0,60.0,30,6694,97.0,36.7,49.4,-22183.0,-321.5,-3.31,24553.0,-389.0,"{'2025-12': -306.0, '2026-01': -389.0, '2026-02': -260.0}"
i2.0_w4_p0.236_s14.0_t60.0_htf60,2.0,4,0.236,14.0,60.0,60,6896,99.9,37.4,49.4,-17992.0,-260.7,-2.61,20214.0,-407.0,"{'2025-12': -407.0, '2026-01': -228.0, '2026-02': -180.0}"
