name,tf,net_wk,fees_wk,gross_wk,trades,trades_wk,sel_usd_wk,blind_usd_wk,sel_total,blind_total,win_pct
HAMMER_1min_time5_all,1min,-283.1,221.1,-62.0,17613,112.8,-293.3,-272.3,-23465.0,-20730.0,44.7
HAMMER_1min_time5_rth,1min,-97.6,80.9,-16.7,6441,41.3,-115.0,-79.2,-9201.0,-6030.0,46.5
HAMMER_1min_time15_all,1min,-252.7,189.5,-63.2,15101,96.7,-319.1,-182.8,-25527.0,-13917.0,46.3
HAMMER_1min_time15_rth,1min,-67.9,68.4,0.5,5447,34.9,-145.1,13.2,-11610.0,1004.0,47.0
HAMMER_1min_time40_all,1min,-197.2,139.2,-58.0,11089,71.0,-264.7,-126.2,-21179.0,-9606.0,47.2
HAMMER_1min_time40_rth,1min,-29.1,49.6,20.5,3949,25.3,-153.0,101.1,-12237.0,7699.0,47.6
HAMMER_1min_trail2.0_all,1min,-609.8,216.4,-393.4,17238,110.4,-526.4,-697.2,-42110.0,-53085.0,29.5
HAMMER_1min_trail2.0_rth,1min,-257.0,77.8,-179.2,6200,39.7,-221.6,-294.1,-17728.0,-22394.0,31.8
TWEEZ_1min_time5_all,1min,-322.2,261.5,-60.7,20826,133.4,-390.0,-250.8,-31198.0,-19097.0,41.2
TWEEZ_1min_time5_rth,1min,-46.9,48.4,1.5,3863,24.7,-60.2,-33.0,-4817.0,-2510.0,45.8
TWEEZ_1min_time15_all,1min,-237.5,206.0,-31.5,16403,105.1,-332.9,-137.1,-26628.0,-10441.0,45.4
TWEEZ_1min_time15_rth,1min,-45.9,42.5,-3.4,3385,21.7,-78.2,-11.8,-6259.0,-900.0,46.4
TWEEZ_1min_time40_all,1min,-93.4,139.9,46.5,11150,71.4,-175.7,-6.9,-14053.0,-525.0,47.8
TWEEZ_1min_time40_rth,1min,-0.7,33.7,33.0,2691,17.2,-36.6,37.0,-2931.0,2817.0,49.8
TWEEZ_1min_trail2.0_all,1min,-566.0,255.6,-310.4,20363,130.4,-676.3,-449.8,-54107.0,-34246.0,26.6
