dt,S,ngp,flip,pin,flip_dist
2026-03-30,558.51,-7582874.947488883,,559.0,
2026-03-31,577.71,2273918.2303460813,578.0,578.0,-0.000501981963268705
2026-04-01,585.0699999999999,-17678308.331346147,,586.0,
2026-04-02,585.1899999999999,-4171720.7323534605,,586.0,
2026-04-06,588.53,-6719016.829058917,,589.0,
2026-04-07,589.4,5368401.768527543,588.0,590.0,0.0023752969121139758
2026-04-08,605.82,481320.9961979751,614.0,606.0,-0.013502360437093443
2026-04-09,610.25,-10249699.65718479,,609.0,
2026-04-10,611.72,8004734.406881302,611.0,612.0,0.0011770090891257883
2026-04-13,617.87,346804.91411354835,622.5,618.0,-0.007493485684690947
2026-04-14,628.57,-3800570.52802767,,629.0,
2026-04-15,638.02,-2081607.9461248938,,635.0,
2026-04-16,640.22,-4619178.1033961335,,641.0,
2026-04-17,649.19,-10904691.58604645,,650.0,
2026-04-20,647.22,-7480645.210937176,,648.0,
2026-04-21,647.13,-239527.14768528516,,647.0,
2026-04-22,656.32,-2677491.286195866,,657.0,
2026-04-23,652.61,163081.31465009804,667.0,653.0,-0.022049922618409136
2026-04-24,663.7099999999999,4324868.803478652,663.0,664.0,0.0010697443160415283
2026-04-27,664.48,2267658.640476435,664.0,665.0,0.0007223693715386741
2026-04-28,658.53,5813208.32842415,658.0,659.0,0.0008048228630434038
2026-04-29,659.5,4607989.847394419,659.0,660.0,0.000758150113722517
2026-04-30,668.4599999999999,6235113.639828501,667.0,668.0,0.002184124704544659
2026-05-01,674.52,11783992.750418946,674.0,675.0,0.0007709185791377303
2026-05-04,672.7,7168506.771658486,672.0,673.0,0.0010405827263268105
2026-05-05,682.54,-3149075.955262397,,683.0,
2026-05-06,697.56,1953033.7706714517,696.0,695.0,0.0022363667641492426
2026-05-07,696.28,-8058301.14461595,,697.0,
2026-05-08,711.6099999999999,601458.4739498992,714.0,712.0,-0.0033585812453452036
2026-05-11,712.7800000000001,21933651.651080437,712.0,713.0,0.0010943067987318476
2026-05-12,706.54,3825086.0730434293,706.0,707.0,0.0007642879384040021
2026-05-13,715.72,7561970.522976211,715.0,716.0,0.0010059799921757493
2026-05-14,721.1700000000001,-2848203.673035081,,722.0,
2026-05-15,707.52,-10824268.528901665,390.0,708.0,0.4487788331071913
2026-05-18,705.5699999999999,1801330.6629393548,705.0,706.0,0.000807857476933453
2026-05-19,702.0,-10925901.287788354,,703.0,
2026-05-20,713.1,4842674.9052341115,711.0,710.0,0.0029448885149348236
2026-05-21,715.3599999999999,987052.4659720054,718.0,716.0,-0.003690449563856101
2026-05-22,718.63,-7612808.894260546,459.0,720.0,0.36128466665738973
2026-05-26,730.52,1872104.765823269,731.0,731.0,-0.0006570661994196164
2026-05-27,730.55,6609554.415716131,730.0,731.0,0.0007528574361781597
2026-05-28,736.5500000000001,3839947.7433802583,736.0,737.0,0.0007467245943928697
2026-05-29,739.0,-4589621.239666595,,740.0,
2026-06-01,743.85,-3189270.740567777,380.0,745.0,0.48914431673052367
2026-06-02,747.1600000000001,-3543494.4854103695,,746.0,
2026-06-03,745.13,18972146.466170706,744.0,745.0,0.0015165138969038898
2026-06-04,740.6999999999999,-7501459.373553337,,742.0,
2026-06-05,701.89,-9851838.537092628,420.0,707.0,0.4016156377779994
2026-06-08,716.88,-12300599.465401167,,718.0,
2026-06-09,708.12,9188697.513102943,707.0,708.0,0.001581652827204435
2026-06-10,694.13,-8826760.928945288,419.78,695.0,0.39524296601501163
2026-06-11,718.0,6099195.537464043,717.5,718.0,0.0006963788300835655
2026-06-12,722.83,11210049.104054399,722.5,723.0,0.0004565388818948313
2026-06-15,743.73,-34178012.16561304,,744.0,
2026-06-16,730.41,-18025063.234485656,,730.0,
2026-06-17,723.77,-9830630.574838275,,725.0,
2026-06-18,740.53,-3459620.384526879,,741.0,
2026-06-22,738.46,-5534295.09744973,,739.0,
2026-06-23,715.88,9742956.749059444,715.0,716.0,0.0012292562999385308
2026-06-24,719.24,6958795.543777422,717.5,720.0,0.0024192202880818766
2026-06-25,718.72,-2998437.9943568427,,720.0,
2026-06-26,707.5699999999999,-12186912.566776615,,708.0,
2026-06-29,724.45,773901.4760892796,727.5,725.0,-0.004210090413417012
2026-06-30,736.74,22892424.403980624,736.0,737.0,0.001004424898878857
2026-07-01,725.43,-9139050.219234455,495.0,726.0,0.31764608576981923
2026-07-02,713.1999999999999,10909416.198956717,712.5,713.0,0.0009814918676387153
2026-07-06,723.49,-771781.613317869,,724.0,
2026-07-07,710.54,-7124457.247705806,445.0,711.0,0.37371576547414637
2026-07-08,711.12,-2995545.0892271292,,712.0,
2026-07-09,724.0100000000001,-12738215.268754521,,724.0,
2026-07-10,726.34,-6334167.701006641,,726.0,
2026-07-13,712.3499999999999,-8698022.89525199,,713.0,
2026-07-14,720.37,-1753480.6648604877,,721.0,
2026-07-15,718.5400000000001,3427860.608363806,719.0,719.0,-0.0006401870459541885
2026-07-16,705.55,-12276429.917804703,395.0,706.0,0.4401530720714336
2026-07-17,695.27,-19438533.99376576,,696.0,
