name,family,tf,session,trades,trades_wk,usd_wk,usd_total,win_pct,max_dd,pos_years,n_years,yearly
THR_1min_k3.0_s12t36_rth,thrust,1min,rth,1668,10.6,-29.6,-4642.0,24.7,4764.0,0,4,"{""2023"": -1666.0, ""2024"": -609.0, ""2025"": -768.0, ""2026"": -1599.0}"
DON_3min_N8_s4t8_all,don,3min,all,42892,273.4,-1218.7,-191155.0,24.5,191184.0,0,4,"{""2023"": -28235.0, ""2024"": -55651.0, ""2025"": -67832.0, ""2026"": -39438.0}"
DON_3min_N8_s4t8_rth,don,3min,rth,15503,98.8,-545.1,-85501.0,20.2,85504.0,0,4,"{""2023"": -13821.0, ""2024"": -25612.0, ""2025"": -30058.0, ""2026"": -16010.0}"
DON_3min_N8_s6t12_all,don,3min,all,38152,243.2,-1066.3,-167260.0,27.6,167297.0,0,4,"{""2023"": -23774.0, ""2024"": -47540.0, ""2025"": -59418.0, ""2026"": -36528.0}"
DON_3min_N8_s6t12_rth,don,3min,rth,14889,94.9,-507.4,-79588.0,25.0,79596.0,0,4,"{""2023"": -11933.0, ""2024"": -22976.0, ""2025"": -28836.0, ""2026"": -15842.0}"
DON_3min_N8_s8t16_all,don,3min,all,33754,215.2,-927.1,-145422.0,29.2,145643.0,0,4,"{""2023"": -20375.0, ""2024"": -37028.0, ""2025"": -54095.0, ""2026"": -33925.0}"
DON_3min_N8_s8t16_rth,don,3min,rth,14015,89.3,-437.3,-68597.0,28.0,68674.0,0,4,"{""2023"": -9511.0, ""2024"": -18804.0, ""2025"": -25483.0, ""2026"": -14799.0}"
DON_3min_N8_s10t20_all,don,3min,all,29963,191.0,-746.3,-117059.0,30.7,117301.0,0,4,"{""2023"": -14256.0, ""2024"": -29539.0, ""2025"": -44501.0, ""2026"": -28764.0}"
DON_3min_N8_s10t20_rth,don,3min,rth,13186,84.1,-369.2,-57909.0,29.9,58062.0,0,4,"{""2023"": -7424.0, ""2024"": -14986.0, ""2025"": -21585.0, ""2026"": -13914.0}"
DON_3min_N8_s10t30_all,don,3min,all,26454,168.7,-614.2,-96336.0,23.4,96878.0,0,4,"{""2023"": -13364.0, ""2024"": -21847.0, ""2025"": -38465.0, ""2026"": -22659.0}"
DON_3min_N8_s10t30_rth,don,3min,rth,12207,77.8,-316.9,-49704.0,22.8,50043.0,0,4,"{""2023"": -6996.0, ""2024"": -11512.0, ""2025"": -19426.0, ""2026"": -11770.0}"
DON_3min_N8_s12t40_all,don,3min,all,22305,142.2,-531.0,-83295.0,21.8,84694.0,0,4,"{""2023"": -9440.0, ""2024"": -19198.0, ""2025"": -36799.0, ""2026"": -17857.0}"
DON_3min_N8_s12t40_rth,don,3min,rth,10973,70.0,-304.4,-47749.0,21.2,47874.0,0,4,"{""2023"": -6615.0, ""2024"": -9631.0, ""2025"": -19420.0, ""2026"": -12082.0}"
DON_3min_N12_s4t8_all,don,3min,all,35093,223.7,-999.1,-156716.0,24.5,156728.0,0,4,"{""2023"": -22861.0, ""2024"": -45892.0, ""2025"": -55710.0, ""2026"": -32253.0}"
DON_3min_N12_s4t8_rth,don,3min,rth,12637,80.6,-449.6,-70517.0,19.9,70520.0,0,4,"{""2023"": -11154.0, ""2024"": -21435.0, ""2025"": -24976.0, ""2026"": -12951.0}"
DON_3min_N12_s6t12_all,don,3min,all,31580,201.3,-882.6,-138440.0,27.6,138473.0,0,4,"{""2023"": -18631.0, ""2024"": -40324.0, ""2025"": -49985.0, ""2026"": -29500.0}"
DON_3min_N12_s6t12_rth,don,3min,rth,12171,77.6,-417.4,-65471.0,24.9,65478.0,0,4,"{""2023"": -9068.0, ""2024"": -19469.0, ""2025"": -24103.0, ""2026"": -12831.0}"
DON_3min_N12_s8t16_all,don,3min,all,28270,180.2,-774.6,-121497.0,29.2,121829.0,0,4,"{""2023"": -15430.0, ""2024"": -33299.0, ""2025"": -45561.0, ""2026"": -27207.0}"
DON_3min_N12_s8t16_rth,don,3min,rth,11475,73.2,-357.6,-56095.0,28.0,56336.0,0,4,"{""2023"": -7124.0, ""2024"": -15288.0, ""2025"": -21979.0, ""2026"": -11704.0}"
DON_3min_N12_s10t20_all,don,3min,all,25395,161.9,-635.4,-99666.0,30.6,99867.0,0,4,"{""2023"": -10649.0, ""2024"": -27219.0, ""2025"": -38468.0, ""2026"": -23330.0}"
DON_3min_N12_s10t20_rth,don,3min,rth,10858,69.2,-309.3,-48516.0,29.7,48830.0,0,4,"{""2023"": -5328.0, ""2024"": -13679.0, ""2025"": -18633.0, ""2026"": -10876.0}"
DON_3min_N12_s10t30_all,don,3min,all,22574,143.9,-532.3,-83491.0,23.3,84218.0,0,4,"{""2023"": -9454.0, ""2024"": -19823.0, ""2025"": -34749.0, ""2026"": -19465.0}"
DON_3min_N12_s10t30_rth,don,3min,rth,10130,64.6,-272.0,-42660.0,22.7,43204.0,0,4,"{""2023"": -5013.0, ""2024"": -9726.0, ""2025"": -17808.0, ""2026"": -10114.0}"
DON_3min_N12_s12t40_all,don,3min,all,19314,123.1,-465.7,-73049.0,21.7,73456.0,0,4,"{""2023"": -7781.0, ""2024"": -16721.0, ""2025"": -32296.0, ""2026"": -16251.0}"
