n,tr_day,wr,per_day,per_trade,total,maxDD,sharpe,worst_q,pos_yrs,n_yrs,worst_yr,name
517,1.26,39.8,12.8,10.2,5276.0,4334.0,0.84,-1645.0,3,4,-1095.0,ORB_15min_N0ob60_T_s40t0a0
759,1.0,51.8,4.9,4.9,3707.0,9173.0,0.23,-2292.0,3,4,-2708.0,ORB_15min_N0ob30_x_s0t0a0
1134,1.43,45.1,9.3,6.5,7361.0,7120.0,0.48,-2025.0,2,4,-1725.0,ORB_15min_N0ob30_x_s0t0a2.0
1390,1.74,34.6,6.7,3.9,5371.0,5911.0,0.36,-2646.0,3,4,-1313.0,ORB_15min_N0ob30_x_s30t0a3.0
2725,3.3,38.5,5.8,1.8,4818.0,6250.0,0.36,-2013.0,2,4,-1131.0,ORB_15min_N0ob30_x_s20t60a0
1264,1.58,38.3,8.8,5.6,7019.0,5308.0,0.47,-1855.0,3,4,-1508.0,ORB_15min_N0ob30_x_s40t0a0
703,1.0,48.9,2.7,2.7,1905.0,9351.0,0.14,-2430.0,2,4,-3002.0,ORB_15min_N0ob60_x_s0t0a0
922,1.27,45.8,1.2,0.9,836.0,7732.0,0.06,-3231.0,2,4,-2172.0,ORB_15min_N0ob60_x_s0t0a2.0
1149,1.57,34.6,-0.3,-0.2,-246.0,7274.0,-0.02,-3109.0,1,4,-2233.0,ORB_15min_N0ob60_x_s30t0a3.0
2070,2.73,37.4,-5.3,-1.9,-4010.0,6880.0,-0.36,-1749.0,1,4,-3108.0,ORB_15min_N0ob60_x_s20t60a0
1067,1.46,37.1,-1.7,-1.2,-1279.0,7384.0,-0.1,-3179.0,2,4,-2801.0,ORB_15min_N0ob60_x_s40t0a0
502,1.0,54.4,19.7,19.7,9895.0,3819.0,1.03,-2553.0,4,4,74.0,DON_15min_N12ob0_T_s0t0a0
545,1.08,47.3,10.8,9.9,5420.0,3998.0,0.63,-3068.0,2,4,-605.0,DON_15min_N12ob0_T_s0t0a2.0
598,1.18,39.8,19.7,16.7,9991.0,2619.0,1.29,-1050.0,3,4,-766.0,DON_15min_N12ob0_T_s30t0a3.0
812,1.59,41.0,2.4,1.5,1214.0,2569.0,0.24,-2330.0,2,4,-1394.0,DON_15min_N12ob0_T_s20t60a0
574,1.14,42.3,20.8,18.3,10488.0,2535.0,1.31,-873.0,3,4,-691.0,DON_15min_N12ob0_T_s40t0a0
386,1.0,52.6,24.4,24.4,9427.0,3183.0,1.24,-1889.0,4,4,90.0,DON_15min_N24ob0_T_s0t0a0
411,1.06,46.2,14.3,13.5,5534.0,3352.0,0.82,-2530.0,3,4,-629.0,DON_15min_N24ob0_T_s0t0a2.0
450,1.15,39.1,26.3,22.8,10270.0,2057.0,1.7,-875.0,3,4,-669.0,DON_15min_N24ob0_T_s30t0a3.0
623,1.58,42.1,8.6,5.4,3385.0,1600.0,0.88,-975.0,2,4,-879.0,DON_15min_N24ob0_T_s20t60a0
439,1.13,40.5,22.9,20.4,8937.0,2055.0,1.43,-1185.0,3,4,-1065.0,DON_15min_N24ob0_T_s40t0a0
339,1.0,55.2,22.4,22.4,7584.0,3116.0,1.14,-1292.0,3,4,-567.0,DON_15min_N48ob0_T_s0t0a0
362,1.06,48.3,11.2,10.6,3834.0,2823.0,0.65,-2035.0,2,4,-893.0,DON_15min_N48ob0_T_s0t0a2.0
397,1.15,39.8,19.5,16.9,6697.0,1900.0,1.32,-1005.0,3,4,-642.0,DON_15min_N48ob0_T_s30t0a3.0
551,1.58,42.5,6.0,3.8,2097.0,1761.0,0.64,-840.0,2,4,-1365.0,DON_15min_N48ob0_T_s20t60a0
388,1.13,42.3,20.1,17.7,6886.0,2334.0,1.3,-1439.0,3,4,-861.0,DON_15min_N48ob0_T_s40t0a0
725,1.0,54.6,34.4,34.4,24916.0,4248.0,1.63,-1172.0,4,4,846.0,DON_15min_N12ob0_x_s0t0a0
1001,1.35,47.1,15.1,11.2,11202.0,5056.0,0.75,-2324.0,3,4,-687.0,DON_15min_N12ob0_x_s0t0a2.0
1141,1.53,36.3,13.5,8.9,10127.0,4923.0,0.74,-1537.0,3,4,-1013.0,DON_15min_N12ob0_x_s30t0a3.0
1588,2.12,38.7,0.3,0.1,211.0,5177.0,0.02,-1066.0,1,4,-1889.0,DON_15min_N12ob0_x_s20t60a0
1076,1.44,39.0,12.3,8.5,9170.0,5183.0,0.65,-1446.0,3,4,-1208.0,DON_15min_N12ob0_x_s40t0a0
669,1.0,53.4,27.9,27.9,18660.0,5550.0,1.31,-2140.0,4,4,363.0,DON_15min_N24ob0_x_s0t0a0
799,1.19,47.4,17.3,14.5,11618.0,4683.0,0.9,-3245.0,3,4,-410.0,DON_15min_N24ob0_x_s0t0a2.0
915,1.35,35.6,16.2,12.0,10965.0,3335.0,0.91,-1595.0,3,4,-1284.0,DON_15min_N24ob0_x_s30t0a3.0
1251,1.83,38.9,2.0,1.1,1339.0,3415.0,0.16,-813.0,2,4,-1477.0,DON_15min_N24ob0_x_s20t60a0
879,1.3,38.5,14.1,10.9,9552.0,3628.0,0.77,-2023.0,3,4,-1955.0,DON_15min_N24ob0_x_s40t0a0
624,1.0,53.2,20.9,20.9,13017.0,5327.0,0.98,-1412.0,3,4,-668.0,DON_15min_N48ob0_x_s0t0a0
720,1.15,46.9,11.0,9.6,6894.0,5177.0,0.57,-3884.0,3,4,-791.0,DON_15min_N48ob0_x_s0t0a2.0
822,1.3,34.9,9.9,7.7,6296.0,4423.0,0.57,-2604.0,2,4,-1169.0,DON_15min_N48ob0_x_s30t0a3.0
1116,1.75,38.6,-0.3,-0.2,-204.0,4069.0,-0.03,-1600.0,2,4,-2205.0,DON_15min_N48ob0_x_s20t60a0
794,1.26,38.0,9.4,7.4,5910.0,4440.0,0.52,-2812.0,3,4,-1640.0,DON_15min_N48ob0_x_s40t0a0
