per_day,total,sharpe,maxDD,pos_yrs,n_yrs,n,worst_yr,tf,combo,logic,sess,exit
-20.5,-15923.0,-2.51,16461.0,0,4,5941,-6557.0,3min,"donch(6,)&donch(8,)",or,morning,st10/60/0
-38.4,-29766.0,-4.99,29908.0,0,4,7642,-13459.0,3min,"donch(6,)&donch(8,)",or,morning,st20/20/0
-20.9,-16202.0,-2.29,16439.0,0,4,5625,-8137.0,3min,"donch(6,)&donch(8,)",or,morning,st20/40/0
-19.1,-14792.0,-1.88,15314.0,0,4,4740,-8414.0,3min,"donch(6,)&donch(8,)",or,morning,st20/60/0
-31.6,-24525.0,-3.5,25540.0,0,4,7121,-12897.0,3min,"donch(6,)&donch(8,)",or,morning,st30/20/0
-14.0,-10864.0,-1.31,12438.0,2,4,4975,-6766.0,3min,"donch(6,)&donch(8,)",or,morning,st30/40/0
-12.9,-9977.0,-1.13,10822.0,1,4,4064,-5280.0,3min,"donch(6,)&donch(8,)",or,morning,st30/60/0
-49.3,-38238.0,-3.23,39421.0,0,4,4019,-18077.0,3min,"donch(6,)&donch(8,)",or,morning,trail0/0/2.0
-3.8,-2938.0,-0.24,9905.0,1,4,2419,-2729.0,3min,"donch(6,)&donch(8,)",or,morning,trail0/0/3.0
18.8,14588.0,1.1,3557.0,4,4,1352,490.0,3min,"donch(6,)&donch(8,)",or,morning,trail0/0/5.0
39.3,30420.0,1.71,5861.0,4,4,774,2158.0,3min,"donch(6,)&donch(12,)",and,rth,eod0/0/0
-61.7,-47855.0,-8.32,48048.0,0,4,12662,-18008.0,3min,"donch(6,)&donch(12,)",and,rth,st10/20/0
-46.8,-36336.0,-5.27,37495.0,0,4,10224,-13584.0,3min,"donch(6,)&donch(12,)",and,rth,st10/40/0
-37.9,-29540.0,-3.75,30350.0,0,4,9056,-11817.0,3min,"donch(6,)&donch(12,)",and,rth,st10/60/0
-56.3,-43829.0,-5.7,43961.0,0,4,11608,-20945.0,3min,"donch(6,)&donch(12,)",and,rth,st20/20/0
-35.2,-27293.0,-3.09,28095.0,0,4,8581,-12183.0,3min,"donch(6,)&donch(12,)",and,rth,st20/40/0
-27.1,-21109.0,-2.16,22158.0,0,4,7112,-8084.0,3min,"donch(6,)&donch(12,)",and,rth,st20/60/0
-48.2,-37567.0,-4.07,37972.0,0,4,10851,-20218.0,3min,"donch(6,)&donch(12,)",and,rth,st30/20/0
-25.4,-19699.0,-1.89,20574.0,0,4,7627,-10471.0,3min,"donch(6,)&donch(12,)",and,rth,st30/40/0
-23.5,-18340.0,-1.66,18990.0,0,4,6093,-10139.0,3min,"donch(6,)&donch(12,)",and,rth,st30/60/0
