pattern,side,sel_per_trade,sel_tr_wk,sel_usd_wk,blind_per_trade,blind_tr_wk,blind_usd_wk
VB1000_3_28677_hb30,-1,0.82,4.1,3.0,-7.42,0.4,-3.0
VB1000_3_12441_hb10,-1,0.77,4.1,3.0,3.56,0.6,2.0
VB3000_3_30011_hb30,1,0.65,2.5,2.0,-16.18,0.9,-15.0
VB1000_3_18680_hb10,1,0.85,2.3,2.0,-5.17,10.4,-54.0
VB1000_3_8004_hb10,-1,0.86,2.6,2.0,0.79,3.9,3.0
VB1000_3_19310_hb10,1,0.72,2.8,2.0,0.53,12.5,7.0
VB1000_4_839807_hb10,1,1.37,1.4,2.0,-2.16,7.2,-16.0
VB1000_4_215950_hb30,1,0.2,3.7,1.0,9.83,0.6,6.0
VB1000_4_1007769_hb10,1,0.27,5.3,1.0,0.2,0.5,0.0
VB1000_3_6_hb30,-1,0.15,7.2,1.0,10.23,0.8,8.0
VB1000_3_18_hb10,-1,0.29,5.2,1.0,-2.66,0.6,-2.0
VB1000_4_984441_hb30,1,0.37,3.6,1.0,-0.28,0.4,-0.0
VB1000_4_1534982_hb10,-1,0.99,1.5,1.0,-5.4,6.4,-35.0
VB1000_3_216_hb10,-1,-0.07,6.3,-0.0,-5.02,0.8,-4.0
VB1000_4_1678967_hb10,-1,0.21,1.3,0.0,-5.57,6.0,-34.0
VB3000_3_0_hb30,-1,-0.03,2.7,-0.0,-7.29,0.4,-3.0
VB1000_3_1333_hb10,1,-0.11,5.7,-1.0,-1.78,0.7,-1.0
VB1000_4_1055758_hb30,1,-0.34,3.1,-1.0,-0.12,0.7,-0.0
VB1000_4_984441_hb10,1,-0.18,4.0,-1.0,0.91,0.4,0.0
VB1000_3_4647_hb10,-1,-0.39,4.0,-2.0,-4.31,0.7,-3.0
VB1000_4_0_hb30,-1,-0.53,3.9,-2.0,-1.68,0.5,-1.0
VB3000_3_27993_hb30,1,-0.88,3.1,-3.0,46.7,0.4,17.0
VB3000_3_29326_hb10,-1,-0.87,3.3,-3.0,-16.91,0.7,-11.0
VB1000_3_23328_hb10,-1,-0.32,9.8,-3.0,-1.43,1.0,-1.0
VB1000_3_27993_hb10,1,-0.27,11.3,-3.0,-4.28,1.5,-6.0
VB1000_4_1055758_hb10,1,-1.2,3.4,-4.0,0.41,0.8,0.0
VB1000_3_7776_hb10,-1,-0.96,5.7,-5.0,6.84,0.8,5.0
VB1000_3_27975_hb10,1,-0.81,5.6,-5.0,1.92,0.9,2.0
VB3000_3_30011_hb10,-1,-1.85,2.8,-5.0,5.28,1.2,6.0
VB3000_3_0_hb10,-1,-2.03,3.1,-6.0,36.31,0.4,14.0
VB3000_3_30659_hb30,-1,-2.5,2.3,-6.0,18.22,0.8,15.0
VB3000_3_29326_hb30,-1,-2.68,2.6,-7.0,-26.87,0.6,-16.0
VB1000_3_5998_hb30,1,-0.86,9.3,-8.0,-4.28,1.8,-8.0
VB3000_3_4665_hb30,1,-2.47,3.3,-8.0,28.81,0.6,16.0
VB1000_3_5350_hb10,-1,-1.15,6.7,-8.0,-4.13,1.2,-5.0
VB1000_3_6_hb10,-1,-1.01,8.6,-9.0,-3.35,0.9,-3.0
VB1000_4_0_hb10,-1,-2.0,4.5,-9.0,10.53,0.5,5.0
VB1000_4_839808_hb10,-1,-2.1,4.8,-10.0,5.69,0.4,3.0
VB1000_3_7331_hb10,-1,-1.15,8.5,-10.0,-5.05,2.9,-15.0
VB1000_4_215950_hb10,1,-2.41,4.1,-10.0,1.44,0.7,1.0
VB3000_3_7331_hb10,1,-3.25,3.4,-11.0,1.87,1.3,2.0
VB1000_4_839808_hb30,1,-3.41,4.1,-14.0,-25.17,0.4,-11.0
VB1000_3_4665_hb10,1,-1.74,12.0,-21.0,-4.12,1.6,-6.0
