name,trades,trades_per_day,wr,net,per_day,per_trade,max_dd,worst_day,best_day,sharpe,n_days,pos_d,neg_d
INV15s_imp2_s4t12,73370,1384.3,0.6651,696333.22,13138.36,9.491,176.07,160.62,32316.40,1.723,52,52,0
INV15s_imp2_s3t12,76640,1446.0,0.6246,681591.44,12860.22,8.893,145.02,197.88,31701.92,1.724,52,52,0
INV15s_imp2_s2t10,89467,1688.1,0.5672,557832.10,10525.13,6.235,176.04,190.74,22865.80,1.847,52,52,0
INV15s_imp2_s3t9,88635,1672.4,0.6359,543230.55,10249.63,6.129,151.68,247.70,21515.98,1.898,52,52,0
INV15s_imp2_s2t8,99001,1867.9,0.5694,428724.18,8089.14,4.331,154.85,133.69,16365.69,1.945,52,52,0
INV30s_imp3_s4t12,47019,887.2,0.5362,259271.80,4891.92,5.514,264.26,-46.50,12188.65,1.687,52,51,1
INV30s_imp3_s3t12,49414,932.3,0.4846,239714.99,4522.92,4.851,268.90,-24.30,11830.30,1.693,52,51,1
INV_pp118_s5t20_imp3,23610,445.5,0.4762,236412.34,4460.61,10.013,308.54,-53.60,15346.73,1.372,52,51,1
INV_pp118_s4t16_imp3,28405,535.9,0.4741,218417.40,4121.08,7.689,278.48,29.39,12713.02,1.508,52,52,0
INV_pp118_s3t15_imp3,31091,586.6,0.4387,205260.71,3872.84,6.602,236.53,31.48,11536.05,1.537,52,52,0
INV_pp118_s5t20_imp5,22404,422.7,0.4460,190808.54,3600.16,8.517,367.35,-59.04,13585.28,1.260,52,51,1
INV_pp118_s3t12_imp3,34113,643.6,0.4747,177919.31,3356.97,5.216,252.40,109.15,9212.31,1.602,52,52,0
INV_pp118_s4t16_imp5,26376,497.7,0.4428,169210.68,3192.65,6.415,353.24,83.49,11356.90,1.331,52,52,0
INV30s_imp3_s3t9,54880,1035.5,0.5075,166424.67,3140.09,3.033,348.40,69.66,7978.37,1.732,52,52,0
INV_pp118_s2t12_imp3,36028,679.8,0.4164,165506.85,3122.77,4.594,297.68,152.14,9267.26,1.534,52,52,0
INV30s_imp3_s2t10,56147,1059.4,0.4259,163249.65,3080.18,2.908,455.48,15.10,8675.15,1.641,52,52,0
INV_pp236_s5t20_imp3,20892,394.2,0.4329,162514.08,3066.30,7.779,351.30,-112.16,11018.58,1.413,52,51,1
INV_pp118_s3t15_imp5,28598,539.6,0.4074,156213.14,2947.42,5.462,347.45,20.98,10317.80,1.331,52,52,0
INV_pp236_s4t16_imp3,24979,471.3,0.4238,140684.90,2654.43,5.632,294.53,11.66,8918.47,1.481,52,52,0
CANON_INV_236_s10t20,16197,305.6,0.5417,140522.62,2651.37,8.676,433.45,-14.08,11112.89,1.198,52,50,2
