name,trades,wr,pnl,per_day,per_trade,trades_per_day,max_dd,worst_day,best_day,n_days,sharpe
H17_HOLD60_NOSTOP,619,0.5234248788368336,3498.782000000108,5.652313408723923,5.652313408723923,1.0,-4198.979999999964,-541.912000000006,2674.2639999999938,619,0.03243282917729067
H17_HOLD120_NOSTOP,619,0.518578352180937,2688.194000000023,4.342801292407145,4.342801292407145,1.0,-3671.3039999999455,-680.8200000000018,2449.193999999994,619,0.020511058241360083
H22_HOLD60_NOSTOP,157,0.5286624203821656,2421.972000000052,15.426573248407975,15.426573248407975,1.0,-975.4799999999761,-276.1919999999975,801.1380000000042,157,0.1321150027946199
H22_HOLD60_STOP30,157,0.4713375796178344,1587.9020000000091,10.114025477707065,10.114025477707065,1.0,-866.449999999996,-61.74,512.5240000000028,157,0.12189245741763373
H19_HOLD60_NOSTOP,610,0.5,1424.3120000000213,2.3349377049180675,2.3349377049180675,1.0,-4033.1959999999362,-757.3580000000022,938.285999999998,610,0.016272181840690434
H22_HOLD60_S30_T30,157,0.5414012738853503,724.211999999992,4.612815286624153,4.612815286624153,1.0,-815.0079999999966,-61.74,59.26,157,0.09388551883771772
H19_HOLD60_STOP30,610,0.3655737704918033,529.0239999999972,0.8672524590163888,0.8672524590163888,1.0,-3415.6539999999886,-61.74,666.5019999999984,610,0.008946025921572925
H17_HOLD60_STOP20,619,0.29079159935379645,205.77800000007335,0.3324361873991492,0.3324361873991492,1.0,-2688.883999999989,-41.74,1042.7100000000044,619,0.0036631963117024716
H07_HOLD60_NOSTOP,634,0.48738170347003157,-5.384000000039805,-0.008492113564731554,-0.008492113564731554,1.0,-2409.8619999999814,-454.5799999999965,634.9760000000003,634,-0.00010359287586546797
H17_HOLD30_NOSTOP,619,0.5105008077544426,-302.5940000000236,-0.4888432956381641,-0.4888432956381641,1.0,-3122.392000000056,-635.1600000000055,1729.571999999998,619,-0.0038678570472509485
H20_HOLD60_SHORT,610,0.4704918032786885,-308.6600000000799,-0.5068308702792773,-0.506000000000131,1.0016420361247949,-4232.379999999979,-677.6740000000011,1705.5279999999964,609,-0.0029123307214710716
H15_HOLD60_SHORT,633,0.43601895734597157,-471.51199999995333,-0.7448846761452659,-0.7448846761452659,1.0,-5432.055999999883,-584.3379999999981,1082.3420000000021,633,-0.004433294891260422
H17_HOLD60_STOP50,619,0.47334410339256866,-472.3459999998516,-0.7630791599351399,-0.7630791599351399,1.0,-3816.939999999925,-101.74,1042.7100000000044,619,-0.006890936354151082
H17_HOLD60_STOP30,619,0.37318255250403876,-602.5119999999052,-0.9733634894990392,-0.9733634894990392,1.0,-2880.6399999999153,-61.74,1042.7100000000044,619,-0.009815979783594667
H06_HOLD60_NOSTOP,632,0.48575949367088606,-633.6460000000375,-1.002604430379806,-1.002604430379806,1.0,-2397.272000000026,-438.18400000000315,294.3800000000026,632,-0.016303698931969465
H14_HOLD60_SHORT,632,0.45569620253164556,-947.2919999999194,-1.4988797468353154,-1.4988797468353154,1.0,-6923.887999999899,-768.4240000000011,866.2099999999971,632,-0.007296810233292208
H18_HOLD60_SHORT,614,0.4511400651465798,-1363.5319999999442,-2.2207361563517005,-2.2207361563517005,1.0,-4207.231999999994,-626.2900000000029,567.4319999999987,614,-0.017648014033257175
H17_HOLD60_S40_T40,619,0.5008077544426495,-2162.3879999999926,-3.493357027463639,-3.493357027463639,1.0,-2925.925999999956,-81.74,79.26,619,-0.04935837333703563
H17_HOLD60_S30_T30,619,0.4798061389337641,-2880.9699999999907,-4.654232633279468,-4.654232633279468,1.0,-3385.8859999999554,-61.74,59.26,619,-0.08185578138899005
H17_HOLD60_S20_T20,619,0.4588045234248788,-2938.2800000000034,-4.746817447495967,-4.746817447495967,1.0,-3273.4199999999482,-41.74,39.26,619,-0.11907198737080128
