entry_ts,exit_ts,side,entry_px,exit_px,exit_reason,pnl_pts,pnl_usd,year,month,day
2024-03-11 22:00:00+00:00,2024-03-11 23:00:00.803000+00:00,LONG,17990.747,18014.782,timeout,24.034999999999854,47.32999999999971,2024,2024-03,2024-03-11
2024-03-12 22:00:00+00:00,2024-03-12 23:00:01.083000+00:00,LONG,18208.335,18214.079,timeout,5.744000000002416,10.748000000004831,2024,2024-03,2024-03-12
2024-03-13 22:00:00+00:00,2024-03-13 23:00:00.700000+00:00,LONG,18091.747,18103.559,timeout,11.812000000001717,22.884000000003436,2024,2024-03,2024-03-13
2024-03-14 22:00:00+00:00,2024-03-14 23:00:01.228000+00:00,LONG,18006.147,18001.47,timeout,-4.67699999999968,-10.09399999999936,2024,2024-03,2024-03-14
2024-03-18 22:00:00+00:00,2024-03-18 22:46:27.163000+00:00,LONG,17965.768,17935.268,stop,-30.5,-61.74,2024,2024-03,2024-03-18
2024-03-19 22:00:00+00:00,2024-03-19 23:00:01.162000+00:00,LONG,18023.169,18029.369,timeout,6.19999999999709,11.659999999994179,2024,2024-03,2024-03-19
2024-03-20 22:00:00+00:00,2024-03-20 23:00:00.851000+00:00,LONG,18292.858,18314.07,timeout,21.211999999999534,41.68399999999907,2024,2024-03,2024-03-20
2024-03-21 22:00:00+00:00,2024-03-21 23:00:00.800000+00:00,LONG,18342.136,18347.614,timeout,5.478000000002794,10.216000000005588,2024,2024-03,2024-03-21
2024-03-25 22:00:00+00:00,2024-03-25 23:00:01.009000+00:00,LONG,18304.269,18301.739,timeout,-2.529999999998836,-5.799999999997672,2024,2024-03,2024-03-25
2024-03-26 22:00:00+00:00,2024-03-26 23:00:01.255000+00:00,LONG,18253.491,18246.093,timeout,-7.398000000001048,-15.536000000002096,2024,2024-03,2024-03-26
2024-03-27 22:00:00+00:00,2024-03-27 22:49:33.268000+00:00,LONG,18291.947,18261.447,stop,-30.5,-61.74,2024,2024-03,2024-03-27
2024-04-01 22:00:00+00:00,2024-04-01 23:00:01.483000+00:00,LONG,18288.092,18266.27,timeout,-21.822000000000116,-44.384000000000235,2024,2024-04,2024-04-01
2024-04-03 22:00:00+00:00,2024-04-03 23:00:00.791000+00:00,LONG,18190.591,18184.114,timeout,-6.476999999998952,-13.693999999997905,2024,2024-04,2024-04-03
2024-04-04 22:00:00+00:00,2024-04-04 23:00:01.097000+00:00,LONG,17902.624,17901.637,timeout,-0.9870000000009895,-2.7140000000019793,2024,2024-04,2024-04-04
2024-04-08 22:00:00+00:00,2024-04-08 23:00:00.965000+00:00,LONG,18125.101,18120.704,timeout,-4.396999999997206,-9.533999999994412,2024,2024-04,2024-04-08
2024-06-17 22:00:00+00:00,2024-06-17 23:00:00.786000+00:00,LONG,19903.08,19917.247,timeout,14.166999999997643,27.593999999995287,2024,2024-06,2024-06-17
2024-07-01 22:00:00+00:00,2024-07-01 23:00:01.237000+00:00,LONG,19805.635,19789.237,timeout,-16.39799999999741,-33.53599999999482,2024,2024-07,2024-07-01
2024-07-03 22:00:00+00:00,2024-07-03 23:00:00.768000+00:00,LONG,20176.381,20159.948,timeout,-16.433000000000902,-33.606000000001806,2024,2024-07,2024-07-03
2024-07-04 22:00:00+00:00,2024-07-04 23:00:01.205000+00:00,LONG,20145.901,20150.57,timeout,4.66899999999805,8.5979999999961,2024,2024-07,2024-07-04
