phase,name,n,tr_per_day,wr,per_day,per_trade,dd,sharpe,n_emit,n_filt
PHASE1_TRAIN,TR_CANON_236_s10t20,6224,135.30,0.3695,-341.79,-2.526,15994.21,-0.870,29483,0
PHASE1_TRAIN,TR_CANON_236_s8t16,7205,156.63,0.3585,-367.70,-2.348,17377.94,-1.149,29564,0
PHASE1_TRAIN,TR_CANON_382_s10t20,4967,107.98,0.3757,-251.13,-2.326,11820.85,-0.884,29309,0
PHASE1_TRAIN,TR_IMP3_236_s8t16,7637,166.02,0.3571,-408.50,-2.460,18974.64,-1.181,35181,0
PHASE1_TRAIN,TR_IMP3_118_s5t15,10207,221.89,0.2813,-456.97,-2.059,21147.13,-1.288,35049,0
BASELINE,BL_CANON_236_s10t20,1212,151.50,0.3729,-154.56,-1.020,2022.95,-0.365,6139,0
BASELINE,BL_CANON_236_s8t16,1377,172.12,0.3667,-230.74,-1.341,2135.33,-0.732,6165,0
BASELINE,BL_IMP3_236_s8t16,1422,177.75,0.3790,-130.19,-0.732,1457.20,-0.413,6872,0
BASELINE,BL_IMP3_118_s5t15,1840,230.00,0.2946,-265.68,-1.155,2398.74,-0.805,6867,0
TRACK1_THR_SWEEP,T1_MLP_t400_CANON_236_s10t20,1064,133.00,0.3788,-79.75,-0.600,1839.24,-0.169,5256,944
TRACK1_THR_SWEEP,T1_MLP_t405_CANON_236_s10t20,1047,130.88,0.3773,-90.80,-0.694,1690.43,-0.204,5172,1035
TRACK1_THR_SWEEP,T1_MLP_t410_CANON_236_s10t20,1018,127.25,0.3811,-59.48,-0.467,1481.55,-0.135,5047,1165
TRACK1_THR_SWEEP,T1_MLP_t415_CANON_236_s10t20,1009,126.12,0.3796,-69.94,-0.555,1559.18,-0.185,4935,1288
TRACK1_THR_SWEEP,T1_MLP_t420_CANON_236_s10t20,987,123.38,0.3728,-99.02,-0.803,1630.51,-0.236,4815,1412
TRACK1_THR_SWEEP,T1_MLP_t425_CANON_236_s10t20,961,120.12,0.3809,-65.21,-0.543,1402.28,-0.189,4685,1546
TRACK1_THR_SWEEP,T1_MLP_t430_CANON_236_s10t20,932,116.50,0.3884,-7.37,-0.063,1268.89,-0.020,4559,1679
TRACK1_THR_SWEEP,T1_MLP_t435_CANON_236_s10t20,907,113.38,0.3837,-41.32,-0.364,1222.99,-0.119,4420,1825
TRACK1_THR_SWEEP,T1_MLP_t440_CANON_236_s10t20,893,111.62,0.3841,-47.99,-0.430,1331.81,-0.159,4279,1977
TRACK1_THR_SWEEP,T1_MLP_t445_CANON_236_s10t20,863,107.88,0.3847,-43.49,-0.403,1202.41,-0.134,4149,2113
TRACK1_THR_SWEEP,T1_MLP_t450_CANON_236_s10t20,839,104.88,0.3886,-9.65,-0.092,1056.73,-0.030,4011,2257
