name,family,tf,trades,trades_wk,sel_usd_wk,blind_usd_wk,sel_total,blind_total,win_pct
ONH_long_5min_time16h0,ONH,5min,745,4.8,20.0,15.7,1602.0,1195.0,52.5
ONH_long_5min_time16h25,ONH,5min,821,5.3,22.9,66.9,1833.0,5090.0,41.9
ONH_long_5min_time40h0,ONH,5min,745,4.8,65.5,109.8,5242.0,8362.0,55.0
ONH_long_5min_time40h25,ONH,5min,821,5.3,55.9,104.4,4472.0,7951.0,36.9
ONH_long_5min_time65h0,ONH,5min,744,4.8,102.9,87.6,8236.0,6667.0,56.2
ONH_long_5min_time65h25,ONH,5min,820,5.3,82.1,114.4,6567.0,8714.0,36.7
ONH_long_5min_trail2.5h0,ONH,5min,763,4.9,-8.6,-15.4,-689.0,-1170.0,40.1
ONH_long_5min_trail2.5h25,ONH,5min,831,5.3,-1.5,17.3,-118.0,1316.0,35.9
ONH_long_5min_trail4.0h0,ONH,5min,745,4.8,30.8,39.5,2463.0,3004.0,41.9
ONH_long_5min_trail4.0h25,ONH,5min,820,5.3,46.5,71.9,3722.0,5477.0,34.0
ONH_momo_5min_time16h0,ONH,5min,740,4.7,-8.8,29.7,-704.0,2258.0,51.2
ONH_momo_5min_time16h25,ONH,5min,799,5.1,-5.5,82.1,-436.0,6253.0,40.4
ONH_momo_5min_time40h0,ONH,5min,740,4.7,1.8,31.8,147.0,2422.0,51.9
ONH_momo_5min_time40h25,ONH,5min,799,5.1,21.9,109.3,1751.0,8325.0,36.4
ONH_momo_5min_time65h0,ONH,5min,739,4.7,-8.3,12.8,-660.0,973.0,51.8
ONH_momo_5min_time65h25,ONH,5min,798,5.1,27.8,110.7,2227.0,8430.0,34.1
ONH_momo_5min_trail2.5h0,ONH,5min,758,4.9,-24.5,37.2,-1961.0,2833.0,41.7
ONH_momo_5min_trail2.5h25,ONH,5min,809,5.2,-22.4,51.9,-1790.0,3948.0,36.0
ONH_momo_5min_trail4.0h0,ONH,5min,740,4.7,16.2,52.5,1294.0,3994.0,40.8
ONH_momo_5min_trail4.0h25,ONH,5min,798,5.1,23.3,103.9,1864.0,7914.0,33.2
TTF_5min_time16h0,TTF,5min,7837,50.2,-67.8,104.7,-5426.0,7975.0,49.2
TTF_5min_time16h25,TTF,5min,10166,65.1,-82.1,133.3,-6564.0,10148.0,35.2
TTF_5min_time40h0,TTF,5min,4163,26.7,-136.9,246.2,-10948.0,18747.0,50.5
TTF_5min_time40h25,TTF,5min,7068,45.3,-38.0,183.8,-3037.0,13994.0,27.3
TTF_5min_time65h0,TTF,5min,2783,17.8,-11.7,-29.9,-937.0,-2280.0,49.2
TTF_5min_time65h25,TTF,5min,5822,37.3,-85.2,195.7,-6819.0,14899.0,21.6
TTF_5min_trail2.5h0,TTF,5min,9090,58.2,-390.3,-369.4,-31224.0,-28126.0,35.2
TTF_5min_trail2.5h25,TTF,5min,10559,67.6,-440.9,-340.0,-35269.0,-25887.0,29.8
TTF_5min_trail4.0h0,TTF,5min,4704,30.1,-236.1,-32.4,-18888.0,-2468.0,35.7
TTF_5min_trail4.0h25,TTF,5min,6808,43.6,-223.4,8.3,-17872.0,635.0,25.0
LHD_g20_5min_time16h0,LHD,5min,701,4.5,10.8,12.1,866.0,921.0,48.5
LHD_g20_5min_time16h25,LHD,5min,837,5.4,0.9,73.1,69.0,5565.0,34.9
LHD_g20_5min_time40h0,LHD,5min,701,4.5,-1.2,62.3,-93.0,4741.0,47.8
LHD_g20_5min_time40h25,LHD,5min,837,5.4,4.5,120.5,359.0,9175.0,29.6
LHD_g20_5min_time65h0,LHD,5min,701,4.5,29.9,0.5,2389.0,38.0,46.6
LHD_g20_5min_time65h25,LHD,5min,837,5.4,19.0,102.0,1518.0,7768.0,26.9
LHD_g20_5min_trail2.5h0,LHD,5min,740,4.7,-2.4,77.2,-195.0,5878.0,42.6
LHD_g20_5min_trail2.5h25,LHD,5min,855,5.5,-24.7,66.9,-1974.0,5092.0,33.5
LHD_g20_5min_trail4.0h0,LHD,5min,714,4.6,10.4,33.4,829.0,2545.0,39.8
LHD_g20_5min_trail4.0h25,LHD,5min,843,5.4,4.5,60.5,362.0,4608.0,28.9
LHD_g50_5min_time16h0,LHD,5min,574,3.7,12.9,21.6,1032.0,1644.0,49.5
LHD_g50_5min_time16h25,LHD,5min,690,4.4,4.2,76.3,333.0,5809.0,34.9
LHD_g50_5min_time40h0,LHD,5min,574,3.7,0.5,69.9,43.0,5325.0,48.8
LHD_g50_5min_time40h25,LHD,5min,690,4.4,14.6,112.3,1168.0,8552.0,29.9
LHD_g50_5min_time65h0,LHD,5min,574,3.7,27.0,22.3,2164.0,1701.0,46.7
