name,trades,trades_per_day,wr,per_day_191,per_day_074,per_day_NQ_191,per_day_NQ_074,per_trade_191,max_dd_191,max_dd_074,sharpe_191,sharpe_074,n_days,pos_d_191,neg_d_191
R10_BASE_R8_B04_CANON_bal_n300_t30,282,5.3,0.4184,4.79,11.02,139.40,145.63,0.901,446.58,383.40,0.101,0.232,45,24,21
D10_MTF_pp236_imp5_b3_s12t24_CME,901,17.0,0.4251,4.49,24.38,337.17,357.06,0.264,1042.51,802.66,0.029,0.157,52,24,28
D10_MTF_pp382_imp5_b3_s10t30_CME,796,15.0,0.3907,3.64,21.21,294.57,312.14,0.242,847.34,649.61,0.030,0.177,52,24,28
D10_MTF_pp300_imp6_b3_s8t24_CME,793,15.0,0.3569,2.32,19.83,280.43,297.93,0.155,780.51,573.33,0.022,0.187,52,22,30
D5_ABS_t25_s8t24,8,0.2,0.6250,1.24,1.42,15.03,15.21,8.240,18.91,17.74,0.527,0.601,5,3,2
D4_VPIN_mid_CANON_INV_236,15,0.3,0.5333,0.80,1.13,12.90,13.23,2.840,53.55,47.70,0.000,0.000,1,1,0
D10_MTF_pp236_imp4_b3_s10t30_CME,1050,19.8,0.3848,0.22,23.40,342.73,365.91,0.011,885.45,626.29,0.001,0.145,52,23,29
D4_VPIN_lo_CANON_INV_236,0,0.0,0.0000,0.00,0.00,0.00,0.00,0.000,0.00,0.00,0.000,0.000,0,0,0
D4_VPINhi_lo_CANON,0,0.0,0.0000,0.00,0.00,0.00,0.00,0.000,0.00,0.00,0.000,0.000,0,0,0
D4_VPINhi_mid_CANON,0,0.0,0.0000,0.00,0.00,0.00,0.00,0.000,0.00,0.00,0.000,0.000,0,0,0
D4_VPINhi_hi_CANON,0,0.0,0.0000,0.00,0.00,0.00,0.00,0.000,0.00,0.00,0.000,0.000,0,0,0
D4_VPIN_lo_INV15s_imp2_s4t12,0,0.0,0.0000,0.00,0.00,0.00,0.00,0.000,0.00,0.00,0.000,0.000,0,0,0
D3_MOTIF_s5t15,0,0.0,0.0000,0.00,0.00,0.00,0.00,0.000,0.00,0.00,0.000,0.000,0,0,0
D3_MOTIF_s8t24,0,0.0,0.0000,0.00,0.00,0.00,0.00,0.000,0.00,0.00,0.000,0.000,0,0,0
D3_MOTIF_s10t20,0,0.0,0.0000,0.00,0.00,0.00,0.00,0.000,0.00,0.00,0.000,0.000,0,0,0
D3_MOTIF_s5t20,0,0.0,0.0000,0.00,0.00,0.00,0.00,0.000,0.00,0.00,0.000,0.000,0,0,0
D7_CALadap_s8t24,2,0.0,0.0000,-0.20,-0.15,-1.33,-1.29,-5.249,10.50,8.16,-1.164,-0.904,2,0,2
D4_VPIN_mid_INV15s_imp2_s4t12,43,0.8,0.3256,-0.23,0.71,11.60,12.55,-0.289,109.37,90.65,0.000,0.000,1,0,1
D7_CALadap_s10t20,3,0.1,0.3333,-0.27,-0.20,-1.68,-1.61,-4.683,25.71,23.37,-1.176,-1.024,2,0,2
D7_CALadap_s5t20,4,0.1,0.2500,-0.60,-0.51,-4.72,-4.63,-7.975,39.43,35.92,-0.620,-0.547,3,1,2
D7_CALadap_s5t15,3,0.1,0.0000,-0.73,-0.67,-6.37,-6.31,-12.977,38.93,35.42,-2.166,-2.170,2,0,2
D10_MTF_pp236_imp3_b4_s6t16_NYO,334,6.3,0.3323,-1.14,6.23,96.88,104.26,-0.182,646.57,440.15,-0.029,0.160,42,23,19
D5_ABSinv_t25_s8t24,5,0.1,0.0000,-1.38,-1.27,-12.14,-12.03,-14.587,72.93,67.08,-2.186,-2.121,4,0,4
D6_TAPE_x7_o5_s5t20,36,0.7,0.1944,-2.08,-1.29,-9.13,-8.34,-3.064,122.56,105.66,-0.205,-0.126,27,7,20
D6_TAPE_x7_o5_s5t15,35,0.7,0.2286,-2.44,-1.67,-13.09,-12.32,-3.701,131.82,106.48,-0.248,-0.168,27,7,20
D7_CAL_s10t20,19,0.4,0.3158,-2.46,-2.04,-18.39,-17.97,-6.849,151.66,138.79,-0.807,-0.717,3,0,3
D5_ABSinv_t20_s8t24,49,0.9,0.3265,-2.76,-1.67,-11.67,-10.59,-2.982,223.80,191.04,-0.187,-0.115,28,8,20
D10_MTF_pp300_imp4_b3_s8t20_CME,1048,19.8,0.3760,-2.81,20.32,311.77,334.91,-0.142,742.54,489.73,-0.026,0.183,52,26,26
D10_MTF_pp450_imp4_b3_s8t24_NYO,254,4.8,0.2874,-3.04,2.57,52.01,57.62,-0.634,429.86,356.30,-0.055,0.046,42,20,22
D7_CAL_s5t20,18,0.3,0.1111,-3.15,-2.75,-25.65,-25.25,-9.271,166.88,149.86,-0.794,-0.736,3,0,3
D7_CAL_s8t24,19,0.4,0.2632,-3.17,-2.75,-25.54,-25.12,-8.843,179.80,158.74,-0.863,-0.794,3,0,3
D7_CAL_s5t15,18,0.3,0.1111,-3.24,-2.84,-26.52,-26.13,-9.529,171.51,150.45,-1.115,-1.038,3,0,3
D5_ABS_t20_s5t15,58,1.1,0.2586,-3.57,-2.29,-16.88,-15.60,-3.261,205.20,160.47,-0.286,-0.177,31,9,22
D6_TAPE_x7_o5_s8t24,34,0.6,0.2059,-3.57,-2.82,-24.72,-23.97,-5.573,189.47,167.15,-0.277,-0.217,27,7,20
D10_MTF_pp382_imp5_b4_s8t16_NYO,224,4.2,0.3705,-3.71,1.23,35.52,40.46,-0.879,405.62,297.26,-0.070,0.023,41,20,21
D10_MTF_pp450_imp5_b3_s10t24_CME,715,13.5,0.3930,-4.14,11.65,190.54,206.33,-0.307,788.51,642.26,-0.039,0.107,52,22,30
D6_TAPE_x5_o5_s5t15,36,0.7,0.1667,-4.29,-3.49,-31.18,-30.38,-6.309,239.92,200.14,-0.485,-0.394,24,5,19
D6_TAPE_x5_o5_s5t20,41,0.8,0.1463,-4.30,-3.40,-29.75,-28.85,-5.565,240.43,195.97,-0.390,-0.309,29,6,23
D5_ABS_t20_s8t24,56,1.1,0.3036,-4.32,-3.08,-25.02,-23.78,-4.087,321.03,272.84,-0.257,-0.182,31,8,23
D6_TAPE_x7_o3_s5t15,28,0.5,0.1071,-4.57,-3.95,-36.61,-36.00,-8.649,242.18,209.42,-1.199,-1.019,18,3,15
