name,imp,W,pull,stop,tgt,htf,n,tr_day,per_day,maxDD,sharpe,worst_block,trend_pd,chop_pd,blocks
i3.0_w4_p0.5_s8.0_t44.0_htf20,3.0,4,0.5,8.0,44.0,20,5573,80.8,-302.9,22508.0,-13.85,-429.7,-298.1,-305.2,"[np.float64(-242.0), np.float64(-172.6), np.float64(-221.5), np.float64(-429.7), np.float64(-370.9), np.float64(-340.9)]"
i3.0_w4_p0.5_s8.0_t44.0_htf40,3.0,4,0.5,8.0,44.0,40,6127,88.8,-324.4,24059.0,-12.74,-386.8,-376.9,-299.8,"[np.float64(-386.8), np.float64(-205.7), np.float64(-284.5), np.float64(-322.1), np.float64(-361.1), np.float64(-332.0)]"
i3.0_w4_p0.5_s12.0_t20.0_htf0,3.0,4,0.5,12.0,20.0,0,9343,135.4,-296.2,21361.0,-13.71,-392.3,-393.2,-250.8,"[np.float64(-369.3), np.float64(-238.8), np.float64(-235.6), np.float64(-392.3), np.float64(-288.4), np.float64(-211.6)]"
i3.0_w4_p0.5_s12.0_t20.0_htf20,3.0,4,0.5,12.0,20.0,20,5490,79.6,-244.6,17668.0,-12.12,-394.8,-215.1,-258.5,"[np.float64(-210.3), np.float64(-133.6), np.float64(-163.2), np.float64(-394.8), np.float64(-270.8), np.float64(-266.9)]"
i3.0_w4_p0.5_s12.0_t20.0_htf40,3.0,4,0.5,12.0,20.0,40,5988,86.8,-291.1,20477.0,-12.37,-362.2,-307.2,-283.6,"[np.float64(-362.2), np.float64(-189.1), np.float64(-279.3), np.float64(-288.6), np.float64(-295.1), np.float64(-283.9)]"
i3.0_w4_p0.5_s12.0_t30.0_htf0,3.0,4,0.5,12.0,30.0,0,8796,127.5,-208.0,16437.0,-7.21,-335.4,-445.5,-96.8,"[np.float64(-229.4), np.float64(-227.4), np.float64(-157.0), np.float64(-335.4), np.float64(-66.6), np.float64(-208.0)]"
i3.0_w4_p0.5_s12.0_t30.0_htf20,3.0,4,0.5,12.0,30.0,20,5307,76.9,-276.4,20010.0,-12.56,-428.6,-229.1,-298.6,"[np.float64(-251.9), np.float64(-159.8), np.float64(-156.1), np.float64(-428.6), np.float64(-261.3), np.float64(-367.4)]"
i3.0_w4_p0.5_s12.0_t30.0_htf40,3.0,4,0.5,12.0,30.0,40,5811,84.2,-324.0,23140.0,-11.49,-470.0,-356.9,-308.7,"[np.float64(-470.0), np.float64(-200.2), np.float64(-252.4), np.float64(-318.4), np.float64(-316.9), np.float64(-331.9)]"
i3.0_w4_p0.5_s12.0_t44.0_htf0,3.0,4,0.5,12.0,44.0,0,8425,122.1,-109.1,12113.0,-3.14,-284.1,-388.3,21.6,"[np.float64(4.7), np.float64(-216.7), np.float64(-93.9), np.float64(-284.1), np.float64(77.8), np.float64(-138.8)]"
i3.0_w4_p0.5_s12.0_t44.0_htf20,3.0,4,0.5,12.0,44.0,20,5212,75.5,-315.9,23038.0,-13.52,-498.5,-276.7,-334.2,"[np.float64(-245.8), np.float64(-171.8), np.float64(-163.5), np.float64(-498.5), np.float64(-380.2), np.float64(-398.0)]"
i3.0_w4_p0.5_s12.0_t44.0_htf40,3.0,4,0.5,12.0,44.0,40,5712,82.8,-350.1,25148.0,-12.16,-453.4,-376.4,-337.7,"[np.float64(-453.4), np.float64(-232.5), np.float64(-275.2), np.float64(-314.7), np.float64(-410.6), np.float64(-352.6)]"
i4.0_w3_p0.118_s5.0_t20.0_htf0,4.0,3,0.118,5.0,20.0,0,11414,165.4,291.5,3366.0,6.18,-107.2,316.0,280.0,"[np.float64(547.6), np.float64(-107.2), np.float64(-86.4), np.float64(55.1), np.float64(990.3), np.float64(281.4)]"
i4.0_w3_p0.118_s5.0_t20.0_htf20,4.0,3,0.118,5.0,20.0,20,7301,105.8,131.7,2945.0,5.1,-57.6,178.0,109.9,"[np.float64(76.6), np.float64(-39.5), np.float64(-57.6), np.float64(44.9), np.float64(633.1), np.float64(103.3)]"
i4.0_w3_p0.118_s5.0_t20.0_htf40,4.0,3,0.118,5.0,20.0,40,7948,115.2,85.9,5058.0,2.94,-84.6,157.8,52.2,"[np.float64(-3.2), np.float64(-84.6), np.float64(-72.6), np.float64(-43.4), np.float64(614.2), np.float64(79.9)]"
i4.0_w3_p0.118_s5.0_t30.0_htf0,4.0,3,0.118,5.0,30.0,0,10955,158.8,429.1,3218.0,6.82,-87.3,379.1,452.4,"[np.float64(832.3), np.float64(-87.3), np.float64(-57.7), np.float64(189.7), np.float64(1314.6), np.float64(291.3)]"
i4.0_w3_p0.118_s5.0_t30.0_htf20,4.0,3,0.118,5.0,30.0,20,7127,103.3,116.4,4830.0,3.89,-109.1,142.6,104.2,"[np.float64(74.0), np.float64(-65.4), np.float64(-109.1), np.float64(49.1), np.float64(689.9), np.float64(35.0)]"
i4.0_w3_p0.118_s5.0_t30.0_htf40,4.0,3,0.118,5.0,30.0,40,7793,112.9,87.3,5977.0,2.74,-142.6,155.4,55.4,"[np.float64(4.5), np.float64(-142.6), np.float64(-71.7), np.float64(11.6), np.float64(676.0), np.float64(25.1)]"
i4.0_w3_p0.118_s5.0_t44.0_htf0,4.0,3,0.118,5.0,44.0,0,10484,151.9,502.3,2771.0,7.73,-59.7,349.7,573.8,"[np.float64(778.6), np.float64(-59.7), np.float64(39.9), np.float64(380.7), np.float64(1311.8), np.float64(468.8)]"
i4.0_w3_p0.118_s5.0_t44.0_htf20,4.0,3,0.118,5.0,44.0,20,6993,101.3,91.2,4661.0,3.19,-94.9,80.6,96.2,"[np.float64(74.3), np.float64(-94.9), np.float64(-72.8), np.float64(125.2), np.float64(565.0), np.float64(-61.9)]"
i4.0_w3_p0.118_s5.0_t44.0_htf40,4.0,3,0.118,5.0,44.0,40,7670,111.2,67.8,6720.0,2.03,-191.6,132.6,37.5,"[np.float64(-54.3), np.float64(-191.6), np.float64(-47.0), np.float64(98.2), np.float64(611.2), np.float64(-18.5)]"
i4.0_w3_p0.118_s8.0_t20.0_htf0,4.0,3,0.118,8.0,20.0,0,11130,161.3,138.0,5444.0,3.65,-158.1,138.5,137.8,"[np.float64(236.0), np.float64(-158.1), np.float64(-94.6), np.float64(-50.3), np.float64(691.2), np.float64(165.2)]"
i4.0_w3_p0.118_s8.0_t20.0_htf20,4.0,3,0.118,8.0,20.0,20,6988,101.3,81.1,4852.0,3.1,-93.6,156.7,45.7,"[np.float64(0.9), np.float64(-55.0), np.float64(-93.6), np.float64(-42.6), np.float64(565.1), np.float64(87.8)]"
i4.0_w3_p0.118_s8.0_t20.0_htf40,4.0,3,0.118,8.0,20.0,40,7620,110.4,36.8,6790.0,1.25,-114.7,111.0,2.1,"[np.float64(-108.1), np.float64(-114.7), np.float64(-97.2), np.float64(-67.1), np.float64(575.2), np.float64(17.8)]"
