name,imp,W,pull,stop,tgt,htf,n,tr_day,per_day,maxDD,sharpe,worst_block,trend_pd,chop_pd,blocks
i4.0_w3_p0.236_s12.0_t44.0_htf20,4.0,3,0.236,12.0,44.0,20,5975,86.6,-148.0,12413.0,-5.55,-359.3,-134.0,-154.5,"[np.float64(-136.7), np.float64(-181.6), np.float64(-231.1), np.float64(-119.2), np.float64(167.1), np.float64(-359.3)]"
i4.0_w3_p0.236_s12.0_t44.0_htf40,4.0,3,0.236,12.0,44.0,40,6574,95.3,-252.4,18690.0,-8.56,-430.4,-175.3,-288.4,"[np.float64(-430.4), np.float64(-328.6), np.float64(-240.2), np.float64(-188.0), np.float64(68.0), np.float64(-347.5)]"
i4.0_w3_p0.382_s5.0_t20.0_htf0,4.0,3,0.382,5.0,20.0,0,10575,153.3,-145.1,12571.0,-4.83,-256.9,-197.0,-120.8,"[np.float64(-134.5), np.float64(-227.9), np.float64(-256.9), np.float64(-246.4), np.float64(213.3), np.float64(-202.6)]"
i4.0_w3_p0.382_s5.0_t20.0_htf20,4.0,3,0.382,5.0,20.0,20,6406,92.8,-186.4,13702.0,-12.13,-281.2,-230.4,-165.9,"[np.float64(-153.8), np.float64(-104.4), np.float64(-244.3), np.float64(-276.8), np.float64(-25.9), np.float64(-281.2)]"
i4.0_w3_p0.382_s5.0_t20.0_htf40,4.0,3,0.382,5.0,20.0,40,7011,101.6,-217.7,15768.0,-12.45,-279.0,-261.4,-197.2,"[np.float64(-276.9), np.float64(-170.2), np.float64(-218.2), np.float64(-279.0), np.float64(-74.7), np.float64(-241.6)]"
i4.0_w3_p0.382_s5.0_t30.0_htf0,4.0,3,0.382,5.0,30.0,0,10151,147.1,-21.5,10282.0,-0.47,-225.5,-179.3,52.4,"[np.float64(27.3), np.float64(-225.5), np.float64(-208.7), np.float64(-102.4), np.float64(565.7), np.float64(-188.6)]"
i4.0_w3_p0.382_s5.0_t30.0_htf20,4.0,3,0.382,5.0,30.0,20,6301,91.3,-227.5,16837.0,-12.23,-408.3,-305.8,-190.9,"[np.float64(-197.5), np.float64(-123.6), np.float64(-277.6), np.float64(-254.4), np.float64(-57.7), np.float64(-408.3)]"
i4.0_w3_p0.382_s5.0_t30.0_htf40,4.0,3,0.382,5.0,30.0,40,6905,100.1,-205.9,15038.0,-10.19,-343.5,-273.7,-174.2,"[np.float64(-343.5), np.float64(-172.1), np.float64(-213.9), np.float64(-182.6), np.float64(-8.0), np.float64(-265.0)]"
i4.0_w3_p0.382_s5.0_t44.0_htf0,4.0,3,0.382,5.0,44.0,0,9809,142.2,33.7,9681.0,0.7,-190.7,-98.9,95.7,"[np.float64(245.5), np.float64(-189.3), np.float64(-182.3), np.float64(-190.7), np.float64(630.4), np.float64(-136.0)]"
i4.0_w3_p0.382_s5.0_t44.0_htf20,4.0,3,0.382,5.0,44.0,20,6221,90.2,-241.2,18029.0,-12.69,-434.0,-329.1,-200.1,"[np.float64(-209.8), np.float64(-115.2), np.float64(-262.4), np.float64(-254.1), np.float64(-123.1), np.float64(-434.0)]"
i4.0_w3_p0.382_s5.0_t44.0_htf40,4.0,3,0.382,5.0,44.0,40,6808,98.7,-242.8,17643.0,-11.04,-391.6,-278.3,-226.1,"[np.float64(-391.6), np.float64(-170.7), np.float64(-222.2), np.float64(-222.5), np.float64(-67.9), np.float64(-325.4)]"
i4.0_w3_p0.382_s8.0_t20.0_htf0,4.0,3,0.382,8.0,20.0,0,10258,148.7,-218.5,16597.0,-8.47,-338.8,-304.2,-178.4,"[np.float64(-277.1), np.float64(-279.2), np.float64(-254.6), np.float64(-338.8), np.float64(79.6), np.float64(-214.6)]"
i4.0_w3_p0.382_s8.0_t20.0_htf20,4.0,3,0.382,8.0,20.0,20,6118,88.7,-207.9,15193.0,-12.82,-279.3,-239.9,-193.0,"[np.float64(-212.1), np.float64(-141.2), np.float64(-189.1), np.float64(-271.4), np.float64(-113.4), np.float64(-279.3)]"
i4.0_w3_p0.382_s8.0_t20.0_htf40,4.0,3,0.382,8.0,20.0,40,6700,97.1,-242.2,17073.0,-13.18,-364.2,-266.7,-230.7,"[np.float64(-364.2), np.float64(-205.1), np.float64(-189.9), np.float64(-335.3), np.float64(-91.2), np.float64(-218.0)]"
i4.0_w3_p0.382_s8.0_t30.0_htf0,4.0,3,0.382,8.0,30.0,0,9759,141.4,-67.1,10460.0,-1.84,-291.2,-235.0,11.4,"[np.float64(30.0), np.float64(-291.2), np.float64(-209.5), np.float64(-160.8), np.float64(390.5), np.float64(-158.5)]"
i4.0_w3_p0.382_s8.0_t30.0_htf20,4.0,3,0.382,8.0,30.0,20,5978,86.6,-252.1,18527.0,-12.83,-419.0,-323.4,-218.7,"[np.float64(-240.3), np.float64(-158.6), np.float64(-238.9), np.float64(-256.4), np.float64(-157.7), np.float64(-419.0)]"
i4.0_w3_p0.382_s8.0_t30.0_htf40,4.0,3,0.382,8.0,30.0,40,6560,95.1,-249.9,17835.0,-11.17,-417.2,-302.9,-225.0,"[np.float64(-417.2), np.float64(-202.4), np.float64(-211.1), np.float64(-292.2), np.float64(-80.9), np.float64(-240.4)]"
i4.0_w3_p0.382_s8.0_t44.0_htf0,4.0,3,0.382,8.0,44.0,0,9331,135.2,-28.7,9344.0,-0.72,-257.6,-207.4,54.9,"[np.float64(255.0), np.float64(-257.6), np.float64(-138.6), np.float64(-189.4), np.float64(251.7), np.float64(-102.1)]"
i4.0_w3_p0.382_s8.0_t44.0_htf20,4.0,3,0.382,8.0,44.0,20,5887,85.3,-270.9,20148.0,-12.41,-456.2,-345.7,-235.8,"[np.float64(-245.4), np.float64(-150.9), np.float64(-236.0), np.float64(-288.4), np.float64(-204.6), np.float64(-456.2)]"
i4.0_w3_p0.382_s8.0_t44.0_htf40,4.0,3,0.382,8.0,44.0,40,6443,93.4,-284.0,20549.0,-11.63,-443.0,-302.0,-275.5,"[np.float64(-443.0), np.float64(-208.8), np.float64(-222.0), np.float64(-327.1), np.float64(-150.4), np.float64(-291.2)]"
i4.0_w3_p0.382_s12.0_t20.0_htf0,4.0,3,0.382,12.0,20.0,0,9846,142.7,-353.3,24905.0,-13.82,-531.4,-452.6,-306.8,"[np.float64(-438.6), np.float64(-321.6), np.float64(-307.7), np.float64(-531.4), np.float64(-161.5), np.float64(-315.0)]"
i4.0_w3_p0.382_s12.0_t20.0_htf20,4.0,3,0.382,12.0,20.0,20,5772,83.7,-200.0,14477.0,-10.37,-255.1,-232.7,-184.7,"[np.float64(-255.1), np.float64(-130.9), np.float64(-203.2), np.float64(-238.5), np.float64(-124.9), np.float64(-206.5)]"
i4.0_w3_p0.382_s12.0_t20.0_htf40,4.0,3,0.382,12.0,20.0,40,6340,91.9,-242.8,16821.0,-10.93,-448.2,-258.7,-235.4,"[np.float64(-448.2), np.float64(-222.4), np.float64(-172.8), np.float64(-308.9), np.float64(-100.0), np.float64(-151.1)]"
i4.0_w3_p0.382_s12.0_t30.0_htf0,4.0,3,0.382,12.0,30.0,0,9299,134.8,-217.1,16577.0,-7.97,-349.2,-426.9,-118.9,"[np.float64(-195.0), np.float64(-274.8), np.float64(-273.5), np.float64(-349.2), np.float64(46.4), np.float64(-231.4)]"
i4.0_w3_p0.382_s12.0_t30.0_htf20,4.0,3,0.382,12.0,30.0,20,5589,81.0,-246.6,17991.0,-11.52,-324.0,-305.1,-219.1,"[np.float64(-290.4), np.float64(-160.2), np.float64(-257.8), np.float64(-280.3), np.float64(-115.0), np.float64(-324.0)]"
i4.0_w3_p0.382_s12.0_t30.0_htf40,4.0,3,0.382,12.0,30.0,40,6145,89.1,-265.1,18668.0,-9.67,-496.3,-303.3,-247.3,"[np.float64(-496.3), np.float64(-234.1), np.float64(-196.6), np.float64(-301.0), np.float64(-40.4), np.float64(-261.6)]"
i4.0_w3_p0.382_s12.0_t44.0_htf0,4.0,3,0.382,12.0,44.0,0,8794,127.4,-122.9,11759.0,-3.83,-269.7,-316.6,-32.2,"[np.float64(19.4), np.float64(-257.7), np.float64(-158.8), np.float64(-269.7), np.float64(174.2), np.float64(-236.3)]"
i4.0_w3_p0.382_s12.0_t44.0_htf20,4.0,3,0.382,12.0,44.0,20,5481,79.4,-269.0,19852.0,-11.5,-382.9,-346.5,-232.7,"[np.float64(-312.0), np.float64(-173.0), np.float64(-277.0), np.float64(-255.9), np.float64(-152.7), np.float64(-382.9)]"
i4.0_w3_p0.382_s12.0_t44.0_htf40,4.0,3,0.382,12.0,44.0,40,5993,86.9,-308.5,21973.0,-11.04,-515.6,-312.8,-306.5,"[np.float64(-515.6), np.float64(-230.4), np.float64(-213.0), np.float64(-327.3), np.float64(-164.8), np.float64(-331.1)]"
i4.0_w3_p0.5_s5.0_t20.0_htf0,4.0,3,0.5,5.0,20.0,0,9984,144.7,-224.0,18013.0,-10.1,-338.0,-336.3,-171.4,"[np.float64(-212.6), np.float64(-162.2), np.float64(-338.0), np.float64(-247.3), np.float64(-138.3), np.float64(-210.2)]"
i4.0_w3_p0.5_s5.0_t20.0_htf20,4.0,3,0.5,5.0,20.0,20,5884,85.3,-268.9,19561.0,-15.13,-370.3,-346.9,-232.4,"[np.float64(-207.2), np.float64(-134.0), np.float64(-280.1), np.float64(-370.3), np.float64(-312.5), np.float64(-273.0)]"
i4.0_w3_p0.5_s5.0_t20.0_htf40,4.0,3,0.5,5.0,20.0,40,6402,92.8,-256.0,18668.0,-14.99,-320.8,-235.0,-265.8,"[np.float64(-272.7), np.float64(-163.6), np.float64(-279.1), np.float64(-320.8), np.float64(-236.4), np.float64(-226.1)]"
i4.0_w3_p0.5_s5.0_t30.0_htf0,4.0,3,0.5,5.0,30.0,0,9630,139.6,-100.4,11496.0,-3.33,-365.9,-271.9,-20.1,"[np.float64(85.2), np.float64(-162.8), np.float64(-365.9), np.float64(-106.7), np.float64(113.6), np.float64(-149.6)]"
i4.0_w3_p0.5_s5.0_t30.0_htf20,4.0,3,0.5,5.0,30.0,20,5775,83.7,-264.0,19352.0,-13.82,-317.5,-335.0,-230.8,"[np.float64(-209.9), np.float64(-149.1), np.float64(-301.4), np.float64(-317.5), np.float64(-260.6), np.float64(-306.1)]"
i4.0_w3_p0.5_s5.0_t30.0_htf40,4.0,3,0.5,5.0,30.0,40,6288,91.1,-257.0,18851.0,-13.26,-326.0,-236.5,-266.7,"[np.float64(-313.8), np.float64(-166.3), np.float64(-326.0), np.float64(-298.7), np.float64(-164.3), np.float64(-233.8)]"
i4.0_w3_p0.5_s5.0_t44.0_htf0,4.0,3,0.5,5.0,44.0,0,9336,135.3,-50.7,9104.0,-1.5,-270.0,-195.2,16.9,"[np.float64(176.4), np.float64(-120.6), np.float64(-270.0), np.float64(-23.2), np.float64(110.4), np.float64(-166.6)]"
i4.0_w3_p0.5_s5.0_t44.0_htf20,4.0,3,0.5,5.0,44.0,20,5721,82.9,-267.0,19750.0,-12.86,-344.1,-311.0,-246.3,"[np.float64(-213.3), np.float64(-142.1), np.float64(-265.4), np.float64(-325.8), np.float64(-271.4), np.float64(-344.1)]"
i4.0_w3_p0.5_s5.0_t44.0_htf40,4.0,3,0.5,5.0,44.0,40,6224,90.2,-270.0,19590.0,-13.6,-349.8,-226.8,-290.3,"[np.float64(-349.8), np.float64(-171.4), np.float64(-315.1), np.float64(-302.9), np.float64(-190.4), np.float64(-248.3)]"
i4.0_w3_p0.5_s8.0_t20.0_htf0,4.0,3,0.5,8.0,20.0,0,9606,139.2,-221.3,16859.0,-9.5,-366.4,-253.8,-206.0,"[np.float64(-248.1), np.float64(-176.5), np.float64(-366.4), np.float64(-165.9), np.float64(-112.4), np.float64(-216.8)]"
i4.0_w3_p0.5_s8.0_t20.0_htf20,4.0,3,0.5,8.0,20.0,20,5644,81.8,-264.3,19169.0,-14.6,-420.1,-322.0,-237.2,"[np.float64(-231.8), np.float64(-142.5), np.float64(-267.2), np.float64(-420.1), np.float64(-303.2), np.float64(-189.6)]"
i4.0_w3_p0.5_s8.0_t20.0_htf40,4.0,3,0.5,8.0,20.0,40,6140,89.0,-262.9,18699.0,-14.34,-346.0,-235.7,-275.7,"[np.float64(-336.4), np.float64(-167.2), np.float64(-260.1), np.float64(-346.0), np.float64(-231.4), np.float64(-199.4)]"
i4.0_w3_p0.5_s8.0_t30.0_htf0,4.0,3,0.5,8.0,30.0,0,9190,133.2,-101.4,10672.0,-3.4,-321.2,-257.2,-28.5,"[np.float64(-51.5), np.float64(-154.5), np.float64(-321.2), np.float64(-75.3), np.float64(84.0), np.float64(-71.2)]"
i4.0_w3_p0.5_s8.0_t30.0_htf20,4.0,3,0.5,8.0,30.0,20,5497,79.7,-268.7,19564.0,-13.46,-338.8,-329.0,-240.5,"[np.float64(-230.3), np.float64(-170.7), np.float64(-284.4), np.float64(-338.8), np.float64(-262.5), np.float64(-286.7)]"
i4.0_w3_p0.5_s8.0_t30.0_htf40,4.0,3,0.5,8.0,30.0,40,6000,87.0,-273.5,19749.0,-12.73,-377.3,-266.8,-276.6,"[np.float64(-377.3), np.float64(-184.2), np.float64(-309.1), np.float64(-281.9), np.float64(-209.6), np.float64(-234.0)]"
i4.0_w3_p0.5_s8.0_t44.0_htf0,4.0,3,0.5,8.0,44.0,0,8801,127.6,-37.5,9443.0,-1.03,-221.4,-197.6,37.4,"[np.float64(68.2), np.float64(-161.0), np.float64(-221.4), np.float64(-21.6), np.float64(170.1), np.float64(-51.8)]"
i4.0_w3_p0.5_s8.0_t44.0_htf20,4.0,3,0.5,8.0,44.0,20,5412,78.4,-286.8,21079.0,-12.48,-360.8,-327.3,-267.9,"[np.float64(-226.9), np.float64(-168.6), np.float64(-254.7), np.float64(-360.8), np.float64(-348.2), np.float64(-320.2)]"
i4.0_w3_p0.5_s8.0_t44.0_htf40,4.0,3,0.5,8.0,44.0,40,5912,85.7,-310.3,22144.0,-13.19,-418.1,-271.2,-328.6,"[np.float64(-418.1), np.float64(-195.8), np.float64(-306.8), np.float64(-314.2), np.float64(-290.4), np.float64(-285.2)]"
i4.0_w3_p0.5_s12.0_t20.0_htf0,4.0,3,0.5,12.0,20.0,0,9211,133.5,-316.8,23196.0,-13.35,-376.9,-409.4,-273.5,"[np.float64(-376.9), np.float64(-181.6), np.float64(-331.5), np.float64(-257.9), np.float64(-356.8), np.float64(-338.5)]"
i4.0_w3_p0.5_s12.0_t20.0_htf20,4.0,3,0.5,12.0,20.0,20,5336,77.3,-259.8,18964.0,-13.45,-369.2,-316.7,-233.2,"[np.float64(-203.2), np.float64(-150.8), np.float64(-238.0), np.float64(-369.2), np.float64(-356.2), np.float64(-207.3)]"
i4.0_w3_p0.5_s12.0_t20.0_htf40,4.0,3,0.5,12.0,20.0,40,5823,84.4,-263.9,18703.0,-12.96,-402.4,-247.2,-271.7,"[np.float64(-402.4), np.float64(-209.8), np.float64(-209.9), np.float64(-324.8), np.float64(-214.3), np.float64(-183.3)]"
i4.0_w3_p0.5_s12.0_t30.0_htf0,4.0,3,0.5,12.0,30.0,0,8714,126.3,-190.0,16469.0,-6.28,-308.8,-340.4,-119.5,"[np.float64(-15.4), np.float64(-164.6), np.float64(-258.1), np.float64(-121.5), np.float64(-234.0), np.float64(-308.8)]"
i4.0_w3_p0.5_s12.0_t30.0_htf20,4.0,3,0.5,12.0,30.0,20,5174,75.0,-253.5,19048.0,-11.76,-331.8,-320.2,-222.2,"[np.float64(-190.7), np.float64(-171.2), np.float64(-238.6), np.float64(-331.8), np.float64(-294.7), np.float64(-258.1)]"
i4.0_w3_p0.5_s12.0_t30.0_htf40,4.0,3,0.5,12.0,30.0,40,5664,82.1,-264.5,19446.0,-10.95,-412.0,-269.7,-262.1,"[np.float64(-412.0), np.float64(-231.2), np.float64(-246.3), np.float64(-271.8), np.float64(-175.9), np.float64(-206.3)]"
i4.0_w3_p0.5_s12.0_t44.0_htf0,4.0,3,0.5,12.0,44.0,0,8256,119.7,-83.7,10164.0,-2.43,-172.1,-244.9,-8.3,"[np.float64(66.3), np.float64(-112.3), np.float64(-172.1), np.float64(-82.4), np.float64(-68.1), np.float64(-119.5)]"
i4.0_w3_p0.5_s12.0_t44.0_htf20,4.0,3,0.5,12.0,44.0,20,5051,73.2,-265.1,20532.0,-10.68,-415.7,-305.2,-246.3,"[np.float64(-143.6), np.float64(-179.6), np.float64(-217.7), np.float64(-334.0), np.float64(-415.7), np.float64(-261.5)]"
i4.0_w3_p0.5_s12.0_t44.0_htf40,4.0,3,0.5,12.0,44.0,40,5532,80.2,-305.0,22408.0,-11.64,-414.9,-252.8,-329.5,"[np.float64(-414.9), np.float64(-229.9), np.float64(-259.3), np.float64(-290.1), np.float64(-310.5), np.float64(-273.3)]"
i4.0_w4_p0.118_s5.0_t20.0_htf0,4.0,4,0.118,5.0,20.0,0,11392,165.1,367.8,2004.0,7.3,15.6,372.5,365.6,"[np.float64(599.7), np.float64(15.6), np.float64(22.6), np.float64(76.9), np.float64(1145.3), np.float64(261.0)]"
i4.0_w4_p0.118_s5.0_t20.0_htf20,4.0,4,0.118,5.0,20.0,20,6964,100.9,196.3,3324.0,6.82,-101.1,270.3,161.7,"[np.float64(225.8), np.float64(-101.1), np.float64(-49.5), np.float64(85.4), np.float64(697.0), np.float64(278.4)]"
i4.0_w4_p0.118_s5.0_t20.0_htf40,4.0,4,0.118,5.0,20.0,40,7695,111.5,146.4,3737.0,4.78,-84.0,176.1,132.5,"[np.float64(85.4), np.float64(-84.0), np.float64(-83.4), np.float64(35.5), np.float64(659.6), np.float64(231.6)]"
i4.0_w4_p0.118_s5.0_t30.0_htf0,4.0,4,0.118,5.0,30.0,0,10946,158.6,433.4,1762.0,7.26,6.0,427.6,436.2,"[np.float64(899.9), np.float64(6.0), np.float64(50.7), np.float64(46.9), np.float64(1322.4), np.float64(170.2)]"
i4.0_w4_p0.118_s5.0_t30.0_htf20,4.0,4,0.118,5.0,30.0,20,6743,97.7,169.7,4621.0,5.43,-121.4,194.2,158.3,"[np.float64(227.9), np.float64(-121.4), np.float64(-87.4), np.float64(-3.4), np.float64(726.1), np.float64(233.8)]"
i4.0_w4_p0.118_s5.0_t30.0_htf40,4.0,4,0.118,5.0,30.0,40,7515,108.9,117.7,5825.0,3.51,-138.6,161.0,97.4,"[np.float64(93.4), np.float64(-138.6), np.float64(-118.4), np.float64(-18.1), np.float64(720.4), np.float64(136.3)]"
i4.0_w4_p0.118_s5.0_t44.0_htf0,4.0,4,0.118,5.0,44.0,0,10578,153.3,490.6,1836.0,7.17,22.2,382.0,541.5,"[np.float64(944.0), np.float64(61.2), np.float64(22.2), np.float64(110.9), np.float64(1450.1), np.float64(242.0)]"
i4.0_w4_p0.118_s5.0_t44.0_htf20,4.0,4,0.118,5.0,44.0,20,6633,96.1,155.7,4890.0,4.98,-146.5,175.2,146.6,"[np.float64(184.8), np.float64(-146.5), np.float64(-80.4), np.float64(49.4), np.float64(707.4), np.float64(184.9)]"
i4.0_w4_p0.118_s5.0_t44.0_htf40,4.0,4,0.118,5.0,44.0,40,7398,107.2,74.6,7423.0,2.14,-168.1,101.8,61.9,"[np.float64(-8.4), np.float64(-168.1), np.float64(-135.7), np.float64(-22.8), np.float64(661.2), np.float64(100.8)]"
i4.0_w4_p0.118_s8.0_t20.0_htf0,4.0,4,0.118,8.0,20.0,0,11072,160.5,201.1,3714.0,4.9,-126.6,200.5,201.4,"[np.float64(294.7), np.float64(-85.5), np.float64(55.1), np.float64(-126.6), np.float64(794.2), np.float64(213.8)]"
i4.0_w4_p0.118_s8.0_t20.0_htf20,4.0,4,0.118,8.0,20.0,20,6656,96.5,154.1,4273.0,5.54,-102.0,241.8,113.0,"[np.float64(134.5), np.float64(-102.0), np.float64(-55.1), np.float64(42.1), np.float64(611.3), np.float64(258.7)]"
i4.0_w4_p0.118_s8.0_t20.0_htf40,4.0,4,0.118,8.0,20.0,40,7312,106.0,103.5,4540.0,3.36,-98.0,152.2,80.7,"[np.float64(18.9), np.float64(-89.5), np.float64(-98.0), np.float64(-0.0), np.float64(540.2), np.float64(223.6)]"
i4.0_w4_p0.118_s8.0_t30.0_htf0,4.0,4,0.118,8.0,30.0,0,10593,153.5,219.6,3940.0,4.49,-133.2,169.9,242.9,"[np.float64(425.4), np.float64(-133.2), np.float64(64.0), np.float64(-69.0), np.float64(915.7), np.float64(54.4)]"
i4.0_w4_p0.118_s8.0_t30.0_htf20,4.0,4,0.118,8.0,30.0,20,6415,93.0,110.9,6141.0,3.82,-149.0,163.8,86.2,"[np.float64(173.5), np.float64(-149.0), np.float64(-91.4), np.float64(-53.9), np.float64(592.3), np.float64(161.9)]"
i4.0_w4_p0.118_s8.0_t30.0_htf40,4.0,4,0.118,8.0,30.0,40,7093,102.8,46.4,7524.0,1.42,-169.7,108.3,17.4,"[np.float64(-35.3), np.float64(-169.7), np.float64(-122.4), np.float64(-86.2), np.float64(611.0), np.float64(62.2)]"
i4.0_w4_p0.118_s8.0_t44.0_htf0,4.0,4,0.118,8.0,44.0,0,10190,147.7,280.9,4942.0,4.8,-70.9,191.3,322.9,"[np.float64(333.6), np.float64(-42.4), np.float64(112.7), np.float64(-70.9), np.float64(1184.1), np.float64(92.5)]"
i4.0_w4_p0.118_s8.0_t44.0_htf20,4.0,4,0.118,8.0,44.0,20,6292,91.2,89.1,6751.0,3.03,-200.5,142.0,64.3,"[np.float64(125.9), np.float64(-200.5), np.float64(-85.9), np.float64(-2.0), np.float64(584.8), np.float64(89.6)]"
i4.0_w4_p0.118_s8.0_t44.0_htf40,4.0,4,0.118,8.0,44.0,40,6961,100.9,-23.0,10181.0,-0.68,-198.1,25.4,-45.7,"[np.float64(-195.2), np.float64(-198.1), np.float64(-133.7), np.float64(-106.7), np.float64(445.1), np.float64(47.4)]"
i4.0_w4_p0.118_s12.0_t20.0_htf0,4.0,4,0.118,12.0,20.0,0,10672,154.7,72.3,5259.0,1.96,-191.3,106.7,56.2,"[np.float64(-63.8), np.float64(-146.5), np.float64(65.1), np.float64(-191.3), np.float64(512.1), np.float64(224.3)]"
i4.0_w4_p0.118_s12.0_t20.0_htf20,4.0,4,0.118,12.0,20.0,20,6305,91.4,153.8,4153.0,5.23,-123.8,221.3,122.3,"[np.float64(97.8), np.float64(-123.8), np.float64(-29.5), np.float64(22.5), np.float64(695.2), np.float64(224.3)]"
i4.0_w4_p0.118_s12.0_t20.0_htf40,4.0,4,0.118,12.0,20.0,40,6915,100.2,87.7,5235.0,2.74,-139.9,135.5,65.4,"[np.float64(-8.1), np.float64(-91.1), np.float64(-139.9), np.float64(-1.4), np.float64(539.0), np.float64(205.7)]"
i4.0_w4_p0.118_s12.0_t30.0_htf0,4.0,4,0.118,12.0,30.0,0,10168,147.4,59.7,5074.0,1.49,-175.5,101.2,40.2,"[np.float64(47.0), np.float64(-120.9), np.float64(64.9), np.float64(-175.5), np.float64(591.2), np.float64(-78.4)]"
i4.0_w4_p0.118_s12.0_t30.0_htf20,4.0,4,0.118,12.0,30.0,20,6011,87.1,119.8,6069.0,3.98,-161.0,202.2,81.3,"[np.float64(155.2), np.float64(-161.0), np.float64(-68.7), np.float64(-52.4), np.float64(665.2), np.float64(146.3)]"
i4.0_w4_p0.118_s12.0_t30.0_htf40,4.0,4,0.118,12.0,30.0,40,6649,96.4,38.9,7215.0,1.1,-166.0,107.5,6.8,"[np.float64(-77.4), np.float64(-166.0), np.float64(-141.8), np.float64(-28.7), np.float64(557.4), np.float64(77.7)]"
i4.0_w4_p0.118_s12.0_t44.0_htf0,4.0,4,0.118,12.0,44.0,0,9704,140.6,103.8,6381.0,2.25,-164.9,12.5,146.6,"[np.float64(-106.3), np.float64(-141.0), np.float64(123.1), np.float64(-164.9), np.float64(798.9), np.float64(73.4)]"
i4.0_w4_p0.118_s12.0_t44.0_htf20,4.0,4,0.118,12.0,44.0,20,5862,85.0,76.6,6243.0,2.77,-223.7,116.9,57.7,"[np.float64(90.7), np.float64(-223.7), np.float64(-70.4), np.float64(25.8), np.float64(565.7), np.float64(54.5)]"
i4.0_w4_p0.118_s12.0_t44.0_htf40,4.0,4,0.118,12.0,44.0,40,6467,93.7,-81.0,11213.0,-2.28,-276.7,-53.2,-94.0,"[np.float64(-276.7), np.float64(-239.9), np.float64(-189.5), np.float64(-27.7), np.float64(265.8), np.float64(0.1)]"
i4.0_w4_p0.236_s5.0_t20.0_htf0,4.0,4,0.236,5.0,20.0,0,11094,160.8,35.5,8060.0,1.08,-174.8,-40.5,71.0,"[np.float64(184.3), np.float64(-174.8), np.float64(-159.5), np.float64(-146.1), np.float64(475.8), np.float64(12.0)]"
i4.0_w4_p0.236_s5.0_t20.0_htf20,4.0,4,0.236,5.0,20.0,20,6684,96.9,-24.7,7352.0,-1.32,-165.0,-14.0,-29.7,"[np.float64(-36.0), np.float64(-165.0), np.float64(-148.4), np.float64(-65.8), np.float64(315.3), np.float64(-47.5)]"
i4.0_w4_p0.236_s5.0_t20.0_htf40,4.0,4,0.236,5.0,20.0,40,7409,107.4,-94.7,9652.0,-4.42,-180.6,-123.3,-81.3,"[np.float64(-145.7), np.float64(-180.6), np.float64(-175.8), np.float64(-168.2), np.float64(176.7), np.float64(-64.7)]"
i4.0_w4_p0.236_s5.0_t30.0_htf0,4.0,4,0.236,5.0,30.0,0,10704,155.1,132.7,6600.0,2.79,-161.5,53.3,169.8,"[np.float64(446.2), np.float64(-155.2), np.float64(-118.2), np.float64(-161.5), np.float64(890.6), np.float64(-152.4)]"
i4.0_w4_p0.236_s5.0_t30.0_htf20,4.0,4,0.236,5.0,30.0,20,6527,94.6,-42.2,8628.0,-1.9,-187.8,-26.2,-49.7,"[np.float64(-34.9), np.float64(-161.1), np.float64(-187.8), np.float64(-100.7), np.float64(357.5), np.float64(-124.2)]"
i4.0_w4_p0.236_s5.0_t30.0_htf40,4.0,4,0.236,5.0,30.0,40,7286,105.6,-104.0,10615.0,-4.21,-188.7,-95.0,-108.2,"[np.float64(-155.3), np.float64(-188.7), np.float64(-178.8), np.float64(-181.4), np.float64(241.1), np.float64(-149.8)]"
i4.0_w4_p0.236_s5.0_t44.0_htf0,4.0,4,0.236,5.0,44.0,0,10300,149.3,199.5,5492.0,3.68,-159.9,89.9,250.8,"[np.float64(618.5), np.float64(-129.3), np.float64(-63.2), np.float64(-77.4), np.float64(952.0), np.float64(-159.9)]"
i4.0_w4_p0.236_s5.0_t44.0_htf20,4.0,4,0.236,5.0,44.0,20,6446,93.4,-63.0,9081.0,-2.6,-196.6,-77.3,-56.3,"[np.float64(-44.5), np.float64(-176.3), np.float64(-196.6), np.float64(-65.0), np.float64(294.4), np.float64(-179.6)]"
i4.0_w4_p0.236_s5.0_t44.0_htf40,4.0,4,0.236,5.0,44.0,40,7193,104.2,-131.7,11644.0,-4.93,-238.2,-165.7,-115.8,"[np.float64(-238.2), np.float64(-196.1), np.float64(-165.0), np.float64(-205.2), np.float64(181.2), np.float64(-151.1)]"
i4.0_w4_p0.236_s8.0_t20.0_htf0,4.0,4,0.236,8.0,20.0,0,10768,156.1,-88.6,11829.0,-2.82,-298.8,-150.3,-59.7,"[np.float64(-140.9), np.float64(-231.1), np.float64(-188.5), np.float64(-298.8), np.float64(384.7), np.float64(-59.7)]"
i4.0_w4_p0.236_s8.0_t20.0_htf20,4.0,4,0.236,8.0,20.0,20,6385,92.5,-52.8,8899.0,-2.64,-205.2,-41.2,-58.2,"[np.float64(-58.2), np.float64(-205.2), np.float64(-203.2), np.float64(-49.5), np.float64(259.5), np.float64(-50.9)]"
i4.0_w4_p0.236_s8.0_t20.0_htf40,4.0,4,0.236,8.0,20.0,40,7045,102.1,-118.0,11204.0,-5.1,-229.1,-136.6,-109.3,"[np.float64(-229.1), np.float64(-227.1), np.float64(-217.0), np.float64(-149.9), np.float64(213.4), np.float64(-81.2)]"
