name,trades,trades_per_day,wr,net,per_day,per_trade,max_dd,worst_day,best_day,sharpe,n_days,pos_d,neg_d
T41_SRR_lk20_sw8_s5t20,20,1.4,0.3500,96.55,6.90,4.827,53.29,-26.83,101.36,0.287,8,3,5
T16_ORB_w5_o2200_s8t24,3,0.2,0.6667,73.27,5.23,24.423,18.91,-18.91,46.09,0.651,3,2,1
T22_CME_DRV_w5_s8t24,3,0.2,0.6667,73.27,5.23,24.423,18.91,-18.91,46.09,0.651,3,2,1
T41_SRR_lk30_sw8_s5t20,18,1.3,0.3333,71.65,5.12,3.981,67.16,-26.33,101.36,0.203,8,3,5
T54_MTF_imp6_pp382_s5t20_INV,647,46.2,0.2875,70.98,5.07,0.110,478.95,-220.40,335.45,0.040,13,6,7
T44_VRP_v10-30_s5t15,70,5.0,0.4429,55.10,3.94,0.787,87.70,-38.73,48.00,0.211,9,6,3
T41_SRR_lk50_sw8_s5t20,13,0.9,0.3077,36.17,2.58,2.782,51.64,-25.82,63.27,0.164,6,2,4
T16_ORB_w60_o1430_s10t30,2,0.1,0.5000,35.08,2.51,17.538,23.01,-23.01,58.09,0.306,2,1,1
T16_ORB_w10_o1330_s8t24,2,0.1,0.5000,27.18,1.94,13.590,18.91,-18.91,46.09,0.296,2,1,1
T16_ORB_w30_o1430_s8t24,2,0.1,0.5000,27.18,1.94,13.590,18.91,-18.91,46.09,0.296,2,1,1
T16_ORB_w60_o1430_s8t24,2,0.1,0.5000,27.18,1.94,13.590,18.91,-18.91,46.09,0.296,2,1,1
T16_ORB_w5_o2200_s10t30,2,0.1,0.5000,25.22,1.80,12.609,22.91,-22.91,48.13,0.251,2,1,1
T41_SRR_lk50_sw8_s5t15,14,1.0,0.3571,24.26,1.73,1.733,51.64,-25.82,56.18,0.111,7,3,4
T16_ORB_w60_o1330_s10t30,1,0.1,1.0000,20.00,1.43,20.000,0.00,20.00,20.00,0.000,1,1,0
T16_ORB_w60_o1430_s5t15,2,0.1,0.5000,15.18,1.08,7.590,12.91,-12.91,28.09,0.262,2,1,1
T16_ORB_w30_o1430_s10t30,3,0.2,0.3333,12.27,0.88,4.090,45.82,-22.91,58.09,0.087,3,1,2
T24_NYO_DRV_w10_s5t20,3,0.2,0.3333,12.27,0.88,4.090,25.82,-12.91,38.09,0.139,3,1,2
T50_PIV_S1_fade_s5t20,31,2.2,0.3548,11.42,0.82,0.369,116.57,-77.54,60.66,0.036,5,3,2
