tag,side,entry_ts,exit_ts,entry_px,exit_px,stop_px,target_px,exit_reason,hold_bars_actual,pnl_pts,pnl_usd
HOLD_12H_17UTC_LONG,LONG,2024-01-02 17:00:00+00:00,2024-01-03 06:45:00+00:00,16604.71,16541.56,,,timeout,720,-63.14999999999782,-127.03999999999563
HOLD_12H_17UTC_LONG,LONG,2024-01-03 17:00:00+00:00,2024-01-04 06:45:00+00:00,16389.731,16390.04,,,timeout,720,0.30900000000110595,-0.1219999999977881
HOLD_12H_17UTC_LONG,LONG,2024-01-04 17:00:00+00:00,2024-01-05 06:45:00+00:00,16362.325,16247.875,,,timeout,720,-114.45000000000073,-229.64000000000146
HOLD_12H_17UTC_LONG,LONG,2024-01-05 17:00:00+00:00,2024-01-08 06:45:00+00:00,16357.67,16275.325,,,timeout,720,-82.34499999999935,-165.4299999999987
HOLD_12H_17UTC_LONG,LONG,2024-01-08 17:00:00+00:00,2024-01-09 06:45:00+00:00,16521.28,16630.11,,,timeout,720,108.83000000000175,216.92000000000348
HOLD_12H_17UTC_LONG,LONG,2024-01-09 17:00:00+00:00,2024-01-10 06:45:00+00:00,16683.36,16674.1,,,timeout,720,-9.260000000002037,-19.260000000004073
HOLD_12H_17UTC_LONG,LONG,2024-01-10 17:00:00+00:00,2024-01-11 06:45:00+00:00,16729.195,16860.965,,,timeout,720,131.77000000000044,262.80000000000086
HOLD_12H_17UTC_LONG,LONG,2024-01-11 17:00:00+00:00,2024-01-12 06:45:00+00:00,16634.331,16810.555,,,timeout,720,176.22400000000198,351.70800000000395
HOLD_12H_17UTC_LONG,LONG,2024-01-12 17:00:00+00:00,2024-01-15 06:45:00+00:00,16790.231,16870.77,,,timeout,720,80.53900000000067,160.33800000000133
HOLD_12H_17UTC_LONG,LONG,2024-01-15 17:00:00+00:00,2024-01-16 10:00:00+00:00,16824.784,16712.834,,,timeout,720,-111.95000000000073,-224.64000000000146
HOLD_12H_17UTC_LONG,LONG,2024-01-16 17:00:00+00:00,2024-01-17 06:45:00+00:00,16814.623,16706.055,,,timeout,720,-108.5679999999993,-217.8759999999986
HOLD_12H_17UTC_LONG,LONG,2024-01-17 17:00:00+00:00,2024-01-18 06:45:00+00:00,16682.45,16768.656,,,timeout,720,86.20599999999831,171.67199999999661
HOLD_12H_17UTC_LONG,LONG,2024-01-18 17:00:00+00:00,2024-01-19 06:45:00+00:00,16952.59,17034.75,,,timeout,720,82.15999999999985,163.5799999999997
HOLD_12H_17UTC_LONG,LONG,2024-01-19 17:00:00+00:00,2024-01-22 06:45:00+00:00,17141.046,17414.017,,,timeout,720,272.97100000000137,545.2020000000027
HOLD_12H_17UTC_LONG,LONG,2024-01-22 17:00:00+00:00,2024-01-23 06:45:00+00:00,17381.904,17344.894,,,timeout,720,-37.0099999999984,-74.7599999999968
HOLD_12H_17UTC_LONG,LONG,2024-01-23 17:00:00+00:00,2024-01-24 06:45:00+00:00,17343.495,17493.272,,,timeout,720,149.77700000000186,298.8140000000037
HOLD_12H_17UTC_LONG,LONG,2024-01-24 17:00:00+00:00,2024-01-25 06:45:00+00:00,17626.473,17506.555,,,timeout,720,-119.91800000000148,-240.57600000000298
HOLD_12H_17UTC_LONG,LONG,2024-01-25 17:00:00+00:00,2024-01-26 06:45:00+00:00,17606.078,17386.329,,,timeout,720,-219.7489999999998,-440.2379999999996
HOLD_12H_17UTC_LONG,LONG,2024-01-26 17:00:00+00:00,2024-01-29 06:45:00+00:00,17497.405,17432.722,,,timeout,720,-64.68299999999726,-130.10599999999454
HOLD_12H_17UTC_LONG,LONG,2024-01-29 17:00:00+00:00,2024-01-30 06:45:00+00:00,17472.344,17598.173,,,timeout,720,125.8289999999979,250.9179999999958
HOLD_12H_17UTC_LONG,LONG,2024-01-30 17:00:00+00:00,2024-01-31 06:45:00+00:00,17533.333,17328.372,,,timeout,720,-204.96099999999933,-410.66199999999867
HOLD_12H_17UTC_LONG,LONG,2024-01-31 17:00:00+00:00,2024-02-01 06:45:00+00:00,17239.516,17199.751,,,timeout,720,-39.76499999999942,-80.26999999999883
HOLD_12H_17UTC_LONG,LONG,2024-02-01 17:00:00+00:00,2024-02-02 06:45:00+00:00,17232.505,17517.417,,,timeout,720,284.91200000000026,569.0840000000005
HOLD_12H_17UTC_LONG,LONG,2024-02-02 17:00:00+00:00,2024-02-05 06:45:00+00:00,17613.31,17606.962,,,timeout,720,-6.348000000001775,-13.43600000000355
HOLD_12H_17UTC_LONG,LONG,2024-02-05 17:00:00+00:00,2024-02-06 06:45:00+00:00,17571.947,17650.338,,,timeout,720,78.39099999999962,156.04199999999923
HOLD_12H_17UTC_LONG,LONG,2024-02-06 17:00:00+00:00,2024-02-07 06:45:00+00:00,17501.029,17560.633,,,timeout,720,59.604000000003,118.468000000006
HOLD_12H_17UTC_LONG,LONG,2024-02-07 17:00:00+00:00,2024-02-08 06:45:00+00:00,17756.368,17767.145,,,timeout,720,10.777000000001863,20.814000000003727
HOLD_12H_17UTC_LONG,LONG,2024-02-08 17:00:00+00:00,2024-02-09 06:45:00+00:00,17807.228,17783.972,,,timeout,720,-23.255999999997584,-47.25199999999517
