n,tr_day,wr,per_day,per_trade,total,maxDD,sharpe,worst_q,pos_yrs,n_yrs,worst_yr,name
771,1.0,55.8,33.8,33.8,26049.0,10740.0,1.47,-5602.0,4,4,295.0,3min_N16_w21_v0.5_re0
771,1.0,55.8,33.8,33.8,26049.0,10740.0,1.47,-5602.0,4,4,295.0,3min_N16_w21_v0.5_re1
768,1.0,55.9,33.6,33.6,25784.0,10727.0,1.46,-5586.0,4,4,324.0,3min_N16_w17_v0_re0
768,1.0,55.9,33.6,33.6,25784.0,10727.0,1.46,-5586.0,4,4,324.0,3min_N16_w17_v0_re1
766,1.0,55.9,33.7,33.7,25779.0,10724.0,1.46,-5586.0,4,4,327.0,3min_N16_w17_v0.5_re0
766,1.0,55.9,33.7,33.7,25779.0,10724.0,1.46,-5586.0,4,4,327.0,3min_N16_w17_v0.5_re1
739,1.0,56.3,36.4,36.4,26886.0,11378.0,1.56,-6054.0,3,4,-327.0,3min_N16_w16_v0_re0
739,1.0,56.3,36.4,36.4,26886.0,11378.0,1.56,-6054.0,3,4,-327.0,3min_N16_w16_v0_re1
737,1.0,56.3,36.5,36.5,26881.0,11374.0,1.56,-6054.0,3,4,-324.0,3min_N16_w16_v0.5_re0
737,1.0,56.3,36.5,36.5,26881.0,11374.0,1.56,-6054.0,3,4,-324.0,3min_N16_w16_v0.5_re1
773,1.0,56.4,33.6,33.6,25944.0,9727.0,1.47,-5143.0,4,4,700.0,3min_N20_w21_v0_re0
773,1.0,56.4,33.6,33.6,25944.0,9727.0,1.47,-5143.0,4,4,700.0,3min_N20_w21_v0_re1
769,1.0,56.3,33.7,33.7,25902.0,9769.0,1.47,-5069.0,4,4,657.0,3min_N20_w21_v0.5_re0
769,1.0,56.3,33.7,33.7,25902.0,9769.0,1.47,-5069.0,4,4,657.0,3min_N20_w21_v0.5_re1
765,1.0,56.2,32.7,32.7,25026.0,9886.0,1.42,-5175.0,4,4,556.0,3min_N20_w17_v0_re0
765,1.0,56.2,32.7,32.7,25026.0,9886.0,1.42,-5175.0,4,4,556.0,3min_N20_w17_v0_re1
760,1.0,56.3,33.0,33.0,25117.0,9796.0,1.43,-5098.0,4,4,646.0,3min_N20_w17_v0.5_re0
760,1.0,56.3,33.0,33.0,25117.0,9796.0,1.43,-5098.0,4,4,646.0,3min_N20_w17_v0.5_re1
725,1.0,56.6,34.8,34.8,25209.0,10719.0,1.49,-6020.0,3,4,-278.0,3min_N20_w16_v0_re0
725,1.0,56.6,34.8,34.8,25209.0,10719.0,1.49,-6020.0,3,4,-278.0,3min_N20_w16_v0_re1
721,1.0,56.6,35.0,35.0,25223.0,10707.0,1.5,-6020.0,3,4,-265.0,3min_N20_w16_v0.5_re0
721,1.0,56.6,35.0,35.0,25223.0,10707.0,1.5,-6020.0,3,4,-265.0,3min_N20_w16_v0.5_re1
773,1.0,55.8,30.3,30.3,23416.0,9735.0,1.33,-5205.0,4,4,304.0,3min_N24_w21_v0_re0
773,1.0,55.8,30.3,30.3,23416.0,9735.0,1.33,-5205.0,4,4,304.0,3min_N24_w21_v0_re1
769,1.0,55.8,30.4,30.4,23353.0,9733.0,1.33,-5086.0,4,4,306.0,3min_N24_w21_v0.5_re0
769,1.0,55.8,30.4,30.4,23353.0,9733.0,1.33,-5086.0,4,4,306.0,3min_N24_w21_v0.5_re1
759,1.0,55.5,29.0,29.0,22022.0,9773.0,1.27,-5115.0,4,4,282.0,3min_N24_w17_v0_re0
759,1.0,55.5,29.0,29.0,22022.0,9773.0,1.27,-5115.0,4,4,282.0,3min_N24_w17_v0_re1
755,1.0,55.6,29.2,29.2,22046.0,9760.0,1.27,-5115.0,4,4,294.0,3min_N24_w17_v0.5_re0
755,1.0,55.6,29.2,29.2,22046.0,9760.0,1.27,-5115.0,4,4,294.0,3min_N24_w17_v0.5_re1
699,1.0,55.7,30.5,30.5,21291.0,10759.0,1.29,-6092.0,3,4,-705.0,3min_N24_w16_v0_re0
699,1.0,55.7,30.5,30.5,21291.0,10759.0,1.29,-6092.0,3,4,-705.0,3min_N24_w16_v0_re1
695,1.0,55.8,30.7,30.7,21315.0,10747.0,1.3,-6092.0,3,4,-692.0,3min_N24_w16_v0.5_re0
695,1.0,55.8,30.7,30.7,21315.0,10747.0,1.3,-6092.0,3,4,-692.0,3min_N24_w16_v0.5_re1
772,1.0,55.1,36.8,36.8,28419.0,6855.0,1.67,-622.0,4,4,3030.0,3min_N32_w21_v0_re0
772,1.0,55.1,36.8,36.8,28419.0,6855.0,1.67,-622.0,4,4,3030.0,3min_N32_w21_v0_re1
765,1.0,55.4,35.6,35.6,27253.0,6995.0,1.67,-792.0,4,4,3045.0,3min_N32_w21_v0.5_re0
765,1.0,55.4,35.6,35.6,27253.0,6995.0,1.67,-792.0,4,4,3045.0,3min_N32_w21_v0.5_re1
734,1.0,55.0,36.7,36.7,26969.0,5836.0,1.64,-972.0,4,4,2876.0,3min_N32_w17_v0_re0
734,1.0,55.0,36.7,36.7,26969.0,5836.0,1.64,-972.0,4,4,2876.0,3min_N32_w17_v0_re1
729,1.0,55.3,32.0,32.0,23320.0,5824.0,1.54,-972.0,4,4,2891.0,3min_N32_w17_v0.5_re0
729,1.0,55.3,32.0,32.0,23320.0,5824.0,1.54,-972.0,4,4,2891.0,3min_N32_w17_v0.5_re1
651,1.0,55.3,33.1,33.1,21550.0,6228.0,1.53,-1395.0,4,4,2215.0,3min_N32_w16_v0_re0
651,1.0,55.3,33.1,33.1,21550.0,6228.0,1.53,-1395.0,4,4,2215.0,3min_N32_w16_v0_re1
648,1.0,55.6,33.3,33.3,21576.0,6215.0,1.54,-1395.0,4,4,2228.0,3min_N32_w16_v0.5_re0
648,1.0,55.6,33.3,33.3,21576.0,6215.0,1.54,-1395.0,4,4,2228.0,3min_N32_w16_v0.5_re1
774,1.0,53.0,23.4,23.4,18106.0,8511.0,0.95,-5585.0,4,4,367.0,5min_N6_w21_v0_re0
774,1.0,53.0,23.4,23.4,18106.0,8511.0,0.95,-5585.0,4,4,367.0,5min_N6_w21_v0_re1
773,1.0,53.2,23.4,23.4,18061.0,8511.0,0.95,-5585.0,4,4,581.0,5min_N6_w21_v0.5_re0
773,1.0,53.2,23.4,23.4,18061.0,8511.0,0.95,-5585.0,4,4,581.0,5min_N6_w21_v0.5_re1
773,1.0,52.9,23.3,23.3,17994.0,8511.0,0.95,-5585.0,4,4,367.0,5min_N6_w17_v0_re0
773,1.0,52.9,23.3,23.3,17994.0,8511.0,0.95,-5585.0,4,4,367.0,5min_N6_w17_v0_re1
771,1.0,53.0,23.3,23.3,17995.0,8511.0,0.95,-5585.0,4,4,556.0,5min_N6_w17_v0.5_re0
771,1.0,53.0,23.3,23.3,17995.0,8511.0,0.95,-5585.0,4,4,556.0,5min_N6_w17_v0.5_re1
763,1.0,53.3,25.6,25.6,19511.0,7658.0,1.04,-4732.0,4,4,426.0,5min_N6_w16_v0_re0
763,1.0,53.3,25.6,25.6,19511.0,7658.0,1.04,-4732.0,4,4,426.0,5min_N6_w16_v0_re1
762,1.0,53.4,25.4,25.4,19323.0,7658.0,1.03,-4732.0,4,4,426.0,5min_N6_w16_v0.5_re0
762,1.0,53.4,25.4,25.4,19323.0,7658.0,1.03,-4732.0,4,4,426.0,5min_N6_w16_v0.5_re1
774,1.0,54.3,26.8,26.8,20749.0,6618.0,1.11,-2568.0,4,4,799.0,5min_N8_w21_v0_re0
774,1.0,54.3,26.8,26.8,20749.0,6618.0,1.11,-2568.0,4,4,799.0,5min_N8_w21_v0_re1
773,1.0,54.5,26.8,26.8,20704.0,6618.0,1.11,-2568.0,4,4,1012.0,5min_N8_w21_v0.5_re0
773,1.0,54.5,26.8,26.8,20704.0,6618.0,1.11,-2568.0,4,4,1012.0,5min_N8_w21_v0.5_re1
770,1.0,54.0,26.4,26.4,20307.0,6618.0,1.09,-2702.0,4,4,799.0,5min_N8_w17_v0_re0
770,1.0,54.0,26.4,26.4,20307.0,6618.0,1.09,-2702.0,4,4,799.0,5min_N8_w17_v0_re1
768,1.0,54.2,26.4,26.4,20308.0,6618.0,1.09,-2702.0,4,4,988.0,5min_N8_w17_v0.5_re0
768,1.0,54.2,26.4,26.4,20308.0,6618.0,1.09,-2702.0,4,4,988.0,5min_N8_w17_v0.5_re1
753,1.0,54.1,25.5,25.5,19175.0,6795.0,1.05,-2985.0,4,4,857.0,5min_N8_w16_v0_re0
753,1.0,54.1,25.5,25.5,19175.0,6795.0,1.05,-2985.0,4,4,857.0,5min_N8_w16_v0_re1
752,1.0,54.1,25.2,25.2,18987.0,6795.0,1.04,-2985.0,4,4,857.0,5min_N8_w16_v0.5_re0
752,1.0,54.1,25.2,25.2,18987.0,6795.0,1.04,-2985.0,4,4,857.0,5min_N8_w16_v0.5_re1
774,1.0,55.0,27.7,27.7,21403.0,7090.0,1.16,-2698.0,4,4,669.0,5min_N10_w21_v0_re0
774,1.0,55.0,27.7,27.7,21403.0,7090.0,1.16,-2698.0,4,4,669.0,5min_N10_w21_v0_re1
773,1.0,55.2,27.6,27.6,21357.0,7157.0,1.16,-2698.0,4,4,882.0,5min_N10_w21_v0.5_re0
773,1.0,55.2,27.6,27.6,21357.0,7157.0,1.16,-2698.0,4,4,882.0,5min_N10_w21_v0.5_re1
765,1.0,54.8,27.3,27.3,20895.0,7203.0,1.14,-2760.0,4,4,669.0,5min_N10_w17_v0_re0
765,1.0,54.8,27.3,27.3,20895.0,7203.0,1.14,-2760.0,4,4,669.0,5min_N10_w17_v0_re1
763,1.0,54.9,27.4,27.4,20896.0,7198.0,1.14,-2760.0,4,4,858.0,5min_N10_w17_v0.5_re0
763,1.0,54.9,27.4,27.4,20896.0,7198.0,1.14,-2760.0,4,4,858.0,5min_N10_w17_v0.5_re1
732,1.0,55.2,28.1,28.1,20577.0,7821.0,1.16,-3255.0,4,4,1476.0,5min_N10_w16_v0_re0
732,1.0,55.2,28.1,28.1,20577.0,7821.0,1.16,-3255.0,4,4,1476.0,5min_N10_w16_v0_re1
731,1.0,55.3,27.9,27.9,20390.0,7817.0,1.15,-3255.0,4,4,1476.0,5min_N10_w16_v0.5_re0
731,1.0,55.3,27.9,27.9,20390.0,7817.0,1.15,-3255.0,4,4,1476.0,5min_N10_w16_v0.5_re1
774,1.0,56.3,31.5,31.5,24373.0,6266.0,1.33,-1868.0,4,4,2834.0,5min_N12_w21_v0_re0
774,1.0,56.3,31.5,31.5,24373.0,6266.0,1.33,-1868.0,4,4,2834.0,5min_N12_w21_v0_re1
773,1.0,56.5,31.5,31.5,24327.0,6319.0,1.33,-1868.0,4,4,3048.0,5min_N12_w21_v0.5_re0
773,1.0,56.5,31.5,31.5,24327.0,6319.0,1.33,-1868.0,4,4,3048.0,5min_N12_w21_v0.5_re1
760,1.0,56.1,30.9,30.9,23448.0,6378.0,1.29,-1930.0,4,4,2686.0,5min_N12_w17_v0_re0
760,1.0,56.1,30.9,30.9,23448.0,6378.0,1.29,-1930.0,4,4,2686.0,5min_N12_w17_v0_re1
758,1.0,56.2,30.9,30.9,23448.0,6360.0,1.3,-1930.0,4,4,2875.0,5min_N12_w17_v0.5_re0
758,1.0,56.2,30.9,30.9,23448.0,6360.0,1.3,-1930.0,4,4,2875.0,5min_N12_w17_v0.5_re1
714,1.0,56.2,28.9,28.9,20625.0,8001.0,1.19,-3306.0,4,4,1683.0,5min_N12_w16_v0_re0
714,1.0,56.2,28.9,28.9,20625.0,8001.0,1.19,-3306.0,4,4,1683.0,5min_N12_w16_v0_re1
713,1.0,56.2,28.7,28.7,20437.0,7983.0,1.18,-3306.0,4,4,1702.0,5min_N12_w16_v0.5_re0
713,1.0,56.2,28.7,28.7,20437.0,7983.0,1.18,-3306.0,4,4,1702.0,5min_N12_w16_v0.5_re1
771,1.0,55.9,27.9,27.9,21501.0,5983.0,1.18,-2257.0,4,4,2190.0,5min_N16_w21_v0_re0
771,1.0,55.9,27.9,27.9,21501.0,5983.0,1.18,-2257.0,4,4,2190.0,5min_N16_w21_v0_re1
769,1.0,56.2,27.9,27.9,21470.0,5983.0,1.18,-2257.0,4,4,2296.0,5min_N16_w21_v0.5_re0
769,1.0,56.2,27.9,27.9,21470.0,5983.0,1.18,-2257.0,4,4,2296.0,5min_N16_w21_v0.5_re1
734,1.0,56.1,28.4,28.4,20861.0,5879.0,1.18,-2165.0,4,4,2345.0,5min_N16_w17_v0_re0
734,1.0,56.1,28.4,28.4,20861.0,5879.0,1.18,-2165.0,4,4,2345.0,5min_N16_w17_v0_re1
731,1.0,56.4,28.6,28.6,20877.0,5879.0,1.19,-2165.0,4,4,2549.0,5min_N16_w17_v0.5_re0
731,1.0,56.4,28.6,28.6,20877.0,5879.0,1.19,-2165.0,4,4,2549.0,5min_N16_w17_v0.5_re1
662,1.0,56.0,26.5,26.5,17520.0,7459.0,1.07,-3171.0,4,4,905.0,5min_N16_w16_v0_re0
662,1.0,56.0,26.5,26.5,17520.0,7459.0,1.07,-3171.0,4,4,905.0,5min_N16_w16_v0_re1
661,1.0,56.1,26.2,26.2,17332.0,7440.0,1.06,-3171.0,4,4,923.0,5min_N16_w16_v0.5_re0
661,1.0,56.1,26.2,26.2,17332.0,7440.0,1.06,-3171.0,4,4,923.0,5min_N16_w16_v0.5_re1
769,1.0,55.1,34.1,34.1,26234.0,6519.0,1.49,-1024.0,4,4,1901.0,5min_N20_w21_v0_re0
769,1.0,55.1,34.1,34.1,26234.0,6519.0,1.49,-1024.0,4,4,1901.0,5min_N20_w21_v0_re1
766,1.0,55.4,33.9,33.9,25952.0,6572.0,1.48,-1024.0,4,4,1862.0,5min_N20_w21_v0.5_re0
766,1.0,55.4,33.9,33.9,25952.0,6572.0,1.48,-1024.0,4,4,1862.0,5min_N20_w21_v0.5_re1
710,1.0,55.5,35.9,35.9,25523.0,5811.0,1.53,-1535.0,4,4,1917.0,5min_N20_w17_v0_re0
710,1.0,55.5,35.9,35.9,25523.0,5811.0,1.53,-1535.0,4,4,1917.0,5min_N20_w17_v0_re1
707,1.0,55.7,35.9,35.9,25366.0,5793.0,1.52,-1535.0,4,4,1932.0,5min_N20_w17_v0.5_re0
707,1.0,55.7,35.9,35.9,25366.0,5793.0,1.52,-1535.0,4,4,1932.0,5min_N20_w17_v0.5_re1
623,1.0,54.9,28.7,28.7,17887.0,5984.0,1.25,-2256.0,4,4,2092.0,5min_N20_w16_v0_re0
623,1.0,54.9,28.7,28.7,17887.0,5984.0,1.25,-2256.0,4,4,2092.0,5min_N20_w16_v0_re1
621,1.0,55.1,28.5,28.5,17715.0,5966.0,1.24,-2256.0,4,4,2092.0,5min_N20_w16_v0.5_re0
621,1.0,55.1,28.5,28.5,17715.0,5966.0,1.24,-2256.0,4,4,2092.0,5min_N20_w16_v0.5_re1
769,1.0,54.7,28.2,28.2,21707.0,6805.0,1.23,-2536.0,4,4,1278.0,5min_N24_w21_v0_re0
769,1.0,54.7,28.2,28.2,21707.0,6805.0,1.23,-2536.0,4,4,1278.0,5min_N24_w21_v0_re1
766,1.0,55.0,28.0,28.0,21440.0,6858.0,1.22,-2536.0,4,4,1253.0,5min_N24_w21_v0.5_re0
766,1.0,55.0,28.0,28.0,21440.0,6858.0,1.22,-2536.0,4,4,1253.0,5min_N24_w21_v0.5_re1
690,1.0,55.5,32.5,32.5,22394.0,5717.0,1.37,-2172.0,4,4,1682.0,5min_N24_w17_v0_re0
690,1.0,55.5,32.5,32.5,22394.0,5717.0,1.37,-2172.0,4,4,1682.0,5min_N24_w17_v0_re1
687,1.0,55.7,32.4,32.4,22238.0,5699.0,1.36,-2172.0,4,4,1697.0,5min_N24_w17_v0.5_re0
687,1.0,55.7,32.4,32.4,22238.0,5699.0,1.36,-2172.0,4,4,1697.0,5min_N24_w17_v0.5_re1
611,1.0,55.2,27.3,27.3,16661.0,6046.0,1.18,-2400.0,4,4,1897.0,5min_N24_w16_v0_re0
611,1.0,55.2,27.3,27.3,16661.0,6046.0,1.18,-2400.0,4,4,1897.0,5min_N24_w16_v0_re1
609,1.0,55.3,27.1,27.1,16489.0,6028.0,1.17,-2400.0,4,4,1681.0,5min_N24_w16_v0.5_re0
609,1.0,55.3,27.1,27.1,16489.0,6028.0,1.17,-2400.0,4,4,1681.0,5min_N24_w16_v0.5_re1
763,1.0,54.4,31.0,31.0,23633.0,6082.0,1.4,-1135.0,4,4,1969.0,5min_N32_w21_v0_re0
763,1.0,54.4,31.0,31.0,23633.0,6082.0,1.4,-1135.0,4,4,1969.0,5min_N32_w21_v0_re1
760,1.0,54.5,30.8,30.8,23380.0,6146.0,1.39,-1135.0,4,4,1969.0,5min_N32_w21_v0.5_re0
760,1.0,54.5,30.8,30.8,23380.0,6146.0,1.39,-1135.0,4,4,1969.0,5min_N32_w21_v0.5_re1
651,1.0,55.0,29.4,29.4,19168.0,5265.0,1.34,-1325.0,4,4,1548.0,5min_N32_w17_v0_re0
651,1.0,55.0,29.4,29.4,19168.0,5265.0,1.34,-1325.0,4,4,1548.0,5min_N32_w17_v0_re1
649,1.0,55.2,29.3,29.3,18996.0,5246.0,1.33,-1325.0,4,4,1548.0,5min_N32_w17_v0.5_re0
649,1.0,55.2,29.3,29.3,18996.0,5246.0,1.33,-1325.0,4,4,1548.0,5min_N32_w17_v0.5_re1
581,1.0,54.6,26.4,26.4,15348.0,5230.0,1.18,-1062.0,4,4,1890.0,5min_N32_w16_v0_re0
581,1.0,54.6,26.4,26.4,15348.0,5230.0,1.18,-1062.0,4,4,1890.0,5min_N32_w16_v0_re1
579,1.0,54.7,26.2,26.2,15177.0,5224.0,1.17,-1062.0,4,4,1890.0,5min_N32_w16_v0.5_re0
579,1.0,54.7,26.2,26.2,15177.0,5224.0,1.17,-1062.0,4,4,1890.0,5min_N32_w16_v0.5_re1
772,1.0,55.3,32.7,32.7,25215.0,5759.0,1.41,-1898.0,4,4,1738.0,10min_N6_w21_v0_re0
772,1.0,55.3,32.7,32.7,25215.0,5759.0,1.41,-1898.0,4,4,1738.0,10min_N6_w21_v0_re1
763,1.0,55.4,29.7,29.7,22680.0,7256.0,1.28,-1828.0,4,4,1698.0,10min_N6_w21_v0.5_re0
763,1.0,55.4,29.7,29.7,22680.0,7256.0,1.28,-1828.0,4,4,1698.0,10min_N6_w21_v0.5_re1
742,1.0,55.1,30.9,30.9,22948.0,6215.0,1.32,-2127.0,4,4,1646.0,10min_N6_w17_v0_re0
742,1.0,55.1,30.9,30.9,22948.0,6215.0,1.32,-2127.0,4,4,1646.0,10min_N6_w17_v0_re1
732,1.0,55.2,28.0,28.0,20515.0,7604.0,1.19,-2057.0,4,4,1252.0,10min_N6_w17_v0.5_re0
732,1.0,55.2,28.0,28.0,20515.0,7604.0,1.19,-2057.0,4,4,1252.0,10min_N6_w17_v0.5_re1
683,1.0,55.8,29.3,29.3,20000.0,8189.0,1.22,-3154.0,4,4,855.0,10min_N6_w16_v0_re0
683,1.0,55.8,29.3,29.3,20000.0,8189.0,1.22,-3154.0,4,4,855.0,10min_N6_w16_v0_re1
670,1.0,55.8,26.1,26.1,17466.0,9578.0,1.08,-3084.0,3,4,-996.0,10min_N6_w16_v0.5_re0
670,1.0,55.8,26.1,26.1,17466.0,9578.0,1.08,-3084.0,3,4,-996.0,10min_N6_w16_v0.5_re1
768,1.0,54.0,34.1,34.1,26164.0,7014.0,1.5,-725.0,4,4,994.0,10min_N8_w21_v0_re0
768,1.0,54.0,34.1,34.1,26164.0,7014.0,1.5,-725.0,4,4,994.0,10min_N8_w21_v0_re1
758,1.0,54.0,31.0,31.0,23510.0,8613.0,1.36,-2203.0,4,4,1024.0,10min_N8_w21_v0.5_re0
758,1.0,54.0,31.0,31.0,23510.0,8613.0,1.36,-2203.0,4,4,1024.0,10min_N8_w21_v0.5_re1
709,1.0,55.0,37.7,37.7,26698.0,6276.0,1.62,-1052.0,4,4,1596.0,10min_N8_w17_v0_re0
709,1.0,55.0,37.7,37.7,26698.0,6276.0,1.62,-1052.0,4,4,1596.0,10min_N8_w17_v0_re1
700,1.0,55.0,34.6,34.6,24255.0,7665.0,1.48,-2530.0,4,4,1626.0,10min_N8_w17_v0.5_re0
700,1.0,55.0,34.6,34.6,24255.0,7665.0,1.48,-2530.0,4,4,1626.0,10min_N8_w17_v0.5_re1
626,1.0,54.6,30.4,30.4,19040.0,6383.0,1.35,-1271.0,4,4,1750.0,10min_N8_w16_v0_re0
626,1.0,54.6,30.4,30.4,19040.0,6383.0,1.35,-1271.0,4,4,1750.0,10min_N8_w16_v0_re1
614,1.0,54.6,26.9,26.9,16497.0,7772.0,1.19,-2749.0,4,4,428.0,10min_N8_w16_v0.5_re0
