name,tf,net_wk,fees_wk,gross_wk,trades,trades_wk,sel_usd_wk,blind_usd_wk,sel_total,blind_total,win_pct
DIVG_3min_trail2.0_rth,3min,-301.0,49.0,-252.0,3902,25.0,-266.7,-336.8,-21340.0,-25643.0,33.1
ZF_3min_time5_all,3min,-138.9,147.4,8.5,11749,75.2,-219.5,-54.1,-17563.0,-4116.0,48.5
ZF_3min_time5_rth,3min,-31.3,45.5,14.2,3617,23.2,-86.7,26.9,-6936.0,2050.0,49.8
ZF_3min_time15_all,3min,-88.9,122.5,33.6,9753,62.5,-220.1,49.1,-17611.0,3741.0,49.5
ZF_3min_time15_rth,3min,-38.3,38.8,0.5,3092,19.8,-172.4,102.7,-13795.0,7817.0,49.1
ZF_3min_time40_all,3min,-114.9,72.5,-42.4,5783,37.0,-269.6,47.7,-21570.0,3631.0,48.5
ZF_3min_time40_rth,3min,-51.1,25.5,-25.6,2025,13.0,-202.7,108.2,-16215.0,8238.0,49.3
ZF_3min_trail2.0_all,3min,-713.1,163.5,-549.6,13029,83.4,-607.0,-824.2,-48557.0,-62758.0,30.4
ZF_3min_trail2.0_rth,3min,-343.4,52.3,-291.1,4167,26.7,-271.4,-418.8,-21708.0,-31891.0,31.7
ZJ_3min_time5_all,3min,-338.2,261.5,-76.7,20837,133.4,-377.8,-296.4,-30222.0,-22568.0,46.1
ZJ_3min_time5_rth,3min,-37.1,83.5,46.4,6659,42.6,-84.3,12.5,-6746.0,952.0,49.1
ZJ_3min_time15_all,3min,-208.9,165.2,-43.7,13160,84.3,-247.5,-168.2,-19796.0,-12809.0,47.7
ZJ_3min_time15_rth,3min,-34.9,54.5,19.6,4347,27.8,-59.2,-9.4,-4737.0,-714.0,49.3
ZJ_3min_time40_all,3min,-125.8,85.7,-40.1,6825,43.7,-118.0,-133.9,-9437.0,-10199.0,47.6
ZJ_3min_time40_rth,3min,-46.5,30.4,-16.1,2421,15.5,46.4,-144.1,3708.0,-10970.0,49.6
ZJ_3min_trail2.0_all,3min,-908.3,234.4,-673.9,18678,119.6,-794.9,-1027.0,-63593.0,-78199.0,31.9
ZJ_3min_trail2.0_rth,3min,-395.9,74.5,-321.4,5936,38.0,-332.9,-461.9,-26634.0,-35171.0,33.7
RPMR_3min_time5_all,3min,-319.4,283.6,-35.8,22594,144.7,-381.2,-254.2,-30499.0,-19353.0,47.6
RPMR_3min_time5_rth,3min,-123.6,94.9,-28.7,7565,48.4,-152.8,-92.9,-12222.0,-7077.0,48.2
RPMR_3min_time15_all,3min,-123.3,168.8,45.5,13449,86.1,-252.4,12.5,-20195.0,950.0,48.9
RPMR_3min_time15_rth,3min,-71.9,57.0,-14.9,4550,29.1,-208.2,71.3,-16658.0,5430.0,48.4
RPMR_3min_time40_all,3min,-118.2,87.2,-31.0,6948,44.5,-191.4,-41.1,-15315.0,-3131.0,48.8
RPMR_3min_time40_rth,3min,-54.5,31.2,-23.3,2475,15.9,-123.4,17.9,-9874.0,1361.0,49.3
RPMR_3min_trail2.0_all,3min,-1065.6,268.1,-797.5,21357,136.8,-966.1,-1169.5,-77288.0,-89052.0,31.4
RPMR_3min_trail2.0_rth,3min,-490.7,88.2,-402.5,7029,45.0,-456.8,-526.2,-36542.0,-40063.0,32.8
RPMO_3min_time5_all,3min,-392.8,283.6,-109.2,22594,144.7,-336.1,-452.1,-26887.0,-34423.0,45.1
RPMO_3min_time5_rth,3min,-114.8,94.9,-19.9,7565,48.4,-87.6,-143.3,-7010.0,-10910.0,47.8
RPMO_3min_time15_all,3min,-300.6,168.8,-131.8,13449,86.1,-172.5,-435.1,-13798.0,-33127.0,47.1
RPMO_3min_time15_rth,3min,-71.5,57.0,-14.5,4550,29.1,64.6,-214.4,5165.0,-16322.0,49.3
RPMO_3min_time40_all,3min,-100.8,87.2,-13.6,6948,44.5,-28.2,-177.1,-2255.0,-13483.0,48.4
RPMO_3min_time40_rth,3min,-23.5,31.2,7.7,2475,15.9,45.1,-95.5,3606.0,-7270.0,49.4
RPMO_3min_trail2.0_all,3min,-1049.1,224.8,-824.3,17917,114.7,-852.8,-1254.7,-68226.0,-95533.0,30.6
RPMO_3min_trail2.0_rth,3min,-461.3,72.5,-388.8,5779,37.0,-360.2,-567.3,-28812.0,-43193.0,32.1
CHOPB_3min_time5_all,3min,-54.2,25.7,-28.5,2050,13.1,-29.4,-80.1,-2353.0,-6103.0,43.9
CHOPB_3min_time5_rth,3min,-28.3,9.2,-19.1,727,4.7,1.4,-59.5,110.0,-4533.0,44.8
CHOPB_3min_time15_all,3min,-30.2,21.0,-9.2,1674,10.7,7.5,-69.7,596.0,-5304.0,46.8
CHOPB_3min_time15_rth,3min,-0.4,7.3,6.9,575,3.7,39.7,-42.5,3173.0,-3235.0,48.9
CHOPB_3min_time40_all,3min,-43.2,17.6,-25.6,1399,9.0,-28.2,-58.9,-2255.0,-4489.0,49.5
CHOPB_3min_time40_rth,3min,-2.5,6.1,3.6,487,3.1,2.1,-7.4,168.0,-562.0,50.5
