date,close
2023-02-15,12687.89356894175
2023-02-16,12442.48063825075
2023-02-17,12358.18488945432
2023-02-21,12060.2983832331
2023-02-22,12066.27182303612
2023-02-23,12180.13996434736
2023-02-24,11969.651998091
2023-02-27,12057.78835428847
2023-02-28,12042.11647933587
2023-03-01,11938.56660707314
2023-03-02,12044.86908702728
2023-03-03,12290.80724226552
2023-03-06,12302.48444421607
2023-03-07,12152.17006352639
2023-03-08,12215.332571401
2023-03-09,11995.88235998666
2023-03-10,11830.28178808306
2023-03-13,11923.16717411544
2023-03-14,12199.78646849645
2023-03-15,12251.32123450554
2023-03-16,12581.39017409703
2023-03-17,12519.87537150916
2023-03-20,12562.60737888998
2023-03-21,12741.43723469103
2023-03-22,12567.15115251514
2023-03-23,12729.23276479417
2023-03-24,12767.04752267372
2023-03-27,12673.06939037384
2023-03-28,12610.56902910471
2023-03-29,12846.03138547273
2023-03-30,12963.14220516347
2023-03-31,13181.35053345811
2023-04-03,13148.35031621843
2023-04-04,13100.0749607901
2023-04-05,12967.19934763408
2023-04-06,13062.59644934291
2023-04-10,13051.23381451141
2023-04-11,12964.15482190189
2023-04-12,12848.34758264898
2023-04-13,13109.38872570732
2023-04-14,13079.51597075685
2023-04-17,13087.71371413619
2023-04-18,13091.79298613564
2023-04-19,13088.71483726067
2023-04-20,12985.9803917797
2023-04-21,13000.76793619958
2023-04-24,12969.75760106389
2023-04-25,12725.10851715867
2023-04-26,12806.48476150713
2023-04-27,13160.02633119604
2023-04-28,13245.98646667011
2023-05-01,13231.46754136602
2023-05-02,13113.65964840925
2023-05-03,13030.20835495738
2023-05-04,12982.48070544007
2023-05-05,13259.13233647649
2023-05-08,13291.64240995866
2023-05-09,13201.11400309484
2023-05-10,13347.82747307838
2023-05-11,13389.77841657461
2023-05-12,13340.17545204817
2023-05-15,13413.50923878521
2023-05-16,13426.01426976057
2023-05-17,13589.26316826363
2023-05-18,13834.61599628726
2023-05-19,13803.48887934733
2023-05-22,13849.74291584328
2023-05-23,13672.53835693203
2023-05-24,13604.48246325555
2023-05-25,13938.53083809707
2023-05-26,14298.40871381312
2023-05-30,14354.98605381056
2023-05-31,14254.09024818922
2023-06-01,14441.51301479579
2023-06-02,14546.64053006833
2023-06-05,14556.49656083066
2023-06-06,14558.09428489473
2023-06-07,14303.28669036327
2023-06-08,14484.54341942283
2023-06-09,14528.36047567029
2023-06-12,14784.30081239007
2023-06-13,14900.85259547366
2023-06-14,15005.69243080736
2023-06-15,15185.47655220774
2023-06-16,15083.91770721733
2023-06-20,15070.14948566977
2023-06-21,14867.45059976063
2023-06-22,15042.31944306799
2023-06-23,14891.4824003537
2023-06-26,14689.02130260016
2023-06-27,14945.90713966966
2023-06-28,14964.57482405739
2023-06-29,14939.95149345815
2023-06-30,15179.20838516407
2023-07-03,15208.6932939595
2023-07-05,15203.77765940839
2023-07-06,15089.44869228777
2023-07-07,15036.85203288828
2023-07-10,15045.6386551749
2023-07-11,15119.06175474468
2023-07-12,15307.22589531347
2023-07-13,15571.97608863432
2023-07-14,15565.59720488614
2023-07-17,15713.27711268428
2023-07-18,15841.35136312486
2023-07-19,15826.35232139781
2023-07-20,15466.0882606739
2023-07-21,15425.67396606672
2023-07-24,15448.02052097999
2023-07-25,15561.41541626182
2023-07-26,15499.26473526639
2023-07-27,15464.92919772619
2023-07-28,15750.92771978492
2023-07-31,15756.99941665471
2023-08-01,15718.00918877653
2023-08-02,15370.73887045642
2023-08-03,15353.54120639021
2023-08-04,15274.91503440916
2023-08-07,15407.85441512311
2023-08-08,15273.04838155852
2023-08-09,15101.70736461432
2023-08-10,15128.837438579
2023-08-11,15028.07147324647
2023-08-14,15205.58545032736
2023-08-15,15037.64754458052
2023-08-16,14876.46951484756
2023-08-17,14715.81040096317
2023-08-18,14694.83711013657
2023-08-21,14936.68589091251
2023-08-22,14908.96232660824
2023-08-23,15148.05561002108
2023-08-24,14816.44191826432
2023-08-25,14941.82699181644
2023-08-28,15052.46034087338
2023-08-29,15376.54764313747
2023-08-30,15462.43083319558
2023-08-31,15501.07442640266
2023-09-01,15490.86362903571
2023-09-05,15508.2356725109
2023-09-06,15371.44302821838
2023-09-07,15258.52215633162
2023-09-08,15280.23023330795
2023-09-11,15461.865112059
2023-09-12,15289.7363797206
2023-09-13,15348.52513830686
2023-09-14,15473.89311079591
2023-09-15,15202.39822596306
2023-09-18,15225.37180225281
2023-09-19,15191.23444109215
2023-09-20,14969.92259242014
2023-09-21,14694.24334918638
2023-09-22,14701.09663069552
2023-09-23,14716.5333412669
2023-09-25,14768.89505296796
2023-09-26,14545.82596943556
2023-09-27,14580.15928676499
2023-09-28,14702.76563526051
2023-09-29,14715.24405074836
2023-10-02,14837.56942113192
2023-10-03,14565.61633915023
2023-10-04,14776.25252239099
2023-10-05,14723.22244541963
2023-10-06,14973.24136117539
2023-10-09,15047.1545117854
2023-10-10,15131.51996372612
2023-10-11,15241.11589105718
2023-10-12,15184.10007906576
2023-10-13,14995.11543088423
2023-10-14,15084.51174807094
2023-10-16,15172.73209884456
2023-10-17,15122.01188180248
2023-10-18,14909.25944415608
2023-10-19,14783.12694602243
2023-10-20,14560.87681353382
2023-10-23,14604.85016245849
2023-10-24,14745.85497833076
2023-10-25,14381.64093148106
2023-10-26,14109.57299830961
2023-10-27,14180.42076333726
2023-10-30,14335.50719849482
2023-10-31,14409.78311730728
2023-11-01,14664.9051595529
2023-11-02,14919.5452798056
2023-11-03,15099.49147106894
2023-11-06,15154.92626727298
2023-11-07,15296.01863780093
2023-11-08,15313.24107606342
2023-11-09,15187.89750959099
2023-11-10,15529.11952746574
2023-11-13,15482.78674064568
2023-11-14,15812.47295121558
2023-11-15,15817.17609926806
2023-11-16,15833.17273456648
2023-11-17,15837.99318252915
2023-11-20,16027.06345464533
2023-11-21,15933.61969063319
2023-11-22,16001.38590021055
2023-11-24,15943.35308799192
2023-11-27,15961.98084449031
2023-11-28,15929.13732435247
2023-11-29,16158.29970382318
2023-11-30,15947.86949623096
2023-12-01,15997.57892552685
2023-12-04,15839.66922283435
2023-12-05,15877.70894553208
2023-12-06,15918.50302116928
2023-12-07,16022.48722175886
2023-12-08,16084.68872089865
2023-12-11,16221.73476961587
2023-12-12,16354.24753888684
2023-12-13,16562.36987187913
2023-12-14,16537.82551292034
2023-12-15,16623.44696925489
2023-12-18,16729.80261637625
2023-12-19,16811.85494855435
2023-12-20,16554.15807468406
2023-12-21,16757.40810549438
